#OTU ID,TL1a_FP_230,TL1a_FP_128,TL1a_FP_129,TL1a_FP_86,TL1a_FP_266,TL1a_FP_159,TL1a_FP_195,TL1a_FP_158,TL1a_DTT_127_Repeat,TL1a_DTT_157_Repeat,TL1a_FP_231,TL1a_FP_284,TL1a_FP_267,TL1a_FP_87,TL1a_FP_194,TL1a_FP_285,TL1a_DTT_284,TL1a_DTT_231,TL1a_FP_85,TL1a_DTT_267,TL1a_FP_127,TL1a_DTT_158,TL1a_FP_193,TL1a_FP_265,TL1a_DTT_129,TL1a_DTT_265,TL1a_DTT_285,TL1a_DTT_159,TL1a_FP_157,TL1a_DTT_195,TL1a_DTT_85,TL1a_DTT_86,TL1a_DTT_193,TL1a_DTT_230,TL1a_DTT_128,TL1a_DTT_283,TL1a_DTT_194,TL1a_DTT_229,TL1a_FP_283,TL1a_FP_229,TL1a_DTT_87,TL1a_DTT_266,TL1A_DTT_673,TL1A_FP_626,TL1A_DTT_675,TL1A_DTT_626,TL1A_FP_674,TL1A_DTT_674,TL1A_DTT_627,TL1A_FP_625,TL1A_FP_673,TL1A_FP_675,TL1A_FP_627,taxonomy
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium,73,0,0,12,33,0,1,0,12,0,23,146,9,0,2,186,1,7,10,0,6,0,8,2,3,0,49,0,5,0,9,0,1,0,0,52,11,0,100,6,18,43,0,13,0,3,0,0,2,14,9,0,5,
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Holdemania,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Turicibacter,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,2,2,0,0,0,3,0,0,3,11,2,36,0,0,7,0,1,2,6,0,0,0,0,0,0,0,48,0,0,0,0,3,0,2,0,0,0,
k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Acidaminococcaceae;g__Phascolarctobacterium,0,0,8,14,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,1265,0,0,0,131,73,0,0,0,0,0,1,0,0,0,0,
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Bilophila,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,12,0,0,0,0,787,0,0,0,147,21,15,0,0,0,0,1,0,0,0,0,
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio,291,0,3,125,322,16,0,75,0,89,934,0,588,31,0,1,0,117,277,198,0,53,1,12,0,45,0,97,281,0,131,176,0,626,0,0,43,37,11,12,207,84,34,19,247,46,156,221,51,9,32,236,72,
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__Burkholderiaceae;g__Parasutterella,0,3,8,5,90,0,0,4,0,7,0,0,47,0,0,1,1,0,0,16,0,4,0,10,0,0,0,37,0,0,0,0,6,0,0,0,0,1492,0,0,0,109,124,45,15,48,10,12,8,46,4,5,18,
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Escherichia/Shigella,0,0,0,58,120,24,0,29,150,39,0,9,40,5,0,7,2,0,19,22,0,15,0,168,43,9,26,222,139,0,229,22,0,0,266,26,0,0,16,0,96,0,4,0,4,4,0,0,1,0,1,0,0,
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Klebsiella,0,0,0,0,0,0,0,0,8,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,11,24,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter,0,0,0,0,0,0,0,0,15,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,34,0,0,0,2,0,0,0,0,74,0,2,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia,20,131,10,112,6,0,35,10,3,5,4,49,7,881,21,111,26,1229,208,0,1,10,16,26,3,20,25,94,0,17,318,205,418,0,0,6,14,4245,2,14,750,258,666,1174,354,736,222,353,1028,1955,697,94,696,
