OTU.ID,TL1a_FP_162,TL1a_FP_88,TL1a_FP_230,TL1a_FP_89,TL1a_FP_234,TL1a_FP_128,TL1a_FP_129,TL1a_FP_287,TL1a_FP_86,TL1a_FP_198,TL1a_FP_161,TL1a_FP_266,TL1a_FP_197,TL1a_FP_159,TL1a_FP_132,TL1a_FP_130,TL1a_FP_90,TL1a_FP_195,TL1a_FP_158,TL1a_FP_231,TL1a_FP_284,TL1a_FP_267,TL1a_FP_269,TL1a_FP_288,TL1a_FP_87,TL1a_FP_196,TL1a_FP_131,TL1a_FP_270,TL1a_FP_160,TL1a_FP_194,TL1a_FP_286,TL1a_FP_232,TL1a_FP_233,TL1a_FP_268,TL1a_FP_285,TL1a_FP_85,TL1a_FP_127,TL1a_FP_193,TL1a_FP_265,TL1a_FP_157,TL1a_FP_283,TL1a_FP_229,TL1A_FP_626,TL1A_FP_677,TL1A_FP_674,TL1A_FP_678,TL1A_FP_625,TL1A_FP_630,TL1A_FP_673,TL1A_FP_675,TL1A_FP_627,taxonomy
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-001,0,0,0,0,8,0,0,3,0,0,0,194,0,0,0,0,0,0,0,0,574,529,561,137,0,0,11,39,0,0,181,0,0,127,1982,0,0,1,743,0,1867,0,0,0,4,0,0,0,77,47,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-004,3,70,267,0,5,79,64,96,57,12,2,93,39,19,104,1,19,83,50,269,66,261,6,44,15,57,9,1,51,8,116,55,8,134,423,89,187,9,14,186,379,22,25,9,11,0,7,13,11,71,18,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-006,0,29,14,0,2,415,66,30,35,0,0,6,5,14,26,18,0,72,14,9,4,22,0,15,3,30,0,0,3,5,14,0,0,2,44,24,57,4,4,8,18,0,11,0,6,0,0,2,4,12,9,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-010,0,5,0,0,0,21,18,3,4,0,0,4,0,3,4,0,0,0,3,3,0,7,2,0,3,2,0,0,2,0,0,0,0,5,0,4,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lactonifactor,0,0,0,19,0,0,0,0,0,21,4,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Marvinbryantia,9,0,0,11,0,0,0,0,0,0,11,0,1,0,0,7,0,0,0,0,0,0,2,0,0,0,0,13,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia,1,0,389,0,11,529,233,106,0,219843,3,87,4150,0,4,32,0,1,0,246,4,404,7,175,0,14,122,11,5,0,69,49,173,182,159,0,515,0,7,0,433,116,0,1467,10,390,0,0,61,8,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Sellimonas,5,0,0,0,0,0,0,0,0,0,3,0,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Shuttleworthia,0,0,0,0,0,1027,119,3,0,0,0,2,2,93,42,20,0,0,8,1,0,20,0,0,0,1,19,0,4,0,18,0,0,7,16,0,62,0,1,12,128,0,11,0,0,0,0,2,0,11,2,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Tyzzerella,411,21,16,586,9,214,184,142,22,317,215,50,201,10,44,162,4,28,29,13,33,144,23,48,2,43,14,132,27,1,66,2,15,101,184,5,132,4,11,85,139,10,23,13,5,72,8,28,13,10,27,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__UC5-1-2E3,51,0,0,23,0,0,0,0,0,0,30,0,5,0,0,9,0,0,0,0,0,0,8,0,0,0,0,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptococcaceae;g__,0,36,0,0,0,45,72,29,47,6,0,69,21,7,86,5,11,114,23,0,9,90,0,0,21,67,4,0,9,8,14,0,0,49,42,26,42,6,2,17,68,0,16,0,7,0,0,6,4,8,16,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;g__Romboutsia,1598,0,0,1880,0,0,0,0,0,46,94,0,0,0,0,76,149,0,0,0,0,0,0,0,0,0,0,3,38,0,0,0,6,0,0,0,0,0,0,2,0,0,0,63,0,31,0,5,6,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__,395,235,106,80,1,1601,917,94,162,13,37,77,86,17,52,54,0,171,20,145,12,164,16,121,112,65,8,41,32,9,150,10,3,100,472,160,715,4,36,47,774,7,52,3,33,10,8,25,70,218,44,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Anaerotruncus,11,8,22,8,8,9,11,62,7,34,12,33,20,35,95,6,16,18,21,15,0,16,3,25,2,22,0,3,24,11,23,0,0,11,49,0,15,0,4,19,4,5,12,11,0,3,0,27,4,0,18,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Angelakisella,0,0,61,0,0,0,0,12,0,0,0,12,7,0,14,0,0,25,6,26,0,47,2,0,0,13,0,0,4,1,1,0,0,14,0,0,0,0,45,8,0,15,0,0,5,0,0,0,3,13,3,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Butyricicoccus,0,0,15,0,3,0,0,2,0,0,0,27,0,7,30,0,0,16,12,18,1,32,0,0,0,7,0,0,6,0,12,0,0,15,50,0,0,1,2,20,19,0,0,0,0,0,0,0,0,0,4,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium,1098,0,0,851,0,3,0,0,0,730,352,0,627,1,5,718,70,0,4,0,0,0,12,0,0,0,0,298,71,0,0,0,96,132,0,0,0,0,0,0,0,0,0,93,3,452,0,13,1,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Flavonifractor,326,0,0,59,0,0,0,0,0,93,137,0,26,0,0,18,12,0,0,0,0,0,16,0,0,0,0,155,5,0,0,0,6,31,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__GCA-900066225,0,0,27,5,0,0,0,1,0,0,0,2,0,0,2,0,0,2,0,15,1,5,4,0,0,3,0,6,2,0,21,0,0,5,37,0,0,0,0,21,34,1,11,272,9,67,1,4,7,1,5,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Harryflintia,0,0,14,0,0,0,0,25,0,0,0,5,0,0,5,0,0,0,0,14,2,14,3,32,0,2,0,0,5,0,41,0,0,8,11,0,0,0,15,0,0,2,0,0,2,0,0,2,3,21,5,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Intestinimonas,0,271,222,0,5,282,169,149,244,23,0,97,36,22,101,0,28,120,44,188,37,229,4,79,113,80,5,0,22,17,122,22,8,142,434,207,218,22,32,198,374,52,22,0,18,0,9,9,19,40,23,
