OTU.ID	TL1a_FP_162	TL1a_FP_88	TL1a_FP_230	TL1a_FP_89	TL1a_FP_234	TL1a_FP_128	TL1a_FP_129	TL1a_FP_287	TL1a_FP_86	TL1a_FP_198	TL1a_FP_161	TL1a_FP_266	TL1a_FP_197	TL1a_FP_159	TL1a_FP_132	TL1a_FP_130	TL1a_FP_90	TL1a_FP_195	TL1a_FP_158	TL1a_FP_231	TL1a_FP_284	TL1a_FP_267	TL1a_FP_269	TL1a_FP_288	TL1a_FP_87	TL1a_FP_196	TL1a_FP_131	TL1a_FP_270	TL1a_FP_160	TL1a_FP_194	TL1a_FP_286	TL1a_FP_232	TL1a_FP_233	TL1a_FP_268	TL1a_FP_285	TL1a_FP_85	TL1a_FP_127	TL1a_FP_193	TL1a_FP_265	TL1a_FP_157	TL1a_FP_283	TL1a_FP_229	TL1A_FP_626	TL1A_FP_677	TL1A_FP_674	TL1A_FP_678	TL1A_FP_625	TL1A_FP_630	TL1A_FP_673	TL1A_FP_675	TL1A_FP_627	taxonomy
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae UCG-006	0	6	12	0	2	14	19	30	0	0	0	4	2	3	11	0	0	14	9	7	4	18	0	0	1	10	0	0	1	3	14	0	0	2	31	8	31	3	3	8	18	0	3	0	3	0	0	2	4	11	6	
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Rikenella	0	289	1	1	6	0	0	0	180	1	0	0	0	0	0	0	7	0	0	30	0	0	0	0	974	0	0	0	0	0	0	0	0	0	0	268	0	1	0	0	0	1	17	0	46	8	27	8	203	56	19	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Negativibacillus	0	0	0	0	0	0	0	0	0	143	0	0	29	0	0	0	0	0	0	0	0	0	120	0	0	0	0	33	0	0	0	0	2	40	0	0	0	0	0	0	0	0	0	37	0	9	0	0	0	0	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__UCG-009	0	74	3	0	2	37	38	39	100	0	0	43	15	25	110	0	36	60	42	3	3	150	2	0	42	40	0	0	19	4	34	0	0	73	114	24	10	0	9	22	63	5	0	0	3	0	3	6	2	26	6	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Cuneatibacter	5	0	0	0	0	0	0	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
k__Bacteria;p__Firmicutes;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Phascolarctobacterium	0	0	0	2490	0	0	8	0	14	0	0	0	0	0	0	570	80	0	0	0	0	0	0	0	1	0	9	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	9	0	7	0	0	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UC5-1-2E3	51	0	0	23	0	0	0	0	0	0	30	0	5	0	0	9	0	0	0	0	0	0	8	0	0	0	0	11	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lactonifactor	0	0	0	19	0	0	0	0	0	22	5	0	10	0	0	1	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	1	8	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	
k__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Bilophila	2613	25	0	1340	0	1	0	0	0	0	1041	0	0	0	4	703	165	0	6	0	0	0	0	0	0	0	7	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	15	1	0	0	0	21	0	0	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae UCG-009	27	0	0	31	0	0	0	0	0	0	17	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	3	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
