"","sampleid","Truncated_SampleID","Sequencing_Run","MouseID","Type","Sex","Site","Site_General","Genotype","Line","DSS_Treatment","DSS_group","Microbiota","Subset","Dataset","humann_sampleid"
"BioGeo.Vil1.01B.FP07.Rep1_S107_R1_001.fastq_profiled_metagenome","BioGeo.Vil1.01B.FP07.Rep1_S107_R1_001.fastq_profiled_metagenome","Vil1-01B-FP07","Two","1B_Vil1Cre","Luminal","Male","Distal_Colon","Colon","Neg","Vil1Cre",NA,"None",NA,"Luminal_Colon","UCLA_O_SPF","BioGeo.Vil1.01B.FP07.Rep1_S107"
"BioGeo.Vil1.01B.FP11_merged_R1_001.fastq_profiled_metagenome","BioGeo.Vil1.01B.FP11_merged_R1_001.fastq_profiled_metagenome","Vil1-01B-FP11","One","1B_Vil1Cre","Luminal","Male","Jejunum","SI","Neg","Vil1Cre",NA,"None",NA,"Luminal_SI","UCLA_O_SPF","BioGeo.Vil1.01B.FP11"
"BioGeo.Vil1.02B.FP19_merged_R1_001.fastq_profiled_metagenome","BioGeo.Vil1.02B.FP19_merged_R1_001.fastq_profiled_metagenome","Vil1-02B-FP19","One","2B_Vil1Cre","Luminal","Female","Distal_Colon","Colon","Neg","Vil1Cre",NA,"None",NA,"Luminal_Colon","UCLA_O_SPF","BioGeo.Vil1.02B.FP19"
"BioGeo.Vil1.02B.FP23_merged_R1_001.fastq_profiled_metagenome","BioGeo.Vil1.02B.FP23_merged_R1_001.fastq_profiled_metagenome","Vil1-02B-FP23","One","2B_Vil1Cre","Luminal","Female","Jejunum","SI","Neg","Vil1Cre",NA,"None",NA,"Luminal_SI","UCLA_O_SPF","BioGeo.Vil1.02B.FP23"
"BioGeo.Vil1.03B.FP31_merged_R1_001.fastq_profiled_metagenome","BioGeo.Vil1.03B.FP31_merged_R1_001.fastq_profiled_metagenome","Vil1-03B-FP31","One","3B_Vil1Cre","Luminal","Female","Distal_Colon","Colon","Neg","Vil1Cre",NA,"None",NA,"Luminal_Colon","UCLA_O_SPF","BioGeo.Vil1.03B.FP31"
"BioGeo.Vil1.03B.FP35.REP1_S38_R1_001.fastq_profiled_metagenome","BioGeo.Vil1.03B.FP35.REP1_S38_R1_001.fastq_profiled_metagenome","Vil1-03B-FP35","Two","3B_Vil1Cre","Luminal","Female","Jejunum","SI","Neg","Vil1Cre",NA,"None",NA,"Luminal_SI","UCLA_O_SPF","BioGeo.Vil1.03B.FP35.REP1_S38"
"BioGeo.Vil1.04B.FP43.Rep1_S88_R1_001.fastq_profiled_metagenome","BioGeo.Vil1.04B.FP43.Rep1_S88_R1_001.fastq_profiled_metagenome","Vil1-04B-FP43","Two","4B_Vil1Cre","Luminal","Male","Distal_Colon","Colon","Neg","Vil1Cre",NA,"None",NA,"Luminal_Colon","UCLA_O_SPF","BioGeo.Vil1.04B.FP43.Rep1_S88"
"BioGeo.Vil1.04B.FP47_merged_R1_001.fastq_profiled_metagenome","BioGeo.Vil1.04B.FP47_merged_R1_001.fastq_profiled_metagenome","Vil1-04B-FP47","One","4B_Vil1Cre","Luminal","Male","Jejunum","SI","Neg","Vil1Cre",NA,"None",NA,"Luminal_SI","UCLA_O_SPF","BioGeo.Vil1.04B.FP47"
"BioGeo.Vil1.05B.FP55_merged_R1_001.fastq_profiled_metagenome","BioGeo.Vil1.05B.FP55_merged_R1_001.fastq_profiled_metagenome","Vil1-05B-FP55","One","5B_Vil1Cre","Luminal","Female","Distal_Colon","Colon","Neg","Vil1Cre",NA,"None",NA,"Luminal_Colon","UCLA_O_SPF","BioGeo.Vil1.05B.FP55"
"BioGeo.Vil1.05B.FP59.REP1_S37_R1_001.fastq_profiled_metagenome","BioGeo.Vil1.05B.FP59.REP1_S37_R1_001.fastq_profiled_metagenome","Vil1-05B-FP59","Two","5B_Vil1Cre","Luminal","Female","Jejunum","SI","Neg","Vil1Cre",NA,"None",NA,"Luminal_SI","UCLA_O_SPF","BioGeo.Vil1.05B.FP59.REP1_S37"
"BioGeo.Vil1.06B.FP67_merged_R1_001.fastq_profiled_metagenome","BioGeo.Vil1.06B.FP67_merged_R1_001.fastq_profiled_metagenome","Vil1-06B-FP67","One","6B_Vil1Cre","Luminal","Male","Distal_Colon","Colon","Neg","Vil1Cre",NA,"None",NA,"Luminal_Colon","UCLA_O_SPF","BioGeo.Vil1.06B.FP67"
"BioGeo.Vil1.06B.FP71_merged_R1_001.fastq_profiled_metagenome","BioGeo.Vil1.06B.FP71_merged_R1_001.fastq_profiled_metagenome","Vil1-06B-FP71","One","6B_Vil1Cre","Luminal","Male","Jejunum","SI","Neg","Vil1Cre",NA,"None",NA,"Luminal_SI","UCLA_O_SPF","BioGeo.Vil1.06B.FP71"
"BioGeo.Vil1.07B.FP79_merged_R1_001.fastq_profiled_metagenome","BioGeo.Vil1.07B.FP79_merged_R1_001.fastq_profiled_metagenome","Vil1-07B-FP79","One","7B_Vil1Cre","Luminal","Male","Distal_Colon","Colon","Neg","Vil1Cre",NA,"None",NA,"Luminal_Colon","UCLA_O_SPF","BioGeo.Vil1.07B.FP79"
"BioGeo.Vil1.07B.FP83_merged_R1_001.fastq_profiled_metagenome","BioGeo.Vil1.07B.FP83_merged_R1_001.fastq_profiled_metagenome","Vil1-07B-FP83","One","7B_Vil1Cre","Luminal","Male","Jejunum","SI","Neg","Vil1Cre",NA,"None",NA,"Luminal_SI","UCLA_O_SPF","BioGeo.Vil1.07B.FP83"
"BioGeo.Vil1.08B.FP92.REP1_S41_R1_001.fastq_profiled_metagenome","BioGeo.Vil1.08B.FP92.REP1_S41_R1_001.fastq_profiled_metagenome","Vil1-08B-FP92","Two","8B_Vil1Cre","Luminal","Male","Jejunum","SI","Neg","Vil1Cre",NA,"None",NA,"Luminal_SI","UCLA_O_SPF","BioGeo.Vil1.08B.FP92.REP1_S41"
"BioGeo.Vil1.08B.FP94.REP1_S42_R1_001.fastq_profiled_metagenome","BioGeo.Vil1.08B.FP94.REP1_S42_R1_001.fastq_profiled_metagenome","Vil1-08B-FP94","Two","8B_Vil1Cre","Luminal","Male","Distal_Colon","Colon","Neg","Vil1Cre",NA,"None",NA,"Luminal_Colon","UCLA_O_SPF","BioGeo.Vil1.08B.FP94.REP1_S42"
"BioGeo.Vil1.09B.FP104_merged_R1_001.fastq_profiled_metagenome","BioGeo.Vil1.09B.FP104_merged_R1_001.fastq_profiled_metagenome","Vil1-09B-FP104","One","9B_Vil1Cre","Luminal","Male","Jejunum","SI","Neg","Vil1Cre",NA,"None",NA,"Luminal_SI","UCLA_O_SPF","BioGeo.Vil1.09B.FP104"
"BioGeo.Vil1.09B.FP106_merged_R1_001.fastq_profiled_metagenome","BioGeo.Vil1.09B.FP106_merged_R1_001.fastq_profiled_metagenome","Vil1-09B-FP106","One","9B_Vil1Cre","Luminal","Male","Distal_Colon","Colon","Neg","Vil1Cre",NA,"None",NA,"Luminal_Colon","UCLA_O_SPF","BioGeo.Vil1.09B.FP106"
"BioGeo.Vil1.10B.FP116.REP1_S44_R1_001.fastq_profiled_metagenome","BioGeo.Vil1.10B.FP116.REP1_S44_R1_001.fastq_profiled_metagenome","Vil1-10B-FP116","Two","10B_Vil1Cre","Luminal","Male","Jejunum","SI","Neg","Vil1Cre",NA,"None",NA,"Luminal_SI","UCLA_O_SPF","BioGeo.Vil1.10B.FP116.REP1_S44"
"BioGeo.Vil1.10B.FP118.REP1_S45_R1_001.fastq_profiled_metagenome","BioGeo.Vil1.10B.FP118.REP1_S45_R1_001.fastq_profiled_metagenome","Vil1-10B-FP118","Two","10B_Vil1Cre","Luminal","Male","Distal_Colon","Colon","Neg","Vil1Cre",NA,"None",NA,"Luminal_Colon","UCLA_O_SPF","BioGeo.Vil1.10B.FP118.REP1_S45"
"BioGeo.Vil1.13B.FP152_merged_R1_001.fastq_profiled_metagenome","BioGeo.Vil1.13B.FP152_merged_R1_001.fastq_profiled_metagenome","Vil1-13B-FP152","One","13B_Vil1Cre","Luminal","Male","Jejunum","SI","Neg","Vil1Cre",NA,"None",NA,"Luminal_SI","UCLA_O_SPF","BioGeo.Vil1.13B.FP152"
"BioGeo.Vil1.13B.FP154.REP1_S47_R1_001.fastq_profiled_metagenome","BioGeo.Vil1.13B.FP154.REP1_S47_R1_001.fastq_profiled_metagenome","Vil1-13B-FP154","Two","13B_Vil1Cre","Luminal","Male","Distal_Colon","Colon","Neg","Vil1Cre",NA,"None",NA,"Luminal_Colon","UCLA_O_SPF","BioGeo.Vil1.13B.FP154.REP1_S47"
"BioGeo.Vil1.14B.FP164_merged_R1_001.fastq_profiled_metagenome","BioGeo.Vil1.14B.FP164_merged_R1_001.fastq_profiled_metagenome","Vil1-14B-FP164","One","14B_Vil1Cre","Luminal","Male","Jejunum","SI","Neg","Vil1Cre",NA,"None",NA,"Luminal_SI","UCLA_O_SPF","BioGeo.Vil1.14B.FP164"
"BioGeo.Vil1.14B.FP166_merged_R1_001.fastq_profiled_metagenome","BioGeo.Vil1.14B.FP166_merged_R1_001.fastq_profiled_metagenome","Vil1-14B-FP166","One","14B_Vil1Cre","Luminal","Male","Distal_Colon","Colon","Neg","Vil1Cre",NA,"None",NA,"Luminal_Colon","UCLA_O_SPF","BioGeo.Vil1.14B.FP166"
