"","feature","metadata","value","coef","stderr","N","N.not.0","pval","qval","Site"
"32","k__Bacteria.p__Desulfobacterota.c__Desulfovibrionia.o__Desulfovibrionales.f__Desulfovibrionaceae.g__Bilophila","Type","Mucosal",0.68578014643309,0.302302077120867,89,19,0.0281025560936901,0.151798058899775,"Duodenum"
"110","k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rickettsiales.f__Mitochondria.g__","Type","Mucosal",-4.24012012096686,0.376654075273725,91,45,2.49920935049338e-14,8.57228807219231e-12,"Jejunum"
"26","k__Bacteria.p__Cyanobacteria.c__Cyanobacteriia.o__Chloroplast.f__.g__","Type","Mucosal",-4.26768349936371,0.418946194868779,91,53,2.27827183947554e-13,3.98049625265901e-11,"Jejunum"
"341","k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Muribaculaceae.g__","Type","Mucosal",0.44395955855275,0.200825372598306,91,5,0.0298097236906321,0.128613021709268,"Jejunum"
"42","k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__UBA1819","Type","Mucosal",-1.76161834990403,0.317476516496179,91,63,1.37806698627056e-06,6.75252823272572e-05,"Jejunum"
"87","k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__.Eubacterium..fissicatena.group","Type","Mucosal",-0.96576767767657,0.219690492720932,91,52,6.94775894471102e-05,0.00148942582377243,"Jejunum"
"23","k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacterales.f__Enterobacteriaceae.g__Escherichia.Shigella","Type","Mucosal",1.38193526746256,0.484991376482848,91,83,0.00651365571654399,0.0433822118597007,"Jejunum"
"181","k__Bacteria.p__Firmicutes.c__Bacilli.o__Staphylococcales.f__Staphylococcaceae.g__Staphylococcus","Type","Mucosal",0.953982178212921,0.304999891833582,91,16,0.00242909030804519,0.0213635378374231,"Jejunum"
"131","k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__Fournierella","Type","Mucosal",-0.819447392851144,0.223218062342821,91,31,0.000624846443782239,0.00876959519009012,"Jejunum"
"121","k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__.Eubacterium..coprostanoligenes.group.g__","Type","Mucosal",0.683096976246169,0.183135822428935,91,11,0.000549940537410147,0.00820128714485567,"Jejunum"
