#OTU ID,Itg.04.DTT422.S14,LYZdtt306,Vil1.07B.DTT82,Itg.20.DTT506.S1,LYZFP330,Itg.16.FP482.S85,Itg.22.FP518.S21,LYZdtt318,Lyz2.03B.FP234.S82,Itg.26.FP542.S46,LYZFP318,Vil1.02B.FP22,Lyz2.07B.DTT282.S124,LYZFP306,Itg.08.FP446.S47,Itg.26.DTT542.S38,Lyz2.04B.DTT246.S87,Itg.20.FP506.S9,Lyz2.02B.DTT222.S62,Vil1.03B.DTT34,Itg.10.FP458.S60,LYZFP354,Vil1.05B.FP58,Lyz2.06B.DTT270.S112,Lyz2.02B.FP222.S70,LYZFP342,Vil1.09B.FP103,SLCdtt022,Vil1.08B.DTT94,SLCdtt148,Vil1.04B.FP46,SLCdtt166,Vil1.013B.DTT154,SLCdtt052,Vil1.04B.DTT46,Itg.24.DTT530.S25,Lyz2.05B.FP258.S55,Itg.18.FP494.S97,Vil1.13B.FP151,Itg.16.DTT482.S77,SLCdtt112,Itg.10.DTT458.S52,Itg.04.FP422.S22,SLCdtt004,Itg.18.DTT494.S89,Vil1.01B.FP10,Lyz2.03B.DTT234.S74,SLCdtt130,Itg.06.FP434.S35,SLCFP148,Vil1.010B.DTT118,Lyz2.08B.FP294.S92,SLCFP022,Lyz2.07B.FP282.S80,SLCFP052,Vil1.05B.DTT58,Vil1.06B.FP70,Vil1.03B.FP34,SLCFP166,Vil1.09B.DTT106,Itg.24.FP530.S33,Vil1.14B.FP163,SLCFP112,SLCdtt070,SLCdtt076,Lyz2.01B.DTT210.S50,Itg.12.FP470.S72,SLCFP004,Vil1.01B.DTT10,Itg.02.DTT410.S2,Lyz2.05B.DTT258.S99,Itg.02.FP410.S10,Itg.12.DTT470.S64,Vil1.10B.FP115,Vil1.06B.DTT70,Lyz2.04B.FP246.S43,Itg.22.DTT518.S13,Lyz2.06B.FP270.S68,Lyz2.01B.FP210.S58,SLCFP076,SLCFP070,LYZdtt354,Vil1.07B.FP82,Itg.08.DTT446.S39,Vil1.02B.DTT22,LYZdtt366,Itg.06.DTT434.S27,SLCFP094,LYZdtt330,Lyz2.08B.DTT294.S136,Vil1.08B.FP91,LYZdtt342,taxonomy
MF0071,51340.01,29001.04,5414.58,21035.315,102750.97,45055.79,49574.435,76507.915,89873.115,80376.025,57415.255,49753.275,30500.31,107634.735,34942.52,34738.955,13084.145,42797.08,50416.8,32679.73,64463.35,117793.91,37314.975,30335.945,94327.44,51737.83,30994.495,34771.3,9770.995,64805.46,43152,160252.01,19634.2,24236.925,13503.265,19436.68,9689.83,59191.13,44254.325,12880.79,3011.215,45403.435,53776.5,12451.48,26214.78,43402.14,32446.44,5083.49,86712.06,38054.905,12392.83,23288.95,19257.225,15040.25,28768.895,8286.475,28094.545,55772.775,69471.56,11818.21,84528.99,73477.535,14519.515,7905.82,40946.515,26056.085,75461.94,22621.73,11299.065,63253.4,18825.15,48760.325,60769.14,43911.79,3975.945,30503.67,17628.36,20028.62,87579.9,44758.355,29203.755,33111.21,50767.965,14639.32,12747.83,28828.31,35786.585,22239.385,32142.8,6194.86,42175.8,31811.89,
MF0038,14237.38,36906.83,2756.5,25798.48,27455.47,41581.29,7378.58,20754.98,15255.2,14144.37,68132.34,30941.7,32402.03,88789.35,6520.83,12345.85,14232.05,53723.08,10026.02,14987,2865.15,13111.73,11712.03,7740.87,6644.3,2273.63,17805.91,34528.11,4928.41,67498.42,30924.78,14984.96,7786,12001.15,10504.9,14646.14,5809.65,5588.78,24554.5,14060.04,2394.03,11698.92,1032.45,2694.53,23201.12,32087.98,10637.83,5777.98,46271.88,38064.57,6737.33,25721.92,2290.37,15009.75,13538.57,4277.95,35605.88,10616.15,14585.6,6290.48,4371.77,78527.12,14800.28,4542,13859.23,21229.3,6473.53,2263.23,6905.51,13609.42,12091.52,9424.35,11693.15,21578.6,2021.23,5770.95,19435.71,3716.63,3930.8,3634.58,14025.58,43028.17,49778.34,8299.12,6913.98,31315.49,13819.6,7592.36,33222.59,7332.69,47882.55,16273.77,
MF0039,88.5,0,0,43,5,76,11,176,24,29,767,83,44,399,7,22,69,206,12,282,3,24,13,13,8,17,278,175,0,684,111,13,361,7,15.5,50.5,6,11,80,22,0,4,1,31,127,18,15,0,77,773.5,49,60,13,7,0,0,103,62,21,36,12,1119,25,12,63,47,23,0,8,16,12,52,11,802,0,14,68.5,15,8,25,16,0,219,9,0,19,46,41.5,14,25,211.5,102,
MF0036,7937.17,2703.625,2655,2304.906667,27582.83833,10508.465,13317.79,10585.59,16313.435,9455.12,13698.88833,8779.25,5027.58,21128.54167,6093.49,4140.876667,1908.531667,7914.38,1519.66,8639.446667,11554.75,12684.37,7464.965,6614.303333,5858.005,15178.75167,9420.97,7954.685,4851.75,16247.525,10592.125,23995.82,4536.891667,4553.703333,2722.845,2895.581667,3201.91,7004.675,10491.87,2359.33,900.93,4623.333333,10970.005,1288.388333,5343.116667,5936.25,5768.005,777.75,13614.41,7616.345,4149,4020.125,5548.16,3414.25,3616.038333,4090,7560.418333,11791.69833,14247.57667,4087.25,10492.94667,16609.83667,2453.083333,2077.396667,5691.125,2977.74,12329.92,1162.016667,776.415,9566.056667,4999.226667,12974.25,7940.185,12453.43167,1973.5,3334.163333,2417.691667,3256.191667,3724,13607.33,7284.193333,963.035,10608.59,1915.038333,1701.635,3611.965,4592.5,3264.703333,4320.131667,1293.796667,8219.425,4417.075,
MF0037,64.5,13,0,21,3,47,65.5,30.5,40,61.5,163,273,27.5,339.5,46.5,14,13,76,12.5,97,49.5,220,2835,15.5,37.5,171,427.5,104,0,284,205,43.5,0,25,48,34,64,24,0,6.5,0,16.5,4.5,0,71,168.5,21,15,299,193.5,43.5,75.5,41.5,26,82,0,153,90,755,26,4.5,61.5,95.5,9.5,23,28,73,0,18,37,77,128,39,664.5,0,24,26.5,41.5,18,50.5,19,0,226.5,10.5,35,155,54,0,17,10,84,40,
MF0034,4917.14,1522.95,29.79,1855.12,61981.66,19377.5,14491.37,4468.47,4568.32,19977.46,16786.9,13451.85,10350.5,26842.23,4350.33,5858.59,1509,9908.57,7095.19,11727.64,3218.08,4514.44,6107.32,21665.03,3623.25,1512.93,20701.08,11132.58,11.33,23495.22,8580.77,10300.48,3989.7,7908.93,3126.18,4925.35,3298.5,2079.83,12767.86,5240.47,405.5,2437.99,2867,570,8341.7,6374,3835.19,1079.5,9776.76,12507.11,2194.83,4630.33,2756.4,3007.5,3188.75,22.5,4996.8,7952.56,28324.02,2127.37,30117.23,26662.95,5283.5,1074.92,3595.65,2441.46,6498.83,638.5,1271.01,29854.35,8904.85,15980.25,7174.07,26498.08,2.29,554.46,4051.82,9049.62,1620.5,1421.5,3792.75,2412.47,17037.5,2222.99,3381.25,14963.28,5579.89,968.98,13723.56,2206.87,9590.39,4777.57,
MF0078,65733.98,12965.45,2818.54,8207.69,44395.24,17804.09,14480.62,113203.22,79355.16,18187.04,43255.74,18241.11,20007.84,68839.91,11931.83,9335.5,5961.24,14673.48,85710.19,14486.39,23655.66,153479.02,53276.92,13239.69,151346.17,50615.93,10297.5,15664.41,5086.75,21070.3,23993.76,235727.8,10410.95,13665.02,6295.51,7191.17,5074.58,15198.58,28942.19,4470.81,270.25,18265.07,78474.42,4981,9091.62,37683.5,30742.04,2463.35,74847.51,9385.54,8454.5,19916.33,8450.23,12078.75,9501.26,5456,22544.65,29667.89,36159.61,7886.37,15783.9,29685.7,1765.83,4529.25,50239.65,27679.87,24305.42,3917.42,12481.43,15578.26,7665.93,9286.75,21880.41,16762.58,2129.79,11008.63,5613.57,6308.88,151015.75,59808.83,11834.41,18429.22,29031.84,4607.15,3817.08,10205.53,39670.64,6527.91,5187.56,3753.38,21955.55,31546.99,
MF0035,3470.39,1340.03,2675.79,1732.78,16871.74,10109,3734.87,4668.3,3984.25,6227.46,12546.07,10254.83,8845.75,24815.25,3781.5,3447.92,1387.25,7356.5,6611.86,2481.56,1781.25,3419.52,3157.82,2399.28,2420,1482.26,9916.41,8356.16,4877.41,13446.97,8299.67,8603.39,7694.95,7634.5,3062.25,2024.43,2597,1992,27069.11,4101.97,287.5,2156.24,524.5,332.83,3625,6386,3490.86,842.25,8622.5,9400,4980.83,3967,872,1740.75,3155.75,4090,3517.47,2919.56,3781,4890.12,572.23,13221.62,2986,534.09,3254.98,2426.46,3732.5,315,1257.84,8872.1,7354.25,3304.75,6300.57,13334.66,1978.12,530.96,2493.24,995.5,1472.25,1316.25,3344.58,410.39,14236,2036.75,2127.25,14892.95,4769.14,806.25,4748.64,1178,8937.89,2529.66,
MF0079,988,592,2655,811,11371,6940,1555,861,2634,4643,1036,3992,1442,21956,1059,2003,358,2019,336,1599,925,808,2520,841,792,1571,189,5493,4851.75,1322,3875,3020,1183.25,1145,1426,775,1572,2151,55,2871,120,417,119,211,2767,6740,833,333,6487,1460,4074.5,2017,551,645,1553,4090,1472,1114,5246,4038.25,481,2329,1592,296,872,488,1627,238,577,4015,4205,3582,1562,260,1973.5,458,946,1138,638,1237,1330,128,10883,734,575,4529,1998,138,2990,423,1109,1215,
MF0032,18.25,61.75,2655,157,136.25,1.5,0,133.75,2,2,76.25,3,77,99.5,0,59.5,10.75,5,22,58.75,0,82.25,86.75,191.75,2.25,36.5,0,27.75,4851.75,0.25,3.75,0.25,1183.25,3.5,167,305.25,0,1.5,41,15,0,13.75,1.5,22,63.25,2,50.5,9,2,490,4074.5,1.75,0,0,10.25,4090,3.25,23.5,1.25,4038.25,1.5,2,0,0,19.75,28.5,0,16,74.5,44.75,12,0,5.5,3,1973.5,4.5,52.75,4.25,2.75,0,0,40,2.25,10.25,77.75,52.5,147.25,0,60.75,49,1.25,127.5,
MF0076,36145.75,7952.5,2720.5,5008.71,7488.375,3003.5,26493.125,60221.96,58654.375,33409.25,13513.915,13897.165,8719.5,43140.25,10315.625,15089.085,4191.875,8542.5,42599.165,2450.915,37532,71531.375,29383.75,9919.25,74203.25,15777.875,2267.165,8707.875,4961.75,3587.375,9647.46,140721.71,8598.25,12475.875,3374.125,5917.335,2081,21298.75,14092,1627.125,832,24988.375,48159.5,7233.5,6183.25,16796.125,19209.415,1656,34079,1809,6497,8580.375,4611.875,4654.5,15292.875,4778,6831.08,25263.125,25630.375,6000.25,38452.75,7327.5,3776,3186.75,27056.125,12967,22816.375,15193.125,6174.25,28266.75,3679,26541.5,19663.875,7154.625,2051,16831.5,4750.75,6444.75,74534.125,35986.875,12730.5,9050.125,4207.25,4309.5,3715.25,3934.875,18957.375,13830,1069.375,1711,5475.625,14630.54,
MF0033,72032.38,33563.98,4145.52,21797.465,61844.47,22375.245,41711.775,120674.345,101791.83,53251.705,45714.93,32147.06,26597.02,94213.815,18896.005,25173.345,11508.045,29629.09,89527.86,17180.58,51138.09,153667.215,60094.775,28033.08,152016.81,41903.32,18451.62,24370.15,7526.62,33411.48,28743.905,264638.115,15858.35,23939.735,10001.37,14343.825,6511.79,30368.855,34478.595,9658.595,1979.305,39500.87,88892.26,10373.93,16608.895,40992.905,37338.415,4362.33,78415.12,18383.05,11995.915,21870.085,10336.56,13307.5,23084.85,7580.725,23702.35,44443.695,58414.255,11186.475,61792.235,40720.395,7676.49,6870.06,54729.73,32548.435,38179.8,17538.815,14690.135,51724.64,12698.975,0,34845.18,30801.33,3139.425,23548.615,14573.25,14294.28,151475.65,66568.92,23022.01,41218.895,28575.92,10304.685,9049.495,22616.045,42378.745,18368.775,23906.685,5097.42,26668.775,36784.095,
MF0077,825.6666667,469.6666667,3540.5,692.9733333,6475.75,3630.5,1027.083333,946.0566667,1470.083333,2409.333333,1230.75,2759.026667,1259.083333,11568.25,643.25,1298.223333,276.0833333,2211.666667,505.2766667,6981.75,512,566.8333333,1154.166667,794.75,523.3333333,873.75,521.3333333,3414.583333,6470.833333,1513.723333,2916.806667,2520.14,2492.416667,743.0833333,1444.75,979.0566667,926.3333333,1173.166667,935,1685.25,77,355.9166667,104.1666667,244.5,3745.333333,3440.75,648.9433333,275,3288,2246.5,5788,1112.166667,400.0833333,371.6666667,899.75,5454.25,1203.75,1073.166667,2601.25,5637.583333,275.1666667,1938.666667,911.0833333,200.6666667,727.5,446,1000.583333,155.0833333,525.1666667,2527.333333,2597.333333,1808.833333,1083.916667,1010.583333,2631.333333,260.9166667,671.8333333,603.9166667,360.4166667,664.4166667,693.8333333,155.4166667,5583.333333,528.6666667,863.6666667,2634.666667,1547.916667,222,1813.25,328.4166667,884.6666667,938.6933333,
MF0029,3699.64,1583.7,2660.29,1428.03,13518.16,5729,4519.62,4719.88,3840.07,3221.46,6500.4,12560.19,7241.75,17753.98,2205.83,3163,1395.25,5631.57,4753.03,13194.64,1142.33,1265.69,1167.07,2363.03,2206.25,1263.18,6832.33,9576.08,4858.08,11399.88,16246.18,16535.64,14942.45,2784.43,8431.93,2287.01,2904,2646.83,30283.61,4892.47,310,2022.99,727.5,1708,7415.45,4125,2834.03,1584.6,3844.76,9574.61,5759.83,2521.33,915.4,936,2483.25,4090.5,6103.05,4171.56,3119.02,5709.62,642.23,13686.2,2496.5,852.42,1871.4,2324.46,2588.33,443.5,2433.76,8757.35,9185.6,1968.5,4722.57,11201.33,1973.79,516.71,2214.32,961.37,841.25,791,1202.5,503.97,8083.75,2548.49,7306.25,6345.28,6141.14,1458.23,4860.31,972.87,7048.64,2731.66,
MF0041,6701.5,1184.29,1991.625,2424.335,29162.845,12789.715,16506.395,3205.335,16627.515,19421.87,13284.585,11971.415,5518.915,9239.505,8340.245,7086.876667,2077.286667,12019.8,1352.5,11604.705,19704.795,11523.745,5480.375,7683.138333,4476.005,15178.75167,9199.4,8828.855,3640.1875,17623.375,10592.125,18030.825,5111.391667,4931.045,2722.845,4041.581667,2895.121667,7004.675,12210.04,2168,382.93,10084.08333,9516.71,3454.388333,6572.925,4629.915,6803.655,1099.79,10317.205,9294.005,3909.721667,3345.46,6227.995,3504.875,5094.863333,3067.9375,7560.418333,11653.29,17916.40667,3731.486667,22185.77667,18324.085,3091.956667,1984.83,6282.665,2312.49,19067.46,3441.746667,781.83,20825.51667,4488.17,13805.875,12064.515,13877.59667,1480.125,3471.828333,4121.271667,4811.771667,3179.75,11387.83,8091.801667,731.54,11340.26,2945.373333,2280.47,2669.425,3208.25,2421.526667,4445.881667,1428.206667,8219.425,3168.995,
MF0085,46947.2475,9126.9375,98.25,5290.32,10617.6925,2378.625,9939.31,81398.25,58538.4375,10771.5025,18850.185,8162.2475,12022.245,45120.06,4228.56,6036.1275,3607.3125,7730.25,63525.75,2993.56,14661.4975,106236.5,39542.56,8742.5025,110113.5625,23380,2342.3725,6008.06,162.9975,2948.875,7931.44,176253.0625,3780.75,9801.9375,2596.815,3713.445,1319.25,4063.3725,6579,1769.31,162.75,13023.315,58328.5,3377.5,2034.0025,23943.8125,22206.12,1680.75,47373.2475,818.5,2840.4975,12299.8125,1987.4375,6874.75,6258.0625,1016.25,9660.62,18405.4375,23115.875,2418.2475,11094.0025,3964.75,413.25,3028.8725,36106.6875,18988.25,8682.06,2485.3125,8937.1225,11252.0025,2374.5025,6678.75,10935.9375,6254.565,116.25,7771.75,2817.255,3759.4975,110939.1875,44468.125,8289,13271.685,5901,2326.6275,2334.75,5340.1275,27043.3125,3892.9975,1415.8125,1980.5025,6946.9375,21280.3725,
MF0086,144041.035,50197.415,2892.895,32749.565,133999.345,48587.665,90504.25,244891.495,222596.035,122436.685,90195.88,70004.115,54175.31,194681.85,44386.96,55352.22,21528.165,59466.705,178651.29,33430.355,118190.125,309403.06,116407.525,57983.885,306278.27,92805.62,37051.995,51395.98,5196.165,65850.835,61475.495,541086.89,26375.325,49421.745,18541.42,27661.705,15011.455,67653.935,62445.315,16129.79,3594.64,85667.49,179902.845,23039.515,33746.915,82340.615,78314.6,8604.84,161911.415,33599.28,13883.83,43724.04,25381.465,28746.125,48627.02,6193.425,46268.295,101185.89,123372.81,12226.45,142821.52,80005.785,16636.78,13603.515,110668.015,60965.995,89612.925,40284.86,27901.225,106984.48,27456.9,85500.925,79851.26,63111.54,2217.245,58156.805,25659.495,31051.135,303905.775,138039.295,48155.05,60871.96,58115.84,20113.095,17680.87,38821.06,84863.065,37772.605,34765.675,10117.735,51737.05,70192.255,
MF0083,202.08,57.375,0,109.17,139.295,127,19.33,239.04,105.5,80.17,781.33,187.5,77,746.33,17.33,59.5,96.5,442.5,28.335,247.33,4.33,52,51.33,124.17,21.5,25,1323.83,161.33,0.33,839.33,186,12.33,0,10,54.92,111.34,9,20.33,41,30.33,0,22.71,6,31,150.67,76.5,50.5,9,67.83,758.5,94.33,400,56,33.5,26.5,0,167.66,139,10,78.33,31.17,414,131,14.33,141,28.5,9.33,0,61.83,46.21,73.335,17,40.5,2061.17,0,44.5,84.34,16.83,9.5,28,46.5,13.33,189,19.17,14.5,100.67,105.625,169.58,89.5,49,832,162.25,
MF0040,550.11,382.08,2655.29,587.62,5853.15,3958.5,799.29,683.75,1481.57,2391.29,990.49,2106.29,824.96,11341.17,552,1084.5,201.75,1873.5,266.86,8333.415,595.67,647.87,2372.04,639.46,419.25,832.26,911.665,2911.08,4866.08,2430.335,2415.51,1522.44,1842.25,630.93,961.19,789.82,799,1080.5,5586.86,1497.14,60.33,259.32,61.5,135.33,3182.335,3425.33,519.5,180.33,3249.43,1607.04,4348.5,1026.85,294.67,326,1036.92,4090,866.06,788.75,3098.82,4206.39,245.36,1667.67,878,167.96,460.08,291.36,967,141.33,365.26,2063.18,2125.43,1793,861.07,1153.085,1978.12,277.21,553.85,575.54,387.75,639.33,1933.33,127.96,5940.25,382.82,380.08,2574.03,1163.54,80.33,1582.94,267.67,844.54,764.03,
MF0084,18.25,61.75,2655,157,136.25,1.5,0,133.75,2,2,76.25,3,77,99.5,0,59.5,10.75,5,22,58.75,0,82.25,86.75,191.75,2.25,36.5,0,27.75,4851.75,0.25,3.75,0.25,1183.25,3.5,167,305.25,0,1.5,41,15,0,13.75,1.5,22,63.25,2,50.5,9,2,490,4074.5,1.75,0,0,10.25,4090,3.25,23.5,1.25,4038.25,1.5,2,0,0,19.75,28.5,0,16,74.5,44.75,12,0,5.5,3,1973.5,4.5,52.75,4.25,2.75,0,0,40,2.25,10.25,77.75,52.5,147.25,0,60.75,49,1.25,127.5,
MF0082,33.75,62.75,2655,175,136.25,4.5,0,210.5,7.5,8.25,462.25,35.5,94.25,191,0,69.25,51,101,24.75,182,0,86.25,96,197,5.25,45,0,77.5,4851.75,289.25,4.75,1.25,1363.75,4.25,168.25,319.5,0,7,83,15,0,16.25,2.75,37.5,131.75,3.5,56,9,8.5,864,4079,3,0,0,11.25,4090,41.75,46.75,5.5,4041,11,522.5,0,0,39.5,58,0,16,76,48.75,14.5,0,15.75,5.5,1973.5,13.5,81.75,5.25,4.25,0,0,40,4.25,13,77.75,59.5,165.25,0,64.25,59.25,77.25,182.25,
MF0080,4071,454,0,673.25,14509.625,7227.625,12722.75,1154,581.375,11385.125,2775.375,5840.875,1104.375,1950.25,6130.25,3264,237,2381.875,410.5,655.625,14815,5759.375,2342,1330.25,2262.875,9738.75,3121.25,2688,0,4705.875,9667.125,9530.75,0,4053.125,2367.875,1325.125,1615.625,19682.125,0,0,0,5819.125,7526.375,0,4653.25,2017.75,215.25,424.375,4966.625,1506.375,278.75,854.625,3450.25,1377.625,8674.5,0,2607.375,3107.25,6424.625,357.625,11852,7128.25,1567.5,0,817,490.375,14526.125,0,212.25,15406.375,2210.25,15688.625,7412.5,4835.25,0,117.875,1783.375,2001.25,1678.25,1014,4361.375,0,5382.125,1670.5,849.5,1290,1449,0,1399.625,192.5,2065.875,1307.25,
MF0005,63353.83,12513.83,5484.25,7585.67,84562.32,18621.25,39023.79,110195.08,78403.75,40016.54,27885,21278.54,17878.08,61521,15914.25,10668.25,4971.5,10747.75,85314.67,9191.5,32820.25,153737.08,53457.58,23557.96,150942,50567.33,24930.25,13440.16,9943.16,22331,23024.93,236558.66,16817,15231.93,6362.11,6077.59,5119.75,40541.25,56872.11,4949.89,739.25,18343.42,79058.75,5571.33,10381.93,34633.83,29847.83,2400.08,73753.58,7277.96,12359.83,17200.17,9133.75,11730.25,19580.5,9544,25825.83,28874,36019.5,11949.08,53488.86,31646.25,4952,4325.5,48352.08,25602.75,34999,17285.5,12285.16,58392.43,10453.18,44976,21546,33155.21,4107.33,10456.75,6445.93,12338.29,150771,59363.58,13074.08,20034.75,30098.75,5093.82,4590.75,14327.86,39102.5,20757.75,14350.86,2868.34,10599.5,31820.42,
MF0049,40643.64,8720.68,8094.935,8476.14,121101.19,52871.255,21630.095,67298.7,48720.36,32345.685,56845.11,30699.09,25123.79,80726.67,17044.995,11212.755,7011.825,35118.595,45834.035,29107.555,20118.83,97153.09,36561.46,29849.305,85525.835,55714.89,29130.83,30094.325,14713.745,67637.155,42769.06,124249.3,12498.225,9967.735,10159.905,12233.33,10283.08,23906.995,26533.87,8957.045,532.58,11399.19,42755.835,3967.745,21614.62,37288.33,20220.515,3654.88,70294.725,38000.52,17383.415,22681.725,15650.62,16996.25,11545.595,12992.875,33487.72,32099.68,56627.46,16882.78,39822.065,70311.935,8784.455,4560.665,31688.655,20284.75,35897.25,3549.415,8730.14,33072.31,16465.145,22292.75,24721.86,38558.165,6007.765,8267.775,9206.725,14255.145,81070,32072.91,14663.41,13371.4,64946.42,5461.605,5557.66,13315.255,28887.82,7567.705,19228.885,5708.325,44927.98,25450.6,
MF0006,95079.2,43671.03,2973.15,33951.85,151457.06,83858.97,89843.93,159718.15,128165.72,98952.26,126498.07,91997.96,87906.5,209906.69,43587.28,46892.05,22387.02,112041.03,120108.2,40536.65,80356.04,174903.87,68791.08,51038.5,165526.36,53890.93,73635.72,66497.65,5265.22,154274.96,79316.17,336204.34,54709.75,69266.17,24091.29,28281.37,20548.24,61901.63,235396.84,25400.8,3033.33,53410.46,104326.06,14436.08,42903.08,77827.68,57499.91,14301.18,131090.73,93437.57,14433.99,42568.07,16981.41,37343.5,62728.85,5611.6,55132.33,86570.59,101423.67,13739.38,101780.83,146800.27,21483.19,12099.49,69547.43,48398.83,70140.55,27886.5,22166.32,125300.35,45047.86,93113.8,66852.32,104147.85,2182.58,30784.91,33176.61,25747.96,159021.65,66681.77,60401.06,46025.6,92854.52,20914.1,20070.97,80827.04,66172.95,38584.45,44871.28,12601.67,105759.38,49641.96,
MF0047,8635.715,3229.715,2732.185,4824.71,79782.78,38838.59,13055.095,11441.745,9873.195,20777.855,40903.065,27920.66,22268.13,50215.275,12482.035,8037.045,4378.115,27246.765,11787.62,25010.335,7586.7,16943.78,6788.37,15257.415,9212.92,21709.31,27106.87,24203.405,4895.995,54756.66,29643.185,15966.245,10448.175,12976.36,8320.975,7206.64,7946.83,13246.66,37118.12,9700.085,560.915,4546.025,2671.42,1521.665,17938.805,18207.04,7736.3,2595.44,26705.555,31683.01,6739.83,10633.58,7985.39,8475.625,7969.095,4115.875,20205.465,13557.67,24549.87,6668.095,16791.35,60236.01,7214.455,2111.21,8777.89,7126.35,20250.875,1477.71,3158.265,25614.02,17384.19,12817.125,18056.82,34782.245,1979.1,2323.985,7335.735,7060.48,5497.875,2694.995,8234.45,1424.33,44275.84,4947.73,5465.37,25860.715,12091.71,3553.98,15326.38,3874.86,34469.37,8010.11,
MF0004,2913.62,1200.65,2685.08,2132.88,11305.89,4939.5,3232.58,4912.1,3817.14,4066.08,16924.14,8977.63,11008.18,9789.3,0,2498.75,1631.5,12169.14,6595.22,2022.37,0,2807.13,970.98,2311.47,1986.75,563.86,9559.25,6034.25,4872.75,16915.6,5574.36,7235.87,11389.35,7436.61,2127.52,1995.84,0,1037.5,43913.44,2740.03,0,1963.89,462,333.5,3229.81,4445.75,3752.9,1563.95,4447.36,12178.72,4671.5,1526.91,0,0,3558.75,4096.75,3954.53,1808.12,1389.54,4623.08,580.62,16544.65,968.75,641.18,3791.8,3278.42,0,253.25,1404.61,7155.86,5163.11,0,5716.39,12127.57,1974.37,659.92,3014.96,448.08,1161,0,3733.75,347.28,2056.25,1698.64,2023,12391.22,4161.78,955.05,3207.62,1223.65,12835.28,2011.07,
MF0048,140972.23,33474.53,8319.04,22409.7,126154.58,56467.93,66321.78,257158.56,189710,79016.71,99368.41,60391.44,59069.92,230311.92,30574.24,39774.59,18457.48,62241.64,178990.35,37499.72,69117.57,302828.18,116809.68,54179.44,303979.84,83894.01,38233.91,52239.73,15062.91,83621.39,56669.51,526224.29,23577.95,44654.11,16874.51,25113.35,15904.41,34531.24,47518.27,14538.06,1272.58,48723.24,165831.09,13305.83,30221.63,87306.08,73371.87,8549.43,168637.67,50165.05,24557.33,50083.5,17728.48,30846.5,37107.44,15085,50293.49,104189.47,118890.7,22692.03,91870.41,96792.12,13282.66,11917.91,108566.73,59091.53,54829.67,12229.17,27618.84,83575.01,29670.85,62711,52696.5,62683.75,6240.12,38402.05,20882.17,26067.05,301538,122274.99,39818.15,40506.3,77599.68,13631.9,13747.99,34600.04,86711.89,21276.33,22834.14,11244.4,56430.96,69076.9,
MF0001,2815.9,1308.85,26.58,1604.12,11850.98,10039.5,3302.41,4097.23,4902.64,4572.25,12173.97,9660.78,10764.89,13700.53,3295.58,2494.25,1588.25,11109.64,6473.89,12021.15,1663.08,3862.28,1774.76,1943.04,2078,712.11,10018.58,6618.33,14.83,16635.98,5809.61,8429.15,7352.6,7456.11,1979.09,1652.78,1836,1173.83,37414.97,2761.86,164,2077.31,698,577,3656.33,5177.75,3727.43,1603.55,5368.19,11254.12,652.83,2185.06,564.95,3192.75,3906.5,7,4695.94,2568.07,2113.49,683.31,615.99,11773.35,1268.5,722.31,2554.95,2809.02,3287.58,668.5,1562.44,7145.78,5742.78,2354.25,5660.89,13032.19,1,720.67,2355.35,613.91,1188.75,528.5,4016.75,2236.46,5222,1700.06,1969.25,12597.39,4099.63,1316.78,3288.07,896.27,9456.63,2980.37,
MF0045,2662.69,10340.89,3989.125,7040.295,14866.75,9140.92,3617.02,3594.58,3512.82,5276.51,11794.16,9605.09,8552.635,16111.005,3627.73,4005.4,2821.65,8740.33,6788.08,6919.665,1898.5,5727,3257.77,2349.23,2133.25,9701.75,10377.245,7290.345,7278.625,15043.315,6712,8565.205,7075.95,7364.23,3367.195,2584.335,2042,4562.375,24856.735,4967.42,596.965,4117.99,526.9,537.5,4752.7,5478.75,3469.23,981.615,7411.665,10753.59,6295.5,4038.5,2688.75,2329.5,2349.005,6136,6153.505,2552,3174.42,6314,621.33,15723,2425.415,792.055,2743.04,4202.71,6157.875,507.585,1822.825,8208.75,6443,2158.9,6066.87,14608.37,2960.75,913.835,4313.905,708.42,1561.95,814.065,2480.215,11249.53,14467.42,3143.44,2921.915,16575.69,4509.79,1296.505,10539.825,1075.005,10472.33,4047.295,
MF0089,1076.875,308,1334.125,593.09,14663.51,6421.715,554.91,1733.625,486.715,1701.795,5875.875,3552.045,1663.035,2332.465,3055.41,578.25,560.365,3293.035,486.5,5805.66,1899.99,5767.955,734.885,649.125,2112.17,9664.875,4159.08,3791.365,2427.205,10639.33,6370.33,306.195,899.625,222.215,1379.795,956.715,1607.955,4802.035,101.955,973.25,0,466.67,287.295,202.5,3014.885,1648.75,479.67,64.875,4388.285,4734.305,2351.83,1129.375,2791.08,1408.625,325.635,2046,4454.67,3106.83,2459.09,2369.41,529.26,10910.5,329.33,313.74,1001,927.285,6174.125,141.045,257.83,203.25,2211.92,130.625,3647.09,5844.965,987.25,268.795,720.68,497.545,1457.125,137.83,304.035,317.785,5736.59,743.125,324.205,1320.715,1615.125,914.34,1710.5,456.85,5120.41,1660.33,
