#OTU ID,Mouse5A.FP28,Mouse3A.FP16,Mouse5A.FP26,Mouse7A.FP40,Mouse1A.FP05,Mouse6A.FP32,Mouse3A.FP17,Mouse7A.FP38,Mouse1A.FP02,Mouse2A.FP11,Mouse3A.FP18,Mouse6A.FP31,Mouse4A.FP22,Mouse1A.FP03,Mouse4A.FP23,Mouse1A.FP01,Mouse6A.FP35,Mouse2A.FP07,Mouse3A.FP13,Mouse1A.FP06,Mouse1A.FP04,Mouse2A.FP12,Mouse2A.FP10,Mouse7A.FP42,Mouse7A.FP41,Mouse3A.FP15,Mouse4A.FP20,Mouse5A.FP29,Mouse6A.FP34,Mouse6A.FP36,Mouse2A.FP09,Mouse5A.FP25,Mouse5A.FP30,Mouse7A.FP39,Mouse4A.FP24,Mouse3A.FP14,Mouse4A.FP21,Mouse2A.FP08,Mouse7A.FP37,Mouse6A.FP33,Mouse4A.FP19,Mouse5A.FP27,Mouse10A.FP110,Mouse10A.FP109,Mouse10A.FP111,Mouse9A.FP97,Mouse9A.FP98,Mouse8A.FP87,Mouse8A.FP85,Mouse10A.FP113,Mouse9A.FP102,Mouse9A.FP101,Mouse10A.FP112,Mouse8A.FP90,Mouse10A.FP114,Mouse8A.FP86,Mouse9A.FP99,Mouse8A.FP89,Mouse9A.FP100,Mouse8A.FP88,taxonomy
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_NK4A136_group,16,94,262,408,72,943,231,722,2603,20,321,820,0,684,0,3630,112,551,765,20,103,43,41,49,73,508,1342,201,36,30,2171,42,34,874,2,398,1850,1186,275,933,1118,0,294,347,972,3050,2489,3291,5198,243,428,369,2365,73,119,7849,3807,934,83,58,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-001,8,18,23,125,100,3359,48,2194,9433,26,29,2129,0,1570,0,2875,51,1273,246,42,85,19,25,18,13,341,93,15,19,14,755,6,32,1575,0,264,68,1634,159,843,18,8,10,30,57,5143,3007,7771,4512,7,315,332,87,148,18,5656,18572,2374,143,164,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-004,0,0,11,0,3,9,0,4,27,0,0,9,0,20,0,44,3,10,12,0,0,0,0,0,0,21,8,17,0,0,36,3,0,9,0,15,30,15,0,25,22,0,2,5,5,33,23,23,5,0,5,8,9,0,0,19,66,5,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-006,20,34,21,69,227,97,20,148,219,45,26,44,0,51,9,253,82,41,55,71,44,26,31,98,81,106,291,30,121,86,130,9,55,105,43,80,247,66,46,86,165,19,20,28,168,31,36,125,67,132,267,149,294,38,197,45,119,42,34,14,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-010,0,0,0,0,0,3,0,0,7,0,3,3,0,0,0,5,0,3,3,0,0,0,0,0,0,0,9,2,0,0,7,0,0,4,0,0,17,4,0,4,8,0,0,5,2,4,2,0,4,0,0,0,3,0,0,9,0,2,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Marvinbryantia,0,0,3,0,4,7,0,5,5,3,0,8,0,0,0,8,4,12,10,0,0,0,0,3,0,7,11,11,0,4,23,4,0,4,4,21,21,11,5,12,11,0,2,8,4,6,4,11,5,0,6,4,18,2,0,9,8,4,1,3,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia,0,90,203,115,0,1174,66,2007,281,8,55,1146,0,248,0,303,20,416,991,0,0,12,13,13,23,625,2403,111,25,0,867,80,19,817,6,451,1417,1667,370,652,943,0,39,144,981,146,226,1476,1364,49,63,51,1329,5,225,484,2673,292,25,12,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Tyzzerella,0,0,0,4,0,11,0,17,11,0,4,13,0,0,0,8,0,6,19,0,0,0,0,0,0,9,4,3,0,0,9,0,0,5,0,12,0,13,5,20,0,0,5,15,11,23,13,1,4,2,3,3,7,0,2,26,5,3,1,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptococcaceae;g__,0,18,283,0,0,0,9,3,6,0,9,0,0,32,0,5,0,96,218,0,0,0,0,0,0,280,470,213,9,0,634,50,11,4,0,222,491,288,1,8,763,0,21,19,67,105,69,38,274,4,2,0,182,1,12,244,124,28,1,1,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__,0,15,70,10,6,123,11,81,76,2,21,218,0,125,0,81,14,63,209,0,0,0,6,0,2,272,79,210,2,0,212,28,0,153,0,231,97,68,37,692,103,0,142,400,162,43,50,79,120,51,12,7,303,0,47,53,82,8,2,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Anaerotruncus,0,0,0,0,0,38,2,10,35,0,4,9,0,0,0,36,0,12,7,0,0,2,0,0,0,20,17,9,0,0,18,0,0,3,0,8,18,22,0,34,8,0,10,9,34,25,17,17,10,0,0,0,37,0,0,23,25,3,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Angelakisella,0,0,7,2,0,14,2,5,0,0,8,10,0,0,0,0,2,17,12,0,0,0,0,0,0,30,27,7,0,0,51,0,0,7,0,23,37,28,0,25,34,0,0,0,0,154,145,101,119,0,8,7,0,0,0,161,157,21,5,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Butyricicoccus,0,8,2,8,28,43,8,6,109,18,36,15,0,54,0,157,45,32,26,2,4,6,5,12,5,126,20,31,21,14,88,0,9,15,4,42,64,37,0,28,42,0,6,18,27,42,52,213,221,4,70,12,153,29,27,174,51,111,18,11,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Flavonifractor,0,0,3,3,0,0,0,6,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,8,0,0,5,0,0,0,0,2,2,0,5,9,0,0,0,3,0,0,4,2,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__GCA-900066225,0,0,6,0,0,18,0,12,15,0,0,16,0,0,0,12,0,3,0,0,0,0,0,4,0,6,4,6,0,0,21,0,0,14,0,8,19,11,3,34,12,0,1,1,1,11,5,11,3,0,6,0,10,0,2,10,21,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Harryflintia,0,0,0,3,0,32,0,19,89,0,0,17,0,40,0,93,0,13,17,0,0,0,0,0,3,15,109,0,0,0,15,4,0,13,0,6,109,12,10,21,80,0,4,5,14,10,19,32,20,0,0,0,5,3,3,17,27,11,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Hydrogenoanaerobacterium,0,0,5,13,3,50,17,101,146,5,19,67,0,13,0,68,4,48,37,0,0,4,3,3,3,28,135,4,4,0,85,3,3,63,0,30,124,144,20,116,257,0,70,24,431,155,79,65,51,0,2,0,41,0,11,56,248,11,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Intestinimonas,0,17,672,37,11,294,25,268,488,0,30,178,0,226,0,985,15,131,143,0,0,0,0,4,3,304,679,629,6,0,847,99,0,558,0,189,1135,250,116,751,732,0,336,139,762,262,266,565,269,11,40,22,842,9,52,406,421,79,8,5,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Oscillibacter,0,18,48,24,3,151,51,145,509,7,60,199,0,143,0,1102,12,216,152,0,7,14,9,5,4,213,574,76,9,3,1189,0,0,225,0,152,787,401,49,460,600,0,83,58,244,629,556,937,1760,3,16,22,269,3,20,1456,967,190,30,14,
