id	KO	Vil1.01B.FP11	Vil1.03B.DTT35	Vil1.03B.FP35	Vil1.01B.DTT11	Lyz2.07B.FP283.S81	Itg.24.DTT531.S26	Vil1.10B.FP116	Itg.04.DTT423.S15	Lyz2.06B.FP271.S69	Vil1.05B.FP59	Vil1.08B.FP92	Vil1.02B.DTT23	Itg.20.FP507.S10	Lyz2.06B.DTT271.S113	Vil1.04B.FP47	Lyz2.02B.DTT223.S63	Lyz2.05B.FP259.S56	Itg.22.DTT519.S14	Lyz2.04B.DTT247.S88	Vil1.09B.FP104	Vil1.13B.FP152	Itg.26.DTT543.S39	Vil1.14B.FP164	Itg.24.FP531.S34	Vil1.010B.DTT119	Vil1.05B.DTT59	Vil1.07B.FP83	Itg.26.FP543.S47	Vil1.08B.DTT95	Itg.18.DTT495.S90	Itg.12.FP471.S73	Itg.20.DTT507.S2	Itg.12.DTT471.S65	Lyz2.03B.DTT235.S75	Itg.10.DTT459.S53	Itg.08.DTT447.S40	Vil1.09B.DTT107	Vil1.014B.DTT167	Lyz2.08B.DTT295.S137	Itg.06.DTT435.S28	Vil1.06B.DTT71	Itg.04.FP423.S23	Lyz2.04B.FP247.S44	Lyz2.01B.FP211.S59	Vil1.06B.FP71	Vil1.07B.DTT83	Lyz2.01B.DTT211.S51	Lyz2.08B.FP295.S93	Lyz2.03B.FP235.S83	Lyz2.07B.DTT283.S125	Itg.10.FP459.S61	Itg.02.DTT411.S3	Itg.16.FP483.S86	Lyz2.02B.FP223.S71	Itg.02.FP411.S11	Itg.06.FP435.S36	Vil1.02B.FP23	Itg.22.FP519.S22	Lyz2.05B.DTT259.S100	Vil1.04B.DTT47	Itg.08.FP447.S48	Vil1.013B.DTT155	Itg.18.FP495.S98	LYZFP307	LYZFP331	SLCFP131	SLCFP023	SLCdtt005	LYZFP355	LYZFP319	SLCFP005	SLCFP053	SLCFP095	SLCdtt095	SLCFP077	LYZdtt367	LYZdtt319	SLCFP113	SLCFP071	SLCdtt113	LYZdtt355	LYZdtt343	LYZFP343	SLCdtt077	LYZdtt307	LYZdtt331	SLCdtt053	SLCdtt167	SLCdtt149	SLCFP167	SLCFP149
K01482	K01482	103	28	28	2	74	0	29	0	25	55	22	2	36	0	353.5	4	15	0	38	5	12	1	40	0	0	0	204.5	2	0	1	21	0	2	5	0	23	0	15	0	1	0	1	5	10	189.5	0	318	30.5	69	30	22	0	140.5	65	2	8	68.5	42	12	10	26	0	1	321	71.5	29.5	0	0	37	274	5	12.5	0	0	12	67.5	8	0	11.5	0	14	2	56.5	3	61	19	5	5	34	74	72
K01483	K01483	405.5	259.75	415.25	200.75	163.25	235	490.25	306	396.5	4455.75	1220	246.5	82.5	338.25	110.75	57.75	91.75	83.25	455.25	794.25	104.5	473	473	11	5890.5	2175	334	375.5	4415	264.25	205	171.75	61.25	123.75	103.5	309.5	4889.25	279.75	74	189.75	3151	15.25	57.5	114	661	1810	3225.25	151	235.75	638.25	42.5	20	334.25	297	108	21	99	19	99	442.25	53	483	1	1508.5	824	223	9	57.25	225.75	427.25	53	126	6	3	43	555.75	148.25	54	83	61	166	110.25	1731.5	143	894.25	325.5	42.75	336.25	142.25	1357	281.25
K01484	K01484	3.5	211.75	75.25	121.75	1.25	152	4.25	69	4.5	11.75	0	165.5	2.5	63.25	1.75	23.75	0.75	34.25	69.25	1.25	61.5	352	2	3	5852.5	2175	0	3.5	4408	106.25	0	64.75	13.25	38.75	21.5	101.5	4863.25	184.75	26	62.75	3140	2.25	1.5	3	15	1810	2603.25	7	1.75	409.25	1.5	12	2.25	0	0	0	4	0	32	402.25	0	483	0	85.5	88	0	0	40.25	27.75	42.25	52	0	0	0	0	44.75	87.25	0	0	9	62	54.25	93.5	13	195.25	106.5	3.75	0.25	0.25	1	5.25
K01485	K01485	390.75	1087.7	18606.05	966.8	179.25	19160.2	1617.5	6957	4488.75	11207.95	26.5	2026.5	7424.7	2884.95	2753.6	62.35	2722.75	5713.25	6066.05	182.25	195	3469.4	2309	36109	7738.25	2197.4	4	6903.3	4410.5	5486.25	7324.6	2526.5	2607.25	3078.5	4850.55	5136.75	5148.25	8245.25	93.5	1847.55	3140	12645.8	8091.65	830	737.7	1810	3175.65	196	11204.35	541.55	17616.9	6904.65	986.25	643.95	25776.8	3191.25	6129.2	18680.8	2467	1954.6	8440.8	496.25	10779	13029	932	982.4	811.2	3469.45	325.85	83024.8	5811.95	3735.6	13925.6	4857.4	474.6	423.9	9520.3	314.2	3290.8	1799.9	3547.9	13761.05	2070.2	826.05	19256.15	1043.25	2758.15	13642.7	1309.45	12095	254.45
K01486	K01486	19372.5	1750.87	10987.72	2305.13	12350.5	13805.62	25555.67	7082.59	10316.83	6354.12	19073.92	9106.08	46930.78	6934.12	23145.6	1151.77	4831	4792.42	11948.22	28437.58	8912	23454.48	20248.25	25324.25	7367.83	2251.15	18155.08	21553.97	4479.5	8298.83	25853.43	6831.08	7958.33	5224	14482.22	13192.5	5827.5	2442.58	1090.25	6245.3	3152.5	4902.55	11819.4	5369.58	33915.53	1834.75	5430.9	6018.5	20434.1	2292.13	32286.31	2904.48	43366.66	7608.95	43410.13	16361.75	25421.95	14552.38	7107.67	2940.93	18185.55	1532.25	13494.58	20335.17	131939.42	11176.9	7854.7	10413.2	22168.85	9490.55	23455.2	11937.1	1316.1	463.65	3854.1	7914.07	1515.72	4042.45	9704.55	11855.65	5985.07	17770.47	29769.2	2147.38	13411.82	22553.25	4075.9	18779.45	46237.78	13528.5	37770.78
K01487	K01487	7287.5	489.5	492.75	709.5	5173	443.5	3029.5	1246.5	1781.25	1052.75	8426	1600.5	23254	811.75	4838	257.25	440.75	244.5	2070.75	3724.25	7947.75	743	2591.25	115	5932.25	2192.25	4620.5	1282	4429.5	1897	1214.5	2275	354.25	492	206.25	927.5	4954.25	674.5	419	1524.5	3151	49	344.25	207	13418.5	1811	3503.75	2327	1222.25	1179.25	307	155.75	13789.75	1240.25	1413.5	7355.75	4087	970.5	470.75	658.5	507.5	1009	94.5	9089.25	261.5	4867	251.5	597.25	55.25	3326	717.75	5901	178	61.5	120.5	1894.75	552.75	1184	2416.5	1093	176.25	289.5	369.75	315.75	7172.25	471.25	902.25	2335.5	8053	612	11752.75
K01488	K01488	44144.75	4651.75	57834.5	23191.5	16920.25	25450	9079.75	94742	13797.75	87859.5	14168.25	14019.5	56133.75	11434.75	32273.5	37033.5	2480.75	26638.75	26690	6851.25	42145.5	10359.75	18587.5	69551	12145	2742	23927.75	34413.75	5185.5	15233.75	38877.5	15502.5	17037.5	40446.25	40566.25	22466.5	8514.25	8442.25	6398	53306	3266	172060	21446.75	121505.5	27472.25	2154	24663	21467	106961.25	3051.5	80395	28376.75	26605	112702	77534.5	44999.5	32731.5	82681.75	3092.25	4466.5	34766.5	25774.25	59032.5	37478.25	9956.25	24957.25	4780.5	19349.5	22834.75	52591	60439.5	24218.75	80861	27140.5	30689.25	15296	16900.25	4041	33514.5	19065	45266.25	12018.75	85107.5	43609	71571.75	5605	20754.25	112661	134265.5	24398.5	31780.5
K01489	K01489	14272.91	2103.14	14903.08	3869.59	7060.5	2608.11	29116.39	12186.89	6023.26	11590.99	59674.84	6459.33	34472.32	5752.32	9692.51	5556.64	2705.33	2783.22	7721.59	33951.76	29229.48	21167.68	30232.41	3412.25	6575.14	2198.65	11753.2	15853.06	4471.04	6939.96	6719.43	6713.33	3202.62	4328.56	2410.01	7437.79	5738.95	2706.68	1765.68	7736.97	3151	4629.55	994.41	3418.41	33702.27	1815.75	6901.58	5109.62	5655.44	2852.95	7089.63	3727.35	23966.49	5711.36	47206.25	14510.09	15682.87	3877.28	4785.93	2923.68	2679.72	1622.26	1248.37	21389.01	120554.78	9834.9	2161.28	2394.7	5008.93	11865.89	1565.28	9134.13	509.85	283.67	1593.6	24881.72	1984.57	2950.2	5771.39	2755.23	8387.85	15983.84	9156.75	4066.96	16906.78	22885.58	7923.18	17589.73	20240.65	8911.49	14374.41
K01491	K01491	59777.58	7088.14	85185.91	26600.26	23082	56022.19	44675.72	129578.31	31153.84	115020.32	59766.42	23274.75	88433.07	22409.82	73581.18	42837.39	11108.58	48489.64	38644.42	45333.59	102251.4	37232.1	63478.58	145340.5	15730.06	2799.65	41896.62	72549.56	5266.87	37050.46	82011.43	24425.58	27674.37	47624.06	57758.01	44042.79	10411.2	23621.43	8047.6	64605.14	3279	244036.3	30455.16	130196.66	59136.27	2182.5	29669	27186.62	125110.69	5537.7	143330.88	53975.35	61533.24	122896.36	211095.25	61053.09	65411.95	158348.03	15112.51	9489.18	66780.97	44010.18	129771.12	71110.09	144139.86	43754.73	13717.28	29825.62	49754.26	147289.97	102044.36	46618.46	152236.68	42534.75	34577.1	42122.47	27960.57	7844.45	55185.47	28213.31	54423.1	31130.51	118697.83	48675.79	102866.11	34464.91	42990.6	146781.98	193755.4	65524.32	56756.24
K01492	K01492	38	93.03	27.86	23.29	111	68.4	1208.4	233.4	68.43	59.2	811.26	284.49	217.29	192.2	50	3.29	44	36.63	205.37	1041.86	22640.23	65.86	622.31	1	28.06	0	98.71	160.94	0.29	112.63	83	265.34	28.37	6.57	30.37	180.71	17.37	95.6	24.43	141.43	0	3	12.43	7	610.26	0	104.43	29.29	15	294.49	6	3.29	55	14	37.29	33	74	7.57	44.43	14	15	388.26	1.29	237	33.11	16	2	26	19.83	121.17	2	34.2	1	7.6	7	333.31	62.77	21	6	12	82.11	76.71	76.31	98.4	621.63	188.57	46.11	858.03	88.69	10.49	43.29
K01493	K01493	58523.83	6759.19	83248.86	25499.71	22744	45691.99	42374.47	109526.31	26003.84	103992.87	59550.42	20961.75	78261.37	20300.37	56218.83	42720.04	10927.83	34624.64	37817.37	43800.34	73340.65	34217.7	52184.83	108598.5	9097.56	601	39623.62	59624.26	858.87	29251.46	62587.83	21276.83	23047.12	47473.31	47212.71	37324.04	5028.95	18436.43	7981.6	62769.34	139	188556.25	30368.26	128532.66	54908.57	372.5	26158.35	26786.12	124702.34	4904.15	107943.98	39208.95	55081.99	122158.16	151464.45	59417.09	56937.75	106996.23	14914.76	6513.33	52070.17	26559.43	81070.12	70416.34	143297.86	32717.33	12216.08	23911.17	49285.91	146704.92	67336.16	32627.86	95963.08	32441.35	33092.5	41476.57	27679.27	6509.25	42047.67	22777.91	50779.45	17257.21	116724.38	48113.99	100973.46	33493.41	31335.45	144950.53	160322.2	51866.32	52271.79
K01494	K01494	382.75	265.75	474.25	145.75	174	246	1195.25	317	267	4450.25	432	223.5	592.5	179.25	751.75	53.75	128.75	83	128.25	1174.75	1223.75	430	625.75	45	5886.5	2192.25	2544	171.5	4408	395	309	207.75	93.25	57.75	75.5	272.75	4929.25	330	41	196	3140	205.25	18.5	38	2418	1810	2666.25	161.5	135.75	489.75	240.5	51	661.25	151	236	314	381	287	110.75	444.25	153	664.75	298	1031.75	816	673	195	170.25	461.75	760.25	366	552	38	18	58	413.5	132.5	62	219	35	143.25	108.5	1905.25	86	1183.25	163.5	448.75	85.25	4608	2559	219.25
K01495	K01495	14336.41	1947.19	21763.03	3080.29	7011.5	19804.91	13930.14	15109.39	9639.26	16646.87	36021.59	5846.83	38925.37	6351.62	12238.91	5244.29	4853.83	7288.72	10231.54	11876.26	32049.48	22474.53	15579.41	38394.5	8075.39	2208.25	11179.2	14463.76	4455.04	10256.46	12410.33	6181.83	5357.87	7129.98	6013.71	10258.37	5504.95	9735.68	1704.43	8057.42	3151	16022	8898.01	3596.41	26620.24	1815.75	6100.18	4751.12	16748.84	2439.82	21600.23	8581.45	23723.74	5624.16	34970.45	17374.34	19723.67	22084.98	6010.68	2006.08	10632.42	1718.26	11722.62	33438.51	4704.45	10684.25	2342.58	4724.75	5149.08	94325.34	7238.33	12143.78	14263.75	4995.27	1770.25	22729.49	10950.19	2601	8272.09	4346.83	5004.78	1893.04	9157.47	3901.91	32907.8	7704.08	9444.78	29994.53	20094.03	19787.24	14357.46
K01496	K01496	7615.42	474.5	2128.33	671.17	3827.75	367.58	7194.33	2043.42	3496.08	8723.83	6286.58	1532.42	6733.75	1374	17006.67	871.25	3838.75	637.17	802.83	7169.83	6696.67	17346.42	6715.42	1700.5	390.92	0.75	13292.17	6799.75	35.83	4647.75	11743.5	1055.25	875.25	465.5	772.5	4663.25	415.25	735.5	323.67	2144.92	2	2026	328.25	3431.75	13627.25	23.75	1318.67	2403	2172.25	534	4816.25	639.5	18483.75	4590.75	3339	5266	6613.08	3927.5	5590.83	1283.5	7233.75	1946.17	11045	7875.58	16368.33	4050.33	5412.5	563.42	22451.58	5266.33	1586.08	2354.83	900.33	399.08	722.5	4541	580.25	508.25	2463.08	667.08	2214.25	3643.92	30598.58	327.83	1720.58	7722.58	3203.42	4632.75	15025.5	14400.08	17886.83
K01497	K01497	4.5	217.75	381.25	121.75	2.25	152	12.25	81	5.5	4201.75	4	167.5	2.5	63.25	2.75	25.75	0.75	34.25	69.25	14.25	61.5	352	2	4	5852.5	2175	4	4.5	4408	122.25	0	64.75	18.25	38.75	21.5	114.5	4863.25	186.75	26	69.75	3140	3.25	1.5	4	140	1810	2603.25	8	1.75	409.25	2.5	12	2.25	1	0	1	5	1	32	406.25	0	483	1	86.5	750	1	1	40.25	201.75	57.25	52	0	1	0	1	44.75	87.25	0	5	9	62	54.25	1603.5	13	195.25	106.5	11.75	1.25	1.25	1352	5.25
K01499	K01499	4.25	0	0	0	2.75	45	0	0	2.5	5.5	0	0	0	0	0	0	0	14.75	0	4.5	1137.25	0	9.75	0	0	17.25	0	0	0	47.75	0	24	0	0	0	22.25	21	45.25	0	21.25	0	0	0	0	0	0	0	3.5	0	31.5	0	0	0	0	0	0	0	0	19.75	0	0	178.75	0	2.25	4	0	0	0	0	1	0	0	0	0	0	0.75	9.25	0	0	0	0.25	0.25	0.75	0	548	2	0	0	3261.75	0	0
K01501	K01501	214.25	78	171	274	6.75	80	733	249	10.5	415.5	184	445	90	46	105	304	193	155.75	185	516.5	2464.25	125	512.75	13	57	17.25	176	258	0	278.75	64	88	111	117	101	209.25	90	124.25	39	232.25	0	15	17	87	410	0	105	10.5	68	91.5	79	168	399	42	63	101	44	17	408.75	296	5	1815.75	62	370.25	107	1228	305	142	182	289	528	199	38	170	0	236.75	63.25	73	318	356	86.25	208.25	110.75	18	771	497	889	473	5237.75	812	4
K01505	K01505	0	30	36	0	0	0	1752	92	22	16	0	0	12	24	32	0	0	0	0	1522	0	0	10	0	14	0	0	0	0	6	0	6	0	0	0	34	12	6	0	8	0	0	0	0	14	0	0	10	0	0	10	0	26	0	6	6	0	6	0	24	10	0	0	0	0	0	40	14	0	0	0	24	50	26	0	0	0	48	0	0	0	0	0	0	0	0	0	2	8	2	4
K01507	K01507	3165.5	1109.92	5874.42	588.08	3316.75	1189.92	19522.92	3245.59	1963.08	8094.42	7435.92	2830.58	1629.08	2332.42	12922.25	940.67	3548	871.17	1187.92	24386.08	3151.75	18326.58	17854.5	2236.75	6451.58	2193	10185.08	8294.67	4425	3434.58	11919.83	893.83	928.83	579.75	928.17	4735.5	5664.5	1424.33	293.25	2593.25	3141.5	2984.5	96.25	3402.08	11070.33	1816.75	3443.5	1545.5	622.5	1162.83	6539.91	2230.83	13982.16	4922.5	37939.83	3566.5	6344.75	2159.58	5243.42	1545.58	6654.75	2327.75	9929.58	3451.42	131235.42	2281	5301.5	680.5	22294.25	2289.5	1291.75	1309	934.5	451.75	211.5	3149.67	507.42	843.25	1946.25	640.75	2240.42	3633.42	29638.25	599.83	3041.92	19225	1948	4621	11012.83	9981	8535.58
K01512	K01512	55661.41	5895.74	78095	23581.67	22090.75	44584.09	19986.07	104989.4	24659	103431.67	33308.16	16876.26	73704.5	16471.75	53279.66	37477.08	8942.83	32687.67	35238.5	18399.57	39111.75	31080.84	30759.35	107310.25	14330.25	2776	36741.16	49992.4	5228	25920.25	58462	18965.41	20444.42	43950.74	45684.42	32162.33	9130.83	17363	6938.75	57772.49	3268	186437.25	30069.83	125974.58	45057.23	2177.75	25791.25	25976.33	120747.84	3763.58	102659.07	35650.58	48197.58	118681.16	107384.83	55124.34	49077.42	105257.33	10518.83	5596	50795.92	24210.5	80213.25	62824.84	26541	27883.75	10434.33	23122.25	44991.25	142388.92	66282.58	29935.08	95806	32131.92	32030.75	23157.09	26926.58	5234.25	37980.09	20997.08	47513.67	15570.41	116234.74	45204.18	95290.08	13168.51	24068.67	134101.75	148168.43	46826.5	50098.34
K01515	K01515	59334.08	6904.04	82758.63	24954.64	27959.75	46101.52	36492.3	109185.47	25046.33	101054.9	77416.89	21250.13	97521.7	18677.15	54243.43	38257.68	9013.83	33763.54	39568.43	40967.9	61714.22	32753.91	50752.12	108074.75	14702.62	2782.4	39508.83	60512	5246.83	27488.45	59360.1	23391.11	21012.72	44854.24	46524.52	33992.83	9670.13	18439.1	7074.92	60003.96	3278.5	187659.55	30489.23	126554.08	50487.83	2160.75	27282.82	26156.33	121153.94	5173.08	104931.47	37611.48	45965.08	120269.86	144245.13	60050.84	53051.95	105600.63	10742.66	7214.1	50600.22	26351.07	79621.25	62716.67	141287.73	34798.48	10939.53	24062.12	44911.08	141903.65	67101.11	38329.71	95989.93	32438.25	32113.35	25525.59	27398.08	5679.45	42895.22	21405.81	51235.47	29833.88	114436.87	46338.71	100680.51	26812.34	25205.64	137212.55	150885.03	42971.53	54748.87
K01520	K01520	58692.16	6667.39	76887.33	26260.59	22807.25	46264.86	41691.14	109498.14	26100.01	108143.74	58625.84	21401.08	78425.32	20387.82	56009.01	42759.14	11030.58	34895.22	38299.84	43000.26	68215.48	34654.68	52177.16	108685.75	14936.64	2782.4	41811.95	59540.56	5259.54	29319.21	62659.43	22113.08	23113.12	47517.81	47571.01	37793.29	9893.2	18672.18	8010.18	62607.47	3279	188738.05	30410.16	128593.16	56387.27	2182.5	28826.83	26826.62	124755.69	5275.2	107506.38	39261.35	55489.99	122199.86	151642.25	59666.84	57168.12	107237.03	14973.18	8068.18	52213.97	26770.76	81216.37	70667.51	144032.53	33341.15	12315.28	23302.7	49675.18	147054.39	67672.28	32908.38	95964.35	32441.42	33069.35	41818.22	27887.07	6517.45	41462.14	22801.98	54170.35	30981.59	118497.5	48032.21	101536.53	34285.58	32122.93	144834.48	161332.4	54297.24	50859.16
K01521	K01521	3.5	211.75	75.25	121.75	1.25	152	4.25	69	4.5	11.75	0	165.5	2.5	63.25	1.75	23.75	0.75	34.25	69.25	1.25	61.5	352	2	3	5852.5	2175	0	3.5	4408	106.25	0	64.75	13.25	38.75	21.5	101.5	4863.25	184.75	26	62.75	3140	2.25	1.5	3	15	1810	2603.25	7	1.75	409.25	1.5	12	2.25	0	0	0	4	0	32	402.25	0	483	0	85.5	88	0	0	40.25	27.75	42.25	52	0	0	0	0	44.75	87.25	0	0	9	62	54.25	93.5	13	195.25	106.5	3.75	0.25	0.25	1	5.25
K01523	K01523	3024.75	373.5	1576	426	3057.75	200.25	5770	1215.75	989.75	6895	2077.25	1096.75	1132.75	607.5	12571	667.75	2891.25	257	513.5	6275	1429	16705.75	5576.75	1257.5	247.25	0.75	9716	3825.25	5.5	3268.75	10305	502.25	583.75	337.5	592	3562.75	329.25	533.5	160.5	1472.25	2	1829.5	56.25	2958.25	9158.75	6.75	836.5	1070.5	364.25	388	4030.75	205	13164.75	3951.25	306	3117.5	4212.75	1863	4029.5	1058.5	6214.25	1658.5	9913	1947.75	15229.5	2083.5	4655	437.25	22120.75	1976.5	1198.75	984	861.5	367.75	137.5	1785.5	270.25	184.25	982.75	448.75	1997.75	3236.25	29209.25	246.5	1226.25	5102.75	1501.75	4086.25	7330	9941.25	8410.5
K01524	K01524	45412.33	7316.37	109764.22	24670.25	14111.75	79634.74	24341.72	132262.56	30091.27	126646.7	41801.53	18199.29	69237.91	21387.37	58413.08	41878.08	11915.08	54666.57	38793.94	17487.7	95940.58	20420.31	47577.79	191153.5	23833.92	4982.25	28498.83	64975.15	9614.66	42031.14	71457.83	22712.47	24952.94	48951.8	52186.03	40259.08	14979.27	37243.43	7177.03	61920.02	6418.5	262313	34994.69	126566.91	36904.85	3967.75	30513.78	21934.41	128374.59	4505.61	146134.23	64891.99	31481.74	117432.16	220046.74	53918.34	54276.5	181567.8	13061.19	8253.58	65575.92	43815.04	138088.41	79553.59	11399.74	38991.83	7589.58	26578.42	27957.09	303607.24	90925.66	47042.36	178796.58	51801.1	31785.5	34900.2	45004.01	4932	54120.42	20497.16	47347.24	13290.67	87238.51	48095.74	129246.31	11448.98	44404.91	155133.96	162067.32	76036.36	25468.58
K01525	K01525	216.5	296.75	259.25	395.75	5.25	193	740.25	348	15.5	426.75	301	613.5	96.5	127.25	108.75	333.75	193.75	180.25	452.25	518.25	1442.5	481	957	16	5909.5	2175	177	417.5	4408	405.25	64	156.75	127.25	157.75	125.5	292.5	4932.25	268.75	65	279.75	3140	17.25	18.5	91	464	1810	2708.25	15	69.75	479.25	83.5	180	401.25	44	65	103	50	17	422	698.25	8	2136	64	486.5	207	1228	305	182.25	209.75	330.25	580	199	38	170	0	308.75	141.25	73	318	365	148	320.25	224.5	46	493.25	647.5	892.75	477.25	2015.25	813	15.25
K01531	K01531	2036.5	1045.25	12171.25	1080.25	610.75	33705	4445.75	27970	12255	7945.75	394	9382.5	17464.5	7983.25	17162.25	409.75	274.75	20018.75	13585.25	999.25	30436	27187	11513.5	83481	8251	2209.5	220	35266.5	4413	9718.75	42562	4814.25	17646.25	8020.25	36164	19804.5	5478.25	6621.25	570	4596.25	3140	61283.75	21696	4547	2991	1810	4075.25	1126	32201.75	1200.25	85807.5	15178.5	6721.25	2684.5	60234	2741.5	30147	68893	559.5	1785.75	35016	17820	53773	1700	2513	10586	5375	23882.25	289.75	2347.75	77322.5	13685	56567	10205	7577	1261.75	695.25	4080	20211	25031	2146.5	502.75	5088	3139.5	3583.25	1372	11016.75	24504.75	64426.75	13656	12236.25
K01533	K01533	54256.66	5155.94	63996.28	24693.54	19288.5	23057.41	20745.39	80760.39	15811.26	96969.62	40094.59	13833.83	61754.87	13324.87	26492.16	42369.04	7762.58	17250.22	29358.29	17685.51	45248.73	26001.53	23209.16	47038	7020.39	583	32000.2	27501.76	830.54	17415.46	20336.33	16972.58	11347.62	43431.73	23381.21	20292.62	3828.2	11715.18	7622.43	57456.42	137.5	126373.75	19373.51	122495.41	40759.74	365.75	24971.93	24620.62	108205.59	4117.57	40575.23	22402.45	36068.49	116376.16	53592.95	54025.34	31778.17	44709.98	10274.43	4542.33	20701.42	11001.01	20271.62	67927.76	11397.45	23055.25	4243.08	8137	27783.33	143130.59	11566.33	18157.28	38658.25	22175.27	28347.25	38658.49	26972.19	3217	23762.59	7710.83	47019.03	13800.54	85833.72	45501.91	97472.05	14199.58	20676.53	130108.78	110932.53	34936.24	33900.21
K01534	K01534	63356.33	6576.64	74898.91	24778.01	27419.75	46068.19	38388.47	105146.81	27351.34	102433.32	66906.17	21038.25	98915.07	19332.82	59418.18	38360.39	10175.33	33823.64	39810.92	42156.09	72497.65	33301.35	50106.83	107424.5	14852.31	2782.4	42332.37	59597.81	5287.12	29678.71	60900.93	23344.83	21272.37	44759.31	46567.51	35247.04	9754.2	18474.43	7510.6	60533.14	3301	185402.05	30556.41	126860.91	66200.02	2178.75	29208.25	28734.62	122457.94	5470.7	104512.63	37959.85	63920.99	121013.61	146657.75	62333.34	55303.95	106118.03	12559.01	7532.18	51664.72	26737.68	80295.62	73989.84	140416.61	34325.23	11506.53	23404.37	45065.26	145497.22	67400.11	36527.46	96111.43	32451.75	32433.1	27766.22	27687.82	7108.45	42412.22	22633.81	49986.85	30238.26	111426.33	46310.54	105009.86	28547.66	26680.35	138818.23	155768.9	46796.07	63989.24
K01537	K01537	95858.42	10652.35	130223.21	48698.64	37854.25	83215.55	55996.4	201340.16	41251.34	189164.35	76718.51	38302.74	123155.52	34494.27	82042.37	78986.66	12121	64153.22	74268.22	51517.52	112904.4	31717.41	68445.23	198375.75	15965.81	1198.05	56068.46	102500.71	1613.37	42693.21	110779.53	39035.17	46040.7	91396.57	100917.64	66396.71	8520.62	26542.18	14127.35	116353.45	264.5	359830.1	62393.73	250973.33	67820.99	698.5	47810.15	45967.29	245879.2	7693.92	210593.46	67027.92	63128.41	235009.4	226117.22	98133	97263.48	195628	15852.43	12110.53	95704.6	48681.68	140871.37	97815.75	150046.36	52308.88	17371.65	49904.32	71387.86	192797.1	146827.98	54952.48	176768.78	59293.48	66195.45	55463.28	44053.54	10586.65	77408.93	49778.88	101102.83	55893.4	196242.79	92895.66	170790.18	36807.9	49320.08	265430.43	296860.92	69828.07	74175.1
K01546	K01546	13037.09	1032.78	2657.02	2533.38	6247.25	968.81	17051.06	4323.99	4822.09	6948.2	9242.17	3742.08	18435.29	3620.95	21927.34	5366.54	5185.75	1762.22	2729.53	16248.27	26573.82	19598.95	12488.15	2017	6416.4	2193	16028.05	8747.69	4476.2	6755.88	14967	2811.34	3070.12	3743.73	1880.12	8717.55	5464.37	1440.85	1543.27	6368.52	3141.5	2800.75	578.18	5442.5	26781.67	1839.5	5802.52	4615.29	5952.75	2052.65	7477.5	1925.54	36145	7769.5	9809.79	12879.25	14093.91	5231.82	8456.34	2418.5	8332	1986.35	11464.29	19732.41	16857.43	7165.91	6086.75	1043.34	26353.99	10482.58	1867.66	5387.11	1083.91	326.51	1579.25	21288.72	1441.68	2230.25	5498.16	2591.91	5143.7	4661.3	30575.88	2616.31	10500.7	13091.73	8467.2	15156.53	25936.03	17389.15	25915.45
K01547	K01547	13035.09	1032.78	2654.02	2533.38	6247.25	968.81	17020.06	4321.99	4822.09	6948.2	9232.17	3731.08	18435.29	3620.95	21927.34	5366.54	5183.75	1762.22	2729.53	16208.27	26573.82	19598.95	12437.15	2017	6416.4	2193	16028.05	8734.69	4476.2	6755.88	14967	2811.34	3070.12	3743.73	1880.12	8717.55	5464.37	1440.85	1543.27	6364.52	3141.5	2800.75	578.18	5442.5	26761.67	1839.5	5802.52	4608.29	5952.75	2049.65	7475.5	1925.54	36145	7769.5	9809.79	12879.25	14093.91	5231.82	8454.34	2418.5	8332	1986.35	11464.29	19732.41	16857.43	7165.91	6086.75	1043.34	26353.99	10482.58	1864.66	5387.11	1083.91	326.51	1579.25	21284.72	1441.68	2230.25	5498.16	2591.91	5143.7	4661.3	30575.88	2616.31	10500.7	13091.73	8467.2	15149.53	25932.03	17389.15	25915.45
K01548	K01548	13035.09	1032.78	2654.02	2533.38	6247.25	968.81	17020.06	4321.99	4822.09	6948.2	9232.17	3731.08	18435.29	3620.95	21927.34	5366.54	5183.75	1762.22	2729.53	16208.27	26573.82	19598.95	12437.15	2017	6416.4	2193	16028.05	8734.69	4476.2	6755.88	14967	2811.34	3070.12	3743.73	1880.12	8717.55	5464.37	1440.85	1543.27	6364.52	3141.5	2800.75	578.18	5442.5	26761.67	1839.5	5802.52	4608.29	5952.75	2049.65	7475.5	1925.54	36145	7769.5	9809.79	12879.25	14093.91	5231.82	8454.34	2418.5	8332	1986.35	11464.29	19732.41	16857.43	7165.91	6086.75	1043.34	26353.99	10482.58	1864.66	5387.11	1083.91	326.51	1579.25	21284.72	1441.68	2230.25	5498.16	2591.91	5143.7	4661.3	30575.88	2616.31	10500.7	13091.73	8467.2	15149.53	25932.03	17389.15	25915.45
