id	KO	Itg.10.DTT455.S49	Vil1.01B.FP07	Lyz2.04B.FP243.S92	Vil1.04B.DTT43	Vil1.07B.DTT79	Vil1.06B.FP67	Lyz2.01B.DTT207.S47	Itg.22.FP515.S18	Lyz2.05B.FP255.S52	Lyz2.04B.DTT243.S84	Vil1.04B.FP43	Vil1.09B.FP106	Itg.02.DTT407.S99	Lyz2.08B.DTT291.S133	Itg.24.DTT527.S22	Itg.26.DTT539.S35	Lyz2.08B.FP291.S89	Vil1.06B.DTT67	Vil1.02B.FP19	Itg.26.FP539.S43	Itg.18.FP491.S94	Itg.12.DTT467.S61	Vil1.07B.FP79	Lyz2.02B.DTT219.S59	Itg.24.FP527.S30	Lyz2.07B.FP279.S77	Lyz2.03B.FP231.S79	Itg.18.DTT491.S86	Itg.06.DTT431.S24	Lyz2.05B.DTT255.S96	Itg.08.FP443.S44	Lyz2.07B.DTT279.S121	Vil1.08B.FP94	Vil1.05B.DTT55	Itg.16.FP479.S81	Vil1.05B.FP55	Lyz2.06B.DTT267.S108	Itg.16.DTT479.S73	Itg.12.FP467.S69	Vil1.14B.FP166	Itg.20.DTT503.S98	Itg.22.DTT515.S10	Itg.06.FP431.S32	Lyz2.06B.FP267.S64	Vil1.013B.DTT151	Itg.02.FP407.S7	Itg.04.FP419.S19	Vil1.02B.DTT19	Lyz2.01B.FP207.S55	Itg.08.DTT443.S36	Vil1.13B.FP154	Vil1.03B.FP31	Vil1.010B.DTT115	Vil1.08B.DTT91	Vil1.014B.DTT163	Vil1.09B.DTT103	Itg.10.FP455.S57	Lyz2.03B.DTT231.S71	Itg.20.FP503.S6	Lyz2.02B.FP219.S67	Itg.04.DTT419.S11	Vil1.10B.FP118	LYZdtt351	SLCFP067	SLCdtt019	SLCFP091	LYZFP327	SLCFP073	SLCFP019a	SLCFP049	LYZFP339	LYZFP315	SLCFP127	LYZdtt363	LYZdtt315	LYZFP351	LYZFP303	SLCdtt109	SLCdtt001	LYZdtt303	SLCFP001	SLCFP109	LYZdtt339	LYZdtt327	SLCdtt067	SLCdtt163	SLCdtt145	SLCFP163	SLCFP145
K01547	K01547	8442.41	13420.8	8756.74	4595.22	4246.63	14809.61	4283.4	4942.04	6550.33	7478.85	15656.34	17736.19	3960.34	4763.04	4778.69	3919.91	3931.39	3827.66	11244.87	6176.59	16607.6	11383.69	15035.99	6577.93	5269.14	3916.73	6574.23	13932.35	5926.84	4095.44	11534.14	5767.75	14148.7	6377.77	11889.21	20083.41	5807.39	9214.14	11303.69	4498.5	9020.85	8678.02	6355.21	7060.95	9606.46	2391.66	8216.14	4188.87	7173.85	4606.74	7245.89	12039.29	5201.25	5504.48	6665.8	6856.08	12521.45	2613.56	9384.66	8529.2	6475.75	23558.39	15094.01	7054.84	2074.26	5314.15	43910.37	3908.06	9366.61	9555.9	30954.59	20102.64	2659.6	16677.62	19348.89	21529.29	13058.87	4484.25	954.18	267700.22	4844.86	3946.26	4925.18	19963.57	3035.3	15418.1	12590.7	11652.81	7142.04
K01548	K01548	8442.41	13420.8	8756.74	4595.22	4246.63	14809.61	4283.4	4942.04	6550.33	7478.85	15656.34	17736.19	3960.34	4763.04	4778.69	3919.91	3931.39	3827.66	11244.87	6176.59	16607.6	11383.69	15035.99	6577.93	5269.14	3916.73	6574.23	13932.35	5926.84	4095.44	11534.14	5767.75	14148.7	6377.77	11889.21	20083.41	5807.39	9214.14	11303.69	4498.5	9020.85	8678.02	6355.21	7060.95	9606.46	2391.66	8216.14	4188.87	7173.85	4606.74	7245.89	12039.29	5201.25	5504.48	6665.8	6856.08	12521.45	2613.56	9384.66	8529.2	6475.75	23558.39	15094.01	7054.84	2074.26	5314.15	43910.37	3908.06	9366.61	9555.9	30954.59	20102.64	2659.6	16677.62	19348.89	21529.29	13058.87	4484.25	954.18	267700.22	4844.86	3946.26	4925.18	19963.57	3035.3	15418.1	12590.7	11652.81	7142.04
K01551	K01551	365.91	115.46	261.49	88.97	0.29	266.11	457.49	100.54	114.83	486.94	283.43	40.03	230	177.29	339.69	134	106.89	0.57	159.03	139.34	174.6	336.69	166.83	674.43	214.14	133.23	249.23	206.6	73.09	64.94	142.14	296.91	202.86	0.43	77.71	520.57	463.14	214.14	402.94	13.66	128.6	139.11	139.46	499.2	717.14	93.66	246.14	30.03	563.6	153.31	55.89	110.54	5.09	0.57	156.23	31.74	387.29	121.4	160.66	956.2	208.66	148.14	740.6	94	46.6	78.4	238.46	131.4	162.2	424.4	329.43	661.23	30.6	1221.03	1035.14	674.63	640.46	118	44.34	1771.29	166.2	231.6	62.09	176.23	138.46	1667.51	1135.29	369.4	122.86
K01556	K01556	5	0	3	7	0	5	4	3	0	2	23	18	5	2	3	3	3	0	0	5	3	15	15	3	6	0	0	9	9	0	11	0	19	0	5	5	3	4	6	4	14	2	5	2	0	0	3	0	8	3	0	26	2	0	17	0	6	2	15	4	3	46	11	0	0	0	0	8	11	0	0	12	0	0	0	11	22	11	0	9	0	0	0	0	0	49	7	4	1
K01560	K01560	18729	18162.75	35634.25	3877.75	205.75	11870	6702.75	6284	5398.75	24301.33	12184.58	40457.25	4774	14514.83	5083	3692	19832.5	69	16059.5	4682	12980	14724.75	13944.83	10000.75	3501	2887.75	48034.25	13542.75	39012.5	3124.17	9376.25	6222	63449.5	207	15679.75	11388.92	5923.25	15156	9447.5	10585.25	24423	13599.75	12755.75	6118.25	6849.83	2382.75	7130.25	3888	11418.75	5816.42	22225.25	11870.5	1140.5	1060	8072.33	2143.25	31910	18758.83	18419.25	12583.25	8318.5	53293	124111.75	4338.5	6609.25	5259.5	43091	19113.25	6522.25	2326.75	40011.5	47437	8999.5	9625.5	24698.08	20412.25	193138.25	10134.75	1973.75	243229.42	4064	1759	6933.92	33265.75	12461	39219	43552.58	5422	16172.92
K01561	K01561	0	0	0	0	0	1	0	0	0	0	1	2	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	1	6	1	1	0	0	6	0	1	0	1	0	0	29	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	9	0	0	0	0	0	0	0	0	270
K01567	K01567	8627.03	3543.5	5951.5	3856.62	79.75	8870.57	12770.87	1998.58	2978.32	12115.79	7992.73	943.59	5718.18	3988.91	12191.96	4080.04	2376	31	5017.83	2640.5	5003.02	7271.83	2487.84	17762.5	6812.76	1823.66	3906.08	6851.5	2307.66	2843.58	3247.54	5672.79	12530.5	23	3022.36	13318.99	13411.46	3692.22	7835.6	367.67	6929.1	3449.84	4437.15	9842	3498.67	1788.84	10154.56	694.36	9904.19	2638.82	629.5	3961.77	117	71.5	4515.43	302.16	4985.86	5973.97	8709.9	16308.67	5714.89	2616.34	16817.24	1536.79	940.64	5217.1	4506.79	2887.24	3143.4	7696.07	7729.96	18178.2	1602.21	41273.37	11687.89	18795.99	12030.51	4995.08	837.91	261248.58	4861.83	3989.88	3713.88	3724.16	2925.87	16847.3	14943.13	4956.97	3952.83
K01569	K01569	3	0	0	0	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	3	0	0	0	0	4	0	0	0	6	0	3	0	5	0	0	3	0	0	0	0	0	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	3	0	0	5	0	0	5	0	0	0	0	0	0	0	0	0	0	1	1
K01571	K01571	10282.78	4287.17	6445.5	4632.62	100.92	10222.57	13575.95	2694.08	3323.07	13122.87	10226.56	1399.42	6977.85	4910.41	15250.46	4669.37	3177.5	91.92	5465	3250	5919.52	8757.08	3068.17	17954.5	7890.76	2188.66	4320.08	8179.5	2680.91	3297.08	4166.04	7328.21	13222.17	47.17	4062.36	14887.41	17252.46	5024.72	9349.1	688.09	7675.6	4425.17	4833.15	11431.75	6662.83	2157.34	11346.06	779.03	10251.19	3799.66	3800.75	4987.77	271.83	123.08	6056.09	605.58	5840.19	6341.05	9470.9	16111.17	6747.31	3599.59	19551.57	4304.96	1317.22	7040.1	5025.12	3531.07	4168.73	8525.57	9102.79	21619.78	1882.21	45559.04	22969.39	21412.57	14331.59	6156.58	1194.08	271706.17	6312.66	5283.71	4508.55	4200.08	3758.54	21169.47	17336.46	5450.3	5391.67
K01572	K01572	16065.63	16243.78	16358.77	6974.04	181.25	20123.02	18566.88	7652.9	7650.46	20702.97	21962	3130.16	10620.26	8319.16	19634.82	8074.37	7105.88	93.06	16212.66	9165.04	14178.99	16704.61	12758.73	25131.95	12240.46	5548.42	11476.84	15491.88	7095.89	6234.01	12763.65	11534.15	16346.64	52.53	10457.2	32411.88	25253.32	92850.42	17943.45	1379.21	16604.98	12976.37	10256.51	20200.1	20591.61	4681.88	19187.09	2150.78	18268.65	6947.63	5201.13	14254.58	701.39	215.8	10913.86	1636.08	15307.02	8872.59	19566.85	26223.6	11361.77	5300.79	31824.79	7245.13	2553.61	12769.38	34116.3	9002.27	9180.5	17327.19	24322.57	43018.54	4885.26	63517.86	41543.09	42656.87	26885.94	9518.33	2193.71	622791.5	13072.26	11104.43	7357.44	20014.76	6029.06	50872.46	28099.21	14104.33	11731.14
K01573	K01573	184.91	529.46	657.49	141.97	0.29	543.11	181.49	333.54	156.83	363.94	654.43	22.03	235	107.29	112.69	204	205.89	0.57	548.03	394.34	237.6	402.69	373.83	389.43	186.14	279.23	361.23	217.6	214.09	126.94	454.14	462.91	5.86	1.43	413.71	1720.57	533.14	363.14	376.94	27.66	410.6	979.11	175.46	908.2	6223.14	158.66	142.14	108.03	367.6	582.31	338.89	552.54	111.09	11.57	742.23	244.74	416.29	86.4	437.66	418.2	337.66	77.14	735.6	634	234.6	734.4	1347.46	714.4	836.2	832.4	906.43	1316.23	344.6	484.03	5105.14	1390.63	567.46	392	252.34	7562.29	1367.2	1353.6	125.09	1331.23	285.46	7460.51	699.29	531.4	472.86
K01575	K01575	22887.75	15547.75	55257	2630.75	123.5	6163	4934.25	8102	3982.25	32030.66	8035.91	25336.25	4776.5	17087.66	4692.5	4963.75	18661	7.25	20995.25	7515	6079.5	14996.5	5145.66	7297.75	3844.75	1554	57052	8375.25	37431.5	2069.84	12380.75	4006.25	55606.75	204.5	8497.25	5655.09	3017.5	18041.75	9038.75	18856.25	27906	15493.75	10806	4715.25	2017.16	2949	3587	7523	8627	5481.84	22501	9392.25	1101.5	1044.25	5870.66	1196.25	42437	23826.16	21140.25	8246.75	6686.5	39317.25	114806.25	4755	5980	5670.5	21614.5	19212.25	1634.5	861	20022.5	71201.75	8624.75	2277.25	25145.16	7590.25	199265.25	14069	2436.5	11704.59	5632.25	2563.75	7314.34	26147.5	12924.75	42152	44077.91	7471.25	19475.59
K01577	K01577	11202.25	366.25	21208.25	1368.25	4130.75	751	408.5	7887	1530	9978	3793	9217	3116.75	3860.5	3472.75	3841.5	151.5	3773	10915	6861.25	9525.5	8109	2416	168.75	3034	64.75	10167.25	6224	918.75	975.25	11673.5	1780.25	1785.5	6320.5	2653.25	1438	807.5	9994.5	8173	68319	8296.5	9397.5	528	2226	2865	3375	424	1969.25	243	3318	156061	2018.5	4916.75	5378.75	3686.75	5245.75	25503	6495.5	6725	223	1812	10097.5	494.75	1982	828	9631	953	940	1299	897	324.75	28781.75	1445	379	4003.5	352.75	10672.75	8581.5	1325.5	14393.25	7095.75	3414	1327.25	761.75	2671.75	8847	11382.5	6649.5	9048.75
K01578	K01578	20	8	0	33	0	37	0	0	4	16	120	2	9	0	0	20	1	0	10	17	35	42	14	5	3	8	5	43	7	3	29	5	1	0	27	16	0	18	36	1	11	0	4	0	0	7	8	3	1	14	1	78	8	0	6	14	1	15	1	5	5	29	44	15	0	0	1	0	10	8	0	53	21	17	0	58	26	18	9	186	43	25	0	0	14	578	1	25	271
K01579	K01579	4059.32	11080.72	9115.33	2336.62	4147.71	9305.61	3074.24	4219.06	3741.48	5879.26	9601.75	2205.78	2350.51	2687.2	2519.68	2506.92	3200.89	3827.24	9745.03	5218.25	7436.09	6619.52	10188.83	5366.52	3018.47	2814.14	6511.16	5715.93	3759.25	2523.44	7194.06	3557.49	2276.53	6345.1	5916.29	14471.73	2821.98	87038.13	7229.36	986	7615.18	7169.61	4168.95	4801.95	7737.3	2243.92	3650.55	3818.7	6017.25	3562.99	3952.89	7980.29	4957.75	5466.23	3850.31	6038.74	8510.78	1755.82	7818.74	7521.45	3273.01	2029.65	7758.59	4524.83	1040.61	3125.98	27016.04	4052.82	3667.7	6617.49	13441.59	17764.06	2395.61	14798.93	14825.48	17140.29	10581.03	1768.33	986.27	125470.88	4892.86	3942.28	3395.42	14092.23	1895.3	23598.6	9031.3	7155.98	6276.45
K01580	K01580	3610.99	10180.97	8321.33	3748.3	12409.21	7237.44	2722.57	3857.38	3388.16	5496.19	8609.84	1714.69	2180.33	2609.71	1728.02	2233.33	2701.89	11335.24	8826.2	4746.75	6493.27	5868.44	8491.66	3060.77	2364.56	2615.48	5846.48	5091.18	3572.34	2863.19	6776.97	4801.25	1103.28	18989.6	4947.88	12106.57	1795.97	4734.06	6111.61	800.83	7088.18	6910.02	3782.8	3663.95	9566.8	1955.58	2621.89	6550.04	5206.76	5357.15	3955.39	7234.87	13923.75	16223.23	4325.15	16164.58	7290.37	1432.57	7018.99	4685.03	3127.92	1458.56	6841.35	4355.34	951.02	2275.48	26076.7	3789.73	3343.2	6052.32	12376.93	16520.31	2261.85	8797.61	19490.31	14789.05	9651.12	1564.5	1075.26	59095.88	4070.28	3329.35	5681.67	13494.07	1938.88	14306.35	4733.04	6693.06	5688.2
K01581	K01581	23888.5	16742.5	47094.5	4910.5	8380.5	6614	5260	11074	3004	28940	11981	27684	5822.5	16154	5543.5	5480	18809	7538	23181	8637.5	11180	17349	5880	7436.5	3930	1765.5	54197.5	10690	37734.5	2557.5	13724	5855.5	54422	12834	10235.5	5991	3023	18826	11633	62343	28749	19535	10953	5087	6045	4516	3912	5254.5	8846	7740	177977	9690	10076.5	11795.5	7297.5	11493.5	46542	20538	21021	8504	7409	38374	115124.5	5465	6173	10829	22369	19423	1931	1642	20813.5	45358.5	9726	2735	13316	8073.5	189809.5	16050	2930	33459.5	9317.5	4050	7015.5	27059.5	13822.5	34048	47013	6448	25012.5
K01582	K01582	558.5	191.5	178.5	1863.5	8261.5	361	515	74	91	909	279	42	552.5	404	443.5	157	138	7538	167	114.5	274	371	103	488.5	268	69.5	197.5	345	117.5	674.5	172	2043.5	248	12641	136.5	509	478	537	342	32	467	210	134	377	1199	79	207	193.5	324	2391	42	149	9019.5	10765.5	1226.5	10251.5	261	479	301	602	611	97	547.5	45	87	94	480	137	87	177	501.5	875.5	37	1067	2951	811.5	669.5	175	271	23151.5	262.5	185	1430.5	589.5	299.5	543	342	213	160.5
K01583	K01583	9	0	3	0	0	13	0	0	3	0	0	0	5	0	7	0	3	0	7	3	6	4	6	16	11	2	4	3	0	0	5	3	8	0	0	15	14	0	11	0	0	0	0	18	0	3	16	0	3	0	0	0	0	0	0	0	6	0	5	19	0	5	13	0	0	4	3	4	0	0	9	23	0	29	0	29	0	4	0	53	0	10	0	0	0	0	17	4	3
K01584	K01584	103.25	2.25	2.25	850.25	4130.75	3	142.5	0	0	225	0	0	170.75	160.5	59.75	28.5	2.5	3769	4	1.25	1.5	28	3	20.75	1	0.75	2.25	21	26.75	302.25	1.5	934.25	2.5	6320.5	1.25	8	22.5	165.5	0	11	115.5	56.5	0	1	591	1	0	82.25	0	1148	21	3.5	4509.75	5378.75	555.75	5120.75	0	160.5	0	0	241	3.5	73.75	0	4	0	167	0	0	37	84.75	111.75	0	122	1292.5	94.75	102.75	8.5	112.5	10387.25	36.75	0	653.25	243.75	75.75	1	0.5	1.5	1.75
K01585	K01585	3140.49	10550.47	8527.83	2043.8	4147.71	7893.44	2276.57	3989.38	3423.16	4814.19	8786.84	1742.69	1730.83	2336.71	1629.52	2167.33	2870.89	3797.24	9240.2	4787.25	6876.27	5785.44	9500.66	2891.27	2423.56	2572.98	6024.98	5090.18	3505.84	2212.69	6815.97	2630.75	870.28	6340.6	5312.38	13041.57	1776.97	4410.06	6433.61	869.83	6894.18	6708.02	3867.8	3929.95	4763.8	1930.58	2746.89	1109.54	5233.76	2703.15	3658.39	7391.87	4830.25	5465.73	2742.65	5774.08	7673.37	988.57	7221.99	4720.03	2500.92	1456.56	6857.85	4250.34	687.02	2086.48	26496.7	3877.73	2793.2	5829.32	12627.43	16687.81	2230.85	8860.61	9020.31	15665.55	9650.62	1277.5	612.26	33152.38	3880.78	3157.35	1394.17	13521.57	1505.38	13697.35	1962.04	6818.06	5563.7
K01586	K01586	43106.06	35877.58	60316.87	12563.31	4433.5	31478.89	23316.65	23211.28	22986.98	49853.27	37568.74	74823.8	22162.19	27048.23	28243.93	16370.21	26606.18	3897.81	44958.54	20120.39	36974.11	38884.64	27943.43	33048.45	21231.12	8221.98	62753.42	35270.43	47676.95	14983.83	30155.24	18340.99	88146.64	6585.53	28856.86	48207.71	31131.83	115038.74	34865.85	88599.78	47180.78	39017.16	22769.71	30777.2	21623.94	14916.87	22683.5	10726.49	26882.19	14171.94	183391.68	34000.45	7114.54	6660.3	21677.5	11108.79	66029.43	32419.37	41828.5	34733.62	20357.51	78181.13	153411.83	13088.12	9954.75	25505.08	94680.19	27986.56	15912.35	18492.31	64122.48	119178.69	14917.57	71420.98	58750.09	56024.96	230174.65	26300.16	4906.07	648503.17	19746.44	16212.41	16170.51	62627.32	20772.28	100967.61	81188.05	28790.7	32838.31
K01588	K01588	37234.82	34355.72	59368.58	11123.62	4353.46	30064.11	22197.49	17740.06	22257.23	47731.01	32212.25	69461.28	18695.01	25187.2	24160.18	14192.67	25712.89	3867.24	40487.78	16974.25	28776.59	33589.02	27128.33	31355.02	18690.72	7743.89	61948.91	29733.43	46783	13828.44	24558.56	16058.99	83685.78	6585.1	26574.29	45528.48	26220.23	110739.88	29168.11	33314.25	42629.18	31963.11	21844.2	26706.2	14316.8	12067.67	19997.3	9967.2	25910	12098.74	27446.89	32902.04	6930.25	6641.73	17654.81	10846.99	54668.28	31316.57	38180.24	33278.95	17831.26	73176.65	149652.59	11824.33	9390.61	17005.48	93753.54	26755.82	14449.95	16307.24	61908.09	113899.56	13543.36	63876.18	50886.73	52998.54	226606.28	22684.58	4197.52	416591.13	14892.11	14090.53	14367.17	61630.73	18834.55	95185.6	72919.3	24858.23	27475.45
K01589	K01589	38615.25	32124	87342.25	6447	4377.75	14376	10212.5	17400	16585.5	54806.58	17659.08	75825.25	13186.75	31322.33	9680.25	9559.25	37694.5	3787.5	39575.75	12582.25	11925	25704.25	14222.83	15565.5	9843.75	4022.75	101590.25	15925.25	75720	9230.92	17939.25	9311.25	112043.25	6737.5	19217.5	19099.67	8461.5	28245.25	15504.75	46452.5	52196.5	34143.25	22669	13905.5	5668.33	10750	8855	11779.25	18612	10771.67	44852.25	26494.75	7087.75	7468.25	13579.08	9888.75	69776	44014.58	40014.25	18631.75	13347.25	84379.5	231706.5	9614	11724.25	11598.5	68202.5	37410.75	3259	2186	42872.25	144741.75	17760.75	7007.75	47837.33	21902.25	400969.25	22623.5	3938.5	41335.42	6870	5839.75	13482.42	63631	25966	90345	80661.08	16389.75	32367.67
K01591	K01591	45574.82	34686.72	71758.58	11549.62	4353.46	30796.11	22403.49	23557.06	22313.23	53549.01	35508.25	76665.28	20786.01	27753.2	26614.18	17150.67	25834.89	3871.24	49144.78	22375.25	36360.59	40485.02	29541.33	31479.02	20751.72	7796.89	68770.91	34372.43	47418	14030.44	32957.56	16709.99	85099.78	6585.1	28946.29	46036.48	26736.23	118471.88	35913.11	90278.25	48158.18	38984.11	22226.2	28339.2	16562.8	14488.67	20355.3	11409.2	26121	13803.74	183134.89	33637.04	7163.25	6641.73	19782.81	10928.99	74244.28	33943.57	42157.24	33472.95	19058.26	79108.65	150013.59	13344.33	10088.61	24307.48	94250.54	27626.82	15521.95	17000.24	62121.09	115016.56	14828.36	64106.18	51234.73	53219.54	227125.28	30456.58	5276.52	419070.13	21396.11	17217.53	14972.17	61921.73	20720.55	97221.6	83797.3	27304.23	36221.45
K01593	K01593	5	0	3	7	0	5	4	3	0	2	23	18	5	2	3	3	3	0	0	5	3	15	15	3	6	0	0	9	9	0	11	0	19	0	5	5	3	4	6	4	14	2	5	2	0	0	3	0	8	3	0	26	2	0	17	0	6	2	15	4	3	46	11	0	0	0	0	8	11	0	0	12	0	0	0	11	22	11	0	9	0	0	0	0	0	49	7	4	1
K01595	K01595	8627.25	670.25	12881.25	1306	4130.75	1435	500.5	5926	156	6262	3456	7394.5	2309.75	2949.5	2632.75	3030.5	302.5	3773	9143.75	5513.25	7935.5	7204	3389	303.75	2130	100.75	7271.25	4803	705.75	542	8543.5	1686.5	2454.5	6320.5	2876.25	1389	680.5	8103.5	7171	57113	5749.5	7193.5	438	1815	2885	2512	460	1533.25	454	2901	155923.25	1039.5	4751.75	5378.75	2836.25	5227.75	20001.75	2863.5	4141	456	1527.5	6197.25	845.75	1551	713	7358	989	906	1125	783	634.75	1790.5	1325	577.75	1807.5	1202.5	1150	7815.5	1238.5	13814.25	6691.75	3356	1290	712.5	1994.75	2460.75	11444.5	2472.5	9196.75
K01596	K01596	1247	1090.67	673	716	16.67	1547	1133.33	444	551	1132	2423	479.33	847.67	518.67	1429	548.33	595	27.67	1145.67	735	924	1285	921	1964	1060	474	692	891	332	450.33	1159	935.67	795.67	16.67	647	3509	1465	685	1750	286.67	834	463.33	551	1274	438.33	338	984	101.67	1370	552.67	3066	1573	84.33	32.33	844.33	130.67	1619.33	737	1310	1903	677.67	1170	3128.33	2773.67	127.33	918	926.33	346.33	682.33	668	2113.33	3179.33	298	6343.67	1756.67	4544.33	2722.33	589	123.67	13372.67	792.33	696.33	650	736.67	661.67	1900.67	2232	776.33	1680.67
K01597	K01597	26630.75	15951.75	55556	3095.75	123.5	6475	5076.25	13087	4056.25	32238.33	11433.58	30135.25	6269.5	17168.33	6364.5	6243.75	18752	7.25	24733.25	10139	12856.5	18415.5	5367.33	7422.75	4907.75	1649	57236	11994.25	37730.5	2191.17	16992.75	4236.25	56725.75	204.5	10282.25	6558.42	3238.5	20625.75	13092.75	73699.25	31345	21586.75	11052	5723.25	4115.83	5388	3977	8077	8826	6080.17	177743	9855.25	1202.5	1044.25	7132.33	1269.25	52734	23926.83	23819.25	8487.75	7300.5	42690.25	115181.25	5810	6208	13038.5	22358.5	19531.25	1973.5	1627	20493.5	71941.75	9726.75	2461.25	24878.83	8381.25	199538.25	16625	2909.5	13799.92	9698.25	4098.75	7374.67	26832.5	14346.75	44237	48906.58	9536.25	24237.92
K01598	K01598	118.25	189.67	69	111.75	21.17	160	89.08	35	29.25	117.25	907.5	435.83	163.17	392.17	76	43.33	29	34.92	123.92	74	43	150.75	60.5	102	67	23	73	58	33.75	65.58	142	287.67	1173.67	24.17	65	403.25	47.5	106	108	281.92	80	69.33	39	46.25	414.83	40	62	16.67	119	496.17	3126.5	509	58.83	33.58	596.83	85.42	212.08	59.25	90	204	266.92	725.5	220.83	2494.67	22.58	31	94.33	35.83	50.83	189	23.33	247.33	14	246.92	7944.67	82.33	489.83	64	37.17	2573.92	88.33	94.33	124.25	111.17	406.17	274.42	606	69.33	842.67
K01599	K01599	9293.66	4816.96	4245.24	4589.72	4370.29	11974.11	8959.99	1906.54	3143.83	9093.02	8570.51	4568.03	5555.25	4957.37	8030.94	3222.75	2541.39	3805.57	4424.53	2138.59	5249.1	7299.44	6202.16	10822.43	5914.39	2004.48	3611.98	7307.35	2597.59	3912.36	3370.39	7235.41	15969.61	6347.43	4539.21	11683.74	11315.39	87621.89	6277.69	2063.16	4837.1	3759.86	4448.96	7844.2	15418.97	1387.66	11176.14	3554.78	7398.1	5214.73	3009.89	5254.29	4788.34	5403.82	9179.31	5860.49	5230.04	4609.48	5373.41	11842.95	7471.16	4722.39	9813.85	1494.5	1168.85	7625.9	5029.71	1921.15	4438.7	8757.4	4969.68	10853.23	2003.35	18512.78	20539.72	8307.13	7284.71	6157.75	1421.84	793087.96	5837.7	5006.85	5047.01	4283.48	3060.46	28671.26	20889.12	8092.15	2364.03
K01601	K01601	20	8	0	33	0	36	0	0	4	16	119	0	9	0	0	20	0	0	10	17	35	42	13	5	3	7	5	43	7	3	28	5	0	0	26	15	0	18	35	0	11	0	4	0	0	7	8	3	0	8	0	77	8	0	0	14	0	15	0	5	5	0	44	15	0	0	0	0	10	8	0	53	21	17	0	58	25	18	9	177	43	25	0	0	14	578	1	25	1
K01607	K01607	21268.07	18079.47	27878.08	7475.87	4229.96	19909.11	11334.74	12727.06	9290.98	22432.18	25123.17	24893.53	10421.01	9880.87	18764.68	10273.92	5973.39	3889.99	25392.53	14068.25	27263.09	23463.02	20125.5	16898.27	11324.47	5995.39	17406.91	22531.68	8754.5	6736.77	21893.81	11223.74	27887.03	6359.1	17078.54	30384.06	17508.73	19723.63	23750.36	61093.5	20834.18	18980.36	10146.2	15004.95	17167.47	6545.67	10929.8	3668.2	13709.5	8350.07	161576.89	16970.79	5641.25	5563.48	11646.48	7362.74	35363.78	8563.24	20825.99	17750.2	10041.76	29495.4	30427.34	8223.83	3872.61	14691.48	53041.54	7599.07	12769.95	15984.74	39702.09	36397.81	5927.61	45479.93	23897.9	41257.29	25088.53	15470.58	3066.52	298793.21	17065.86	11155.28	6325.5	24974.23	7062.3	37701.1	33531.72	17245.48	21044.03
K01608	K01608	103.25	2.25	2.25	850.25	4130.75	3	142.5	0	0	225	0	0	170.75	160.5	59.75	28.5	2.5	3769	4	1.25	1.5	28	3	20.75	1	0.75	2.25	21	26.75	302.25	1.5	934.25	2.5	6320.5	1.25	8	22.5	165.5	0	11	115.5	56.5	0	1	591	1	0	82.25	0	1148	21	3.5	4509.75	5378.75	555.75	5120.75	0	160.5	0	0	241	3.5	73.75	0	4	0	167	0	0	37	84.75	111.75	0	122	1292.5	94.75	102.75	8.5	112.5	10387.25	36.75	0	653.25	243.75	75.75	1	0.5	1.5	1.75
K01609	K01609	13002.07	14976.14	14448.58	5562.62	113.38	16737.11	15397.57	6617.06	6782.98	17836.26	18850.75	3967.36	9034.93	7476.62	16937.93	6808.75	5407.39	86.91	14841.95	7527.5	12836.59	14916.02	11708.33	20777.77	10158.47	4228.89	10080.91	13688.43	6014	5351.02	10536.56	8626.66	18416.2	52.27	8686.04	25285.23	18590.23	91726.63	15290.86	1733.67	14357.68	11048.44	7664.95	15189.45	10999.13	3966.42	11077.05	4529.12	14263.75	5174.91	7647.64	12285.29	584.83	205.31	8199.89	1299.66	13204.36	7508.32	15803.74	21323.95	8041.43	6319.9	25236.92	8358.5	2082.94	8204.98	27853.12	7591.15	6990.53	12990.49	20570.67	36544.39	3879.61	54776.1	26806.4	31295.12	21854.61	7188.08	1828.44	378990.05	9882.44	8046.11	6867.67	16999.4	5028.72	43286.02	23819.55	12840.81	10688.37
K01610	K01610	36039.03	30319.41	60999.12	9225.69	4330.08	22373.82	19662.2	17292.2	9243.41	45508.9	28072.18	30395.63	13275.84	22254.07	20672.97	11636.09	24044.68	3801.14	36497.29	15889.39	22874.09	30768.81	16546.26	26067.45	13064.11	6056.57	63664.59	23076.43	43560.04	7014.5	23712.7	12606.53	68916.22	6540.86	18400.5	30153.8	20162.87	109245.27	25688	63273.69	42509.18	30047.49	19148.31	18921.45	15719.11	8253.78	17011.69	6887.96	22996.25	10867.78	179121.68	19993.93	6010.71	6569.97	13600.91	7467.71	58701.74	26969.82	36552.1	27693.95	15159.95	41625.29	139078.01	8810.66	8019.78	18615.48	52848.82	26598.99	8271.87	14961.99	40803.69	80355.16	13592.61	51492.44	33729.2	41335.39	210542.31	22797.58	4343.24	390788.75	18341.53	11701.45	10900.96	43704.99	17838.99	74431.64	68475.84	17680.15	32802.64
