#OTU ID,SLCFP072,LYZdtt342,LYZFP308,LYZFP307,LYZdtt308,LYZFP331,SLCFP131,SLCFP078,SLCFP070,SLCdtt022,LYZdtt366,SLCdtt070,SLCFP023,SLCdtt005,LYZdtt354,SLCFP022,LYZFP355,LYZdtt330,LYZFP319,SLCFP005,SLCFP024,SLCFP053,SLCdtt114,LYZFP320,SLCFP095,LYZdtt356,LYZdtt368,SLCdtt095,SLCFP077,LYZdtt367,LYZFP356,SLCdtt024,LYZFP354,SLCFP112,LYZdtt319,LYZFP332,LYZFP306,SLCFP113,LYZdtt306,SLCFP071,SLCFP004,SLCdtt113,SLCdtt004,SLCdtt112,LYZdtt355,SLCFP094,LYZdtt343,SLCdtt076,LYZdtt344,SLCFP052,SLCFP076,SLCdtt096,LYZFP330,LYZdtt318,LYZdtt332,LYZdtt320,SLCdtt078,SLCFP054,SLCdtt052,SLCFP114,SLCFP006,SLCdtt054,LYZFP343,SLCdtt006,SLCdtt077,SLCdtt132,SLCFP132,LYZFP344,LYZFP342,SLCdtt130,SLCFP096,LYZdtt307,LYZdtt331,SLCdtt053,LYZFP318,SLCFP148,SLCdtt150,SLCdtt167,SLCdtt149,SLCFP166,SLCdtt148,SLCdtt168,SLCFP150,SLCFP167,SLCdtt166,SLCFP149,taxonomy
NAGLIPASYN-PWY,3321.3135,2687.7745,29808.0829,13511.8554,7482.4734,3399.8125,7363.2165,5856.4649,3560.5143,8796.142,16571.9044,561.3977,2126.2694,753.219,466.4102,612.0291,5743.4159,5311.9735,7686.0613,1608.5951,3249.7089,3843.5448,4503.3499,1397.5396,115.777,5487.9365,24088.0451,247.6611,1542.1977,21668.3846,11560.8942,2002.9174,3658.5653,1912.0992,1039.5733,10290.5008,20159.8803,1129.9657,1513.0434,4361.126,260.7818,2002.9013,449.0528,261.5445,3761.7461,496.9234,1880.7958,2909.5686,5865.8223,2994.3457,1181.9896,134.1446,18742.9257,3741.5334,3032.8578,4936.7952,3544.9367,4750.5335,8432.1456,1636.5332,1603.1062,3629.4304,5044.6041,1390.6131,2527.2128,8090.8215,4927.6965,6689.0369,1561.3472,931.637,34.8945,5218.6144,9618.9283,9538.309,11775.4611,8385.1901,14870.7845,11553.9013,20201.6206,3685.6321,13716.1067,14882.917,11357.0833,13300.1117,10939.0744,9987.9635,
NONMEVIPP-PWY,8237.5595,13729.2578,52615.6118,36978.909,30290.1152,135407.0621,17507.3215,9041.9171,11957.9644,26331.4425,25869.0183,3634.031,8300.7845,3628.7456,24793.2521,10106.6795,29159.2235,31260.7214,27291.4212,5130.4011,9561.6589,15284.5365,9373.1156,6475.4288,2701.2336,11393.3561,35669.5855,1283.1403,3170.9708,31136.3259,34690.3604,5413.6308,23624.4607,8512.9777,4048.2016,170792.6284,57566.1334,3970.0684,23341.0447,12085.4559,2327.5121,5001.1468,2593.4171,1485.5201,11238.3716,5883.2668,20737.3939,10754.6856,17736.412,10698.9,3497.113,1778.0191,96599.0739,16845.9708,36052.3979,93040.4717,7111.1922,9137.9385,13139.3254,4501.2028,5526.3224,5049.2993,39860.4229,6666.4039,5713.9935,15721.7716,11889.421,42565.8531,23818.8348,3368.4638,305.7148,27094.92,30332.5865,14182.5882,45736.0282,33936.1992,32805.4293,31522.4246,46894.5182,42919.3935,60975.2041,35093.0761,48454.7769,28153.5204,20040.3218,36244.0179,
NONOXIPENT-PWY,16616.3694,33233.385,85933.4548,81558.1777,91894.9862,173342.774,36736.3261,17584.81,27039.7986,53642.5639,39288.774,7918.6775,19426.2027,17806.8997,45641.1623,27670.7429,77201.1014,43783.5669,53499.9205,34950.4765,21979.5048,35965.3509,27342.4033,13411.2873,9019.5145,33845.808,58648.7029,2908.8226,9187.832,50301.7466,74530.2352,13188.8288,92461.7703,19585.5394,7836.7144,191625.1065,130624.6389,8870.7451,40053.7468,27325.8072,16127.2699,19699.6512,10241.583,3379.4758,26883.3791,15153.3354,39129.2171,27429.9612,49812.1906,22853.1965,19209.0602,4141.8015,159398.4146,37835.541,51687.0545,133632.6921,14231.7713,16933.6871,17881.1974,9165.1187,27524.308,6892.5663,146240.3895,27593.9846,11802.0725,30331.9093,23979.2757,110697.8799,76612.8297,6989.0001,897.4248,66987.1577,44821.9606,20439.3125,82390.5782,53948.5051,84231.694,77307.5805,132464.5809,77815.89,94483.4061,72183.1048,116366.7509,62324.5982,33890.828,79824.9608,
OANTIGEN-PWY,13051.5052,20960.3523,64911.2361,56635.1788,51867.8203,65586.8527,22288.2323,19725.6127,23677.4774,33239.8703,22176.2787,5841.269,11540.911,20026.9814,9885.7687,16114.1238,39936.9043,19432.5544,137335.7371,47729.5092,13077.7764,23065.2082,21775.4369,46669.9665,41711.6725,27775.4292,30397.9079,15322.6492,13794.9672,27444.9507,39668.9608,7828.1705,52771.5106,11879.1833,21840.6246,61601.0395,99900.9868,5191.6116,15446.974,27330.0402,20467.6135,19055.7409,11505.1319,2109.9541,20060.7711,14303.8371,13991.8582,27490.5663,33054.1038,23410.4641,30908.4217,42882.9221,86455.5545,61417.8416,33796.7646,58288.7945,15906.9117,10078.5516,22816.1056,5584.0679,34173.2903,7625.2603,78183.5799,28868.0088,16200.1374,18889.843,13693.4203,57907.5687,38605.2184,4016.9625,18929.8112,70799.9657,26458.1796,20924.0503,48010.9244,22963.3033,75323.391,92453.3999,96448.6053,68126.7538,44701.151,83052.6485,60430.3568,44647.8486,116577.571,42254.2273,
ORNARGDEG-PWY,0,266.4262,219.5822,194.9674,425.9922,196.1366,0,0,0,64.4235,118.5854,0,0,90.6347,82.4441,0,62.9821,128.1782,96.708,117.1017,0,0,402.9204,48.9442,0,121.0171,913.2661,0,0,101.7125,121.6958,0,178.578,0,173.2638,300.7375,227.206,0,134.8612,0,35.4007,20.8347,49.1295,0,133.2849,0,116.0159,45.7739,324.9684,23.8069,0,0,291.9388,282.6224,128.8394,107.8065,23.7494,0,8.1543,0,84.1311,0,212.1811,170.4434,30.0068,0,0,207.0905,80.3276,20.6665,0,425.1362,220.7523,8.7426,169.5327,947.7669,0.5833,0.5833,0.5833,2.9157,0.5832,0.5833,39.7209,2.3331,0.5833,12.2411,
ORNDEG-PWY,0,253.885,192.0795,170.5018,384.4217,174.3439,0,0,0,55.3929,104.3165,0,0,80.3202,79.8234,0,55.4329,118.4427,84.4255,103.9091,0,0,369.602,43.4544,0,112.9311,873.1895,0,0,89.2084,108.0611,0,164.405,0,173.5725,279.0062,198.6769,0,122.9246,0,31.9821,17.991,43.9282,0,123.8245,0,108.001,39.4852,316.8003,20.4917,0,0,270.1089,267.173,119.5019,95.7081,20.4938,0,6.9988,0,73.927,0,186.7907,150.5623,25.9922,0,0,181.9297,72.9151,17.9479,0,389.3427,208.0958,7.4986,152.0439,847.7499,0.5,0.5,0.5,2.4999,0.5,0.5,34.4823,1.9999,0.5,10.4973,
P105-PWY,0,1219.3019,1332.4594,1162.9782,2287.0507,1071.5457,0,0,0,404.9532,700.4717,0,0,507.3312,348.6175,0,382.8351,671.1366,583.8624,612.1368,0,0,1955.9887,275.3629,0,646.314,4450.3713,0,0,616.1134,731.643,0,975.9381,0,686.7493,1898.713,1362.8724,0,659.8312,0,183.0337,129.5437,253.5631,0,692.3618,0,581.7666,283.6445,1553.9298,150.4099,0,0,1583.2935,1392.3546,676.5188,597.3118,148.3893,0,52.0533,0,470.2599,0,1219.8119,969.0126,184.4668,0,0,1228.1111,424.5404,125.8429,0,2225.0553,1120.7553,55.8954,983.5499,4579.9774,3.7494,3.7493,3.7496,18.6821,3.7469,3.7493,247.8161,14.9882,3.7484,78.0382,
P108-PWY,4870.6646,3768.1866,44946.6978,16868.9114,15627.0746,4540.953,9167.7849,8704.7559,5521.9794,12150.282,21609.6531,893.6776,2575.7054,1041.791,668.8926,769.0872,8649.1812,7043.0372,10313.2633,1675.9278,4252.1924,5454.2246,6085.1138,1691.4984,109.1977,8181.9796,33440.1404,149.2334,2395.9371,29825.0489,16715.2536,2851.1836,5766.7701,2459.4429,1460.8516,14071.1306,22660.7497,1583.4079,2151.8094,6475.4225,342.9129,2786.5223,479.0741,370.9641,5466.8302,853.0023,2453.4798,5038.1495,8720.0222,4403.706,1469.751,153.3482,25633.7942,6501.1674,4740.12,7378.1139,5777.0985,6508.4611,12541.1859,1970.6058,1848.4754,5134.3643,6748.586,2205.3589,4245.3088,11678.4215,7074.9199,9701.4659,1711.7782,1269.8257,31.2233,9046.6696,12932.1879,12775.1441,19760.2734,13881.0863,20548.8504,18333.6054,27359.9978,2851.4808,23922.0877,21612.9643,18162.7219,16801.2095,15444.5437,4878.8327,
P122-PWY,14989.2887,36725.9564,72659.3951,57460.8364,63432.2078,18019.223,27336.9533,30463.5213,30892.9708,27843.091,16503.8149,8019.2101,7573.5676,24371.5164,30095.8861,12426.3797,32463.4255,5994.713,144905.0133,72410.3778,8766.7785,28758.4151,23403.8054,51454.5102,103615.9811,100908.2664,28030.6991,34187.8891,33610.5098,26317.7437,23841.6756,6702.6222,157033.4944,10685.7687,27822.014,17501.6622,108895.166,4660.7548,24996.9101,40686.6539,33976.538,22686.2042,16306.2219,2373.7441,52114.5445,32202.464,19028.5436,59855.7926,51940.125,36671.719,75448.5055,75157.1016,30546.6221,131375.3532,23878.0516,49035.6549,38836.1473,9894.6345,32599.3539,4544.5911,47444.1909,10261.1971,101079.1997,35868.5158,48319.4917,20729.747,14676.4391,43344.6977,39590.5237,4539.3313,50273.5203,97287.2946,11017.8214,29040.8955,42767.3701,8281.3179,102920.6735,141889.9613,156463.4628,64111.3258,17424.5425,108219.9468,51527.9794,45515.4408,301353.5708,30500.042,
P124-PWY,18172.2912,45700.1149,90432.3174,69828.6932,72604.9588,33517.3185,33264.1618,35902.9517,37518.817,35852.8348,20159.4609,9893.271,10582.6131,27799.5493,39396.8987,17100.4856,46739.3201,7700.434,166526.6029,80298.949,11868.7509,34777.1874,26915.611,59117.8195,118526.5763,120617.6416,33890.0614,40116.7583,39369.4742,31741.1128,33590.945,8906.9678,191803.6005,13114.6516,32345.3356,26340.3354,131498.0055,5692.3601,32385.2197,48467.9824,38040.9935,25805.7042,18857.5883,2865.9535,63119.7316,36642.3829,25836.0843,70823.6672,64560.6248,42978.1997,87844.5329,86104.0656,45220.5086,154120.3969,34891.6597,66127.0301,46023.4943,11920.0655,38359.4978,5641.6205,53377.6114,11754.2478,132471.1793,41494.7483,56837.6627,25613.5376,18064.3397,62234.3043,55485.0687,5754.8513,54339.2146,114992.5078,14924.5773,33846.2131,55501.8145,10775.3841,120673.8783,167502.5667,185080.215,83991.0668,23308.5676,131379.9683,71982.2858,55806.3026,352795.65,42967.6205,
P125-PWY,43.4447,1722.4031,116.9367,1087.4663,949.2753,2876.6417,58.428,29.9897,38.9793,496.4923,106.2128,8.9961,170.9072,70.4141,2557.0206,213.2359,116.8698,81.9011,2304.5164,145.2948,104.5178,17.9926,38.9753,427.8531,53.9758,119.9527,617.3005,19.4944,5.9996,321.0385,152.6547,38.9237,1455.0558,119.4027,359.9979,1008.1044,763.4623,50.7353,49.4559,14.9974,38.9682,7.4989,10.4969,8.9832,2191.3238,109.1443,185.2822,56.9827,1967.5377,32.982,53.9868,49.4786,371.7717,938.3346,1485.7813,804.7153,16.4977,0,16.4962,34.3674,179.6034,0,6408.3328,163.2081,17.9978,55.446,14.9911,1660.6136,178.2619,17.9738,0,600.3651,1278.6111,0,103.4161,493.778,9512.7799,164.9383,906.951,653.0014,530.4946,365.6044,13.4989,211.0647,1712.4886,136.2846,
P161-PWY,18251.693,52916.2517,83376.2689,79287.3859,82490.8373,171972.626,31617.1753,38222.1683,39127.9371,34654.7965,22418.4256,11064.3208,8586.6499,29824.562,55574.7789,16168.6057,34978.4094,32512.5583,205158.5623,81684.5098,9500.9822,33609.5869,29079.4677,73529.223,122232.9297,140306.4938,29724.6019,44922.4389,46456.471,26984.1926,22679.8256,7422.623,220876.3201,15779.0331,39852.5819,222780.5822,150098.7815,6734.1067,45973.686,49935.1713,38609.0815,27742.8046,20553.9563,3377.0122,72945.5724,35906.5331,34769.4585,83693.4197,68689.0466,43713.9162,106596.444,93706.4658,90577.6446,186397.6688,60378.8882,126996.915,52971.5069,10671.8303,38049.6025,6482.5349,55381.4989,10862.0388,130127.4362,44281.726,67385.7939,23554.4221,16467.803,48755.296,48037.6447,5951.2008,53399.0743,137520.4289,30383.4405,32593.8634,60887.8405,20554.5564,128104.8655,191205.1452,196465.9025,109059.0605,33264.996,144483.7825,59589.4992,51935.388,421021.5682,42546.3889,
P162-PWY,42.7773,457.7021,1147.0936,241.9299,816.4672,116.4916,78.2553,71.8187,83.993,1588.3774,178.0618,155.763,63.7503,124.9741,12.6706,136.0278,8.8489,313.6478,263.5507,25.4717,63.5006,205.1797,79.7488,40.507,54.1317,59.9277,827.5215,37.485,21.19,733.2675,33.6983,76.0333,134.6212,271.8894,75.0577,55.9574,538.3576,76.7954,51.6475,62.276,7.8537,17.8998,77.1113,0,85.0303,162.0248,125.8408,465.795,715.1705,86.7726,7.1151,50.7412,252.727,586.2779,500.0482,7.0756,195.3929,30.8361,76.6553,70.9098,49.5565,0,141.5239,291.375,215.6866,117.0992,64.1264,458.1478,13.6545,24.7736,0,580.1841,485.0349,88.967,1670.0291,1788.1323,895.8813,418.0262,412.1882,142.1109,2115.7053,815.538,1791.568,96.8609,43.1862,152.9316,
P163-PWY,0,229.5537,1307.5331,151.7731,312.3948,26.5564,41.5756,1.7773,0,108.0199,125.053,5.2971,0,0,31.5421,13.1464,0,200.715,100.4958,0,0,39.0461,2.6749,65.3953,0,43.63,303.7142,0,0,190.7502,50.261,0,58.0186,36.4147,31.8915,21.28,266.4389,15.3285,45.1819,0,0,0,0,0,54.4054,28.6556,89.1308,212.1429,253.9483,29.6098,0,0,132.3879,367.7623,232.1757,79.7402,44.3418,32.9996,3.9777,10.4296,0,0,100.4186,2.6709,24.532,4.4128,0,165.4091,0,0,0,211.6765,153.0223,13.1159,945.2043,374.5487,2.6783,15.8245,45.7879,31.5439,215.652,250.2731,2098.6219,12.3185,23.1316,98.6557,
P164-PWY,4033.526,2189.8606,8071.9027,15546.6316,82623.197,3815.2287,8703.8416,637.3698,6816.7013,6217.1567,1525.8062,1004.4445,499.7962,1153.9636,509.825,532.1082,1159.2629,1560.0248,5893.4079,1409.6351,585.6723,10471.7811,3768.6211,885.397,338.1545,960.775,7130.9092,176.9939,270.3908,4229.0921,1577.8737,378.6577,2011.1457,4490.8468,1189.5867,13620.7533,18883.416,2058.9466,928.1742,5742.7905,1004.9022,2081.9629,725.0659,232.1179,926.7148,1833.1291,924.8286,1807.0226,3627.1426,5547.1445,438.3249,514.9737,4004.7937,7652.8454,2157.6674,1125.8941,986.3106,4593.691,1886.2291,1497.3428,1702.5262,648.5891,7143.8781,2469.1903,591.5201,7239.2543,6921.0931,4683.7981,605.6025,1635.5539,12.7023,17443.6745,2118.3418,1692.1386,11665.9178,17310.6373,18168.3961,4410.8336,55461.491,4953.0213,20910.2714,5510.2482,10530.3846,4867.0484,1684.0062,19600.4506,
P23-PWY,3626.2307,3083.2075,9178.2969,8781.8256,7297.6498,5095.9429,11808.7854,3260.5649,7061.2765,12629.953,4330.5047,1153.5599,3060.2668,3561.6004,491.9196,1552.183,1752.3419,1683.7956,7781.2913,3481.4026,3064.2001,7583.7871,4738.7677,1759.826,308.9535,1507.9684,7257.6822,451.3258,1492.6554,5980.0574,3298.9838,1405.1284,2874.8616,3773.9242,1374.1113,3381.1343,10353.2509,1495.0333,1607.7415,7223.7585,906.5866,2348.5263,1342.8509,283.0292,1599.5165,1718.7107,1436.2741,4330.0852,4615.5964,5813.679,2322.9044,437.3805,4445.6544,3996.0988,2891.9601,2926.1877,2083.1236,5449.3748,3252.0171,2535.5634,3494.2095,1849.7027,8909.8676,7268.9231,1394.1805,5629.8351,4941.3977,7343.8951,1143.7865,1244.6519,40.471,5540.0889,4834.499,7481.7601,4317.9747,6543.2288,23114.6722,5241.507,30288.237,6268.7693,2502.086,15783.0178,1047.1695,17400.1255,7292.3657,10793.5391,
P341-PWY,886.976,255.3478,3572.4073,15511.1182,5800.2952,39.9936,2952.6667,499.2501,1235.2452,1422.535,446.5448,153.5798,309.8309,61.1669,23.7422,71.1064,3.7498,504.3665,6160.9442,285.5687,305.416,2528.4418,2280.0279,864.195,331.8659,287.0211,3043.4689,13.7468,171.9772,2371.7306,862.8225,185.5584,156.1624,3102.473,794.7282,8.7497,18859.1339,1543.2837,210.5693,1389.5396,168.2395,1319.4881,36.2041,179.881,58.7126,689.1726,323.073,712.7167,601.4652,1718.7873,367.6663,228.3558,732.3456,1015.6615,440.2594,562.2051,673.3206,1351.3601,622.5656,1106.9584,252.9674,329.6877,189.8313,143.4493,344.808,2001.1613,2293.5951,713.6919,133.5662,422.3208,0,11429.4866,220.4745,614.7087,2298.7752,7301.634,565.8473,614.8197,3664.6618,1470.1272,6761.3174,888.901,2843.6314,111.1369,294.8307,13017.6581,
P4-PWY,1584.466,10960.2507,21669.3869,19599.3127,14622.0539,22940.0133,6533.2604,1995.7816,2564.9712,9265.4948,5111.1108,963.8454,3142.4379,4805.4416,6855.1377,5339.7269,4916.7934,2900.9557,21393.1738,4227.056,2773.7178,6474.0381,3477.0165,4849.2062,391.3643,3217.9187,13875.2838,178.6523,1195.9558,7972.1102,8650.3407,1114.8078,14303.951,3076.1704,3727.8182,11954.197,26788.6816,1342.7795,2402.8624,3698.96,2370.7373,1200.3717,2087.3563,197.6013,10164.4214,1663.2333,3791.3741,6397.8343,14740.1057,5827.0345,2286.3885,749.1847,9447.8441,14372.839,11561.9474,7430.0978,3524.6037,2977.8712,1866.7862,1507.3013,3930.6334,781.5416,38131.406,8936.7857,3076.2229,2522.8503,2404.0424,21471.1083,4985.2224,926.0387,15.6271,13331.6454,10940.3823,4790.1861,17182.6058,13314.8981,35385.2661,13454.2504,24109.0655,9722.2348,17977.9231,12710.0828,14977.7023,13761.3786,12894.2568,3633.3367,
P42-PWY,8513.6516,8394.3149,71425.0276,28048.4302,25998.8285,8647.7894,16827.0348,13064.466,9395.5606,20093.3197,29428.9369,1777.6241,4173.0077,4245.1845,1948.6713,2123.4984,18073.4141,11713.4491,18741.1822,4528.1864,6458.581,9659.7543,9509.7033,3470.6856,379.0807,15031.9161,46247.9741,883.7816,4205.9129,41706.6287,28397.2095,4962.3338,13745.4342,3650.4523,3013.5102,14452.462,39077.3486,2238.2068,5394.2377,11954.9495,1561.5467,5138.7663,1949.0122,701.9225,11077.3766,1855.0777,5925.4717,10288.0523,17781.3195,8411.8544,2842.4602,513.0824,43207.138,13477.9469,10493.236,14321.4006,10204.6907,8841.9538,18937.3869,2728.6788,4215.9193,7118.9281,14176.1521,8785.2513,7899.6645,20421.9833,12334.9152,20472.1082,3938.6943,2704.1225,108.1348,18986.5558,20133.6202,19556.7915,36935.9837,20880.8804,35435.9625,36334.2179,48378.874,11653.8312,37320.4865,37603.9454,35703.2188,24240.7613,29962.0845,24862.8237,
P441-PWY,15977.4136,28214.0472,44184.9157,75973.7282,67926.793,44965.0578,32904.1384,28549.4565,28953.0554,38845.6003,28747.0758,7201.4113,9871.7402,14835.3639,5893.5939,13128.5902,20102.5914,25591.624,98505.3033,23661.1671,11369.5339,30804.4703,18836.8042,28573.4379,9987.1752,15676.0626,34841.5377,6981.4723,19542.8308,38190.8237,27425.3384,7881.2426,34085.9729,13626.0544,18265.9188,8211.6483,133904.133,5908.7852,20645.4692,34006.5468,10455.2774,14942.1082,8898.4904,2012.4864,16720.7081,18697.7922,19052.3839,27965.8205,34180.5622,30058.6878,28318.8732,11099.4054,82295.3817,80012.9772,26076.5194,43706.6851,14158.5874,12505.7758,28824.0066,6219.0383,22051.0442,8939.3803,67327.7076,26239.7748,13800.5424,24660.3936,17102.447,46297.3537,25671.2989,5420.5694,1163.3694,89065.7137,28467.5689,28481.0443,35841.997,22515.3089,102997.2761,107987.9324,153974.9718,77135.3807,30320.6509,101661.6606,43119.8463,47563.8147,138377.6078,54748.9624,
P461-PWY,10421.7963,13284.3705,17591.3181,45153.5403,37229.6808,14105.0205,23871.9536,17959.5359,17417.0875,16085.5347,19844.4955,3871.9636,3640.3755,7618.0938,1900.1636,6302.3966,7735.7749,18683.2574,48978.6499,10373.9616,3604.1292,21189.2086,9855.1775,11856.2395,2597.7051,5047.5005,17493.5792,1972.1858,8373.6947,21951.1815,12214.6083,4267.6217,11354.9972,5908.1139,7847.3499,2460.623,86872.8438,2534.6936,9134.4744,20178.4461,3903.093,8511.9947,3957.707,1237.2975,5944.9772,9760.2325,9121.0579,11014.5246,14848.0759,18510.0422,9938.1629,3038.5279,26028.6664,33834.0213,10718.9568,23936.0332,5203.8665,7700.765,18698.5358,2374.1641,10431.1102,7015.2566,28944.8479,14913.4118,4836.9428,14616.626,10355.678,21714.8783,9711.9035,3243.017,289.9784,48019.4839,8375.6798,22772.9632,14888.9081,5152.3115,70179.0343,55053.0643,97413.8187,46810.7234,9356.5236,56606.1062,18159.7009,31935.4153,50539.5502,27943.8298,
P562-PWY,1422.9949,263.6652,646.3614,2285.7098,1133.8636,42.6283,3675.6148,114.7423,2284.4554,983.6422,155.8348,230.5918,96.0079,359.1128,20.4435,112.7875,5.6689,151.5865,743.3836,169.1465,125.3264,4179.4398,23.7638,112.1528,31.487,22.0634,738.5984,25.2305,57.552,649.1814,20.2104,49.0441,73.8,48.6407,88.1327,65.9465,2929.3897,22.2034,65.0726,1723.5464,136.1906,11.0154,150.8106,2.4,43.6711,444.1848,70.1243,377.5433,403.2469,1830.6292,59.5297,54.5938,442.6267,425.9481,276.8092,134.1966,259.3186,1676.702,512.7057,12.8333,271.2507,179.4459,98.7686,667.7084,131.1058,3993.9954,3138.3796,608.5218,36.1838,993.7166,1.875,1688.6731,182.5314,410.6604,1084.9864,4099.4878,1892.4202,843.0019,4174.1847,759.2304,4798.5997,806.6412,950.2941,34.8994,155.9219,5540.3765,
PANTO-PWY,4976.2172,4533.032,37435.9905,22651.4841,13763.4255,6384.0059,10029.7008,6893.1611,5978.8142,15122.9438,17723.6834,1158.3738,3409.9197,2848.7739,914.3023,1714.2785,9209.403,6488.5002,15017.0955,2980.7754,4920.6592,6548.0813,6368.5849,2894.2267,351.2376,6656.6046,26416.6614,570.794,2160.1338,23686.5541,16479.7692,2851.1473,6479.1674,3327.9117,1996.6433,17159.1817,36899.2794,1754.1099,2822.5618,7066.2085,559.8632,3201.0125,1002.4382,383.8128,4940.5852,2493.1107,3047.5457,5219.7825,8956.4389,5273.085,2098.9362,476.8781,26786.2463,7786.9056,5226.4352,8928.05,4641.0646,6304.0506,11208.2228,2366.2659,2986.9801,4566.0305,9381.6409,6043.8148,3823.5818,9979.8372,6757.4588,12690.9643,3015.4406,1379.7433,68.4358,10623.4664,11162.4665,11348.91,20544.3686,15638.8387,21990.1846,22814.9113,27442.1022,7178.2547,23266.6136,25764.5503,23748.1791,20731.6405,18556.3702,15623.6957,
PANTOSYN-PWY,6640.3502,6707.5056,48793.9635,29096.4546,18537.3807,9490.7197,13511.8146,9104.2477,8368.03,19236.4609,19654.7217,1666.4382,4525.5845,4067.6549,1290.2505,2426.6976,12823.8176,8608.7902,21205.0619,4418.972,6347.9437,8959.7679,8822.2789,4169.1528,474.0601,10421.008,30966.8404,825.0382,3422.5271,26996.9428,21459.8793,3793.045,9722.4084,4515.4546,2861.8573,25573.0638,48081.2394,2367.8286,3954.8079,10031.3622,837.5852,4604.7853,1475.2354,560.7364,7654.1557,3530.5304,4420.554,7963.2931,13059.1532,7446.4125,3305.979,680.7945,37089.9206,11326.7257,7824.5891,12075.2635,6923.3002,7765.7157,15014.4686,3099.0466,4357.4956,5943.9347,13591.9641,8429.9433,5933.6724,12941.5748,8754.9396,17421.3859,4381.4922,1866.2847,102.5947,14923.9429,14480.1165,15354.8496,27483.1252,18719.6244,31762.0162,32097.3819,40472.8711,10402.0513,29208.4569,35307.2016,31544.3085,26208.0271,27456.3391,20566.1765,
PENTOSE-P-PWY,7663.9518,8216.9439,49677.7126,42462.7145,39691.5863,7872.0243,19956.5317,5744.5319,11681.8323,23175.5758,13006.0667,2932.7795,4659.3364,6633.9991,1493.7619,4742.9149,4594.1278,8401.8401,29092.3418,7451.7817,5100.657,18145.3016,10462.0458,6297.0651,1884.9982,4128.7376,24043.7486,1250.0933,2682.5857,22232.9408,10439.0118,2548.3309,7194.1729,9079.3756,4200.8784,16616.5069,67969.6713,4107.364,4264.4901,12018.9928,3672.2406,6056.392,3416.0482,791.1527,3688.0246,7911.375,5020.4453,11990.9904,13048.908,12415.5014,4403.0281,1834.2214,24567.0776,18987.3707,8764.8966,7745.6269,5046.0092,8497.2598,6674.5435,4118.1687,7492.8605,3104.9197,15682.4175,12410.0462,3824.1921,14750.5706,12168.4671,18209.1493,4861.6717,3402.6314,120.2374,32422.9282,10663.1682,11036.2686,32901.731,16311.0477,36709.2966,27860.1013,55975.1958,20534.6698,28673.172,40142.1879,35187.3211,24705.9501,14581.6402,31806.1479,
PEPTIDOGLYCANSYN-PWY,18699.3242,45493.9511,98736.8386,76736.2702,74009.4364,153572.3113,35549.8372,34462.7157,36192.5285,42679.196,34224.6033,9874.8616,13292.2638,25943.1825,46697.0794,19282.0616,54799.6199,35109.5324,162671.1812,72108.0002,15088.4446,35314.8422,27107.0393,57025.6594,104202.3122,112722.6298,49365.7975,35661.0528,36541.7631,44561.7722,49904.2846,10107.4426,180480.0842,15453.3088,30904.835,187093.1808,138975.4895,6885.0855,39858.7495,45489.5687,33863.0469,24340.7165,17302.9665,3151.1893,59944.7706,33716.9184,33795.6001,67250.659,63337.0316,40376.8126,81518.2717,76457.8325,117077.931,145249.9194,53318.7184,117953.0504,43550.2028,14483.011,37416.8125,7236.2609,48502.2088,12020.8447,131956.7782,39303.6374,53241.4301,28786.5309,20665.7465,75189.1153,58485.7201,6390.1262,49010.2989,112148.0202,36669.1915,34429.2,70371.8161,34348.4326,116352.3435,159791.1521,175580.49,93054.4832,63283.3503,127204.0386,84676.0356,58852.1109,325366.594,55257.6482,
PHOSLIPSYN-PWY,18937.2983,45457.4309,94321.8491,78959.9315,75320.7868,155028.5973,36859.5075,33499.3689,37623.1313,42415.3891,29402.0785,10142.9288,12025.1384,26723.9902,49303.8751,17756.765,44841.1383,35723.4282,163489.0023,79932.2458,13443.9218,37671.9408,28093.0629,57206.0286,110146.3477,110240.1628,42038.559,35976.8158,36544.2614,38887.4776,39925.0216,9009.927,176654.0023,16661.0962,30983.0165,194951.1154,142402.0638,7384.6346,41874.8011,46565.8144,37310.7093,25585.6799,17825.0523,3310.91,59173.0321,37181.6861,34586.2641,67561.2924,61450.3575,42161.6889,81999.8497,77779.2396,107364.0154,145578.0196,53962.0495,123848.6218,42957.7664,15359.2631,35683.9812,7498.5283,52313.6243,12317.7019,122055.7383,40304.4437,52854.0274,28034.4522,21104.1583,64305.2877,50664.0708,6632.3938,55308.4531,113986.2366,34745.8222,34769.8975,70849.0592,36455.6035,116964.5351,158100.3541,176715.2548,93998.2568,64932.3328,126126.2815,77939.8151,56411.0813,324256.139,58811.6222,
