#OTU ID,LYZdtt305,Vil1.07B.DTT81,LYZFP329,LYZdtt317,LYZFP317,Vil1.02B.FP21,Itg.10.DTT457.S51,Itg.20.DTT505.S100,LYZFP305,Itg.20.FP505.S8,Itg.16.FP481.S84,Vil1.04B.DTT45,Itg.04.DTT421.S13,Itg.26.FP541.S45,LYZFP353,Vil1.05B.FP57,Itg.02.FP409.S9,Lyz2.04B.DTT245.S86,LYZFP341,Vil1.09B.FP108,SLCdtt021,Vil1.08B.DTT93,Itg.12.DTT469.S63,Lyz2.05B.FP257.S54,SLCdtt147,Lyz2.03B.DTT233.S73,Itg.04.FP421.S21,Vil1.04B.FP45,Vil1.01B.DTT09,SLCdtt165,Vil1.013B.DTT153,Itg.12.FP469.S71,SLCdtt051,Lyz2.06B.FP269.S67,Itg.10.FP457.S59,Lyz2.08B.DTT293.S135,Vil1.13B.FP156,Itg.18.DTT493.S88,Lyz2.08B.FP293.S91,Lyz2.01B.DTT209.S49,Vil1.05B.DTT57,Lyz2.03B.FP233.S81,SLCdtt111,Lyz2.01B.FP209.S57,SLCdtt129,SLCdtt003,Vil1.01B.FP09,Itg.26.DTT541.S37,SLCFP147,Itg.16.DTT481.S76,Vil1.010B.DTT117,SLCFP021,Itg.18.FP493.S96,Vil1.02B.DTT21,SLCFP051,Vil1.06B.FP69,SLCFP165,Vil1.09B.DTT105,Itg.06.DTT433.S26,Vil1.03B.FP33,SLCFP111,Itg.06.FP433.S34,Itg.02.DTT409.S1,SLCdtt069,Lyz2.07B.DTT281.S123,SLCdtt075,Vil1.14B.FP168,Vil1.06B.DTT69,SLCFP129,Itg.24.FP529.S32,Lyz2.07B.FP281.S79,SLCFP003,Vil1.014B.DTT165,SLCdtt093,Lyz2.02B.DTT221.S61,Itg.08.DTT445.S38,Vil1.10B.FP120,Lyz2.05B.DTT257.S98,Vil1.03B.DTT33,Itg.24.DTT529.S24,Lyz2.02B.FP221.S69,SLCFP075,LYZdtt353,Vil1.07B.FP81,Itg.22.FP517.S20,SLCFP069,Lyz2.04B.FP245.S42,LYZdtt365,LYZdtt329,Itg.22.DTT517.S12,SLCFP093,Vil1.08B.FP96,Lyz2.06B.DTT269.S111,Itg.08.FP445.S46,LYZdtt341,taxonomy
MF0073,17077.05,4628.35,63293.73,213462.07,16054.53,31706.89,6170.96,15286.89,14388.03,27674.97,31896.69,22090.98,21271.96,22161.62,23263.33,43291.28,18141.19,4918.5,32423.55,50548.54,7952.47,7267.89,14978.77,16413.83,37692.37,6967.64,14658.65,25700.66,5558.68,46193.72,8716.36,26821.49,17894.68,17178.28,21761.52,23600.85,2223.88,24315.29,15740.98,15297.14,3758.01,17750.91,18793.45,21159.59,6808.68,15319,27331.93,23409.22,16255.17,25067.52,14936.43,12961.15,22303.79,8834.95,16959.82,40929.92,18085.92,9635.18,12083.87,42726.7,12535.58,16920.8,18455.05,27785.68,10701.54,8762.9,6145.45,7947.51,6125.29,26105.36,13124.69,15026.15,14719.7,29618.75,9453.69,10965.03,27614.44,25485.94,8085.31,22045.13,19127.8,6073.27,68301.39,30130.3,28479.08,6084.62,10393.67,905598.29,82165.24,14471.75,10333.34,46648.54,9900.35,19586.79,782338.34,
MF0070,77465.05,4514.18,15814.99,84108.9,154679.2,17803.3,13008.13,11822.65,303989.28,20991.98,14593.45,5270.22,46176.14,15779.54,5869,9396.11,7786.37,4636.34,17593.14,34519.46,1998.55,5771.72,10560.69,3368.01,20718.01,6831.81,11928.15,12595.9,7412.52,31483.29,10920.94,19830.33,4293.93,4587.19,23383.02,13442.7,36687.54,12187.61,12068.39,5043.89,3794,56574.5,4201.78,9317.59,14394.52,22308.42,20627.67,9199.72,9666.35,13227.7,6285.84,5186.15,13730.71,8639.37,4636.73,7969.52,11231.67,6027.76,43519.21,18397.05,4589.75,21452.14,15546.54,4217.93,3834.87,7412.48,38541.96,7748.01,4814.88,12379.95,4667.37,10464.9,9406.27,12040.09,6084.53,8822.96,25232.29,8117.54,8030.31,9125.21,31856.21,6553.61,53859.72,12146.06,14816.67,4677.28,10584.01,9754.96,22082.9,5723.09,19175.92,49226.72,4677.01,14918.55,39704.68,
MF0071,58891.735,8551.1,79108.105,345199.86,96604.49,40561.805,17059.165,23585.015,172653.785,41845.47,40035.94,32135.44,51127.335,29312.37,30126.415,48825.32,22687.355,7508,43110.26,71580.285,9261.805,11324.265,21716.27,18220.08,49067.91,10838.265,22125.65,31701.655,9197.73,60047.18,13916.005,38432.115,19878.095,20664.57,36246.615,38286.105,22718.37,31032.165,22060.23,27823.14,7418.51,57367.375,23320.535,36405.34,16066.97,31469.46,36151.43,31582.22,22929.38,33978.02,18390.47,15155.275,30204.79,14614.91,21486.86,47883.59,24356.505,12432.015,38946.315,50352.58,15738.33,28926.54,26168.8,27688.47,13807.08,13475.94,28100.6,14710.425,9435.04,33340.61,17372.315,21986.9,19675.41,37077.335,18913.69,15936.905,41481.56,29625.315,12062.725,29231.88,40730.745,10283.27,97925.85,35156.55,38378.33,8651.955,16485.795,920192.33,113869.985,18994.75,25914.18,90037.205,12696.1,28421.75,1166803.17,
MF0038,34029.32,5081.1,80142.23,43641.99,30836.28,48443.64,12603.62,28885.39,25303.61,50651.97,40879.19,18849.74,42091.73,35254.87,31222.58,50789.03,25881.19,9308.5,48330.8,8198.41,9555.97,8550.64,25661.02,19267.33,54740.37,13347.64,24878.9,35754.24,10975.46,69811.47,10135.42,45559.49,20420.18,21474.03,43473.77,20735.31,4490.85,33262.29,26145.73,26255.64,3987.01,36091.34,23451.95,34695.84,15198.7,34541.51,43932.43,31875.47,26232.17,34875.52,19392.68,15676.4,33334.79,16643.36,21248.32,45424.59,24864.9,10417.95,21516.39,57432.37,16053.58,35505.13,29862.45,33609.68,15435.54,16019.15,3907.62,8733.26,11315.04,37030.36,18988.44,25540.15,22427.7,40571.5,18782.19,18675.03,14912.01,32074.44,11106.97,31175.63,48897.94,11979.02,70881.41,36232.05,43917.58,10909.62,20726.92,878914.54,106145.07,21222.75,21722.39,112595.04,14393.85,32715.79,77507.95,
MF0039,297.5,8,111,898,107,246.5,46,227,237,516,232,72,226,216.5,88,213,254,242.5,1861,19,70,24,73,63,686,31,193.5,216.5,38.5,97.5,1107,404,78,129,511,51.5,3,129,81,281,0,76,63,524,31,264,394,173,685,129,217.5,115,376,41.5,156,361,83.5,58,70.5,1371.5,68,232,129.5,274,44,321,3,9,41,251,33,429,96,192.5,602,80,151,136,69,219,343.5,348,173,338,778.5,36,396,560,153.5,133.5,195.5,59.5,65,288,3200,
MF0036,9352.55,3902.5,16656.44667,109443.305,29348.855,8406.648333,4146.376667,5067.36,20314.92,10389.76,11857.39,9765.226667,13947.57,5927.601667,5938.493333,10833.71833,5071.246667,1663.58,12105.36667,20449.905,3239.43,4359.75,5074.71,4028.14,12411.12,2197.948333,6938.483333,7095.146667,2321.16,12079.49,4267.735,7617.801667,6206.24,4580.611667,7977.458333,11364.36667,1414.278333,8162.8,5843.186667,5322.71,3590,10905.42167,6434.01,7169.123333,4221.83,9876.92875,9168.66,8111.165,4216.32,8871.47,4602.123333,4281.333333,8173.74,3252.648333,4299.61,10993.91167,4265.596667,3406.25,5835.41,13200.81667,2908.971667,7519.623333,5269.716667,9152.32,3093.023333,3424.056667,3622.943333,6737.5,2587.893333,7618.016667,3701.171667,4652.75,4647.373333,9447.74,3857.035,3761.853333,11027.99667,6794.48,2985.551667,6783.75,9728.42,2538.136667,21695.31333,8490.183333,8253.23,2418.77,3222.701667,155298.4967,25645.95167,4189.326667,5025.108333,17861.15667,3104.41,5928.465,383215.4467,
MF0037,37.5,3,0,100.5,2760.5,141.5,56,20.5,211.5,92,101.5,128,252.5,56,93,188,53,11,178,78,46,9.5,65,56.5,60.5,20,254,318,24,171,0,172,88,67,107.5,25.5,7,122.5,84.5,50,0,80,69,54,39,129,112.5,40.5,50.5,67.5,191.5,147,118,35.5,157,103,161,63,69,825,109.5,96.5,53.5,46.5,31.5,0,20.5,0,30.5,59.5,60,159,22.5,148,21.5,80,75,36,126.5,52.5,44.5,12,83,117,118.5,0,33,125.5,78,40,850,3819.5,42,181,131,
MF0034,7053.9,251.18,26511.09,25661.7,15257.35,13504.4,2330.73,6018.2,7364.48,9281.18,13967.75,3195.17,10305.24,10653.74,6029.75,15738.66,9789.07,1136.64,8575.24,28369.21,2240.65,694.47,5354.89,7441.01,17138.96,2090.06,5209.15,8740.3,2112.32,23017.14,5846.94,9914.18,4418.33,5881.69,8455.67,4082.65,1164.29,8973.96,5033.64,2757.89,54.5,8747.65,5594.28,6646.19,3010.12,13188.62,10207.97,6746.42,6847.8,8812.05,8088.59,6341,9320.01,2535.52,4269.38,20443.32,12433.52,3609.51,5256.46,19582.8,5768.45,6517.14,9863.84,7672.73,3443.12,1628.78,4270.71,380.26,2155.28,12726.25,3863.87,5687.5,6364.52,11477.99,2795.83,4445.41,15149.79,8375.79,4514.61,9061.11,8298.76,1746.41,47098.32,14856.46,9175.97,2266.88,2494.51,879475.46,33991.5,3881.99,4163.02,18001,2993.01,7510,28129.63,
MF0078,76041.23,4604.1,28754.33,244289.78,72306.1,12841.07,9954.39,10664.85,273428.57,17127,19327.83,19075.44,46193.23,9162.74,15312.59,17348,5468.22,3965.46,27898.57,44141.13,4374.49,6368.56,9492.89,5632.08,21311.9,6362.14,14554.15,10985.23,7337.57,30545.9,6924.94,13578.75,5301.58,8455.03,14452.51,27703.14,3755.63,14186.72,14482.65,14574.05,3886.51,42634.72,7401.54,18601.44,12675.53,12253.29,20730.07,14704.08,5595.54,19129.62,6391.09,6061,11550.01,7740.94,5995.47,12936.14,4936.77,6515.93,43585.03,17572.54,3972.53,23688.47,11653.35,4653.23,5315.12,8708.45,3998.03,7884.01,4456.36,10999.74,7403.11,5459.75,10391.04,13240.99,10590.15,7703.15,20049.53,11825.61,6043.19,12054.12,33496.51,6896.41,60579.08,15314.95,14196.72,2859.31,7803.59,15106.04,52128.26,7699.73,8500.35,49958.82,6088.18,11225.16,774133.54,
MF0035,6718.65,4146.18,21382.59,9589.87,12220.25,8714.57,1569,4095.5,5936.25,8461,9280.75,2977,6748.75,6327.74,6058.33,11714.58,2675.24,1040.14,8644.07,4741.79,1778.98,4919.72,3792,3031.25,8946.38,1947.31,5139.75,7579.14,2261.15,11226.22,8592.86,6985,4084.5,3366.86,6088.92,3058.42,1740.21,7672.5,4324.5,2629.75,3618,8568.4,3214.75,6044.19,2699.75,10510.7,10177.97,4216.92,4535,5638.25,4665.51,4769.75,7657.25,1771,4065.8,12184.42,5135.35,4703.09,4301.96,9356.21,2514.75,5592.25,4069.84,6061,2728.04,1758.75,1183.71,7195.18,1917.25,5345.25,3346.87,3312,3643.6,11543.25,2358.33,3298.25,6818.62,4441,2321.78,4049.11,6865.01,1674.75,4267.15,12546.96,5428.97,1791.71,2273.51,12016.63,22563.84,2648.49,3693.25,11139.59,1685.01,6292.5,8610.05,
MF0079,912,3901,4157,4312,8733,2733,527,1348,5721,2421,2699,2041,1323,1954,786,5048,1098,232,1990,825,1255,4358.25,1700,1773,724,723,531,1942,925,859,1055,3294,715,670,1296,806,55,3744,997,853,3590,2978,1417,2001,290,404,3551,1286,1539,1873,1244,2504,3839,752,565,4483,1935,3268.25,780,3643,385,961,1411,6991,547,500,203,6737.5,234,1550,648,535,925,7359,504,1062,463,1837,637,1115,1059,316,929,5100,2269,420,408,8324,8482,985,750,7877,695,2044,2212,
MF0032,147,3901,141,123.25,80.5,3.75,0,4.75,101.25,0,0,111,0,1.5,30.75,6.25,0,0,55,3.5,0,4358.25,4,0,0.25,6.25,0,2.5,32,0.25,1055,1.75,0,1,1.25,84.75,11.25,7.25,2.25,7.5,3590,1.75,0,1.5,0,97.5,2.25,6,382.75,27.25,764.25,4.75,0,75.25,13.25,2,3,3268.25,10,4.25,7.5,1.5,62.5,4,23.75,6.5,39.25,6737.5,0,0,1,0,345.25,0,6.5,6.75,2.5,11.25,64.5,0,1.25,0,87.25,3,0,0,1.5,147,166.5,5,19,18.75,37,1.25,154.5,
MF0076,36677.96,4123,2991.625,39885.835,74805.125,5777.25,5959.5,4963.75,150585.125,8302,3575.5,2065.375,20888.79,5810.125,2406.455,2621.83,3147,2076,7470.625,14216.875,513.25,4853.25,4162.625,1135,6527.375,2770.75,4864.375,3213.04,2998.9575,10448.125,3724.5,7811,916.415,1524.665,9607.375,6102.085,17830.875,3475,4924.79,2185.67,3684.5,25386.25,1659,3550.625,6108.5,17612.875,7182.83,3335.625,3878.75,4357.625,1939.125,963.625,4268,3752.375,662.75,2454.25,3482.5,4053.75,20127.125,6924.875,1266,9340.54,6456.5,2034.54,1155.375,3374.75,18609,7115,1772.125,4446.75,1515.165,3706.75,3557.75,4592.125,2659.67,3220.75,9189.875,2851.04,3326.625,3252.5,13565.295,2758.875,26271.54,2239.625,5942,1732.5,4688.5,2251.29,5012.87,2038,7646.25,24656.75,1848.085,5362.25,18654.79,
MF0033,79307.605,6644.8,38643.19,178802.595,119700.355,24939.605,0,16826.545,292732.205,27975.885,22678.945,15175.18,51784.68,18176.21,16487.205,25552.325,0,0,28914.89,51103.56,5046.1,8989.82,14197.785,9846.415,31067.92,8534.07,16370.825,19066.545,8728.605,41284.225,9566.015,23440.695,9219.975,11105.1,24663.56,23389.535,21978.525,17745.595,16770.365,13788.32,5662.755,53526.005,11984.89,19117.495,15083.955,25715.815,27224.44,16699.76,13364.65,21144.585,10746.05,8152.775,17195.245,10921.44,9713.795,23431.23,13758.825,9747.63,46243.06,31506.435,8045.94,26711.65,19905.375,14930.9,7526.105,10918.76,23307.475,11495.715,6308.445,19476.53,9390.97,12560.275,13449.515,22391.84,10930.195,10839.165,28006.885,17381.97,9871.34,16910.115,37247.75,8148.485,86421.435,19581.45,22231.14,6120.175,11973.46,455354.355,55023.86,10803.425,15799.205,69017.755,8146.175,17458.46,425592.9,
MF0077,1148.89,5273.25,3077.666667,14177.83333,4675.833333,1971,389.8333333,2092,3219.333333,1549.166667,1750.333333,1749.75,1039.416667,1233.25,625.25,3480.083333,753.3333333,184.8333333,1426.833333,1115.75,825.8333333,6016.75,1068.583333,1078.666667,877.5,495.3333333,915.25,1755.86,708.25,1215.083333,2407.833333,1980.666667,632.5,770.0833333,933.25,721.8066667,1316.916667,2211.333333,686.25,591.3333333,4804,1813.333333,995.3333333,1318.083333,446.1666667,3457.416667,2547.416667,1002.583333,1735,1363.833333,2066.416667,1553.083333,2357.666667,913.25,625,3532.89,1564.166667,4802.416667,748.1666667,3409.056667,440.5,892.0833333,1209.833333,3781.5,500.1666667,333.9166667,376,9108.583333,346.25,1077,645.9166667,734.8333333,1294.5,4303.583333,394.5,1145.833333,871.25,1166.833333,823.5833333,852.8333333,824,194.25,28846.08333,3171.916667,1494.333333,297.3333333,352.0833333,580601,5862.693333,677.5,687.6666667,4484.25,556,1275,14888.77667,
MF0029,7271.31,4215.43,15069.34,26949.7,10746.85,10296.65,1642.73,4048.95,5887.48,4963.68,7266.75,8198.92,5108.99,4537.24,5427.75,15803.91,2922.07,1132.64,7138.24,9359.46,2528.9,5054.72,3323.39,3594.26,7450.21,1932.31,2360.4,12078.39,3219.32,12736.39,12906.44,6333.93,3898.83,2317.44,5022.42,2534.31,18998.54,5670.71,3587.39,2587.14,3630.5,7325.15,3407.53,6901.69,4654.87,6743.87,13159.22,3823.67,5727.05,5535.05,6114.59,5091.25,7084.26,6390.77,6214.38,12496.23,10384.27,5714.01,5233.21,21531.21,3698.2,3865.89,4935.34,6276.73,3510.12,1096.03,2150.96,7140.51,3457.53,4580.5,3300.12,5727,5900.77,7128.24,2107.83,3657.91,10310.29,4152.54,5927.11,3441.86,5567.26,850.16,47025.07,11353.46,5991.97,1506.63,2602.76,876977.46,16368.34,2855.74,3151.77,10543.17,2056.01,4322.25,29831.97,
MF0041,5319.755,2933.9375,16656.44667,109443.305,5505.54,10993.56333,4184.188333,7032.575,4227.165,10555.13,9734.92,9765.226667,7160.2,8308.686667,5938.493333,10833.71833,6599.948333,1831.04,12105.36667,23933.58,2396.595,3285.036667,5930.995,5033.82,13700.265,2210.165,5624.125,7095.146667,1770.825,12842.51,3423.585,10904.83,5212.37,5603.776667,10130.205,11364.36667,2813.903333,8162.8,5843.186667,5322.71,2694.5,11702.59167,6889.67,7169.123333,2266.665,8611.205,9168.66,9692.795,5717.575,8871.47,5153.038333,4521.125,6725.038333,3875.148333,5252.235,11749.03,5782.761667,3259.948333,4284.83,14990.73667,4276.245,5666.57,7314.706667,8798.405,3144.773333,3424.056667,5625.493333,5073.625,2126.995,8868.298333,3832.511667,6251.75,4791.148333,9203.035,3857.035,4225.36,12233.275,8043.19,3208.886667,7675.375,8286.6,2206.433333,39296.84833,8490.183333,8888.115,2472.305,3978.621667,583338.5067,26044.62,4374.495,5025.108333,20310.33167,3174.675,7568.2,385109.32,
MF0085,50899.565,328.5,2129.8125,47126.19,52213.5625,4436.1875,5954.7525,5770.005,202257.06,7961.7525,3636.745,2084.37,30111.435,1961.56,2514.37,1967.0575,1303.5,1660.255,8869.5,14803.9975,481.125,681.2475,3097.56,1017.5,8350.125,3198,6228.8125,2788.43,4411.685,10693.4425,1101.75,2779.38,486.2475,1471.2475,5777.5575,8084.25,2477.56,2027.8775,6544.7475,2405.755,155.25,28591.755,805.4975,4229.5625,8056.7525,11609.935,9781.12,2042.5675,1684,5669.1875,1091.19,412.6875,1312.9975,3610.31,298.9975,2465.25,1155.7525,1043.0025,29595.0675,6214.125,200.5,13176.06,5818.5,1043.06,1381.5,4494.8725,1880.6275,634.9975,1901.31,2744.3775,1975.7475,1580.125,3029.4975,5008.31,3130.255,2481.2475,6038.185,3195.7475,3283.0625,2940.495,19324.755,3403.4325,38201.4975,2736.5625,2913.495,1488.9975,3309.2475,1306.56,5891.9925,1691.0025,3527.3775,29136.6875,2174.7525,2211,24630.6225,
MF0086,158818.01,4933.05,69914.23,360892.735,271525.49,50698.805,26954.96,34163.89,598635.365,57128.47,45776.315,28285.815,101620.085,37725.37,29912.04,46105.945,26005.355,11650.25,56688.885,112240.125,9669.18,7219.695,28560.52,19203.58,62443.91,17013.765,31416.025,35915.405,16935.64,83329.68,13509.275,48869.865,17652.47,21566.82,50608.02,46071.48,40897.045,36707.415,31873.23,26069.015,3965.005,111531.91,22565.035,35577.215,29829.265,43538.46,52314.055,33028.845,25875.13,41901.52,18809.72,16374.15,34618.665,22268.16,18742.985,42752.215,27244.005,10879.515,92150.62,58626.33,15439.83,52844.925,38706.8,26118.095,15027.58,21023.94,51508.2,8503.67,12540.79,38603.985,19121.44,25634.275,25612.285,41527.71,20888.19,22112.53,62170.4,34533.94,19672.85,32870.255,73007.05,16161.395,169630.85,37538.8,44531.705,11885.705,25484.92,904148.83,104991.86,21249.75,31393.88,137021.83,15622.85,36026.125,849037.045,
MF0083,424,32.5,1245,685.67,276.5,399.25,101.67,222.84,372.83,613.67,351.66,154.66,860.33,276.08,451.16,309.66,191,173.59,1552.5,25.83,101,166.33,188.33,175,638,99,917.5,770.41,66.165,289.34,0,298.34,272.33,374.83,777.16,85.33,12.33,195.67,442.83,84.34,8,378.34,125.33,161,41.67,358.33,482.16,132.34,382.75,260,598.17,330,146.33,93.79,182.33,456.33,221.17,279.67,86.09,2422.08,341.5,218.33,124.5,101.33,104,154.33,32.96,75.33,78.33,223.67,174.83,584,162.33,445.83,122.34,170.33,218.33,241.33,287,290.66,224.34,186.66,608.83,257,624.91,111.83,366.83,2211.33,964.16,150.67,1538.92,1011.5,261.17,531,1670,
MF0040,766.53,3959.43,2523.14,17327.085,5410.83,1508.42,279.86,2014.17,3069.58,1261.71,1512.29,1278.19,736.86,1108.21,589.22,2885.92,601.24,129,1243.62,578.26,677.33,4530.39,920.86,917.86,1534,398.11,313,1300.6,523.62,572.92,2575.96,1770.89,557.165,367.38,781.96,518.51,898.78,1979.54,562.96,475.5,3601,1638.61,763.33,1092.79,182.33,7948.915,1868.96,772.43,1431.08,1074.25,1548.49,1304.75,1999.43,486.87,647.92,2445,1023.33,3580.87,449.57,2274.01,334.5,514.36,873.64,3690.67,343.99,260.17,561.54,6850.6,162.415,873.43,352.29,425.5,912.87,3847.04,312.79,825.665,548.415,959.11,472.88,626,716.82,179,42580.665,2848.86,1176.71,705.33,256.93,865303.915,4639.6,523.57,444.67,5420.99,420.14,1079.58,20004.58,
MF0084,147,3901,141,123.25,80.5,3.75,0,4.75,101.25,0,0,111,0,1.5,30.75,6.25,0,0,55,3.5,0,4358.25,4,0,0.25,6.25,0,2.5,32,0.25,1055,1.75,0,1,1.25,84.75,11.25,7.25,2.25,7.5,3590,1.75,0,1.5,0,97.5,2.25,6,382.75,27.25,764.25,4.75,0,75.25,13.25,2,3,3268.25,10,4.25,7.5,1.5,62.5,4,23.75,6.5,39.25,6737.5,0,0,1,0,345.25,0,6.5,6.75,2.5,11.25,64.5,0,1.25,0,87.25,3,0,0,1.5,147,166.5,5,19,18.75,37,1.25,154.5,
MF0082,305.75,3901.5,313.25,579,99,119.25,0,118.25,159.75,0,0,210.75,0,120,97.75,102.75,0,0,1029.5,10.25,0,4371,67,0,278.75,29.25,0,139.5,56.75,18.25,1608.5,211.25,0,80.25,274,155.25,12.75,85.5,64.25,217,3590,84.25,0,301.25,0,211.25,191.25,120.5,694.75,82.25,805.5,28.75,0,100.75,75.25,109.25,17.75,3286.5,49.25,596,73.25,142.5,119.25,164.5,63.5,190,43.5,6738.5,0,0,39,0,403.5,0,328.25,47,14.5,83,71,0,215.75,0,197,120,0,0,226.5,595.5,256.75,88.75,42.25,108.5,94.5,160.75,1782,
MF0080,895,82,0,2251,2481.5,2664.875,1264.75,940.375,1227.125,2351.25,4701.875,1204.25,1616.875,2871.75,1865,3142.125,2098.5,338.25,4886.375,13968.25,761.875,199.75,2295.5,1206.75,2596,327.75,1105.625,3174.75,403.125,2946.25,0,5530.5,1220.125,983.125,4451.875,659.75,16176.375,5358.25,1089.875,1631.625,0,760.625,1241.5,1901.875,0,0,2167,1598.625,1714.25,2841.375,1187.75,1851.625,5249.875,828,813.375,2557.875,1436.25,613.125,1274,3277.25,902.5,1553.125,2254.5,0,688.25,0,12055.5,0,582,2218.875,811.25,2273.375,2069.125,2431.625,970,1804.125,6859.125,1907.875,498.625,1613.375,1418.875,419.875,2563.125,3206.5,3870.375,0,718.25,3086.625,4512,1242,4715.375,6731.875,689.75,3756.375,7036.875,
MF0005,67958.42,8351,19577.64,175550.5,72374.58,14054.5,8473.17,7871.59,271046.41,10976.17,16180.54,13945.5,41395.08,12145.46,4843.58,8927.5,11431.57,2282.84,17286.58,58929.68,2141,9714.33,6394.61,7029.11,17372.86,4367,8838.25,9547.93,6186.91,24367.75,9638.54,15121.14,3089.25,5325.21,11583.71,13848,33444.86,14193.29,9111.58,3139.59,7379,38374.09,2636.25,5988.75,11254.5,9475.91,14899.41,5511.68,6178.5,11758.25,7235.57,7296,14130.93,5258.16,3930.5,6442.08,12013.25,8952.75,41476.34,15737.93,4673.25,19582.58,11707.64,3073.75,2664.67,6145.75,29077.29,14398,3073.33,11071.93,3666.83,5412.75,8444.54,6106.91,4374.34,5192.08,28768.36,7894.11,5087.92,6318.5,26735.59,4714.41,53320.16,14380,11681.96,2839.66,4547.83,6162.88,29380.93,3850.82,9688.5,40654.42,3144.17,10372.25,722120,
MF0049,52514.525,12749.94,78858.26,247646.325,54902.92,36855.62,11111.555,22081.785,151728.325,38496.625,42587.57,25573.33,43531.425,23968.075,33983.595,51743.25,20980.345,7111.9,46395.07,83553.405,10989.45,17177.835,20586.885,20329.895,47015.03,10509.47,22428.865,31642.29,9062.86,56059.915,13043.305,34168.555,19967.83,21442.895,28301.295,31051.415,4550.76,33680.78,21628.495,32094.155,11095.76,36893.22,24758.6,39486.97,12221.095,30843.515,34877.87,27243.515,20449.22,36865.015,20324.58,15813.25,29036.14,13167.63,21599.99,49028.86,19638.715,17990.88,32633.715,51366.655,15437.43,28263.8,23532.57,28330.41,13773.59,14074.81,8553.515,22016.85,8727.095,31164.095,17697.3,18877.835,20581.56,40308.575,20105.365,15061.665,38054.075,33890.575,11196.85,29213.185,38537.5,9818.41,103565.135,35797.665,35412.605,7970.405,15087.095,921274.115,108759.635,18612.85,15918.055,92692.77,13041.235,25804.325,810254.08,
MF0006,124768.78,6133.56,174440.52,490456.53,271260.58,96424.93,24029,54533.79,359633.03,106988.88,85044.3,49394.65,90703.45,59938.38,62435.36,102568.7,40659.47,15439.7,82142.02,100307.52,15274.9,11502.65,42014.38,32761.31,116723.24,22016.34,43625.5,74362.65,22093.81,136529.7,46694.67,73765.05,46256.85,34185.12,67385.68,60312.05,46258.62,63238.1,44508.11,54656.52,4149.03,104970.95,34996.24,74996.05,36775.13,56887.42,87619.56,56679.62,53555.5,65347.61,32304.24,31076.9,61708.98,32283.22,57054.37,92420.66,49762.65,15496.16,72300.95,99345.5,28764.04,61321.07,51084.63,49613.2,35642.72,22844.71,61097.13,10450.3,26894.32,60928.49,44708.6,52788.15,38598.42,67862.66,37623.6,30391.3,78774.28,56990.54,27264.56,53955.09,87496.69,21204.66,103025.29,83828.17,78938.51,25372.15,35489.02,89127.04,223464.19,39845.54,44020.93,223143.72,21098.43,56258.76,1551215.21,
MF0047,17421.015,4679.315,67424.375,214873.05,22570.44,31383.48,5915.84,15856.37,15676.89,29435.925,34438.535,22858.52,20480.14,21255.9,24733.835,42744.62,15125.34,4994.45,33481.98,43397.815,8338.48,7192.335,15345.375,14459.585,36293.215,7668.17,15183.1,27522.42,6254.935,44555.18,11171.995,28496.76,16652.495,16436.75,21557.8,23157.92,4127.15,27086.285,15535.51,18790.915,3772.01,20328.465,17708.01,24700.91,8049.34,22005.055,30051.885,22867.085,16339.355,25927.145,13757.68,14099.875,25850.18,8974.405,17293.16,40194.715,17348.78,8685.31,12973.93,37902.27,11931.755,17460.58,16737.52,23352.595,10807.515,8657.215,5014.47,7923.265,6927.54,23699.2,13539.835,15162,14337.13,27833.19,12338.735,11859.77,27178.38,22906.92,7833.955,21227.755,22029.56,7091.82,66678.445,33684.055,28089.285,5825.33,10476.635,904867.02,90513.175,14397.31,9816.78,49947.99,8725.52,21354.325,780845.98,
MF0004,6646.12,4129.36,22811.93,6873.31,6840.45,10644.8,1527.62,5890.47,3232.8,11934.02,10584.18,2048.27,5695.32,6229.07,7329.43,9155.5,3270.14,1169.6,9775.48,3642.51,1668.05,4994.28,4993.37,2631.77,12358.67,2029.87,5362.3,7888.96,2279.73,11944.6,10674.32,9709.93,5746.5,4898.72,6397.02,2794.71,939.92,7215.83,5033.12,8134.85,3629,8672.12,3281.15,10029.63,3688.65,3923.83,10059.87,4762.16,6945.35,8618.6,3705.09,4130.5,8268.61,2859.88,6773.1,7026.05,4631.45,4176.43,4352.49,8838.01,2906.15,5753.12,3980.68,4955.3,4240.24,2177.4,831.08,7066.11,0,5694.91,5566.08,6144.5,3543.13,4815.32,6175.98,3381.66,6787.17,4704.17,2370.97,5171.65,9601.84,0,3674.73,8518.17,11015.62,0,2928.36,9212.26,27712.61,5079.39,3693.45,24981.09,2031.18,6659.75,10688.19,
