#OTU ID,Lyz2.01B.FP211.S59,LYZFP332,LYZFP331,LYZFP330,Itg.16.FP482.S85,Itg.22.FP518.S21,Vil1.02B.FP24,Lyz2.03B.FP234.S82,Itg.26.FP542.S46,LYZFP320,Itg.10.FP459.S61,LYZFP319,LYZFP318,Vil1.02B.FP22,Vil1.02B.FP23,Itg.04.FP423.S23,LYZFP308,LYZFP307,LYZFP306,Itg.08.FP446.S47,Itg.20.FP506.S9,Itg.18.FP496.S99,Itg.22.FP519.S22,Itg.10.FP458.S60,Vil1.05B.FP60,Lyz2.02B.FP223.S71,Itg.04.FP424.S24,LYZFP356,LYZFP355,LYZFP354,Vil1.05B.FP58,Vil1.05B.FP59,Lyz2.02B.FP222.S70,LYZFP344,LYZFP343,LYZFP342,Itg.10.FP460.S62,Vil1.09B.FP105,Vil1.09B.FP104,Vil1.09B.FP103,Itg.18.FP495.S98,Itg.06.FP436.S37,Lyz2.07B.FP284.S82,Vil1.04B.FP48,Vil1.04B.FP46,Vil1.04B.FP47,Lyz2.02B.FP224.S72,Lyz2.03B.FP235.S83,Lyz2.05B.FP258.S55,Vil1.13B.FP152,Vil1.13B.FP153,Itg.18.FP494.S97,Vil1.13B.FP151,Itg.06.FP435.S36,Itg.22.FP520.S23,Lyz2.07B.FP283.S81,Itg.04.FP422.S22,Itg.20.FP508.S11,Vil1.01B.FP11,Vil1.01B.FP10,Vil1.01B.FP12,Lyz2.05B.FP259.S56,Itg.06.FP434.S35,SLCFP149,SLCFP148,Itg.12.FP471.S73,SLCFP150,Lyz2.06B.FP271.S69,Lyz2.08B.FP294.S92,Lyz2.05B.FP260.S57,SLCFP024,SLCFP023,SLCFP022,Lyz2.07B.FP282.S80,Lyz2.04B.FP247.S44,SLCFP054,SLCFP053,SLCFP052,Vil1.06B.FP70,Itg.02.FP411.S11,Vil1.03B.FP36,Vil1.06B.FP72,Vil1.06B.FP71,Vil1.03B.FP34,Vil1.03B.FP35,Itg.20.FP507.S10,SLCFP167,SLCFP166,Itg.24.FP530.S33,Vil1.14B.FP163,Lyz2.06B.FP272.S70,SLCFP113,SLCFP112,Itg.08.FP448.S49,Vil1.14B.FP165,Vil1.14B.FP164,Lyz2.08B.FP295.S93,Itg.12.FP470.S72,Lyz2.03B.FP236.S84,SLCFP006,SLCFP005,SLCFP004,SLCFP132,SLCFP131,Itg.24.FP531.S34,SLCFP114,Itg.02.FP410.S10,Vil1.10B.FP117,Vil1.10B.FP116,Vil1.10B.FP115,Itg.08.FP447.S48,Lyz2.04B.FP246.S43,Itg.26.FP544.S48,Lyz2.08B.FP296.S95,Itg.16.FP483.S86,Lyz2.06B.FP270.S68,Lyz2.01B.FP210.S58,SLCFP078,Itg.02.FP412.S12,SLCFP077,SLCFP076,SLCFP072,SLCFP071,SLCFP070,Lyz2.01B.FP212.S60,Itg.12.FP472.S74,Vil1.07B.FP84,Vil1.07B.FP83,Vil1.07B.FP82,SLCFP096,Itg.26.FP543.S47,SLCFP095,SLCFP094,Itg.16.FP484.S87,Vil1.08B.FP92,Vil1.08B.FP91,Vil1.08B.FP93,taxonomy
MF0071,76505.24,173575.585,139232.32,102750.97,45055.79,49574.435,53121.065,89873.115,80376.025,29772.26,83286.185,88913.635,57415.255,49753.275,57881.1,101986.825,66317.08,58959.005,107634.735,34942.52,42797.08,41820.775,68790.87,64463.35,24008.32,77768.52,34973.095,40427.195,47092.33,117793.91,37314.975,71441.155,94327.44,66006.25,115821.795,51737.83,48659.405,42570.155,44594.8,30994.495,72917.785,30134.615,10296.375,31224.51,43152,58019.215,29061.07,79111.875,9689.83,65127.03,48276.2,59191.13,44254.325,52645.045,41851.1,19850.125,53776.5,61395.845,50713.79,43402.14,48740.955,9348.915,86712.06,48129.7,38054.905,74673.88,68367.155,26708.585,23288.95,13829.745,14216.17,12648.64,19257.225,15040.25,22571.66,12559.79,34337.005,28768.895,28094.545,107449.185,39528.55,27921.42,57531.895,55772.775,55782.675,71071.07,53815.26,69471.56,84528.99,73477.535,34650.67,6375.85,14519.515,55843.905,51335.095,45869.245,24149.095,75461.94,45078.385,34420.92,48444.08,22621.73,17714.04,32908.74,72033.125,6503.185,48760.325,38122.55,39919.555,43911.79,53603,30503.67,39167.13,14007.43,56656.365,20028.62,87579.9,22934.32,56192.965,20377.9,44758.355,16264.865,33100.505,29203.755,18024.485,50352.13,33989.665,35310.66,50767.965,23200.8,64935.575,51474.73,22239.385,45179.72,63269.505,42175.8,55762.375,
MF0038,5279.73,13953.18,7116.1,27455.47,41581.29,7378.58,46420.25,15255.2,14144.37,6828.5,6614.81,31882.03,68132.34,30941.7,35867.58,4139.85,83340.28,62245.95,88789.35,6520.83,53723.08,2317.2,8720.08,2865.15,27502.38,10161.95,9023.25,16136.67,5727.03,13111.73,11712.03,19673.9,6644.3,18324.77,13137.78,2273.63,10652.83,41967.53,37084.51,17805.91,2833.08,14100.15,6800.5,19456.05,30924.78,32292.92,12730.43,10701.4,5809.65,31376.92,34028.28,5588.78,24554.5,41469.2,12590.97,21890.5,1032.45,78769.72,46729.72,32087.98,31901.77,5133.15,46271.88,57882.26,38064.57,12218.53,50465.18,18669.16,25721.92,4241.95,4901.43,3992.3,2290.37,15009.75,2579.2,13963.82,25181.93,13538.57,35605.88,19838.08,12739.73,32326.42,59123.27,10616.15,7396.6,92261.57,18136.33,14585.6,4371.77,78527.12,16697.93,6613.45,14800.28,9683.73,56438.72,43894.17,16996.65,6473.53,9194.78,5082.97,4194.38,2263.23,20187.88,26745.88,2625.25,6242.57,9424.35,41497.89,34817.35,21578.6,6405.7,5770.95,10390.53,16692.93,56229.24,3716.63,3930.8,8261.3,17048.8,3062.45,3634.58,9947.53,12806.88,14025.58,3051.97,22895.8,37362.04,37593.05,49778.34,48.15,31258.27,1368.28,7592.36,46811.22,70247.42,47882.55,59337.25,
MF0039,4,14,16,5,76,11,34,24,29,22,9,64,767,83,7,1,585,136,399,7,206,1,15,3,152,12,47,39,39,24,13,33,8,69,26,17,14,449.5,384.5,278,2,20,6,70,111,150,11,9,6,56,229,11,80,28,17,15,1,69,12,18,10,5,77,37,773.5,19,43.5,33,60,4,14,20,13,7,6,1,12,0,103,51,51,243,255.5,62,26,114,6,21,12,1119,26,21,25,12,822,522,26,23,3,25,9,0,0,30,5,15,52,329.5,520,802,17,14,28,18,48,15,8,15,56,11,25,7,16,16,1,28,595,98,219,0,203,12,41.5,79,232,211.5,319,
MF0036,5358.41,39937.98167,28923.53,27582.83833,10508.465,13317.79,6835.323333,16313.435,9455.12,8602.498333,9513.676667,24580.95333,13698.88833,8779.25,7216.35,22487.75,13682.375,11547.675,21128.54167,6093.49,7914.38,4919.916667,15214.38333,11554.75,6251.691667,7946.16,5584.903333,14254.35667,15513.91,12684.37,7464.965,18198.295,5858.005,21024.53167,29100.17333,15178.75167,5674.935,10411.22667,11803.78,9420.97,9599.58,4838.505,2369.875,5264.845,10592.125,10480.31333,2059.42,14617.26,3201.91,15825.79167,10901.75333,7004.675,10491.87,11157.34,5854.188333,4156.125,10970.005,17690.36,6763.615,5936.25,6136.825,2716.038333,13614.41,9917.038333,7616.345,10110.83,20411.74333,2885.555,4020.125,3593.398333,4459,4292.66,5548.16,3414.25,3263.401667,3041.523333,6196.143333,3616.038333,7560.418333,30171.54,7651.295,7194.701667,11853.545,11791.69833,15703.93667,10705.14333,9333.12,14247.57667,10492.94667,16609.83667,4381.675,1105.333333,2453.083333,7051.925,10404.21833,9829.38,3030.495,12329.92,17267.79,2178.478333,2121.385,1162.016667,4517.16,7160.61,7232.625,1207.39,12974.25,9648.236667,10928.355,12453.43167,7023.75,3334.163333,4968.8,1837.67,11985.72833,3256.191667,3724,8171.83,17046.94,5793,13607.33,4003.71,8376.86,7284.193333,1162.75,9321.058333,8192.57,10311.90333,10608.59,2421.7,7904.686667,12859.02667,3264.703333,9473.25,10759.74,8219.425,8135.35,
MF0037,18.5,19460,1324,3,47,65.5,194,40,61.5,107,68.5,322.5,163,273,270,21.5,216.5,185,339.5,46.5,76,15,158.5,49.5,194,43.5,333,260.5,442,220,2835,6345,37.5,824,3274,171,90,539.5,446.5,427.5,17,125.5,34.5,120.5,205,212,62,52,64,0,0,24,0,178.5,56,72.5,4.5,256.5,224,168.5,111,106,299,62.5,193.5,81,51,110.5,75.5,42,33.5,43,41.5,26,12,89,174,82,153,160.5,94,235.5,331.5,90,470,301.5,2244.5,755,4.5,61.5,189,23,95.5,68.5,58,27.5,65.5,73,44,1911.478333,10,0,51,141,15.5,38.5,128,492.5,529,664.5,59.5,24,53.5,83.5,36.5,41.5,18,66,102,21.5,50.5,18,24,19,7,71.5,197,246,226.5,0,41,28,0,60,60,84,88,
MF0034,2922.58,164371.26,120936.94,61981.66,19377.5,14491.37,11473.76,4568.32,19977.46,1775.64,7215.41,10783.42,16786.9,13451.85,11388.5,4594.25,27186.21,19674.92,26842.23,4350.33,9908.57,1549.25,4353.65,3218.08,8426.57,4642.75,5030.46,10557.94,5026.58,4514.44,6107.32,10074.71,3623.25,8061.8,9077.97,1512.93,6754.08,21241.03,24925.69,20701.08,2114.87,8009.25,1740.25,8488.14,8580.77,8491.75,4432.73,5849.75,3298.5,22060.73,25087.39,2079.83,12767.86,10866,6945.31,4111,2867,19714.33,9751.75,6374,13343.88,3035.75,9776.76,14124.12,12507.11,6540.33,11862.82,4454.01,4630.33,6525.7,3205.96,2463.75,2756.4,3007.5,582.43,4258.8,5070,3188.75,4996.8,47174.62,6659.24,10303.98,21308.75,7952.56,13874.53,22418.83,12148.99,28324.02,30117.23,26662.95,6714.33,2648,5283.5,7902.58,22028.89,19342.81,3710.79,6498.83,4934.62,1758.65,1551.5,638.5,4797.55,6620,3602.25,2690.5,15980.25,21173.33,21702.57,26498.08,2648.75,554.46,12420.33,5360.51,24302.91,9049.62,1620.5,5522.17,28743.82,1526.5,1421.5,3810.6,4187.75,3792.75,2094,12558.99,9498.18,8412.04,17037.5,43.25,8935.61,295.75,968.98,18572.42,7341.68,9590.39,8670.66,
MF0078,121553.58,11895.52,22401.03,44395.24,17804.09,14480.62,17158.1,79355.16,18187.04,21615.88,22736.07,50710.84,43255.74,18241.11,17560.42,114290,63304.46,33395.59,68839.91,11931.83,14673.48,8902.75,23199.65,23655.66,15593.23,114534.66,16215.37,34147.02,44049.58,153479.02,53276.92,82415.95,151346.17,57599.22,108044.22,50615.93,8662.84,11382.45,13464.43,10297.5,17267.54,26451.17,8306.25,10539.97,23993.76,24596.91,36271.82,90203.84,5074.58,33636.48,21932.55,15198.58,28942.19,39973.34,10474.9,15384.75,78474.42,19299.34,42082.16,37683.5,35632.62,4574.83,74847.51,22026.38,9385.54,17482,62620.33,6917.18,19916.33,4594.79,5597.71,5329.83,8450.23,12078.75,10488.01,1529.06,6282.03,9501.26,22544.65,17117.12,26886.99,16379.33,24697.41,29667.89,44650.11,23019.04,17798.49,36159.61,15783.9,29685.7,6519.58,737.25,1765.83,14414.33,17618.39,15694.66,21433.62,24305.42,30520.38,4622.4,3885.08,3917.42,4961.05,10201.5,9739.75,937.5,9286.75,10496.67,13371.97,16762.58,16072.92,11008.63,5546.33,10690.6,22197.33,6308.88,151015.75,19084.33,10922.15,26439.5,59808.83,4709.6,15182.59,11834.41,26600.5,18324.24,18194.34,30274.12,29031.84,1639,17186.59,25257,6527.91,18479.01,29826.67,21955.55,24285.58,
MF0035,2627.58,10294.59,3193.69,16871.74,10109,3734.87,7322,3984.25,6227.46,1441.75,4386.41,9210,12546.07,10254.83,9509,1225,27818.54,17594.5,24815.25,3781.5,7356.5,1520,3621.9,1781.25,5291.07,3669.5,1444.25,10411.61,5118.91,3419.52,3157.82,8540.62,2420,6714.22,4810.97,1482.26,5235.25,8071,8631.27,9916.41,2077.5,7458.75,1613.75,8328.25,8299.67,8232.25,3982.5,5670,2597,36005.65,25030.89,1992,27069.11,10124,4481.25,2389,524.5,16394,9687.75,6386,12382.5,2465.75,8622.5,13961.5,9400,4943,10798.9,3642.25,3967,2046.5,2669.25,1791.75,872,1740.75,521.5,4266,4103,3155.75,3517.47,9701.5,5449.82,5694.9,11330.08,2919.56,8509.61,17839,11746.57,3781,572.23,13221.62,6052.5,1608,2986,6634.75,8937.25,7025.5,3282.5,3732.5,4803.12,1158.25,1084.5,315,4717.75,6590,1607.5,1679.5,3304.75,11999,11129.15,13334.66,2134.25,530.96,6252.58,5134.25,13558.75,995.5,1472.25,5310.5,9043.75,1492.5,1316.25,2917,3790.08,3344.58,2053.67,10865.75,8150.76,7765.25,14236,18.25,5321.86,239.75,806.25,9669.75,6410.51,8937.89,6361.41,
MF0079,691,9870.25,2897,11371,6940,1555,2560,2634,4643,1161,1446,6629,1036,3992,4709,391,513,12590,21956,1059,2019,845,4094,925,1941,952,635,1403,816,808,2520,7391,792,2419,4177,1571,2223,1579,1255,189,2215,4018,834,5247,3875,7978,1630,3616,1572,205,319.5,2151,55,4291,2059,1533,119,8199,9088,6740,7089,1894,6487,15844,1460,2808,1476,5158,2017,1940,1235,1419,551,645,539,1693,2296,1553,1472,6081,3191,2757,8880,1114,1158,11112,10268,5246,481,2329,6736,607,1592,2126,2010,1500,2659,1627,1845,672,774,238,1112,3911,873,978,3582,2253,1872,260,1990,458,3759,2727,10610,1138,638,2050,3680,875,1237,1135,1428,1330,374,2505,3156,7176,10883,14,1947,85,138,6577,1724,1109,2397,
MF0032,3,140.25,88,136.25,1.5,0,6,2,2,21.75,1.5,42.25,76.25,3,4,2.25,96.25,85.5,99.5,0,5,4,0,0,10.5,0,3.75,54.25,27.75,82.25,86.75,11.75,2.25,91.25,93.5,36.5,1.75,0,1.25,0,0,3,1.5,1.25,3.75,1.75,8,1.75,0,61.5,319.5,1.5,41,0,2.5,1.25,1.5,0,3.5,2,22.5,0.75,2,5.25,490,0,17.25,4.5,1.75,4.25,0,0,0,0,1.5,0,0,10.25,3.25,0,32.75,3.75,15,23.5,75.25,2.5,1,1.25,1.5,2,1.25,0,0,3,5.25,2,7,0,0,37,52,16,0,0,3,0,0,3.5,4.25,3,0,4.5,1.75,1.75,2.25,4.25,2.75,0,0,0,0,0,0,0,5.5,2.5,14.75,0,2.25,0,3.5,0,0,2,0,1.25,0,
MF0076,61136.75,13188.5,4682.165,7488.375,3003.5,26493.125,14943.25,58654.375,33409.25,23964.75,49200.75,65567.125,13513.915,13897.165,17703.25,91152.625,23913,21447.5,43140.25,10315.625,8542.5,26836.75,49894,37532,6783.375,56269.75,25018.125,6791.625,11546.875,71531.375,29383.75,50715.71,74203.25,15042.79,42040.54,15777.875,25076.5,2478.29,2825.29,2267.165,34834.625,14700.75,3268.5,8008,9647.46,15197.5,17456.375,58671.75,2081,18856,12239,21298.75,14092,20138.375,22284,6056.75,48159.5,15753.25,19068.75,16796.125,18063.875,2378.75,34079,10505.875,1809,22643,17795.625,8439.5,8580.375,3728.75,2798.125,2459,4611.875,4654.5,14607,3094,11053.625,15292.875,6831.08,50943.5,16339.25,4189.915,6780.165,25263.125,44041.125,20339.625,17675.625,25630.375,38452.75,7327.5,11252.25,1582.5,3776,24923.25,6985.75,9105,9819.25,22816.375,28893.75,21004.5,32367.625,15193.125,5031,10038.875,52627.625,1482.5,26541.5,2949.21,4066.125,7154.625,21294.5,16831.5,13236,4623.25,7030.125,6444.75,74534.125,12578.875,22962,15636.625,35986.875,5651,17062,12730.5,12892.5,12774,4219.625,8909,4207.25,22784.5,20240.5,47285,13830,7165.875,5418.21,5475.625,3196.96,
MF0033,123563.58,101395.24,76543.26,61844.47,22375.245,41711.775,31197.085,101791.83,53251.705,35987.455,63710.89,97261.925,45714.93,32147.06,33611.49,150624.425,67566.91,49807.96,94213.815,18896.005,29629.09,31787.1,64294.415,51138.09,20674.58,116243.03,36207.535,29416.105,36188.22,153667.215,60094.775,98141.885,152016.81,48345.45,100841.22,41903.32,32949.61,21859.14,24791.96,18451.62,44451.435,32523.735,8906.375,18818.81,28743.905,33736.225,38560.95,107258.895,6511.79,45846.785,31422.69,30368.855,34478.595,47411.17,31962.035,17182.5,88892.26,41221.76,47426.125,40992.905,44617.045,6385.54,78415.12,33076.01,18383.05,34805.515,56300.77,14963.585,21870.085,9505.895,7574.485,6589.74,10336.56,13307.5,20369.28,7374.25,19034.57,23084.85,23702.35,83941.525,33888.4,19706.925,34538.9,44443.695,67234.895,49011.01,33227.2,58414.255,61792.235,40720.395,18560.805,3378.325,7676.49,36324.955,29458.11,28864.375,22801.56,38179.8,47172.23,24565.02,35439.82,17538.815,11671.13,20850.355,59398.125,3500.37,0,21840.84,24391.9,30801.33,30850.385,23548.615,22562.48,13108.465,31082.495,14294.28,151475.65,25035.405,43686.9,29632.225,66568.92,10942.23,28636.3,23022.01,27352.57,28968.01,21358.455,29692.145,28575.92,23634.575,34932.68,60124.305,18368.775,26645.885,35642.5,26668.775,29094.75,
MF0077,448.8333333,3547.833333,1566.776667,6475.75,3630.5,1027.083333,2134.5,1470.083333,2409.333333,717.5,1003.333333,3607.5,1230.75,2759.026667,2432.833333,226,759.8333333,6732.916667,11568.25,643.25,2211.666667,626.8333333,2079.666667,512,1813.75,559.75,397.4166667,951,547.0833333,566.8333333,1154.166667,3383.973333,523.3333333,1885.86,2076.61,873.75,1291.5,1610.833333,1430.5,521.3333333,1207.416667,2230.916667,497.75,3389.666667,2916.806667,4096.916667,963.25,1867,926.3333333,1494.416667,2333.083333,1173.166667,935,2235.833333,1278.333333,787.9166667,104.1666667,4409.666667,4754.666667,3440.75,4584.333333,1083,3288,7975.583333,2246.5,1523.333333,1536.166667,2613.916667,1112.166667,1162.5,971.5833333,931.6666667,400.0833333,371.6666667,289.5833333,1161.666667,1326.083333,899.75,1203.75,3106.666667,2177.75,1788.026667,5579.776667,1073.166667,3018.416667,5752.75,5456.416667,2601.25,275.1666667,1938.666667,3475.833333,366.3333333,911.0833333,1262.5,1506.75,1432.916667,1374.166667,1000.583333,1171.25,704.25,816.1666667,155.0833333,914.1666667,2814.916667,721.25,687.3333333,1808.833333,2032.333333,2161.666667,1010.583333,1008.666667,260.9166667,2083.5,1499.25,5625.916667,603.9166667,360.4166667,1085.416667,2309.666667,452.5833333,664.4166667,689.6666667,937.1666667,693.8333333,316.3333333,1464,2444.39,3790.833333,5583.333333,18,1349.833333,73,222,3647.083333,1288.75,884.6666667,2751.75,
MF0029,1350.83,615.01,2418.78,13518.16,5729,4519.62,13540.26,3840.07,3221.46,2140.89,1711.16,6674.42,6500.4,12560.19,2985,544.75,19059.71,11785.92,17753.98,2205.83,5631.57,1675,2337.4,1142.33,7207.32,1248.5,1308.96,3267.44,2218.08,1265.69,1167.07,6205.12,2206.25,6652.39,2801.56,1263.18,3295.58,8881.53,9363.44,6832.33,2019.62,5117,1190.75,13713.64,16246.18,5269.25,2816.73,2761.25,2904,37484.48,32200.64,2646.83,30283.61,3289.5,3825.81,998,727.5,6931.33,7224.75,4125,17776.38,2999.75,3844.76,8309.37,9574.61,2482.83,6335.82,3101.76,2521.33,3792.45,5381.71,3907.5,915.4,936,515.93,5399.8,3917.7,2483.25,6103.05,3815.12,7495.49,8409.82,12897.09,4171.56,2396.78,6651.12,13598.49,3119.02,642.23,13686.2,5198.08,1111,2496.5,4032.83,9280.14,8419.06,1611.79,2588.33,4745.62,5102.4,6011,443.5,6173.3,15023,608.5,3438,1968.5,10592.33,12622.82,11201.33,1197.5,516.71,4839.58,3127.01,10070.91,961.37,841.25,1936.67,8539.57,495,791,2442.6,4187,1202.5,2008,4134.24,12109.59,7769.54,8083.75,172,4510.61,442,1458.23,8093.67,6419.43,7048.64,8984.41,
MF0041,4107.205,39937.98167,29008.445,29162.845,12789.715,16506.395,10933.23833,16627.515,19421.87,1121.08,23103.62167,3730,13284.585,11971.415,11449.015,24152.25,9475.25,6554.545,9239.505,8340.245,12019.8,4919.916667,16938.69167,19704.795,5759.565,4258.24,6645.618333,14254.35667,15513.91,11523.745,5480.375,10758.5,4476.005,21024.53167,27915.49,15178.75167,13275.83,11633.65333,12826.37,9199.4,8295.185,2913.71,1990,5264.845,10592.125,10480.31333,1925.875,16996.045,2895.121667,18264.96,11455.41,7004.675,12210.04,6673.795,10225.21833,4588.25,9516.71,13490.015,6304.04,4629.915,5721.915,2716.038333,10317.205,12214.86833,9294.005,17941.415,20411.74333,5682.555,3345.46,3712.478333,5061.5,4742.58,6227.995,3504.875,3344.736667,3162.596667,6334.236667,5094.863333,7560.418333,34932.77,7211.29,7194.701667,14305.73,11653.29,9033.54,16614.64333,9343.035,17916.40667,22185.77667,18324.085,7842.26,1325.291667,3091.956667,15517.51,13483.47333,12658.115,2525.165,19067.46,8962.105,5654.163333,5208.96,3441.746667,4595.995,6771.72,15440.95833,1497.445,13805.875,11394.98167,12541.195,13877.59667,13591.26,3471.828333,9103.885,1572.75,14113.285,4811.771667,3179.75,5073.415,19516.22,4083.5,11387.83,4141.855,9877.095,8091.801667,1015.5,12273.67,8192.57,7971.82,11340.26,926.325,15663.11167,6915.763333,2421.526667,11569.67,9981.588333,8219.425,8243.175,
MF0085,88698.8725,7015.1875,5807.5625,10617.6925,2378.625,9939.31,5204.2475,58538.4375,10771.5025,15280.315,14393.245,35332.5,18850.185,8162.2475,7398.625,84328,31841.25,21141.19,45120.06,4228.56,7730.25,4146.8125,15926.935,14661.4975,8329.935,82546.5625,11333.1875,9472.375,16742.625,106236.5,39542.56,60382.9425,110113.5625,20020.9375,60264.1225,23380,4762.3725,1848.06,2606.3725,2342.3725,5620.9975,18225.25,4617.25,3956.125,7931.44,7724.125,25913.185,67182.75,1319.25,7152.75,5492.4975,4063.3725,6579,26297.3125,6423.19,8590.75,58328.5,12126.81,26654.625,23943.8125,23714.315,1274.5,47373.2475,8918.81,818.5,5027.7475,25775.5,2752.2475,12299.8125,1430,666.5625,547.75,1987.4375,6874.75,7680.375,525,3474.5625,6258.0625,9660.62,12102.2475,17412.625,5498.1175,7774.3075,18405.4375,37391.815,14232.06,7349.375,23115.875,11094.0025,3964.75,2378.7475,114,413.25,7416.6225,2637.9975,3327.75,13922.875,8682.06,22385.1225,2781.75,2298.5625,2485.3125,2734.5,6046.1875,6919,78.75,6678.75,2225.94,3399.69,6254.565,7055.25,7771.75,2489.4975,6499.4975,4592.4325,3759.4975,110939.1875,13785.69,7521,19570.5625,44468.125,3139.5,10655.5,8289,19147.5,5636.7525,5214.125,12888.685,5901,1159.5,6883.065,18186.25,3892.9975,5103.0575,6266.19,6946.9375,3500.94,
MF0086,249135.785,185458.71,158139.57,133999.345,48587.665,90504.25,69331.215,222596.035,122436.685,85233.19,149362.255,234474.055,90195.88,70004.115,77038.91,309007.55,134212.725,103026.175,194681.85,44386.96,59466.705,70805.475,142104.905,118190.125,40742.235,234800.61,76384.97,67966.655,82362.72,309403.06,116407.525,190666.28,306278.27,108956.645,211341.415,92805.62,78477.07,41401.155,48256.55,37051.995,99438.995,66675.57,18827.5,38005.795,61475.495,72453.22,77242.275,227486.94,15011.455,80117.315,53302.505,67653.935,62445.315,98181.59,71474.695,36862.25,179902.845,89763.72,95329.37,82340.615,88426.065,14732.83,161911.415,68487.2,33599.28,82931.43,119238.77,33110.3,43724.04,22046.665,18133.425,15862.28,25381.465,28746.125,50071.785,15068.32,40710.295,48627.02,46268.295,179540,68862.73,38015.545,66024.27,101185.89,138134.37,106567.945,69308.405,123372.81,142821.52,80005.785,42133.385,7314.075,16636.78,85346.41,58536.97,58583.87,45632.87,89612.925,107534.585,58157.385,83691.82,40284.86,24498.99,41445.065,147552.625,7333.535,85500.925,42108.675,48592.68,63111.54,73366.095,58156.805,52170.31,25626.68,65366.49,31051.135,303905.775,51617.865,91475.475,60776.1,138039.295,23412.615,59821.18,48155.05,54889.735,66304.925,41168.29,60214.66,58115.84,51216.7,78659.56,127604.765,37772.605,55546.97,69573.88,51737.05,56375.5,
MF0083,28.83,60.5,60.335,139.295,127,19.33,244.83,105.5,80.17,30.67,28.16,102.5,781.33,187.5,47.5,8,797.5,489.17,746.33,17.33,442.5,15,16.83,4.33,271.33,36.5,190,70.125,0,52,51.33,62.67,21.5,107.96,61.5,25,39.33,2109.83,1792.83,1323.83,2.33,8.5,12.5,52,186,86.5,72.33,18,9,53.75,125.83,20.33,41,20,46.17,38.5,6,97.33,73.5,76.5,87.17,10.5,67.83,31.83,758.5,26.33,1044.25,148.83,400,8,24.5,32,56,33.5,8.5,22.5,83,26.5,167.66,32.33,36,244.66,222.58,139,60.96,104.33,7,10,31.17,414,268.33,51,131,15.165,635.83,410.5,76.5,9.33,33.83,23,6,0,0,50,5,43,17,1975.67,2113.67,2061.17,20.5,44.5,30.83,30.83,121.16,16.83,9.5,59.67,25.5,18,28,24,0,46.5,7,101.17,543.33,121.83,189,0,60.67,46.5,169.58,99.66,504.67,832,670.67,
MF0040,388,9958.44,1891.04,5853.15,3958.5,799.29,1330.1,1481.57,2391.29,613.65,878.5,3384.15,990.49,2106.29,2419.33,198.25,1134.29,6604.83,11341.17,552,1873.5,427,2049.57,595.67,1260.79,744,411.46,870.21,533.51,647.87,2372.04,6122.08,419.25,1777.82,2987.54,832.26,1156.75,1014,1040.44,911.665,1108.29,2018,427.5,2962.54,2415.51,4714.42,949,1946.75,799,9483.6,8472.165,1080.5,5586.86,2162,1036.64,780.25,61.5,4128,4603.17,3425.33,3646.21,968.75,3249.43,9564.87,1607.04,1576,1210,2603.26,1026.85,982.25,698.04,758,294.67,326,281.93,1045.67,1382.33,1036.92,866.06,3044.29,1942.22,1730.46,5123.86,788.75,6736.585,5561.79,5819.62,3098.82,245.36,1667.67,3417.25,344,878,1166,1201.96,935.38,1354.29,967,1014.29,379.67,439.33,141.33,643.33,2049.33,440,508.67,1793,1594.03,1694.085,1153.085,1113,277.21,1896.75,1388.18,5549.25,575.54,387.75,1054.33,1858.57,459,639.33,839.33,1650.33,1933.33,231.17,1485.4,1949.46,3827.38,5940.25,7,1003.64,45.33,80.33,3491.71,972.19,844.54,2115.085,
MF0084,3,140.25,88,136.25,1.5,0,6,2,2,21.75,1.5,42.25,76.25,3,4,2.25,96.25,85.5,99.5,0,5,4,0,0,10.5,0,3.75,54.25,27.75,82.25,86.75,11.75,2.25,91.25,93.5,36.5,1.75,0,1.25,0,0,3,1.5,1.25,3.75,1.75,8,1.75,0,61.5,319.5,1.5,41,0,2.5,1.25,1.5,0,3.5,2,22.5,0.75,2,5.25,490,0,17.25,4.5,1.75,4.25,0,0,0,0,1.5,0,0,10.25,3.25,0,32.75,3.75,15,23.5,75.25,2.5,1,1.25,1.5,2,1.25,0,0,3,5.25,2,7,0,0,37,52,16,0,0,3,0,0,3.5,4.25,3,0,4.5,1.75,1.75,2.25,4.25,2.75,0,0,0,0,0,0,0,5.5,2.5,14.75,0,2.25,0,3.5,0,0,2,0,1.25,0,
MF0082,3.5,141.5,97.25,136.25,4.5,0,10.25,7.5,8.25,27.75,4.75,44.5,462.25,35.5,6.25,2.25,352.75,102,191,0,101,4.5,0,0,62.75,0,8.75,54.25,27.75,86.25,96,21.75,5.25,133.25,105.75,45,3.75,0,21.5,0,0,4,2.25,3,4.75,4,10.5,1.75,0,90.25,436.75,7,83,0,11.5,1.25,2.75,0,4,3.5,23.5,0.75,8.5,8.75,864,0,50,6,3,4.25,0,0,0,0,5,0,0,11.25,41.75,0,43.75,101.75,56.5,46.75,82.75,9.25,1.25,5.5,11,522.5,3.25,0,0,4.5,392.5,258,7.5,0,0,37,53,16,0,0,4,0,0,24.75,25,5.5,0,13.5,3.25,1.75,2.25,5.25,4.25,0,0,0,0,0,0,0,6,8,225.25,0,4.25,0,99.25,0,0,11.25,0,77.25,0,
