#OTU ID,LYZdtt308,Vil1.07B.DTT84,LYZFP332,Vil1.02B.FP24,Itg.22.DTT520.S15,LYZFP320,Itg.06.DTT436.S29,LYZdtt320,LYZFP308,Itg.16.DTT484.S79,Itg.18.FP496.S99,Vil1.05B.FP60,Itg.04.FP424.S24,LYZFP356,LYZFP344,Itg.10.FP460.S62,Vil1.09B.FP105,Vil1.08B.DTT96,Itg.06.FP436.S37,SLCdtt024,Lyz2.07B.FP284.S82,Vil1.04B.FP48,SLCdtt150,Lyz2.02B.FP224.S72,SLCdtt168,Lyz2.02B.DTT224.S64,Vil1.013B.DTT156,SLCdtt054,Vil1.04B.DTT48,Vil1.13B.FP153,Itg.22.FP520.S23,SLCdtt114,SLCdtt006,Itg.20.FP508.S11,Vil1.01B.FP12,SLCdtt132,Lyz2.05B.DTT260.S101,Vil1.09B.DTT108,SLCFP150,Lyz2.07B.DTT284.S126,Lyz2.05B.FP260.S57,SLCFP024,Lyz2.06B.DTT272.S114,Vil1.010B.DTT120,Vil1.05B.DTT60,SLCFP054,Lyz2.08B.DTT296.S139,Vil1.03B.FP36,Vil1.06B.FP72,Lyz2.06B.FP272.S70,SLCdtt078,Itg.08.FP448.S49,Vil1.14B.FP165,Lyz2.03B.FP236.S84,SLCFP006,Lyz2.03B.DTT236.S76,Itg.26.DTT544.S40,SLCFP132,Vil1.01B.DTT12,Itg.18.DTT496.S91,SLCFP114,SLCdtt096,Vil1.014B.DTT168,Vil1.10B.FP117,Vil1.06B.DTT72,Lyz2.04B.DTT248.S89,Itg.26.FP544.S48,Itg.20.DTT508.S3,Lyz2.08B.FP296.S95,Itg.04.DTT424.S16,SLCFP078,Itg.02.FP412.S12,SLCFP072,LYZdtt356,Itg.02.DTT412.S4,Lyz2.01B.DTT212.S52,Lyz2.01B.FP212.S60,Itg.12.FP472.S74,Vil1.07B.FP84,LYZdtt368,Vil1.02B.DTT24,SLCFP096,LYZdtt332,Itg.16.FP484.S87,Vil1.08B.FP93,LYZdtt344,taxonomy
MF0038,43820.55,2719.33,13953.18,46420.25,14584.58,6828.5,3597.8,110169.18,83340.28,21292.07,2317.2,27502.38,9023.25,16136.67,18324.77,10652.83,41967.53,5409.25,14100.15,2966.73,6800.5,19456.05,31697.05,12730.43,38217.34,11611.83,7895.58,4696.82,8423.95,34028.28,12590.97,12282.54,7253.62,78769.72,31901.77,23414.82,7882.62,3036.4,50465.18,21449.02,4241.95,4901.43,4089.62,2797.92,3128.125,13963.82,15893.82,12739.73,32326.42,16697.93,8027.74,9683.73,56438.72,9194.78,5082.97,5909.67,9511.87,20187.88,3862.4,16719.38,6242.57,1402.53,22496.67,41497.89,3570.08,10741.96,10390.53,29345.82,16692.93,7777.25,8261.3,17048.8,9947.53,6539.67,9706.05,5490.55,3051.97,22895.8,37362.04,47991.08,6406.63,48.15,13861.53,46811.22,59337.25,19493.62,
MF0039,108,0,14,34,59,22,14,76,585,38,1,152,47,39,69,14,449.5,0,20,14,6,70,71.5,11,29.5,22.5,65,0,32,229,17,26,32,69,10,26,10,0,43.5,17,4,14,21,0,0,1,11,51,243,26,25,12,822,3,25,1,22,0,0,111,15,0,105,329.5,0,20,28,54.5,18,62,15,56,7,17,24,8,1,28,595,94,19.5,0,62,79,319,183,
MF0036,16156.145,2680,39937.98167,6835.323333,4492.695,8602.498333,1170.98,5515.111667,13682.375,6935.526667,4919.916667,6251.691667,5584.903333,14254.35667,21024.53167,5674.935,10411.22667,5359.5,4838.505,2445.66,2369.875,5264.845,13827.76,2059.42,18588.59,1528.42,3501.07,2322.76,1437.553333,10901.75333,5854.188333,1865.058333,3947.205,17690.36,6136.825,5883.25,3185.288333,2616.75,20411.74333,7062.183333,3593.398333,4459,1229.72,2655.25,3023.25,3041.523333,1320.58,7651.295,7194.701667,4381.675,2257.325,7051.925,10404.21833,17267.79,2178.478333,5653.835,3995.236667,4517.16,1145.085,4971.71,1207.39,12421.01,5363.116667,9648.236667,3538.5,4784.421667,4968.8,5673.101667,1837.67,6782.206667,8171.83,17046.94,4003.71,3930.96,8136.97,1227.485,1162.75,9321.058333,8192.57,7748.47,1519.861667,2421.7,9120.325,9473.25,8135.35,7647.035,
MF0037,30,0,19460,194,38,107,23.5,19,216.5,21.5,15,194,333,260.5,824,90,539.5,0,125.5,18,34.5,120.5,101.5,62,223,14,2711.195,12,29,0,56,18.5,0,256.5,111,57.5,23,0,51,94,42,33.5,5,0,0,89,20.5,94,235.5,189,12,68.5,58,44,1911.478333,3,22,51,12,58,38.5,0,33.5,492.5,0,16,53.5,73.5,83.5,56.5,66,102,18,18,30,9.5,7,71.5,197,214,16,0,29,60,88,66,
MF0034,9996.35,22,164371.26,11473.76,5775.04,1775.64,1288.59,5231.58,27186.21,11357.88,1549.25,8426.57,5030.46,10557.94,8061.8,6754.08,21241.03,35.93,8009.25,1969.1,1740.25,8488.14,23110.99,4432.73,15877.66,4006.36,3308.11,3206.11,2673.37,25087.39,6945.31,5493.42,3872.48,19714.33,13343.88,7614.07,5184.97,532.27,11862.82,14024.25,6525.7,3205.96,1711.8,188.54,7,4258.8,8163.08,6659.24,10303.98,6714.33,3918.02,7902.58,22028.89,4934.62,1758.65,2181.35,6451.58,4797.55,1906.88,4339.6,2690.5,365.4,5608.95,21173.33,9,1957.18,12420.33,8963.82,5360.51,3757.31,5522.17,28743.82,3810.6,5193.26,7411.11,2090.29,2094,12558.99,9498.18,23044.53,2467.06,43.25,29567.56,18572.42,8670.66,6885.81,
MF0078,46556.17,2919,11895.52,17158.1,8856.79,21615.88,6571.41,4194.67,63304.46,20387.29,8902.75,15593.23,16215.37,34147.02,57599.22,8662.84,11382.45,5581.43,26451.17,5213.93,8306.25,10539.97,42603.65,36271.82,78249.16,21440.45,8376.2,2045.11,3221.88,21932.55,10474.9,3036.75,8446.65,19299.34,35632.62,10917.15,5663.7,4625.52,62620.33,13432.17,4594.79,5597.71,2806.04,4617.54,3219,1529.06,48910.49,26886.99,16379.33,6519.58,33096.01,14414.33,17618.39,30520.38,4622.4,33650.43,6459.24,4961.05,20642.46,10274.69,937.5,18688.9,10259.54,10496.67,3762.5,13302.42,5546.33,15522.23,10690.6,29435.64,19084.33,10922.15,4709.6,95977.09,33459.02,46559.28,26600.5,18324.24,18194.34,20077.27,4098.65,1639,18330.22,18479.01,24285.58,48538.13,
MF0035,32899.42,2707.33,10294.59,7322,4498.12,1441.75,1032.09,4229.16,27818.54,8917.25,1520,5291.07,1444.25,10411.61,6714.22,5235.25,8071,5404.93,7458.75,1742.5,1613.75,8328.25,17226.75,3982.5,13526.58,3639.61,5485.61,3137.75,2653.25,25030.89,4481.25,4203.75,3110.98,16394,12382.5,7464.5,2122,2860.19,10798.9,7844.75,2046.5,2669.25,1917.97,2708.46,3023.25,4266,7673.25,5449.82,5694.9,6052.5,3482.75,6634.75,8937.25,4803.12,1158.25,2004.75,4718.33,4717.75,1612.96,3352.5,1679.5,202,4391.79,11999,3544.83,3360.59,6252.58,8738.25,5134.25,1519.81,5310.5,9043.75,2917,4903.76,5223.11,2029.54,2053.67,10865.75,8150.76,22055.86,1680.56,18.25,2831.39,9669.75,6361.41,5394.31,
MF0079,2333,2680,9870.25,2560,1083,1161,335,1114,513,2593,845,1941,635,1403,2419,2223,1579,5359.5,4018,533,834,5247,10427,1630,7960,642,1573.75,604,453,319.5,2059,850,359,8199,7089,1759,873,2616.75,1476,4141,1940,1235,456.75,2655.25,3023.25,1693,1350,3191,2757,6736,345,2126,2010,1845,672,235,1965,1112,589,1654,978,43,1345,2253,3538.5,1419.5,3759,3702,2727,545,2050,3680,1135,356,1106,348,374,2505,3156,2315,427,14,1085,6577,2397,1218,
MF0032,193.25,2680,140.25,6,67.75,21.75,17.5,48.5,96.25,63.25,4,10.5,3.75,54.25,91.25,1.75,0,5359.5,3,0,1.5,1.25,0.25,8,0.25,50.25,1573.75,0,235.5,319.5,2.5,186.75,75.5,0,22.5,0,95.5,2616.75,17.25,60,4.25,0,456.75,2655.25,3023.25,0,58,32.75,3.75,1.25,10.25,3,5.25,0,37,24.25,73.75,0,156.25,73,0,0,1190,3.5,3538.5,1419.5,1.75,83.25,1.75,51.5,0,0,0,56.5,58.5,61.75,5.5,2.5,14.75,450,207,0,60,2,0,159,
MF0076,22181.835,2789,13188.5,14943.25,11520.625,23964.75,3386.5,12670.625,23913,9831.375,26836.75,6783.375,25018.125,6791.625,15042.79,25076.5,2478.29,5472.5,14700.75,2273.125,3268.5,8008,39479.625,17456.375,45764.125,10304.5,12690.665,3694.5,2351,12239,22284,9415.75,18086.375,15753.25,18063.875,7159.375,3390.75,3692.375,17795.625,10308.5,3728.75,2798.125,2570.125,3949.25,3120.25,3094,24243.625,16339.25,4189.915,11252.25,17346.875,24923.25,6985.75,28893.75,21004.5,21574,14470.875,5031,10659,13193,1482.5,34549.75,8065.415,2949.21,3643,14887.21,13236,12015,4623.25,22793.875,12578.875,22962,5651,46325.375,27053.125,23288.125,12892.5,12774,4219.625,7431.96,2960.75,22784.5,7289.085,7165.875,3196.96,21180.71,
MF0033,60902.015,4264.83,101395.24,31197.085,20192.725,35987.455,7510.055,95219.93,67566.91,26213.99,31787.1,20674.58,36207.535,29416.105,48345.45,32949.61,21859.14,8295.84,32523.735,5989.17,8906.375,18818.81,74356.815,38560.95,92145.285,23716.84,19155.76,6563.3,5773.9,31422.69,31962.035,14044.355,22862.785,41221.76,44617.045,18601.235,9324.535,6291.845,56300.77,25273.495,9505.895,7574.485,5043.19,6365.19,4733.25,7374.25,53175.83,33888.4,19706.925,18560.805,36044.435,36324.955,29458.11,47172.23,24565.02,39881.925,21319.605,11671.13,22225.97,21085.11,3500.37,44206.88,17765.77,21840.84,5536.705,23387.875,22562.48,26460.325,13108.465,39797.37,25035.405,43686.9,10942.23,96964.255,48096.135,47930.315,27352.57,28968.01,21358.455,30492.65,6739.84,23634.575,31952.845,26645.885,29094.75,49717.605,
MF0077,3859.223333,3590.333333,3547.833333,2134.5,1274.166667,717.5,260.3333333,875.9166667,759.8333333,1682.333333,626.8333333,1813.75,397.4166667,951,1885.86,1291.5,1610.833333,7166.083333,2230.916667,370.0833333,497.75,3389.666667,6764.166667,963.25,4982.333333,532.5,3116.86,478,789.1666667,2333.083333,1278.333333,1117.5,1141.583333,4409.666667,4584.333333,1236.583333,756.1666667,3572.916667,1536.166667,2769,1162.5,971.5833333,963.3333333,3572.416667,4031,1161.666667,978.9166667,2177.75,1788.026667,3475.833333,307.3333333,1262.5,1506.75,1171.25,704.25,205.5,1278.583333,914.1666667,723.9166667,1275,687.3333333,64.16666667,2800.61,2032.333333,4723.416667,2320.556667,2083.5,2159,1499.25,497.3333333,1085.416667,2309.666667,689.6666667,350.6666667,887.3333333,357.4166667,316.3333333,1464,2444.39,2120.223333,691.5,18,753.64,3647.083333,2751.75,1067.39,
MF0029,12725.51,2708,615.01,13540.26,2740.29,2140.89,1125.09,4400.58,19059.71,5265.88,1675,7207.32,1308.96,3267.44,6652.39,3295.58,8881.53,5377.43,5117,1641.1,1190.75,13713.64,19504.74,2816.73,14902.91,2172.11,14596.7,2933.86,3930.62,32200.64,3825.81,7012.42,2542.98,6931.33,17776.38,6018.07,3016.97,3047.27,6335.82,4395,3792.45,5381.71,1412.05,2846.54,3023.25,5399.8,3392.83,7495.49,8409.82,5198.08,651.52,4032.83,9280.14,4745.62,5102.4,881.35,3578.08,6173.3,2780.63,3275.6,3438,587.4,5344.29,10592.33,3551.5,3611.59,4839.58,4040.32,3127.01,1952.31,1936.67,8539.57,2442.6,1554.76,4096.86,1535.54,2008,4134.24,12109.59,6356.19,3014.31,172,2688.22,8093.67,8984.41,4492.72,
MF0041,7929.995,2010,39937.98167,10933.23833,7708.485,1121.08,940.41,1451.04,9475.25,5767.99,4919.916667,5759.565,6645.618333,14254.35667,21024.53167,13275.83,11633.65333,4023.1875,2913.71,2548.995,1990,5264.845,25139.845,1925.875,12032.255,1419.5,3889.485,1530.965,1953.258333,11455.41,10225.21833,3860.558333,7784.785,13490.015,5721.915,4237.21,3419.963333,2183.373333,20411.74333,7244.513333,3712.478333,5061.5,1509.84,2194.243333,2267.4375,3162.596667,1603,7211.29,7194.701667,7842.26,2051.875,15517.51,13483.47333,8962.105,5654.163333,4420.46,7415.821667,4595.995,798.125,4971.71,1497.445,6579.17,6192.576667,11394.98167,2654.6875,4788.916667,9103.885,6863.375,1572.75,7614.501667,5073.415,19516.22,4141.855,3556.92,9076.705,973.87,1015.5,12273.67,8192.57,5044.255,1941.776667,926.325,9651.66,11569.67,8243.175,6551.24,
MF0085,25680,172.5,7015.1875,5204.2475,5004.1875,15280.315,4441.5,2102.31,31841.25,11534.5625,4146.8125,8329.935,11333.1875,9472.375,20020.9375,4762.3725,1848.06,162.75,18225.25,1984.3125,4617.25,3956.125,28101.19,25913.185,50985.19,15145.3725,3620.8725,1378.5,1511.4975,5492.4975,6423.19,1603.5025,6848.94,12126.81,23714.315,7490.94,2155.8775,1345.56,25775.5,6544.2525,1430,666.5625,1225.125,1397.25,145.5,525,35816.565,17412.625,5498.1175,2378.7475,24330.815,7416.6225,2637.9975,22385.1225,2781.75,24832.6275,3731.565,2734.5,15081.8775,4199.7475,78.75,13755.375,3239.1225,2225.94,166.5,7843.9375,2489.4975,10814.3775,6499.4975,20953.6875,13785.69,7521,3139.5,69164.7525,24772.3125,34281.9375,19147.5,5636.7525,5214.125,9667.7575,2230.935,1159.5,10539.1875,5103.0575,3500.94,30998.7525,
MF0086,104456.68,3033,185458.71,69331.215,42256.08,85233.19,15054.76,123397.39,134212.725,53034.925,70805.475,40742.235,76384.97,67966.655,108956.645,78477.07,41401.155,5714.59,66675.57,13645.095,18827.5,38005.795,150446.935,77242.275,190477.865,47229.355,31664.57,13461.77,10997.17,53302.505,71474.695,32965.23,51102.82,89763.72,88426.065,38815.895,20488.095,6048.935,119238.77,55302.04,22046.665,18133.425,9468.25,6390.5,3319.5,15068.32,105870.41,68862.73,38015.545,42133.385,72341.94,85346.41,58536.97,107534.585,58157.385,84507.85,50460.685,24498.99,43517.37,44869.995,7333.535,97634.165,34109.83,42108.675,3866.625,50715.835,52170.31,55599.9,25626.68,81399.19,51617.865,91475.475,23412.615,195226.26,98979.02,95654.83,54889.735,66304.925,41168.29,59321.955,13569.83,51216.7,63807.12,55546.97,56375.5,100144.96,
MF0083,193.25,0,60.5,244.83,101.875,30.67,32,48.5,797.5,63.25,15,271.33,190,70.125,107.96,39.33,2109.83,0,8.5,13,12.5,52,51.67,72.33,156.67,70.79,60.5,0,38.33,125.83,46.17,41.67,77.67,97.33,87.17,13.67,110.585,2.83,1044.25,124.335,8,24.5,66.5,0,0,22.5,48.835,36,244.66,268.33,54.67,15.165,635.83,33.83,23,45.96,60.21,0,19.17,136.33,43,38.5,179,1975.67,0,130.83,30.83,64.67,30.83,163,59.67,25.5,24,42.085,41,52,7,101.17,543.33,481.67,76.83,0,136.33,99.66,670.67,263,
MF0040,1564.35,2698.33,9958.44,1330.1,645.22,613.65,189.79,637.83,1134.29,1551.35,427,1260.79,411.46,870.21,1777.82,1156.75,1014,5384.93,2018,283.33,427.5,2962.54,5279.15,949,4026.21,432.68,2094.08,336.53,495.46,8472.165,1036.64,654.42,1978.585,4128,3646.21,913,537.5,2650.71,1210,2154.43,982.25,698.04,725.42,2681.21,3023.25,1045.67,762.86,1942.22,1730.46,3417.25,250.585,1166,1201.96,1014.29,379.67,152.68,1078.61,643.33,467.29,923.57,508.67,25.33,1946.96,1594.03,3544.83,1710.54,1896.75,1952.25,1388.18,341.21,1054.33,1858.57,839.33,353.64,631.36,254.04,231.17,1485.4,1949.46,1851,457.43,7,635.14,3491.71,2115.085,817.24,
MF0084,193.25,2680,140.25,6,67.75,21.75,17.5,48.5,96.25,63.25,4,10.5,3.75,54.25,91.25,1.75,0,5359.5,3,0,1.5,1.25,0.25,8,0.25,50.25,1573.75,0,235.5,319.5,2.5,186.75,75.5,0,22.5,0,95.5,2616.75,17.25,60,4.25,0,456.75,2655.25,3023.25,0,58,32.75,3.75,1.25,10.25,3,5.25,0,37,24.25,73.75,0,156.25,73,0,0,1190,3.5,3538.5,1419.5,1.75,83.25,1.75,51.5,0,0,0,56.5,58.5,61.75,5.5,2.5,14.75,450,207,0,60,2,0,159,
MF0082,224.5,2680,141.5,10.25,88.25,27.75,22.25,75.5,352.75,68,4.5,62.75,8.75,54.25,133.25,3.75,0,5359.5,4,0,2.25,3,17.75,10.5,5,60,1607.5,0,236.75,436.75,11.5,192.25,80.5,0,23.5,0,100,2616.75,50,71.25,4.25,0,463.75,2656.25,3023.25,0,62,43.75,101.75,3.25,27.25,4.5,392.5,0,37,26.5,81.5,0,156.25,118.5,0,0,1234.5,24.75,3538.5,1435.25,3.25,96.75,1.75,60.5,0,0,0,56.5,61.25,65.5,6,8,225.25,498,213.75,0,97,11.25,0,257,
MF0080,10830.25,0,12292.75,5646.75,5044.25,327,274,434.5,2148.5,3471.125,18974.125,1440.125,13145.125,10351.875,15107.5,10010.375,2461.625,0,1383.75,1344.5,1047.625,6661.25,14040.75,552.375,4044.625,261.75,0,2143.125,1191.375,0,10804.375,2038.5,0,3587,2612.625,1569.125,1189.375,0,10495.75,2529,1363.25,2802.5,550.75,0,0,2215.375,272.5,4514,2490.75,4299.25,436.25,10496.25,6469.5,313.125,0,0,3791,2769.125,409,8406.125,807.5,0,3058.375,2852,0,476.625,5032.375,1900.125,320.625,6678,1386,12431.625,2097.25,1746.125,7067.5,281.875,519,9223.5,2882.875,1668.25,552.375,0,1254.625,6909.75,2144.375,2566,
MF0005,36165,5607.33,160136.11,19688.93,11610.39,21119.25,6323,5540.75,44576.08,19882.42,39038.25,14798.58,32431.46,32853.17,56194.17,24811.5,18256,10950.5,26646,5226.33,8013,17746.54,51147.75,35420.08,70830.09,20665.33,20600.75,7073.36,3803.79,38468.71,26829.64,7301.25,9360.46,16333.58,34441.42,10519.92,6496.25,7391.25,53187.33,12323.18,7960.5,7945.71,2770.42,7287.17,6249.25,7427.25,48338.67,26645.33,24806.66,10839.5,32462.34,27812.25,28632.21,30049.58,20874.75,33232.92,13200.86,8688,21093.5,18178.82,2948.5,32621.5,9004.04,20967.11,7303.33,13604.16,20647.75,14786.42,8939.08,29702,18690,51316.07,7018,95716.92,33233,46072.25,26441.67,28043.82,14443.08,22123,3649.58,36299.25,31475.14,18962.21,5302.67,47274.67,
MF0049,52218.975,8200.33,183962.995,31812.9,14350.365,14585.715,5211.99,6617.415,56547.975,23811.7,11095.25,23520.36,16434.31,51277.26,80823.47,12633.505,43864.22,16239.02,21244.295,7220.46,10010.875,19227.565,51150.975,25102.7,59427.835,15483.945,12465.885,2276.21,6010.775,33398.48,14136.635,6827.09,10186.705,51623.585,35475.77,15590.785,12411.055,9719.8,79464.025,28765.935,12626.355,11787.395,4866.27,9262.73,9180.75,6802.41,29950.77,25077.88,32460.115,14388.33,19811.425,17096.495,47223.405,19260.98,5527.245,19130.23,9430.105,11328.98,13291.605,16709.04,4172.17,10395.03,21065.435,35230.41,10764.955,14643.335,15202.08,19755.45,11972.105,20975.32,12777.495,30603.685,7535.38,54584.77,21747.825,25653.925,15448.42,32257.94,36855.215,27971.27,6161.795,1000.25,44215.5,47149.13,65378.21,39417.515,
MF0006,118113.58,3022.98,170035.76,94747.52,49135.13,82527.52,12929.96,147443.08,216304.68,71473.85,70453.1,52063.16,71605.93,83780.96,89091.26,78501.66,73602.74,5711.8,67900.66,14675.97,21279.75,57939.59,132440.63,60066.25,164142.14,44916.75,42193.48,24502.82,19269.43,179583.06,81085.19,31563.13,36628.63,182547.56,106986.24,75980.46,25950.31,6131.15,122255.61,58969.78,25633.27,20639.13,12806.74,5935.92,3233,38394.6,87133.35,61212.33,60575.69,50926.83,52745.31,84002.23,98800.83,86704.66,41279.17,58567.56,52325,54752.88,28314.04,51709.05,10644.22,88908.58,43944.67,86459.66,3844.48,45473.55,59171.38,82369.75,35376.05,61705.89,46603.68,118891.89,36587.58,120496.16,90475.83,58162.17,36780.92,90724.05,75530.28,136445.83,17573.9,53496.95,61685.03,88412.63,124583.93,79476.65,
MF0047,27435.095,2736.665,92978.19,26617.48,10397.475,3813.075,2441.455,8405.665,50890.23,21031.065,6037.25,15728.305,4353.725,37709.95,40816.58,11316.795,29899.88,5420.77,14491.42,5469.27,5643,19726.29,30223.895,9168.225,26664.91,7962.545,7505.545,5370.75,5553.315,32698.285,11280.265,8502.88,6299.35,39415.92,27128.645,16290.145,8359.27,3314.28,46531.155,20431.63,8346.39,9488.48,3543.4,2902.52,3025,9448.045,13130.99,13746.65,23179.525,13856.16,6837.69,15430.785,38738.375,9056.48,3808.435,4333.69,9776.49,11724.24,3122.525,11899.905,4165.085,844.265,13639.35,31305.505,3558.29,6694.09,15164.16,17431.475,10287.895,4565.545,9181.04,25937.56,7056.315,11128.43,10396.075,4301.8,4384.085,29344.735,28802.095,42035.08,4431.47,149.875,21384.165,35357.925,48295.37,15637.995,
MF0004,13076.86,2689,523.02,6392.86,3897.83,721.94,921.18,3711.5,31343.67,7667.76,694,4399.98,1135.67,9340.63,4825.44,3597,6962.9,5379.11,5706.5,0,1795,5495.78,9927.64,3699.55,7305.73,3980.31,4624.6,2906.47,2109.83,27511.93,4184.03,3162.5,1509.37,0,10903.92,0,1886.6,2745.13,9093.14,4899.91,945.65,1930.42,1657.6,2685.83,3023.25,0,6525.32,3721.48,4588.07,2844.75,3494.7,5544.75,9652.37,4312.33,999.8,2240.86,3853.57,0,1194.92,2867.04,0,153.3,4605.58,10003.32,3541.75,3547.52,4442.75,8576.8,3501.11,1445.62,0,7562.89,3507.2,4570.68,5133.97,2062.58,1889.5,9605.89,7718.27,21145.2,1850.21,0,2265.53,5234.52,15792.23,4970.69,
MF0048,149084.25,8536.33,174124.11,62350.27,38914.87,99727.79,15556.23,57914.75,146124.54,53667.12,39684.75,45808.05,58470.03,59890.77,96865.8,52879.76,54652.53,16597.43,69110.59,11405.84,19277.75,32706.55,123816.73,79325.07,194986.92,49281.95,22402.19,10604.03,11848.47,47541.62,54692.33,17446.84,37964.41,102074.51,92745.7,40762.07,22155.02,12622.35,121013.42,50886.43,24265.63,13229.04,10691.2,12920.96,9473.5,14182.74,108706.49,65461.32,46093.07,37970.24,72562.51,55756.24,63433.05,99485.55,21985.82,82743.85,37206.24,23970.63,44856.96,36652.69,6166.17,74744.23,42755.37,47801.27,11098.83,50177.08,38258.99,56850.98,29198.85,73240.22,45757.41,74744.23,20443.93,194063.26,89561.18,96039.02,54777.67,50905.66,48629.34,65206.12,13029.15,18843.25,65381.97,62121.17,59677.09,102975.55,
MF0001,12920.44,48,1173.67,7251.69,3295.23,990.76,943.48,4355.58,18903.17,7811.46,936.5,6253.01,3516.92,9763.03,5694.26,4262.58,5883.68,12.36,6075.25,1517.05,1885.5,5598.13,16788.06,3916.78,6012.6,3835.49,3338.1,2947.47,1946.66,25268.8,4201.7,3019.92,1513.14,17454.83,12494.84,10253.12,2190.57,278.11,9469.89,5030.48,1171.1,2028.42,1477.4,28.33,7,4797.4,6732.29,4166.58,7982.93,3389.83,3280.47,5990.58,7220.55,4656.91,1262.45,2273.78,4373.29,6836.15,1557.59,2251.57,859.5,169.7,2365.08,11008.54,48,2491.15,4965.83,8382.62,3590.94,2432.47,4478.42,7911.89,3692.3,4818.05,5173.72,1959.83,1977,10321.56,8019.15,21342.14,1954.09,11.75,3285.36,9318.5,9436,5700.09,
MF0045,11237.245,4023,10271.875,6833.195,3491.205,1116.33,903.14,42907.17,25982.8,8324.115,1751.125,5522.97,1313.51,10219.25,14724.875,4322.28,7475,8040.5,6100.95,1634.265,1228.875,6904.24,11439.88,3347.48,10138.345,3487.96,4758.24,3013.545,2114.455,21133.64,4024.81,3641.305,1256.42,14862.42,11069.08,6847.92,1941.27,4034.5,10293.935,5357.6,1547.7,2471.275,1632.635,4025.375,4535.75,3657.035,6653.58,4514.755,6669.085,4506.63,3244.755,6212.83,9056.765,4538.12,1131.685,2002.6,4302.78,4065.165,1423.895,2796.085,1169.435,265,4617.75,11293.665,5308.75,3127.88,5445.03,6525.32,3762.26,1334.21,4883.185,8341.92,2610.565,4798.885,5085.11,2056.44,2057.285,9833.205,8062.165,21466.715,1695.985,52,2609.545,9207,18223.92,5252.78,
MF0089,1748.945,1343,2658.635,2207.25,889.625,325.705,300.57,440.375,5126,2204.41,1736.125,2657.695,747.66,10277.33,14701.795,1025.92,5943.705,2684,831.42,1227.33,969.25,2274.705,1832.5,617.375,2337.34,567.625,951.375,0,501.295,400.945,1026.305,240.045,504.76,611.67,1314.705,252.295,1333.945,1405.41,13099.135,1949.01,1271.715,2234,424.865,1367.125,1512.5,191.385,347,2023.375,3775.205,1186.535,355.205,2121.91,5787.91,173.295,300.5,201.67,662.375,162.625,276.795,2344.125,245,188.75,2791.875,5154.18,1770.25,1131.49,1009.91,522.5,332.5,724.08,216.5,143.955,160.75,1767.67,148.41,302.24,459.75,5145.09,4953.41,2594.885,434,0,1864.91,4826.91,5601.01,3265.785,
MF0002,97942.4,3173,20309.92,54024.84,29146.15,44505.22,13926.44,9629.09,111025.75,45002.52,51018,36127.18,63725.57,49095.31,90665.23,47328.68,29982.95,5804.25,55925.09,9720.51,17627,29599.51,135575.41,75663.24,156772.54,45052.69,30699.28,8860.25,9810.93,38035.08,46261.52,23778.25,38791.53,91245.43,80563.57,32789.4,11260.85,6847.31,102847.77,36615.58,7858.63,10825.75,6841.28,6774.5,3427,11775.57,101195.21,60145.1,39988.87,24757.91,68741.67,54792.66,43247.76,74471.68,43668.15,72270,29401.46,22274.55,42785,35061.79,5592,69963.4,25139.58,20845.82,4031.75,34194.54,26864.16,46518.06,24630.59,74288.76,44193.91,49470.91,18117.1,189026.2,82907.32,93861.23,52635.5,45985.84,39996.63,42548.86,10740.14,39420,36914.08,55086.05,64793.88,95601.14,
MF0046,23711.44,5374.33,1188.2,25918.69,14242.76,55058.96,1669.38,47851.49,33937.75,8845.73,24630,7567.44,18998.42,9633.9,6884.13,43025.91,6889.11,10740.86,12155.75,3518.18,1107.75,7986.43,25772.81,2767.31,42523.54,3489.12,5950.28,5354.64,2900.16,24917.43,30942.37,17326.76,21127.61,18722.66,9993.01,8783.49,7995.14,5538.81,11315.72,16446.85,11219.7,6512.75,4893.97,6381,6046.5,5544.97,6506.36,8325.71,4454.19,23670.16,4604.11,39530.41,11082.43,47008.24,24786.82,17671.95,29058.36,5403.38,1507.09,13342,2705.17,36955.73,14633.25,14110.78,7083.33,29359.96,26513.16,15204.49,3089.77,10175.77,9398.42,28736.89,7177.43,4928.07,18081.22,2463.83,1994.17,21380.06,6183.88,21363.03,4224.57,15651.25,2939.94,7185.54,5127.87,5651.21,
MF0043,0,0,0,140,84,30,23.5,0,0,113.5,132,201.5,57.5,0,0,143.5,124,0,60,23.5,0,0,882.875,0,147,0,0,21,0,708.25,29.5,31,100,69.5,191,139.5,0,11,362.5,0,0,32,47.75,0,0,101.5,0,40.5,1112.75,0,52.5,52.5,218.625,0,118,0,0,147,0,66,36.5,0,165.5,233.5,0,80.625,0,0,0,65,69.5,0,41.5,0,0,0,0,201,630.5,0,0,0,0,297.5,0,0,
