#OTU ID,LYZFP327,Lyz2.05B.FP255.S52,Itg.02.FP407.S7,LYZdtt315,LYZFP315,Lyz2.03B.DTT231.S71,Lyz2.06B.FP267.S64,Vil1.07B.FP79,LYZFP303,Lyz2.05B.DTT255.S96,Itg.24.DTT527.S22,LYZdtt303,Vil1.04B.DTT43,Itg.12.FP467.S69,Itg.18.DTT491.S86,Lyz2.01B.DTT207.S47,Itg.10.DTT455.S49,Itg.08.DTT443.S36,Itg.18.FP491.S94,LYZFP351,Vil1.05B.FP55,Lyz2.08B.DTT291.S133,Lyz2.07B.FP279.S77,LYZFP339,Vil1.09B.FP106,Itg.26.FP539.S43,Itg.06.DTT431.S24,Vil1.08B.DTT91,SLCdtt145,Lyz2.04B.FP243.S92,Vil1.04B.FP43,SLCdtt163,Lyz2.02B.FP219.S67,Lyz2.08B.FP291.S89,Vil1.013B.DTT151,Lyz2.02B.DTT219.S59,Vil1.13B.FP154,Vil1.05B.DTT55,SLCdtt109,Vil1.02B.FP19,Itg.20.DTT503.S98,SLCdtt001,Vil1.01B.FP07,Itg.24.FP527.S30,SLCdtt019,Lyz2.04B.DTT243.S84,Itg.10.FP455.S57,Vil1.010B.DTT115,SLCFP145,SLCFP049,Vil1.02B.DTT19,Lyz2.07B.DTT279.S121,Vil1.06B.FP67,Vil1.09B.DTT103,SLCFP163,Vil1.03B.FP31,SLCFP109,SLCdtt067,Vil1.14B.FP166,Itg.22.DTT515.S10,Vil1.06B.DTT67,Lyz2.01B.FP207.S55,Itg.04.DTT419.S11,Itg.16.DTT479.S73,SLCFP127,Lyz2.06B.DTT267.S108,Itg.08.FP443.S44,Itg.12.DTT467.S61,Itg.22.FP515.S18,Vil1.014B.DTT163,SLCFP001,Lyz2.03B.FP231.S79,Itg.26.DTT539.S35,Vil1.10B.FP118,Itg.02.DTT407.S99,SLCFP019a,Itg.16.FP479.S81,Itg.04.FP419.S19,SLCFP073,LYZdtt351,Itg.20.FP503.S6,SLCFP067,LYZdtt363,LYZdtt327,SLCFP091,Vil1.07B.DTT79,Itg.06.FP431.S32,LYZdtt339,Vil1.08B.FP94,taxonomy
MF0071,84395.575,20820.855,12015.665,63399.195,86556.935,28636.04,28626.325,23830.83,134007.805,13755.275,27521.105,867557.795,11281.42,31750.46,30387.68,25359.9,43166.275,13306,33390.03,53300,45226.855,24808.93,7670.015,53794.85,63540.23,19695.805,33251.68,11047.885,78429.705,58258.1,31141.65,83546.19,37133.45,18316.285,20190.635,34533.895,98108.43,12744.445,28750.915,42844.315,40183.905,5161.935,27347.955,20242.07,9295.05,48668.635,70164.985,10545.96,30921.875,19007.39,17433.96,16928.83,29206.26,13641.655,23741.865,28975.89,15925.815,16977.015,61313.865,31898.765,7617.905,26198.2,17644.85,109406.28,10858.32,28949.68,31491.42,35973.085,20570.21,18734.62,19732.655,48238.955,15109.205,73901.535,19568.3,14929.435,24212.955,22298.45,19274.895,117940.665,36017.76,10704.65,72319.52,49552.02,24115.155,8492.625,18208.45,18633.22,76757.14,
MF0038,51000.09,15599.18,9433.62,55063.22,96228.73,23424.37,30845.2,20879.53,57648.16,12813.15,30435.48,438933.74,12532.92,38153.21,33691.08,25021.19,37698.38,11384.24,28423.67,57332.04,49103.98,17195.97,8612.39,45522.4,5763.11,15722.91,12421.3,5832.41,57243.3,29290.84,37445.65,63563.94,37829.45,12603,14748.01,35766.52,6618.1,6441.67,20557.9,28536.82,33108.28,3877.77,25669.51,22247.32,4638.47,47076.05,27424.78,5326.66,20876.99,19120.14,3854.71,18668.79,31825.51,7113.39,25125.11,23196.88,17861.73,12296.67,2241.27,20399.11,3897.24,28594.2,20602.81,84685,8174.2,29699.18,20461.93,36954.15,12195.04,17424.27,21700.73,20232.95,17496.93,12684.37,22450.51,15009.3,17314.37,21815.7,15120.33,78178.45,40497.63,9709.89,70884.23,29920.39,20336.78,4231.67,20737.59,15543.58,46463.92,
MF0039,40,25,94.5,572,742,270,227,133,716.5,24,398.5,939,73,153,120.5,198,185.5,39,165.5,124.5,121,43.5,7,502.5,47,79.5,44,0,316,141.5,256,177.5,1307,52.5,261,857,3,0,48,79,100.5,69,129.5,186.5,31,223.5,88,10,396.5,120,6,76,175,17,57,164,62,130.5,5,56,0,206,135,69,18,236,55,75,69.5,80,285,33.5,88,144,102.5,117,163,322,238,84,203,31,583,51,343,0,149,126,51,
MF0036,22814.73667,6030.736667,2150.913333,16843.09833,20877.27667,5990.231667,6265.266667,7200.663333,15054.03,2997.923333,5863.795,221023.94,2611.251667,7108.486667,7909.853333,4389.206667,8218.726667,2799.606667,8257.733333,12470.985,10813.46167,4945.026667,1850.381667,17444.81667,18160.96333,3500.605,4281.49,5378.75,15502.81,10456.41667,8420.36,21072.45167,8239.17,2960.5,6488.548333,7084.84,5165.181667,6320.5,4718.621667,8013.605,8026.145,1084.745,5255.67,4170.505,2159.171667,8821.786667,16336.79,4538.75,5379.075,3592.733333,2728.89,3994.558333,7739.708333,5199.25,5506.395,7734.113333,4451.266667,3660.516667,6643.116667,6255.516667,3769,6104.82,4220.513333,20264.24833,2596.76,6627.545,5765.375,7636.828333,5400.893333,4759.706667,4191.943333,8094.02,2942.228333,19303.39333,3801.148333,6269.42,7316.433333,5576.63,4106.34,19285.945,11371.11333,4116.92,13072.24333,13359.85667,5172.426667,4130.75,5533.4,3699.041667,16304.25,
MF0037,45,78.5,29.5,227,173.5,20.5,89,84.5,158.5,28,58,257.5,103,119,110,1927.286667,101,30.5,122,242.5,186,71,26.5,184,61,31.5,51.5,0,109.5,24.5,509,766.5,57.5,53.5,0,26,5148.681667,0,114.5,89,79,35.5,93,38,27,34.5,95.5,16,407.5,90,14,47,95,37,132,420.5,148,26.5,9.5,51.5,0,34,102.5,77.5,44,62.5,148,123.5,60,37,208.5,45.5,46,179,39,129.5,108,286,12.5,172.5,89.5,57,167.5,21,800,0,61,40,186,
MF0034,47845.87,12113.66,6841.58,14498.3,19432.73,3285.48,10869.45,10579.82,11618.04,7186.45,4773.77,121849.8,2245.8,10477.86,7821.93,3533.24,7743.24,2759.82,8775.77,17228.47,21076.91,5533.7,3258.23,13749.85,25943.11,8216,5130.34,71.15,14994.95,9012.08,10463.75,31110.18,8038.28,3316.39,8337.13,5694.27,1028.14,29.93,7582,16331.78,8937.18,1017.59,11075.3,8123.31,1859.44,7662.6,11814.04,1004.17,6173.87,7439.82,4827.62,3604.33,12665.94,3362.16,9660.98,15225.12,7512.77,2649.71,10926.66,12252.94,1.57,6239.76,4961,89505.81,2527.6,5953.97,8424.22,10310.19,6889.88,5056.73,5105.95,6526.23,5799.25,12761.56,7374.41,5134.87,7537.88,7214.89,3617.65,9066.02,9000.24,2835.17,12954.19,24289.9,4944.48,0.29,5569.8,3611.26,9514.36,
MF0078,46659.3,6262.15,3312.25,27793.73,57756.98,21321.57,10406.7,14952.67,199510.12,4366.27,10864.6,275040.87,6175.29,12459.69,16723.6,14113.66,22118.74,7952.23,15394.92,29882.12,17188.56,15961.45,3508.39,45764.34,40680.87,6208.09,40138.5,6496.57,48815.97,38650.49,14639.26,48214.26,18116.87,21127.89,9919.31,18066.68,22431.89,6533.43,11864.08,18050.36,26727.1,2496.1,19903.21,6522.55,6868.19,29962.93,33862.7,5709.84,16599.94,4890.82,4249.94,9393.15,13542.28,7364.65,7968.32,12484.96,4363.03,13414.63,10730.33,16054.95,3831.32,16571.34,10279.5,17175.71,9807.86,13360.4,11163.98,17963.27,7542.72,9994.31,6362.53,49753.91,5541.09,54147.48,7099.93,8173.45,17384.62,9808.55,21427.24,131196.84,20784.66,4971.99,32406.35,36450.64,7506.4,4332.29,14042.36,9180.17,65745.11,
MF0035,27426.45,4013.66,2291.08,23482.89,19013.56,1910.58,5560.45,10677.49,11305.62,3230.36,3122.25,902504.67,2615.8,7618.86,6872,3109.07,5539.5,4289.07,8072.77,17483.8,15270.24,3929.29,2938.98,13993.43,2726.19,5281.75,3968.09,5466.73,5916.33,9153.83,10356.42,21790.6,6541.28,3240.39,16465.13,4692.5,5632.39,6344.6,2578.5,10242.2,8146.68,977.26,11616.22,3341.31,1078.77,6218.77,8669.62,4937.25,6393.12,6944.32,3979.54,4193.5,9561.94,6036.58,8306.31,8493.62,4026.6,2024.13,1425.33,7451.77,3797.24,5988.76,4764.5,5840.81,2446.6,4037.22,7485.22,7554.69,4345.88,7686.48,4769.53,6577.98,2703.08,3309.81,3528.83,3899.7,5892.63,6274.75,4159.48,8587.85,8158.24,4544.84,12671.86,14514.57,3744.75,4386.96,4339.8,4235.84,5619.5,
MF0079,910,572,216,1292.5,1692,792,1297,1019,1238,704,1142,10396.25,850.25,764,1975,637,1717,1154,1334,856,1722,1674,116,846,902,253,385,5378.75,1915,307,1433,2481,1046,178,591,1442,38,6320.5,731,948,976,112.5,1036,866,120,1106,461,4509.75,282,463,266,934.25,936,5120.75,1944,841,122,239,557,508,3769,407,990,1382,99,1146,511,1786,248,789,141,333,468,2650,1272,584,419,593,138,1415,711,94,4608,1012,615,4130.75,368,947,5458,
MF0032,167,0,1,1292.5,111.75,160.5,1,3,102.75,302.25,59.75,10387.25,850.25,0,21,142.5,103.25,1148,1.5,94.75,8,160.5,0.75,84.75,0,1.25,26.75,5378.75,0.5,2.25,0,1,0,2.5,591,20.75,21,6320.5,8.5,4,115.5,112.5,2.25,1,4,225,0,4509.75,1.75,37,82.25,934.25,3,5120.75,1.5,3.5,0,75.75,11,56.5,3769,0,241,165.5,0,22.5,1.5,28,0,555.75,36.75,2.25,28.5,3.5,170.75,0,1.25,0,0,73.75,0,0,122,243.75,0,4130.75,0,653.25,2.5,
MF0076,11157.08,2148.165,2698,10576.915,36734.5,12356.04,2893,2772.58,100311.665,1427.46,3409.5,17825.085,2441.25,6664.625,6090.875,2968.75,13581.5,4108.835,6476.25,5035.42,3563.335,8613.915,862.625,10794.71,15351.625,5007.75,18885.375,5897.75,24633.54,27900.75,5838.29,26555.875,5246.54,9534.75,2763.665,4780.92,88864.75,6419,8332,12360,15956,1607.5,8029.375,2482.625,3119.125,16656.29,26647.875,5111.75,12460.46,776.5,4118.75,3018.625,3550.165,5784.5,4809.375,5162.04,2008.125,7289.125,36850,10814.625,3769,4710.83,3847.375,10705.625,4878.125,2078.915,8440.625,9333.625,6530,4052.665,4846.625,28719.25,3160.625,21430.625,3305.25,1007,5141.125,2474,9889.625,58117.835,11883.375,2901,2946.83,13382.25,6547.75,4190.25,5550,4344.21,29289.125,
MF0033,58078.76,12597.115,8322.835,39605.04,79942.52,26285.875,16360.1,16404.58,208497.405,8444.97,15381.89,561137.61,8255.86,20851.03,20516.84,14268.36,31114.61,10749.065,20176.245,31629.81,26288.325,20934.475,4781.195,41570.76,48961.805,12919.375,42236.625,9238.78,61489.015,53310.54,22799.565,67188.81,21567.85,22408.445,14368.73,20093.135,104789.445,9719.885,19580.165,31783.225,36012.19,3652.495,25487.82,11635.335,7816.145,38883.345,51084.63,8525.54,26611.27,9114.52,8922.385,11604.755,18667.455,11223.33,15445.705,21506.245,9225.005,16635.185,48074.46,25809.595,5729.455,17881.2,13255.265,65073.715,11632.255,15318.69,19397.355,25806.885,14519.93,14637.835,12361.095,58197.605,9965.575,56252.7,12916.34,8349.04,18508.72,12453.55,23235.35,133181.46,29951.145,9924.8,35150.1,44235.2,14463.09,6494.94,16584.6,11617.22,70030.1,
MF0077,1200.25,629.9166667,227.5,7126.026667,1861.5,967.4433333,880.9166667,1113.276667,1205.916667,1048.556667,856,149048.89,1653.666667,667.0833333,1317.75,671.75,1374.083333,2157.64,1028,869.5,1752.306667,1325.36,209.3333333,1041.833333,634,275.8333333,474,7174.416667,4796.276667,538.6666667,1615.86,6213.75,1289.75,240.5,2471.943333,962.25,807.4166667,8431.5,664.9166667,1077.166667,928.1666667,340.5,1275.25,610.5833333,199.6666667,1284.276667,602.4166667,6073.833333,590.8066667,607.1666667,1195.666667,1870.833333,1023.333333,6945.083333,1834.75,1304.75,349.4166667,330.0833333,347.25,601.5833333,5037.75,380.6666667,1250.75,55877.41667,209.5833333,846.4166667,441.75,1295.666667,258.1666667,2045.61,494.5833333,434,402.25,1489,1232.833333,548.3333333,545.0833333,1028.5,124.0833333,1083,558.0833333,171.8333333,2913.75,1395.25,751.1666667,5535.75,341.3333333,2246.223333,3236.25,
MF0029,13571.37,5760.16,2007.33,12361.89,16436.48,2894.57,4941.2,11687.16,9563.29,4336.11,3081.27,342684.46,4061.05,5119.61,5131.43,2760.99,4997.49,4002.73,6059.27,12749.22,16882.07,3702.04,3051.48,10602.85,3306.61,2899.75,4111.34,5392.15,11030.54,7191.08,14784.09,24447.18,6813.03,2567.89,17379.97,3742.02,8481.39,6323.43,4517.25,10221.53,3919.43,1798.34,12311.55,2701.81,1967.44,7329.94,5372.29,5123.17,6963.78,5947.07,1438.62,4396.33,8302.94,6382.66,14424.73,13980.37,5964.77,1692.21,1512.16,5239.44,3803.57,4650.26,3671.25,87692.81,3130.6,4160.22,3698.97,6396.69,2453.88,7060.82,6487.95,5169.98,2139.5,2805.31,3403.91,4558.87,5905.13,3642.14,1764.4,8131.77,3583.49,2559.67,9447.44,11258.15,4709.23,4210.79,3077.8,2920.42,5054.86,
MF0041,22727.415,5358.193333,3598.493333,12935.38,12809.5,6618.795,7559.016667,6939.34,7689.32,3397.758333,7061.825,268888.71,2611.251667,8742.993333,7909.853333,4389.206667,10724.06167,3197.13,8257.733333,12470.985,10971.34667,5225.946667,1472.74,17444.81667,19262.19167,4992.855,2966.455,4035.625,23655.72,11286.16667,7824.34,20534.045,7895.448333,2466.5,3719.665,7084.84,7950.306667,4743.25,6523.206667,10324.94,7982.415,1335.24,4305.59,5257.425,1890.255,10251.29167,16847.1,3392.683333,7995.91,3938.795,3172.8725,3994.558333,7600.585,4287.296667,5519.79,8426.778333,4732.183333,3293.545,11372.40667,8589,2828.5625,5297.605,4554.8,65163.46833,1439.38,7016.55,8011.12,10126.24833,5277.196667,4823.75,6321.028333,8554.965,3975.558333,19303.39333,5271.308333,4694.06,7316.433333,5959.065,2403.335,15993.405,7384.165,3084.79,13072.24333,10536.125,5076.878333,3099.1875,3164.87,3844.83,11885.21,
MF0085,16175.62,1905.4975,1475.7525,8716.3725,33039.375,13174.9375,2641.5,3868.87,141739.7475,1262.255,2212.1225,7857.255,1916.31,3653.815,4486.185,3648.875,11513.8725,3196.005,2627.1275,6041.505,3591.6275,9880.8725,1145.5,15267.1275,17318.435,2320.995,27596.0625,778.7475,27235.435,25667.505,5593.555,26205.2525,6168.56,13957.75,1486.995,5437.8175,16167.0625,144.75,6079,10373.5625,17379.9975,1211.5,11671.0675,1360.815,4057.3175,16806.06,20436.25,618.2475,11414.9425,510.5025,2671.255,2781.1275,4709.7475,867.1275,2143.435,5805.435,500.565,8832.9375,4851.25,9105.81,22.5,6443.495,4457.3175,8207.565,6325.3125,1996.9975,3864.31,7674.5625,3866.505,3453.5025,1904.6875,35275.5,1778.8125,24629.8775,2554.495,588.0025,6053.19,2625,13938.5625,85972.065,12793.435,2862.2525,1861.0575,19510.815,2489.1225,89.25,7882.755,3946.875,40611.0625,
MF0086,121840.95,26067.23,16574.795,64908.445,169899.72,54333.87,32230.45,32121.33,419160.09,15591.9,30815.355,454816.52,13703.92,43344.085,43557.18,27307.275,64636.27,17394.555,43756.04,58771.625,50063.73,42235.49,9255.14,88738.1,104043.49,27449.625,84803.375,7042.45,125453.875,115756.33,42561.9,131059.44,41437.2,44170.39,17609.635,38846.395,202797.14,6642.215,41237.58,66086.695,73747.78,7020.71,49697.01,23164.945,16018.37,80190.56,109276.19,6844.335,52962.49,17858.265,16855.19,19863.33,35793.26,9695.53,31730.74,41639.265,18021.44,32886.415,102526.665,52988.195,3807.16,34326.075,25014.1,132887.155,22934.185,29321.43,42609.76,53552.145,30269.46,23432.62,24948.195,120269.06,20836.33,123076.4,24226.05,18201.56,38444.115,23277.575,46474.805,265150.925,61472.14,16339.295,64005.27,89749.52,28558.33,4354.02,33026.075,20481.97,143595.32,
MF0083,648.66,111.83,44.42,1061.25,1620.5,160.5,562,78.33,793.83,206.96,152.33,2582.67,459.83,215.67,131.33,142.5,230.83,75.67,119.17,807.09,360,163.75,69,799.92,55.83,40.16,61,4.83,200,231.09,1280.16,149.17,182.33,210.75,164.33,425.34,7,0,274,187,252.83,107,164.59,120.17,66.34,491,341.5,24.83,64.17,203.67,53.795,579.17,244.33,83.17,124.33,1124.33,435.67,75.75,11,86.33,0,144.66,341.34,165.5,17,610.33,379.33,185,109.59,310.34,651,36.5,68,191.67,170.75,330.67,329.67,1024,82,557.67,276.83,128.17,1039.66,380.67,1479.33,0,145.34,365.33,253.5,
MF0040,1017.33,337.43,144.835,2611.31,1337.51,577.5,827,1405.43,934.94,696.72,658.04,91158.005,1282.82,706.14,1122,541.12,1025.96,1661.38,1001.5,1308.92,1645.57,1049.46,206,823.835,742.76,396.33,242.04,5406.65,4631.08,605.54,1736.43,10586.085,1393.415,226.79,2877.495,829.18,3264.29,6337.6,415.5,977.1,629.5,184.5,949.78,484.14,246.42,868.14,746.25,4587.37,1159.28,749.835,231.35,1368.63,1035.71,5242.56,1004.83,1114.64,526.085,600.28,620.53,372.54,3797.24,434.83,901.53,82405.085,168.25,647.64,377.915,1050.29,222.14,1449.51,710.75,527.68,306.83,1915.64,964.42,639.335,648.96,581,155.25,1082.08,437.86,2537.67,2592.1,1001.835,418.165,4147.71,227.86,1173.54,2921.03,
MF0084,167,0,1,1292.5,111.75,160.5,1,3,102.75,302.25,59.75,10387.25,850.25,0,21,142.5,103.25,1148,1.5,94.75,8,160.5,0.75,84.75,0,1.25,26.75,5378.75,0.5,2.25,0,1,0,2.5,591,20.75,21,6320.5,8.5,4,115.5,112.5,2.25,1,4,225,0,4509.75,1.75,37,82.25,934.25,3,5120.75,1.5,3.5,0,75.75,11,56.5,3769,0,241,165.5,0,22.5,1.5,28,0,555.75,36.75,2.25,28.5,3.5,170.75,0,1.25,0,0,73.75,0,0,122,243.75,0,4130.75,0,653.25,2.5,
MF0082,189.75,0,22.25,1558.75,488,308.25,128.25,15.5,411.5,313.75,269,10905.25,877.25,0,77,233.5,184.5,1164,71.5,173.25,54.25,182.25,11.25,359.75,0,19.5,43.5,5378.75,110.5,79.75,0,28.25,0,15.75,723.5,468.25,22.5,6320.5,28.75,26,148.25,125.5,42.75,90,18.5,356.25,0,4509.75,101,54,84.75,983.25,29.25,5120.75,31,46.25,0,134,14.25,79,3769,0,266.5,186.5,0,149.75,26.25,73.75,0,585.75,113,22.75,58,24.75,202,0,15.25,0,0,123.5,0,0,452.25,261,0,4130.75,0,721.5,39.5,
MF0080,9449,1545.75,1311.875,7473.875,2141.5,826,1388,2913.75,1704.875,930.625,1837.75,339389,969.375,4201.375,5394.25,0,3510.625,1250.375,7859.25,4304.375,3042.75,671,499.375,9759.5,9984,1812.5,1095,0,6408.25,613.625,3848,2531.375,1944.75,535.75,0,1920,78560.25,0,0,2912,2277,422.625,1438,1273.625,686.125,1079.5,7377.875,0,2902.5,599.875,1728,1359,2104,0,2267.875,2157.125,1126.125,0,29033,3622,0,1139.875,1559.5,3120.625,647.875,1297.125,4287.75,3869.625,2936.5,3270.25,2615.375,461.625,1177.125,11769.75,1533.75,2684.375,4161.75,1064.625,413.5,4335,1864.5,667.75,3628.75,3502.5,4506.5,0,863.375,1334.75,5137.375,
MF0005,61332.36,13764.93,8786.86,15381.17,45376.08,18157.67,9883.75,24971.83,190323.41,7471.64,4768.04,39238.59,5298.33,15333.89,15680.75,5400.83,17778.08,7911.84,21788,15720.8,19038.57,14117.42,3299.18,38304,51894.91,10760.64,38971.5,11847.91,42769.75,34937.09,13838.18,39685.34,8890.83,19204.5,11063.14,7809.84,156275.79,12856.17,10068.5,20207.93,24219.33,2419.92,18110.51,7532.64,6677.92,23290,31927.83,10274.16,16409.84,7189,4010.51,6829.59,13796.33,12468.84,11974.75,16666.89,9331,12967.42,70342.36,18309.46,7591.42,9310.41,7763.76,15903.92,10276.75,4433.64,15661.64,14632.29,12114.64,9870.17,9123.75,47478.75,6832.25,55302.92,7636.75,9437.25,18056.67,4012.25,19442.33,120771.75,17855.33,7233.84,8766.61,32971.09,10910.25,8399.67,12082.09,6820.33,63389.42,
MF0049,81936.88,20088.875,9289.865,51226.505,61947.25,22345.49,27089.31,22480.175,121488.41,13994.065,27322.13,771439.86,13160.125,26708.865,30641.545,28087.825,31102.285,13432.17,29626.705,55889.11,41553.56,18265.555,6477.79,62962.385,70231.82,11757.055,27718.535,16873.225,66893.735,29672.62,27273.715,76163.22,37415.27,15574.235,18621.535,36720.315,16691.61,19143.565,20310.785,26230.36,26510.71,3747.99,20028.095,18695.955,7428.43,36947.635,34419.755,15466.33,16777.38,15183.87,8822.78,19150.785,27163.1,21026.635,16770.53,25544.745,13262.64,13149.265,21441.82,20236.765,11445.15,25768.79,17597.035,105052.28,7958.975,30744.09,17181.38,29439.675,11155.09,18630.29,12816.755,32267.725,13010.67,72878.09,18880.095,17716.6,25432.395,22358.37,15928.87,102968.165,24701.685,8914.745,80581.39,45586.5,15226.45,12675.48,16499.08,15608.625,72466.96,
MF0006,206963.28,40920.75,25754.13,95320.24,230646.23,46490.07,55457.75,70408.31,286011.15,25979.13,56785.67,718028.42,22585.95,72597.51,66870.49,54399.84,68897.78,25942.04,71671.67,135886.27,115849.67,40964.9,22757.78,118812.07,86751.29,44123.13,64801.38,7179.42,113134.39,111390.67,82818.17,208167.68,76408.75,39944.4,58500.38,70592.07,202044.15,6718.32,39242.99,91180.06,93204.34,8779.85,82279.89,38222.24,14421.07,88064.17,107572.56,9065.37,65901.87,61206.42,13691.52,33728.9,74545,14908.41,64375.28,69748,38679.98,34086.58,104728.13,74367.59,4043.47,64236.4,37507.71,56594.52,28943.98,50947.12,63439.36,74036.14,44743.86,37337.64,48093.72,95114.74,31616.7,90082.18,35559.54,33240.14,54873.54,45122.28,49035.65,196084.71,93498.74,38771.3,144708.31,119414.56,45432.34,4514.67,46149.82,20901.68,132081.37,
MF0047,70742.605,15855.27,7612.625,38928.09,49209.385,9623.895,21824.3,25455.745,30015.47,10603.62,19984.9,517165.44,8873.98,24297.83,24593.605,17574.82,19465.65,8275.435,26285.39,45786.815,40626.89,11157.26,6740.005,46022.265,33450.755,12761.42,10758.92,5608.6,34282.195,19756.45,27089.84,60552.77,25305.05,7945.085,16703.455,24609.11,4528.46,6375.23,12178.455,25205.71,19921.355,2664.48,23729.74,14777.415,3943.495,22867.98,23085.885,5782.755,13272.42,18119.065,6011.505,12813.86,26283.915,8791.775,20595.515,22901.31,12641.79,6252.445,10927.62,18338.375,3863.065,17941.55,12583.13,99267.825,5970.285,23563.425,18684.38,23769.615,10917.08,13029.26,13223.045,13955.525,10511.255,31509.97,13226.55,14294.885,19478.52,16670.995,10078.605,36215.1,21269.07,6623.245,64578.86,36290.51,11084.055,4263.895,12055.43,9292.34,29265.5,
MF0004,24307.42,3947.41,2360.07,26766.53,23153.46,3141.55,7736.9,9267.66,11551.42,2988.88,7007.88,266479.33,2950.94,9107.38,8017.95,8351.98,5921.32,3997.87,8634.7,15543.26,14321.89,3809.58,3067.71,13739.86,1652.81,5257.43,4115.18,5474.39,8006.08,9199.48,10071.61,24976.52,11241.4,3477.78,13601.42,9885.36,1435.17,6331.86,2411.75,10232.56,10236.45,1116.43,11556.92,3761.03,945.2,8557.38,8740.83,4832.68,6853.22,8695.55,1312.56,4725.57,8466.22,5888.23,7960.8,7823.08,4973.45,2200.17,767.07,8816.47,3777.39,8470.2,4395.57,6103.03,0,7389.03,8041.78,8485.38,5115.58,4755.71,6636.65,6625.21,3294,1429.78,3562.5,3814.4,6099.42,5542.53,0,9665.7,10909.32,2825,19524.56,14335.71,0,4215.58,4840.92,2985.18,7539.97,
MF0048,119107.63,27759.3,16286.01,116204.65,192699.81,55623.57,39249.95,34781,436750.44,18870.69,40218.84,1496183.13,18383.19,41076.36,41606.68,31287.41,63495.9,23058.83,37219.91,68208.28,60382.39,44649.44,11377.55,89505.25,96277.62,23846.75,86148.66,18498.98,120191.31,107446.58,46108.66,158360.1,48550.87,47212.39,32667.8,48368.77,52478.89,19460.1,35823.16,60348.36,73499.18,7289.53,52983.97,27460.13,15920.95,83010.83,92661.94,17057.75,46176.2,23718.91,17291.36,28422.23,43964.28,22680.9,36503.15,45193.96,18404.96,33885.47,51854.17,49650.7,11483.99,38424.49,30835.35,46709.45,23848.62,43299.99,36079.15,50177.35,27074.74,33949.97,23251.69,115553.09,20450.26,112732.24,28473.69,18499.95,38232.7,32073.46,47263.41,271885.08,63636.99,17397.82,84793,91199.39,29294.48,13146.21,36824.85,25765.42,152356.03,
MF0001,23919.68,4230.39,2305.04,10389.53,17027.26,1834.87,5009.35,11756.89,10377.35,3422.6,4683.86,246210,1790.42,8368.85,6811.38,4763.43,4532.35,3730.64,7761.47,11226.8,12958.14,3518.08,3108.76,11873.28,4146.74,5268.54,3936.48,69.22,7684.08,9516.27,9449.27,26594.99,8552.43,3108.88,11149.61,6261.45,1725.88,1.86,2496.75,10491.66,9133.88,1197.63,11978.11,3212.2,1260.89,7216.93,9224.83,486.56,6965.14,9268.62,1251.25,4452.44,9593.45,990.5,8612.03,8253.31,5475.22,2434.02,1988.62,7162.7,95.14,7001.46,4498.96,5518.7,3311.55,3927.36,7680.11,7735.03,4555.82,5447.6,7243.6,6995.26,2985.5,2062.2,3134.91,4167.27,6343.34,5192.03,5011.7,6862.72,9876.45,3085.17,11073.32,12611.68,3995.28,80.33,4557.36,2407.06,8595.47,
MF0045,25861.51,4285.16,2308.08,13541.5,19162.745,3474.335,5791.75,10413.41,11156.13,2986.15,7659.08,253475.915,3314.16,7955.41,6602.43,6908.335,5555.415,3346.39,8116.37,15710.135,15166.82,3330.25,2863.73,13976.915,7508.75,5331,4034.59,8075.5,8475.59,9408.33,10778.79,19784.915,8435.585,3353.14,9510.385,9340,2973.64,9483.5,3226.415,10579.615,7918.98,1024.375,11975.385,3976.08,1209.005,7143.245,8719.805,6910.125,6676.615,6946.77,2656.805,4394.495,9435.64,8130.625,8656.045,9004.92,4298.535,1979.145,1540,7454.105,5654.375,6113.86,3735.17,46483.26,2606.45,8524.505,7715.57,7452.94,4453.58,4366.035,5451.115,6755.43,2823.265,9819,3911.84,3993.235,6105.23,5564.83,4339.265,9636.245,8397.44,3441.905,22689.16,14287.485,3743.03,6237.25,4339.3,2923.165,8096.75,
MF0089,11036.625,2115.4,490.635,3968.84,5986.125,1961.09,3381.5,3781.42,4085.115,1437.875,4194.865,22350,1973.65,4051.045,5183.33,3100.67,3821.66,1430.09,5695.24,8881.33,6006.24,1356.035,863.41,11914.705,7734.545,1285.535,1507.535,2710.58,5967.805,1420.84,4196.99,4274.545,5100.75,1476.25,620.5,4907.215,31.5,3163,1741.83,2272.83,1888.83,513.885,2320.215,2424.205,865.305,3067.74,3666.035,2416.205,1241.625,1344.215,321.625,2689.035,4432.5,3094.705,2244.625,3228.375,1475.475,920.92,1552.17,1401.92,1885.375,2875.025,2080.805,2971.865,381.385,4722.34,2862.17,3904.455,1153.77,1782.295,2245.08,1097.18,1351.215,10830.01,1689.465,3335.545,4312.205,2819.785,858.34,7740.66,2133.83,487.91,11562.855,4752.455,2952.83,2066.625,1681.365,1674.16,5280.125,
