#OTU ID,LYZdtt307,Lyz2.01B.FP211.S59,Vil1.07B.DTT83,LYZFP331,LYZdtt319,Itg.10.FP459.S61,LYZFP319,Vil1.02B.FP23,Itg.04.FP423.S23,LYZFP307,Itg.22.FP519.S22,Vil1.03B.DTT35,Lyz2.02B.FP223.S71,Itg.26.DTT543.S39,LYZFP355,Vil1.05B.FP59,Lyz2.02B.DTT223.S63,Itg.20.DTT507.S2,LYZFP343,Itg.22.DTT519.S14,Vil1.09B.FP104,Vil1.08B.DTT95,Itg.18.FP495.S98,SLCdtt149,Vil1.04B.FP47,Lyz2.08B.DTT295.S137,Lyz2.03B.FP235.S83,SLCdtt167,Vil1.013B.DTT155,Lyz2.06B.DTT271.S113,SLCdtt053,Itg.10.DTT459.S53,Vil1.04B.DTT47,Vil1.13B.FP152,Itg.06.FP435.S36,SLCdtt113,Lyz2.07B.FP283.S81,SLCdtt005,Lyz2.07B.DTT283.S125,Vil1.01B.FP11,Lyz2.05B.FP259.S56,Lyz2.01B.DTT211.S51,SLCFP149,Itg.12.FP471.S73,Lyz2.06B.FP271.S69,Lyz2.05B.DTT259.S100,Vil1.010B.DTT119,SLCFP023,Lyz2.04B.FP247.S44,SLCFP053,Vil1.05B.DTT59,Itg.02.FP411.S11,Vil1.06B.FP71,Vil1.03B.FP35,Itg.18.DTT495.S90,Itg.20.FP507.S10,Itg.08.DTT447.S40,Itg.24.DTT531.S26,SLCFP167,Vil1.09B.DTT107,Lyz2.03B.DTT235.S75,SLCFP113,SLCdtt077,Vil1.14B.FP164,Lyz2.08B.FP295.S93,SLCFP005,SLCFP131,Vil1.01B.DTT11,Itg.24.FP531.S34,Vil1.014B.DTT167,SLCdtt095,Vil1.10B.FP116,Itg.08.FP447.S48,Vil1.06B.DTT71,Itg.02.DTT411.S3,Itg.06.DTT435.S28,Itg.16.FP483.S86,Itg.04.DTT423.S15,SLCFP077,SLCFP071,LYZdtt355,Vil1.07B.FP83,Vil1.02B.DTT23,LYZdtt367,Lyz2.04B.DTT247.S88,Itg.26.FP543.S47,SLCFP095,LYZdtt331,Itg.12.DTT471.S65,Vil1.08B.FP92,LYZdtt343,taxonomy
MF0071,72974.535,76505.24,3670.625,139232.32,16253.355,83286.185,88913.635,57881.1,101986.825,58959.005,68790.87,5809.47,77768.52,84205.21,47092.33,71441.155,23462.49,19677.06,115821.795,22123.325,44594.8,8984.62,72917.785,144360.64,58019.215,5706.98,79111.875,103377.195,16804.54,18941.195,25050.39,33918.485,7670.38,65127.03,52645.045,20368.13,19850.125,19928.845,5060.45,50713.79,9348.915,21087.755,48129.7,74673.88,26708.585,12895.595,15350.155,12648.64,22571.66,34337.005,4444.9,107449.185,57531.895,55782.675,30223.12,71071.07,40418.2,32259.925,53815.26,11488.015,29545.255,6375.85,27765.68,45869.245,24149.095,48444.08,32908.74,15866.615,72033.125,13972.68,17358.83,39919.555,53603,6301.5,22618.835,41780.01,56656.365,69342.16,20377.9,33100.505,35244.455,35310.66,21122.265,37286.97,34860.79,64935.575,51474.73,32224.245,19065.57,63269.505,25369.8,
MF0038,45244.05,5279.73,1835.75,7116.1,4579.52,6614.81,31882.03,35867.58,4139.85,62245.95,8720.08,2635.02,10161.95,7699.5,5727.03,19673.9,6841.52,16384.13,13137.78,4158.44,37084.51,4573.08,2833.08,43633.78,32292.92,3528.42,10701.4,28637.9,3894.67,9309.82,12991.82,3705.62,5450.28,31376.92,41469.2,6403.28,21890.5,3768.82,4938.18,46729.72,5133.15,8978.47,57882.26,12218.53,18669.16,7069.9,6756,3992.3,2579.2,25181.93,2502.35,19838.08,59123.27,7396.6,16965.83,92261.57,13953.3,3694.1,18136.33,5732.9,5462.05,6613.45,6289.16,43894.17,16996.65,4194.38,26745.88,6619.95,2625.25,4734.08,631.48,34817.35,6405.7,3151,2962.28,15054.22,56229.24,19932.26,3062.45,12806.88,12520.72,37593.05,11352.55,43249.97,18363.1,31258.27,1368.28,16314.13,5033.18,70247.42,31219.51,
MF0039,173,4,0,16,0,9,64,7,1,136,15,36,12,24,39,33,6,58,26,9,384.5,0,2,124,150,4,9,18,16,27,4,7,9,56,28,6,15,12,20,12,5,0,37,19,33,8,5,20,6,12,0,51,255.5,26,113,114,49,25,6,2,5,21,32,522,26,9,30,0,5,18,0,520,17,0,0,47,48,78,11,16,21,98,12.5,55,215,203,12,68,11,232,58,
MF0036,15379.915,5358.41,1810,28923.53,4682.515,9513.676667,24580.95333,7216.35,22487.75,11547.675,15214.38333,1366.683333,7946.16,11925.56125,15513.91,18198.295,747.33,3318.045,29100.17333,3093.358333,11803.78,4408,9599.58,23754.105,10480.31333,515.5,14617.26,19343.75,2243.955,2905.421667,3667.141667,4283.528333,1219.845,15825.79167,11157.34,1276.843333,4156.125,1971.153333,1113.825,6763.615,2716.038333,5153.5,9917.038333,10110.83,2885.555,3676.82,5865.5,4292.66,3263.401667,6196.143333,2175,30171.54,11853.545,15703.93667,4701.933333,10705.14333,5422.696667,3645.33,9333.12,4873.75,3949.57,1105.333333,2375.935,9829.38,3030.495,2121.385,7160.61,839.92,7232.625,2509.061667,7353.71,10928.355,7023.75,3140,4072.931667,5148.61,11985.72833,15640.31333,5793,8376.86,2544.13,10311.90333,2988.198333,5274.555,5716.121667,7904.686667,12859.02667,7315.826667,2194.468333,10759.74,3721.2,
MF0037,31,18.5,0,1324,11,68.5,322.5,270,21.5,185,158.5,16.5,43.5,11,442,6345,13,15.5,3274,13.5,446.5,0,17,105.5,212,7,52,64,0,45,142,11.5,23,0,178.5,0,72.5,0,7,224,106,34,62.5,81,110.5,52,8.5,43,12,174,0,160.5,331.5,470,53.5,301.5,60,5,2244.5,9,10,23,0,27.5,65.5,10,141,18,15.5,6.5,0,529,59.5,0,19,41,36.5,58,21.5,24,43.5,246,26.5,122,8.5,41,28,16,13,60,47,
MF0034,9782.96,2922.58,22.75,120936.94,1494.35,7215.41,10783.42,11388.5,4594.25,19674.92,4353.65,1429.95,4642.75,19930.44,5026.58,10074.71,5269.46,2893.67,9077.97,2249.55,24925.69,48.04,2114.87,18727.11,8491.75,1496.18,5849.75,12333.53,1156.76,4355.87,8277.86,1770.29,1243.08,22060.73,10866,2625.5,4111,1690.25,1400.23,9751.75,3035.75,2909.43,14124.12,6540.33,4454.01,5794.35,692.89,2463.75,582.43,5070,0,47174.62,21308.75,13874.53,5084.96,22418.83,5631.3,1472.07,12148.99,783.87,3766.23,2648,2706.23,19342.81,3710.79,1551.5,6620,2711.62,3602.25,1530.68,177.6,21702.57,2648.75,0.5,3882.87,5918.18,24302.91,8473.74,1526.5,4187.75,4831.37,8412.04,4133.32,20630.39,2150.54,8935.61,295.75,22866.82,2935.2,7341.68,1868.38,
MF0078,68636.38,121553.58,2159.75,22401.03,16615.52,22736.07,50710.84,17560.42,114290,33395.59,23199.65,4145.27,114534.66,4525.45,44049.58,82415.95,36779.12,11170.5,108044.22,9932.3,13464.43,5199.29,17267.54,93430.2,24596.91,6067.68,90203.84,105835.03,7681.01,7627.95,8648.78,17812.54,3446.25,33636.48,39973.34,2787.08,15384.75,3851,3267.99,42082.16,4574.83,24644.43,22026.38,17482,6917.18,5894.51,10746.31,5329.83,10488.01,6282.03,2760,17117.12,24697.41,44650.11,9019.88,23019.04,13477.87,4227.99,17798.49,8227.7,36271.98,737.25,42260.58,15694.66,21433.62,3885.08,10201.5,21838.71,9739.75,3334.6,17081.02,13371.97,16072.92,3278.5,13235.62,51294.17,22197.33,71176.3,26439.5,15182.59,45400.36,30274.12,8298.25,18020.32,20949.62,17186.59,25257,9134.08,6219.04,29826.67,14778.12,
MF0035,10417.58,2627.58,1831.75,3193.69,1091.58,4386.41,9210,9509,1225,17594.5,3621.9,1043.7,3669.5,19163.61,5118.91,8540.62,5050,2379,4810.97,1697.72,8631.27,4445.87,2077.5,31125.42,8232.25,1361,5670,11131.78,2205.18,2925.12,7967.25,1469.29,1544.83,36005.65,10124,1984.5,2389,1369.67,1712.9,9687.75,2465.75,5436.1,13961.5,4943,3642.25,4737.75,6230.06,1791.75,521.5,4103,2226.75,9701.5,11330.08,8509.61,3695,17839,5151.38,787.9,11746.57,5273.62,3659.65,1608,2465.06,7025.5,3282.5,1084.5,6590,2277.5,1607.5,959.68,94,11129.15,2134.25,3140,1889.37,4701.85,13558.75,3131.41,1492.5,3790.08,3394.7,7765.25,2864.49,19678.56,1986.62,5321.86,239.75,8532.9,2608.5,6410.51,1579.05,
MF0079,1481,691,1810,2897,588,1446,6629,4709,391,12590,4094,211.75,952,1246,816,7391,279,1041,4177,735,1255,4408,2215,15025,7978,318,3616,1035,483,1615,3325,331,402.25,205,4291,419,1533,236,409.25,9088,1894,2603.25,15844,2808,5158,3063,5852.5,1419,539,2296,2175,6081,8880,1158,2543,11112,1895,245,10268,4863.25,254,607,152,1500,2659,774,3911,459,873,369,58,1872,1990,3140,863,1279,10610,1375,875,1428,430,7176,825,5298,679,1947,85,5103,588,1724,843,
MF0032,195.25,3,1810,88,87.25,1.5,42.25,4,2.25,85.5,0,211.75,0,352,27.75,11.75,23.75,64.75,93.5,34.25,1.25,4408,0,0.25,1.75,26,1.75,0.25,483,63.25,3.75,21.5,402.25,61.5,0,9,1.25,40.25,409.25,3.5,0.75,2603.25,5.25,0,4.5,32,5852.5,0,1.5,0,2175,0,15,75.25,106.25,2.5,101.5,152,1,4863.25,38.75,0,13,2,7,52,0,121.75,3,184.75,0,4.25,0,3140,12,62.75,2.25,69,0,0,62,0,165.5,44.75,69.25,3.5,0,106.5,13.25,0,54.25,
MF0076,42238.79,61136.75,1981.5,4682.165,12803.79,49200.75,65567.125,17703.25,91152.625,21447.5,49894,2957.875,56269.75,14739.625,11546.875,50715.71,18343.625,7536,42040.54,15843.25,2825.29,4797,34834.625,63474.46,15197.5,3080.125,58671.75,62474.5,12231,6845.25,10612.75,22425.5,2388.25,18856,20138.375,9726.5,6056.75,11738.125,1531.415,19068.75,2378.75,13879.5,10505.875,22643,8439.5,2466.375,9882.625,2459,14607,11053.625,2466.5,50943.5,6780.165,44041.125,9553,20339.625,13217.21,21869.5,17675.625,6778.75,21651.79,1582.5,22234.875,9105,9819.25,32367.625,10038.875,11256.75,52627.625,7881.75,15887,4066.125,21294.5,3203,17475.5,26689.375,7030.125,48269.75,15636.625,17062,21934.085,8909,6994,6834.665,15535.625,20240.5,47285,2140.5,9603.125,5418.21,5831.75,
MF0033,84365.96,123563.58,3072.75,76543.26,22109.975,63710.89,97261.925,33611.49,150624.425,49807.96,64294.415,5633.295,116243.03,27480.96,36188.22,98141.885,39640.37,16605.29,100841.22,22421.655,24791.96,7433.1,44451.435,127586.26,33736.225,6953.51,107258.895,122037.09,17725.675,13311.26,20281.085,32660.905,6177.64,45846.785,47411.17,12647.52,17182.5,14038.12,4187.665,47426.125,6385.54,28243.535,33076.01,34805.515,14963.585,8652.295,15667.74,6589.74,20369.28,19034.57,3878.775,83941.525,34538.9,67234.895,17526.48,49011.01,23860.105,25371.36,33227.2,11375.35,41937.07,3378.325,44963.585,28864.375,22801.56,35439.82,20850.355,24459.615,59398.125,10725.715,24627.74,24391.9,30850.385,4842.5,26206.375,56055.18,31082.495,89152.24,29632.225,28636.3,50462.585,29692.145,14468.71,27796.35,29096.15,34932.68,60124.305,19618.62,14377.06,35642.5,28080.99,
MF0077,1437.36,448.8333333,2430.333333,1566.776667,460.6933333,1003.333333,3607.5,2432.833333,226,6732.916667,2079.666667,548.1666667,559.75,6618.75,547.0833333,3383.973333,412.25,874.0833333,2076.61,536.4166667,1430.5,5901.5,1207.416667,10146.55667,4096.916667,245.4166667,1867,1282.25,1830,955.3333333,2294.666667,314.0833333,945.5833333,1494.416667,2235.833333,463.5,787.9166667,569.0833333,778.7766667,4754.666667,1083,4266.166667,7975.583333,1523.333333,2613.916667,1855,7978.5,931.6666667,289.5833333,1326.083333,2905.75,3106.666667,5579.776667,3018.416667,2052.583333,5752.75,1293.473333,412.3333333,5456.416667,6637,323.7766667,366.3333333,169.5,1432.916667,1374.166667,816.1666667,2814.916667,617.75,721.25,556.9166667,143.3333333,2161.666667,1008.666667,4190.666667,568.75,935.5,5625.916667,1080,452.5833333,937.1666667,376.4733333,3790.833333,951.3333333,2921.943333,630.9166667,1349.833333,73,3073.25,400.75,1288.75,657.25,
MF0029,5010.55,1350.83,1827,2418.78,1057.44,1711.16,6674.42,2985,544.75,11785.92,2337.4,1227.95,1248.5,2558.19,2218.08,6205.12,3270.71,2033.92,2801.56,1956.3,9363.44,4439.79,2019.62,31877.52,5269.25,664.43,2761.25,6660.78,17523.51,1852.62,11047.36,1358.54,3669.08,37484.48,3289.5,3834,998,1800.25,1679.07,7224.75,2999.75,4672.18,8309.37,2482.83,3101.76,5619.35,6620.39,3907.5,515.93,3917.7,2192.25,3815.12,12897.09,2396.78,4842.96,6651.12,3618.46,903.57,13598.49,5756.62,1478.82,1111,485.73,8419.06,1611.79,6011,15023,3198.37,608.5,1445.43,1754.6,12622.82,1197.5,3151.5,2164.12,3642.93,10070.91,4143.74,495,4187,1372.03,7769.54,5508.32,5987.48,3417.29,4510.61,442,8027.57,1564.45,6419.43,2742.88,
MF0041,5988.5,4107.205,1357.5,29008.445,655.96,23103.62167,3730,11449.015,24152.25,6554.545,16938.69167,936.705,4258.24,15598.86875,15513.91,10758.5,769.375,4530.745,27915.49,6478.313333,12826.37,3306.625,8295.185,35970.795,10480.31333,559.21,16996.045,16393,3143.04,3934.671667,4629.681667,9318.943333,1219.845,18264.96,6673.795,3985.678333,4588.25,4836.903333,910.79,6304.04,2716.038333,2620.25,12214.86833,17941.415,5682.555,3676.82,5138.701667,4742.58,3344.736667,6334.236667,1631.25,34932.77,14305.73,9033.54,5163.268333,16614.64333,8626.616667,7526.896667,9343.035,3975.245,4390.705,1325.291667,2170.295,12658.115,2525.165,5208.96,6771.72,805.46,15440.95833,3105.521667,3879.77,12541.195,13591.26,2355,5387.311667,4235.33,14113.285,14755.955,4083.5,9877.095,2129.42,7971.82,3958.193333,3412.59,6009.621667,15663.11167,6915.763333,7493.571667,4469.883333,9981.588333,3358.91,
MF0085,48031.125,88698.8725,257.25,5807.5625,11953.3125,14393.245,35332.5,7398.625,84328,21141.19,15926.935,2791.69,82546.5625,2265.81,16742.625,60382.9425,27237.69,7407.6225,60264.1225,7120.2525,2606.3725,573,5620.9975,62499.1875,7724.125,4290,67182.75,73622.875,4969.5,4403.7525,5889.75,12880.2525,1639.7475,7152.75,26297.3125,1833.75,8590.75,2891.9375,1459.8075,26654.625,1274.5,16144.4375,8918.81,5027.7475,2752.2475,1538.69,3472.56,547.75,7680.375,3474.5625,425.25,12102.2475,7774.3075,37391.815,3579.6225,14232.06,6648.69,2623.6275,7349.375,2266.5,27004.185,114,31214.685,3327.75,13922.875,2298.5625,6046.1875,16129.2475,6919,1611.7475,12593,3399.69,7055.25,102.75,9830.4975,36469.3125,4592.4325,50855.13,19570.5625,10655.5,32408.6925,12888.685,5019.7475,9704.25,13775.94,6883.065,18186.25,2782.3125,4125.435,6266.19,8468.3775,
MF0086,175052.07,249135.785,2342.625,158139.57,48412.07,149362.255,234474.055,77038.91,309007.55,103026.175,142104.905,10823.015,234800.61,48842.64,82362.72,190666.28,78943.14,33650.08,211341.415,48376.43,48256.55,5604.27,99438.995,248999.025,72453.22,13811.89,227486.94,256476.73,31700.595,28911.445,39536.015,73395.51,10252.805,80117.315,98181.59,30607.77,36862.25,33165.535,7116.2,95329.37,14732.83,48503.915,68487.2,82931.43,33110.3,18959.595,17923.6,15862.28,50071.785,40710.295,3054.075,179540,66024.27,138134.37,37430.71,106567.945,53038.415,64717.65,69308.405,10640.35,87041.685,7314.075,90637.875,58583.87,45632.87,83691.82,41445.065,47647.3,147552.625,24842.805,51605.46,48592.68,73366.095,3336.25,55537.35,113100.805,65366.49,181405.85,60776.1,59821.18,98216.35,60214.66,30746.79,53942.595,62947.13,78659.56,127604.765,38477.495,33070.12,69573.88,43275.175,
MF0083,507.17,28.83,0,60.335,46.67,28.16,102.5,47.5,8,489.17,16.83,47.67,36.5,110.83,0,62.67,27.71,100.33,61.5,30.96,1792.83,7,2.33,43.33,86.5,22.5,18,15,0,134.17,23.5,26.585,35.33,53.75,20,9,38.5,18,78.33,73.5,10.5,69,31.83,26.33,148.83,27.335,15.33,32,8.5,83,0,32.33,222.58,60.96,127.33,104.33,128.5,41.67,7,16,33.375,51,62.33,410.5,76.5,6,50,34.33,5,64.33,26,2113.67,20.5,0,9.33,62.75,121.16,148.34,18,0,42.17,121.83,108.915,291.67,168.96,60.67,46.5,117.25,22.29,504.67,76.96,
MF0040,1006.01,388,1827,1891.04,392.82,878.5,3384.15,2419.33,198.25,6604.83,2049.57,395.585,744,1003.53,533.51,6122.08,192.04,594.89,2987.54,414.35,1040.44,4438.62,1108.29,7793.54,4714.42,205.1,1946.75,595.68,830.53,890.25,1777.13,218.07,644.25,9483.6,2162,234.33,780.25,797.25,575.54,4603.17,968.75,3143.35,9564.87,1576,2603.26,1592.76,5997.03,758,281.93,1382.33,2175,3044.29,5123.86,6736.585,1398.68,5561.79,1158.21,316.33,5819.62,4960.82,215.32,344,146.415,935.38,1354.29,439.33,2049.33,363.71,440,392.75,29.33,1694.085,1113,3140,447.29,743.85,5549.25,806.67,459,1650.33,306.71,3827.38,601.46,3154.46,490.15,1003.64,45.33,2677.4,339.82,972.19,502.63,
MF0084,195.25,3,1810,88,87.25,1.5,42.25,4,2.25,85.5,0,211.75,0,352,27.75,11.75,23.75,64.75,93.5,34.25,1.25,4408,0,0.25,1.75,26,1.75,0.25,483,63.25,3.75,21.5,402.25,61.5,0,9,1.25,40.25,409.25,3.5,0.75,2603.25,5.25,0,4.5,32,5852.5,0,1.5,0,2175,0,15,75.25,106.25,2.5,101.5,152,1,4863.25,38.75,0,13,2,7,52,0,121.75,3,184.75,0,4.25,0,3140,12,62.75,2.25,69,0,0,62,0,165.5,44.75,69.25,3.5,0,106.5,13.25,0,54.25,
MF0082,251.25,3.5,1810,97.25,88.25,4.75,44.5,6.25,2.25,102,0,215.25,0,362.25,27.75,21.75,28,91.25,105.75,39,21.5,4408,0,26.25,4,26,1.75,3.75,491,76,9.75,24.5,403.25,90.25,0,9,1.25,41.75,416.75,4,0.75,2603.25,8.75,0,6,33.5,5852.5,0,5,0,2175,0,56.5,82.75,149,9.25,114.5,158.5,1.25,4864.25,40.75,0,22,258,7.5,53,0,121.75,4,189.75,0,25,0,3140,12,72,2.25,99.75,0,0,63.75,0,168.5,61.75,195,99.25,0,131.5,16.25,0,84.5,
MF0080,1921.75,2288.375,0,7964.875,152,19499.375,904.625,6146.375,28451.125,1238.375,26436.125,183.25,2293.75,9575.125,11060.25,8755.75,226.625,1294.375,15364.125,6870.375,3657.75,0,28984.625,21659.125,14559.25,90.375,412.375,2750.125,0,1294.5,5601.125,5290.75,1087.5,0,2148.25,0,1629.5,0,303.625,2133.25,1421.125,611.125,6598.75,14603.75,3007.125,1933.125,468.375,2785,70.875,7020.5,0,29841.25,4697,1606,5169.75,5389.125,4834,5005.125,10335.75,382.875,194,701.125,0,7956.75,753.75,17365.375,5618.5,233.75,18939.875,2727.375,0,3721,10344.875,0,7377.25,1532.75,9428.375,10495.625,821.25,6757.625,1043.625,3847.125,1246.625,915.125,467.5,8737.5,28554.75,2395.75,2491.625,3078.875,1618.5,
MF0005,65153.25,121010.08,3969.75,135575.21,16596.92,44993,49645.83,19651.75,117320.5,29448.25,55494.82,4281.17,113726.75,5630.61,43915.08,82399,36603.42,10144.58,111563.58,15551.68,26727.86,9592.33,59272.29,94586.83,30538.75,5855.67,89747.25,100713.75,17993.86,6496.17,17760.71,17786.17,3760.83,69687.43,38769,6847.25,14295.25,6680.75,3160.33,38112.42,4412,26215.17,21840.66,33371,6811.43,7617.93,16577.75,7378.25,10310.25,16263.75,4917.75,103163.79,25796.08,45802,11522.68,19531.58,13356.96,11236.75,25342.79,13105.25,36135.5,2490.25,41676.16,31194.96,19580,36051,15040.75,22202,40431,6713.25,16994.08,23186.75,22061,6407.5,18133.54,50474.92,24631.75,72935.26,26128.5,16407,46611.92,36168.5,7640.25,17616.96,18740.5,22838.89,57166.25,25460.57,7332.07,9470.75,14420.59,
MF0049,54689.99,67072.83,5633.5,154897.595,10813.535,22553.235,41969.445,28770,64664.125,48863.13,19321.85,4902.98,67777.87,31585.715,55632.175,58728.77,20211.685,12230.18,107163.645,7188.46,46357.525,13743.515,24782.015,78957.19,44926.205,4519.98,50600.505,66869.985,7110.16,9707.435,8909.605,10904.135,4882.54,38550.505,40847.965,3992.16,22300.125,4802.005,5143.195,46245.165,9061.41,22497.065,53804.685,30240.08,14592.015,12474.265,21005.35,11407.58,6678.35,15319.01,6853.125,53496.345,63507.47,39748.37,16151.535,60858.935,16714.315,4915.12,28580.365,17481.335,20040.135,3887,23538.165,40288.675,19791.435,4754.12,17856.58,13799.73,9985.5,5404.59,9242.55,38670.98,20284.585,9503,9589.305,33478.18,61662.745,50641.775,14713,15068.42,28716.48,43167.395,10709.045,23565.785,19143.67,29073.93,14519.665,31489.32,5377.09,74201.9,13916.94,
MF0006,156834.44,137367.48,2186.5,149816.35,40790.76,113371.84,253721.74,95656.44,205746.05,132485.76,126755.98,10320.48,138091.43,25869.53,66363.38,124638.94,62214,38412.37,127940.26,42674.34,80408.28,5378.13,91863.39,201727.62,84699.6,12799.82,139678.87,194324,31736.12,29900.46,59818.78,44119.27,12279.59,295487.32,108354.02,21869.12,48232,21865.97,12172.44,101199,19257.24,38049.72,98463.84,73591.59,36674.77,28453.53,16988.36,15383.94,30085.94,73328.57,2815.65,207156.68,108401.24,103816.14,44721.79,195494.34,52674.08,55384.96,83531.88,11163.69,61693.93,10931.45,57653.81,86837.92,35678.39,62659.57,71493.88,35621.47,123703,28804.49,37451.14,83861.2,55636.81,3300.5,51677.53,84064.34,108351.22,130108.24,34787.1,65941.3,67710.26,71233.84,34734.19,117684.54,52237.74,80237.66,110441.33,56830.46,28630.2,148558.57,35444.91,
MF0047,18739.36,7561.035,1850.375,77382.625,2472.155,11953.355,18070.34,25000.335,4357,33682.8,8562.765,2235.33,11287.035,22586.795,29467.535,16093.18,8574.31,7115.625,34788.745,3445.37,32771.105,4511.725,13074.64,43881.67,28905.995,2491.855,10395.215,25774.67,3911.975,7418.47,14291.795,3173.645,3464.33,47256.055,22009.84,4056.245,11290.875,3080.835,3482.395,24787.12,7236.455,8178.855,35205.895,19579.08,10738.64,11939.435,6868.755,7933.955,1402.35,12464.67,2201.625,35746.595,45937.575,13370,12291.15,42570.39,13106.145,2022.275,26777.65,6033.385,6189.345,3560.75,5043.275,31822.275,8099.015,3470.245,16462.04,4301.395,3072.875,2944.48,664.735,31216.255,10303.295,3153,4247.845,10801.845,47152.49,9688.425,2754.875,8923.38,7246.63,27219.515,7936.66,37297.35,7674.515,19714.355,1381.79,25672.155,5080.68,52273.135,6294.105,
MF0004,5878.51,2301.75,1814.75,1402.97,794.29,3047.25,4147.09,7789,984.25,7565.25,2326.14,703.06,0,2422.22,4406.16,2802.4,4953.58,3360.68,1780.87,1447.51,8240.97,4427.33,772.33,16101.38,3657.75,1039.61,4584.5,10757.06,1608.52,2558.65,6495.72,1239.24,1336.75,59513.44,0,1304.5,3568,793.75,1838.73,6297.75,1331,4387.36,5739.08,3126.5,1300.36,3054.11,6061.62,0,453.61,0,2192.25,7143.58,5271.77,1130.22,3044.76,16091.83,4327.92,634.3,5631.98,5106.99,3646.39,0,2508.8,7439.87,850.08,767.5,0,2137.08,368.75,857.95,75.7,9698.05,0,3140,1536.58,4374.36,6225.25,3194.8,0,3975.25,3167.97,4005.17,3527.48,17754.12,2966.74,6580.63,99.25,6148.89,2339.24,17132.02,1179.42,
MF0048,196234.04,245206.49,6146.5,153525.61,54079.1,86911.8,283474.59,61395.92,259188.75,125513.18,89197.31,12768.93,233179.32,52356.29,71898.66,185822.54,79399.37,32606.49,202107.12,33824.81,56682.91,14887.87,49036.12,227473.63,59439.49,14352.1,210962.93,248767.03,18772.43,26454.12,31980.37,46611.13,9292.33,61368.4,106068.93,13157.24,40428.5,19410.17,9292.48,104415.99,15901.91,56529.85,69512.63,48614.33,30107.59,19926.09,31819.06,11265.41,38420.84,33918.44,7795.25,135810.78,84842.8,161132.86,34708.46,117511.62,40419.12,48027.83,62400.32,22736.53,83496.55,6031.25,90061.67,56354.93,49221.45,21753.99,37877.58,48441.88,96824.5,25700.93,44079.52,52951.54,46320.34,9695.5,44615.53,113551.58,73485.82,170658.96,55295.25,45869.51,95781.12,67464.53,26275.76,59727.66,59575.37,54755.16,78120.58,39556.92,20921.29,77841.83,29395.37,
MF0001,6847.63,2421.58,4.75,3514.54,912.66,3642.91,6052.19,8027,3399.75,11109.42,2851.97,842.83,3857,2070.55,4472.81,3967.02,4891,2763.71,6088.47,1531.63,7593.55,30,1025.66,16943.36,3885.75,1080.61,5067.75,10795.66,1273.67,2225.27,6822.37,1455.46,1006.08,44675.51,7944.25,1375,3909.75,799,1644.51,7549,1555.75,3848.61,6343.16,3793.33,2031.94,3194.78,282.9,1190.25,546.36,6661.35,17.25,7419.91,11123,2615.64,2259.04,16184.66,4313.67,804.37,6714.68,315.54,3728.89,769,2281.28,5997.47,1065.58,1094.75,7917.75,2576.91,1412.75,844.63,105.3,9890.62,1350.75,33,1531.16,4509.61,12126.5,6376.54,1056.25,4328.25,4593.04,6504,3182.51,18265.39,2716.96,5041.1,101.75,6859.14,2367.62,10234.59,1285.84,
MF0045,6527,2506.83,2718.375,7717.125,903.965,3401.11,5499.235,7216.015,1089.15,10633.67,2543.05,719.8,3395.85,10865.725,10992.375,7909.885,5089.76,2473.67,14593.375,1639.01,8515.105,6614.5,4799.625,15849.495,5970.625,1133.515,4835.05,10532.13,2431.72,2554.97,7681.895,1532.19,2152.88,31222.94,5946.67,1572.865,3553.5,693,1555.97,8050.33,1914,5004.715,10819.67,4967.75,3684.5,3997.39,8888.625,2252,481.165,4242.415,3271.5,7948.77,15841.575,1668.595,3224.085,17464.5,4915.835,827.585,9726.155,7448.25,3585.32,1039,2348.545,7300.52,2793.665,1067.515,5382.365,2504.605,974,887.5,184.875,10655.985,3032.375,4710.75,1749.32,4362.29,11820.165,2769.075,1221.05,3247.065,4921.605,7402.33,2995.655,18748.805,2799.25,5339.51,428.25,7888.985,2432.95,20161.33,8343.49,
MF0089,1589.045,1475.535,908.375,7406.715,224.42,1969.105,901.92,2106.545,830.75,1151.76,964.785,336.785,1909.41,712.795,10829.125,1617.545,208.5,625.74,13879.91,171.215,6736.025,2211.5,4804.955,2594.965,6256.785,91.375,145.09,2230.25,258.5,654.795,238.67,356.34,643.455,197,1479.59,63.205,1564.5,265.75,506.33,1476.285,1389.83,1459.25,4270.045,5073.58,671.455,1845.5,3038.455,2150.83,66.455,490.83,1087.875,207.41,6033.23,840.295,2058.58,913.705,2205.035,283.135,3363.25,2578.83,90.035,114.625,329.76,5344.475,708.83,231.705,270.5,162.625,237.375,505.205,149.545,5759.615,3074.545,1570.75,45.41,1110.74,6473.49,1712.115,78.75,359.465,1068.92,3965.115,671.965,1484.555,1169.795,3791.07,495.25,2799.51,320.25,7560.705,1684.08,
