metadata,feature,value,coef,stderr,N,N.not.0,pval,qval
Line,b92f84c206887ecd667f142dd3606ac3,Vil1Cre,0.8512213914,0.279729387,137,37,0.004123486735,0.07535766584
Line,3eeb6fa3850d5ab2864e37931dc1781b,JJWT,2.147222259,0.7053826991,137,49,0.004119145144,0.07535766584
Line,d013db1a71d477496cb864ee431c3420,JJWT,-2.254783822,0.7432545903,137,136,0.004283530254,0.07618564523
Line,94adac1e5690b5aef26d6014e471f458,JJWT,-2.245379142,0.7414540419,137,48,0.00428073379,0.07618564523
Line,762fd96b2d1336974fba68fedd33fefa,Vil1Cre,1.767258813,0.5834502181,137,45,0.004282990384,0.07618564523
Line,89c209abd89a5232343a4c87c93cb4ea,Vil1Cre,-1.851386219,0.6179269496,137,122,0.004693868737,0.08274501349
Site,6d5171bbc6ef97262119e6d152d82164,Jejunum,-0.8543153878,0.2956832271,137,100,0.004859780085,0.08417984287
Line,1c49d51b2fb93e140ae5b7244034d346,JJWT,1.384240255,0.4641661953,137,21,0.004843772066,0.08417984287
Site,be7fa93e72946b09913f7776a2f1c857,Duodenum,0.5613664571,0.196734741,137,93,0.005378689055,0.09157562904
Line,76d6be90e19a660c9a84b35fa31d801c,Vil1Cre,1.926662885,0.6543945791,137,62,0.005371316202,0.09157562904
Site,efe64b2cd066392c8b5379c583817500,Jejunum,-0.5691132516,0.2000004819,137,67,0.005498883646,0.09282861206
Site,235c319ab46f87d377a28a34ba10bfa1,Duodenum,0.6542742848,0.2323928168,137,134,0.006002452159,0.09353945497
Line,ae7aa9c977dea18de5954b3f29c80278,Vil1Cre,1.443469161,0.4979588438,137,59,0.006047245029,0.09353945497
Site,e8ed0e081283c5963ce9860944f651c6,Jejunum,-0.5320289426,0.1892794454,137,80,0.006081626152,0.09353945497
Site,3dc32de6cc2afb83c56da803d4ae8054,Jejunum,-0.4132276247,0.1456777932,137,56,0.005658775501,0.09353945497
Line,f9130f059b9380b9961aef118b3a529e,LyzCre,-0.9850095751,0.3394096722,137,88,0.006015772746,0.09353945497
Line,c8433912bf1d2d7d9dd177739211ae41,JJWT,-2.309807075,0.7929365602,137,37,0.005789825707,0.09353945497
Line,861fb4882b4c65b68e5998bb89ad59e8,Vil1Cre,0.9890055358,0.3401070876,137,31,0.005897943212,0.09353945497
Line,01ac8dc658ac5b92afc9837f747e74dd,Vil1Cre,0.7465510037,0.2552256637,137,18,0.005641819098,0.09353945497
Line,df4ca25fd346713ef43d2c727b2ef78e,LyzCre,-1.639636856,0.5644058287,137,86,0.005926174566,0.09353945497
Line,a5641950b2a3a47827849d91242f0ead,JJWT,-1.62757128,0.5592300697,137,81,0.005927349853,0.09353945497
Line,faf82edd7b4917abc7158d7152136723,Vil1Cre,0.6273062896,0.216310464,137,30,0.006104482503,0.09353945497
Line,150d478c05efdb9ff36e5260c80c6f20,Vil1Cre,1.106734571,0.3815079844,137,38,0.006048932082,0.09353945497
Line,b66b0ebe9c94cc5c0ee68a7c8cb966af,Vil1Cre,-0.9795877824,0.3387551305,137,61,0.006205980319,0.09365388482
Line,a5641950b2a3a47827849d91242f0ead,Vil1Cre,0.9423233898,0.3253912099,137,81,0.006199343899,0.09365388482
Site,1b23073ca2a2884ac2bd7895dda760bc,Duodenum,0.6538880196,0.2335940787,137,87,0.006289044051,0.09419380262
Site,fda05925f9cfe9acbd1ec63617c7352a,Jejunum,0.3493473559,0.1251304732,137,24,0.006413894039,0.09534684273
Line,96c7cedbae877361d087a8b39206d408,JJWT,-1.331317841,0.4635108835,137,29,0.006478271886,0.09559050072
