OTU.ID	TL1a_FP_140	TL1a_FP_207	TL1a_FP_65	TL1a_FP_64	TL1a_FP_209	TL1a_FP_206	TL1a_FP_242	TL1a_FP_77	TL1a_FP_245	TL1a_FP_76	TL1a_FP_102	TL1a_FP_98	TL1a_FP_75	TL1a_FP_173	TL1a_FP_141	TL1a_FP_174	TL1a_FP_144	TL1a_FP_142	TL1a_FP_62	TL1a_FP_74	TL1a_FP_172	TL1a_FP_171	TL1a_FP_66	TL1a_FP_143	TL1a_FP_100	TL1a_FP_99	TL1a_FP_246	TL1a_FP_78	TL1a_FP_210	TL1a_FP_208	TL1a_FP_101	TL1a_FP_244	TL1a_FP_63	TL1a_FP_243	TL1a_FP_170	TL1a_FP_205	TL1a_FP_73	TL1a_FP_139	TL1a_FP_169	TL1a_FP_61	TL1a_FP_241	TL1a_FP_97	TL1A_FP_641	TL1A_FP_689	TL1A_FP_638	TL1A_FP_640	TL1A_FP_685	TL1A_FP_686	TL1A_FP_639	TL1A_FP_687	TL1A_FP_637	TL1A_FP_688	taxonomy
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Flavonifractor	17	65	49	8	0	18	98	25	1	51	19	15	34	1	12	16	75	18	39	28	0	117	35	32	18	29	29	63	0	0	0	87	66	185	19	14	32	36	48	94	113	24	4	14	11	0	5	13	23	13	42	3	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae UCG-006	0	0	0	0	1	0	0	0	29	2	2	0	0	10	0	2	0	11	0	0	5	0	0	4	0	0	14	0	17	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Rikenella	0	0	0	0	0	0	0	11	0	11	279	0	9	0	0	0	0	0	0	51	0	0	25	0	200	0	0	0	0	0	1228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Negativibacillus	0	116	0	0	0	93	37	0	1	0	0	0	0	0	0	15	6	5	0	0	0	20	0	0	3	0	3	0	0	0	0	74	0	46	2	137	0	0	2	1	68	0	0	5	0	0	1	0	0	0	0	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__UCG-009	0	0	0	0	2	0	0	9	49	7	27	0	9	43	0	15	1	41	0	7	20	0	4	34	21	0	1	0	58	0	37	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Cuneatibacter	0	5	14	0	0	4	3	10	3	5	5	3	6	0	0	0	5	0	8	4	0	4	16	0	0	2	7	14	0	0	0	0	12	4	0	5	7	4	0	6	0	0	2	3	0	3	5	5	3	4	5	0	
k__Bacteria;p__Firmicutes;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Phascolarctobacterium	5160	0	1579	365	0	0	0	452	0	711	459	1633	2757	17	572	70	22	34	2211	676	0	0	368	162	658	897	0	2912	0	0	1	0	2245	0	0	0	2479	1071	0	8259	0	869	29	52	77	30	94	240	106	43	209	14	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UC5-1-2E3	40	0	98	11	0	6	5	12	0	0	0	3	11	0	10	11	17	0	1	7	0	53	61	7	25	6	2	5	0	0	0	8	3	20	7	3	4	13	9	0	12	2	0	4	0	0	0	5	0	4	1	4	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lactonifactor	1	14	28	0	8	15	3	13	51	5	0	2	6	0	0	0	8	0	7	4	0	5	0	0	0	7	14	11	0	7	0	15	5	3	2	6	2	4	0	8	0	1	4	13	0	3	0	0	0	3	0	3	
k__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Bilophila	866	0	1418	286	0	0	0	576	0	452	458	581	1359	113	896	228	1628	368	1111	942	0	3843	1246	912	456	930	0	2428	0	0	1	0	1427	0	1861	0	1093	1394	1803	2150	0	1248	22	16	79	18	116	255	196	139	193	9	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae UCG-009	0	44	60	8	0	6	33	33	0	31	13	1	39	3	3	0	0	5	43	24	0	0	60	20	5	0	34	61	0	0	0	11	52	48	9	16	21	8	4	20	19	0	3	6	7	0	11	5	7	14	27	0	
