#OTU ID,Itg.18.DTT496.S91,Lyz2.05B.DTT260.S101,Vil1.06B.DTT70,Vil1.03B.DTT35,Vil1.01B.DTT11,Itg.24.DTT530.S25,Vil1.06B.DTT72,Itg.24.DTT531.S26,Itg.04.DTT423.S15,Lyz2.06B.DTT272.S114,Lyz2.04B.DTT246.S87,Itg.20.DTT508.S3,Lyz2.06B.DTT270.S112,Itg.16.DTT482.S77,Lyz2.03B.DTT236.S76,Vil1.04B.DTT46,Lyz2.02B.DTT224.S64,Vil1.02B.DTT24,Vil1.02B.DTT23,Lyz2.06B.DTT271.S113,Lyz2.07B.DTT284.S126,Vil1.09B.DTT106,Lyz2.02B.DTT223.S63,Itg.22.DTT519.S14,Lyz2.04B.DTT247.S88,Itg.06.DTT434.S27,Itg.22.DTT518.S13,Itg.02.DTT412.S4,Vil1.03B.DTT34,Itg.26.DTT543.S39,Itg.04.DTT424.S16,Lyz2.01B.DTT210.S50,Vil1.08B.DTT96,Vil1.010B.DTT119,Vil1.05B.DTT58,Vil1.05B.DTT59,Vil1.010B.DTT120,Itg.12.DTT470.S64,Itg.02.DTT410.S2,Vil1.05B.DTT60,Itg.08.DTT446.S39,Vil1.08B.DTT95,Vil1.01B.DTT10,Itg.26.DTT542.S38,Itg.18.DTT495.S90,Lyz2.04B.DTT248.S89,Vil1.010B.DTT118,Itg.20.DTT507.S2,Itg.12.DTT471.S65,Lyz2.03B.DTT235.S75,Lyz2.05B.DTT258.S99,Itg.10.DTT459.S53,Itg.08.DTT447.S40,Vil1.09B.DTT107,Vil1.01B.DTT12,Vil1.013B.DTT156,Vil1.07B.DTT84,Vil1.014B.DTT167,Itg.26.DTT544.S40,Itg.04.DTT422.S14,Lyz2.08B.DTT295.S137,Itg.06.DTT435.S28,Vil1.06B.DTT71,Itg.16.DTT484.S79,Vil1.04B.DTT48,Lyz2.07B.DTT282.S124,Itg.06.DTT436.S29,Lyz2.08B.DTT296.S139,Itg.22.DTT520.S15,Vil1.07B.DTT83,Lyz2.02B.DTT222.S62,Lyz2.01B.DTT211.S51,Lyz2.01B.DTT212.S52,Vil1.02B.DTT22,Lyz2.07B.DTT283.S125,Itg.10.DTT458.S52,Vil1.08B.DTT94,Itg.02.DTT411.S3,Vil1.014B.DTT168,Vil1.09B.DTT108,Lyz2.05B.DTT259.S100,Itg.20.DTT506.S1,Lyz2.03B.DTT234.S74,Vil1.07B.DTT82,Vil1.013B.DTT154,Vil1.04B.DTT47,Itg.18.DTT494.S89,Lyz2.08B.DTT294.S136,Vil1.013B.DTT155,LYZdtt342,LYZdtt308,SLCdtt022,LYZdtt366,SLCdtt070,SLCdtt005,LYZdtt354,LYZdtt330,SLCdtt114,LYZdtt356,LYZdtt368,SLCdtt095,LYZdtt367,SLCdtt024,LYZdtt319,LYZdtt306,SLCdtt113,SLCdtt004,LYZdtt355,LYZdtt343,SLCdtt076,LYZdtt344,SLCdtt096,LYZdtt318,LYZdtt332,LYZdtt320,SLCdtt078,SLCdtt052,SLCdtt054,SLCdtt006,SLCdtt077,SLCdtt132,SLCdtt130,LYZdtt307,LYZdtt331,SLCdtt053,SLCdtt150,SLCdtt167,SLCdtt149,SLCdtt148,SLCdtt168,SLCdtt166,taxonomy
PWY-7222,69712,23947,12485,14007,33095,39899,21524,104117,166150,16940,20348,59860,59697,14690,66430,19374,42009,21351,36937,35398,68596,34277,53768,65331,68579,63921,28961,94346,28822,58922,83026,43658,32434,48309,26087,14874,18640,95236,155208,18328,20474,30059,19329,75029,53479,69675,34851,33628,43701,62859,31146,87300,65881,37645,31022,70184,16398,38966,76142,115046,11242,83130,21101,45469,13360,45454,12705,79020,60826,12275,116758,63686,64211,19435,14437,102133,30222,69321,56676,18777,20137,21016,66433,17061,54307,12182,44404,11098,59060,80678,119253,72497,45257,16132,75063,51287,25448,47460,199306,76027,61341,71984,17692,61134,49126,42450,32673,100087,36023,119387,130370,128133,266983,84635,90575,79800,68929,20432,77380,97924,49051,9725,208233,54303,56330,228099,176050,282662,92505,151965,251579,
PWY-7228,26500,11295,9946,9904,30520,16513,16966,45238,118482,8831,10513,34884,27061,7657,54890,9675,32729,10595,16412,16790,29895,25462,50046,27172,40808,53824,10821,62013,22323,38935,53151,36975,25540,36630,20791,11697,14546,31795,54134,14472,8476,23515,17283,31044,24634,38303,26071,20649,15022,54385,16846,37545,25997,28787,29239,28684,12941,20019,28478,96548,8930,72155,16545,27216,6159,27970,9828,69653,27914,9621,115029,49940,63009,8516,8151,38965,23988,34271,27535,14548,10706,12571,50036,13554,29209,6521,20687,5630,21529,73843,73660,33780,28170,9816,68819,56572,18946,13620,143100,38957,35129,39681,8634,37230,47400,12545,30288,77813,37421,81783,114861,58337,183086,64039,58075,55799,37818,8931,37592,69574,27911,6243,133429,46208,28967,106292,109037,146254,37203,106600,192904,
PWY-7229,56616,20761,12527,13023,32010,34243,21261,69319,142640,14080,18668,51039,53246,16521,57618,18715,39198,18441,30102,28242,55609,33447,51587,47703,55446,60554,27119,78218,35871,51877,68467,43314,32034,45865,26181,14605,18100,71237,122476,18104,17508,29490,19045,56318,44612,52799,33894,29336,31172,56585,30115,62270,50679,36417,29845,53789,16189,28403,54591,105895,10481,77351,20719,43992,11861,44602,11662,75054,48849,12041,113993,61165,61531,16599,12826,74324,30325,52156,48533,18292,19850,24968,58054,17105,43843,11233,44085,10349,44059,95061,104135,60759,57870,15535,85078,97777,51817,33979,193367,73260,50795,69884,15343,50846,86961,28894,38450,107004,65683,112125,141003,93387,247311,98065,119740,76742,62147,17546,59522,93680,45526,10067,183065,68154,50367,195899,152544,232835,102849,127638,216285,
PWY-7234,25732,15212,8642,10025,28609,18844,14786,33070,104937,8328,10977,36813,41003,6083,48911,9730,34456,10860,17757,17605,33198,22780,47555,20467,38378,53757,13140,53936,14639,32325,45644,36478,22269,31312,18083,10037,12646,32450,63487,12609,8370,20209,16443,27996,24320,33171,23249,20929,13044,48453,19182,26455,25865,24905,27335,16965,11267,17393,26815,89035,8989,68690,14221,31775,6356,33522,9962,68362,27691,8269,107464,47211,58412,9160,7298,27290,20895,26718,29682,12746,11991,11919,45329,11765,17546,5951,16901,7248,13113,67329,73485,37312,29779,9217,59049,40913,19437,13729,140036,48250,31427,46663,9885,35116,34060,10763,25848,72129,27693,78612,109131,49754,176979,75130,44493,55346,40810,10170,32042,67161,31565,6132,128325,51315,30390,86045,111208,108180,63651,96124,149214,
PWY-7237,1102,482,126,1625,502,1650,257,280,1154,603,882,3191,330,211,484,395,1016,889,1285,614,3885,823,246,311,2241,926,1477,710,1834,16867,679,1011,310,961,192,182,488,377,1300,223,91,281,553,607,921,1098,842,1893,215,647,457,140,808,758,663,1033,243,510,381,2051,280,1467,159,396,406,3360,324,1649,3567,106,230,1728,263,295,1087,95,81,153,2719,624,196,1373,1194,243,2641,179,1279,497,300,819,4346,2052,1035,302,6211,501,783,149,781,3784,125,3369,137,386,585,87,363,478,422,3716,1497,255,1738,1008,725,2019,704,234,11429.1,1096,3589,852,3724,860,623,1758,192,2327,8162,710,126,
PWY-7242,9607,4986,8471,4115,3303,9782,14400,2760,9019,6245,3957,13627,6907,4684,2616,5123,7731,6306,8513,6600,10087,21528,5701,3499,8750,8453,7756,8715,11787,7847,4391,6842,21586,28472,17343,9850,11716,10401,14192,12315,3002,19761,2358,6613,8848,10476,21118,6669,4166,3530,9988,2450,9608,23952,2173,26986,11042,3868,7802,7467,2086,7900,13944,12456,4850,17441,1783,10693,10222,8087,7236,20399,2675,3939,6956,3136,20156,2847,20635,12019,6264,4488,5733,11628,30499,4806,11248,3254,10602,22437,20235,21740,19906,2192,19210,2831,9331,9829,14490,38974,1165,32963,5578,2691,4550,5181,3093,6691,4233,13598,51907,2406,14457,37580,10039,12548,22018,8157,24841,9386,19350,2637,17922,32760,18027,23549,34358,30178,70628,13955,19799,
PWY-7254,2709,821,8340,3877,1470,2466,14860,1311,1037,3149,231,858,1249,183,311,966,521,2172,1335,548,780,18661,371,290,1007,1115,364,341,553,3897,456,279,22366,28106,17202,9980,11745,948,254,12679,67,20121,484,485,1456,8289,18826,640,218,699,109,720,812,23212,2092,8822,11330,1454,587,179,260,529,14220,773,1466,579,149,406,808,8230,161,19551,452,440,3348,343,20110,85,8360,11776,287,741,578,11363,7628,2298,585,339,3089,14063,130,1585,125,279,45568,125,4482,439,126,825,116,607,282,81,136,222,15502,143,474,2960,33017,213,235,19036,167,1733,662,245,9541,992,715,256,174,22019,840,1480,2747,587,2510,1229,141,
PWY-7315,2528,1391,5854,1392,418,3260,10039,905,2718,2826,1175,1481,1123,293,751,787,1136,1659,1260,1252,1150,13710,295,439,2999,1090,1515,729,2402,2047,940,3153,15120,19521,12100,6749,8055,869,823,8575,222,13601,460,969,2352,6974,13804,1545,280,344,766,312,1557,15930,465,5660,7653,1044,1047,2133,155,961,9626,511,971,1878,463,447,2216,5573,413,12762,849,257,3103,257,14150,157,6526,8068,338,1308,1102,7956,5063,1654,2792,881,2145,2115,8095,5777,1882,703,382,956,2015,456,1286,10271,92,7101,131,590,1314,260,199,788,1025,3584,3573,205,4478,3021,1483,1523,828,195,770,1300,578,133,6726,2195,715,3922,3113,5707,19054,3503,789,
PWY-7323,7185,3941,7167,3022,4146,6373,12285,1726,7876,4484,3357,12861,4506,7058,2586,5594,6880,5363,6518,5300,9869,17398,7508,3008,6129,9384,5864,8072,12499,8465,3574,6197,18490,23964,14816,8287,9894,10129,14440,10496,4081,16675,2715,7071,7673,8820,17268,5380,4020,4494,12098,2280,9717,19758,2494,14249,9378,2378,8079,8056,2063,8764,11795,12639,3505,13592,2151,11506,8001,6838,10128,20250,3190,4301,4764,3782,17276,2902,12346,10003,7735,4667,6079,9757,16446,3750,11300,2490,6250,19545,15778,19164,24186,1973,60360,2831,11938,9332,14251,32496,941,30181,5259,2803,4965,4790,22911,7928,4763,9581,41705,1489,11483,20971,12690,11647,21582,7493,6612,9354,17363,2405,13967,28489,18768,38346,36854,59827,46069,20023,18901,
PWY-7328,3551,1803,819,1441,507,2493,1636,576,4878,2749,1152,5443,1646,3251,639,1992,1610,1786,2182,2760,5645,7646,302,1075,2803,3180,2243,1718,4601,2266,1875,1555,2054,10466,1328,1136,3248,2573,5429,1416,1040,1874,905,2960,4396,8106,8325,2798,929,299,4750,508,3625,5240,962,9408,1489,973,2796,4767,428,2418,1095,3438,1112,2860,1004,1725,2892,738,523,19244,684,720,2818,634,647,1033,6604,2794,3270,2006,2002,1453,10874,2225,4978,935,3601,36382,6190,9046,5565,917,42407,791,7794,1568,1624,6155,405,7740,951,1346,1373,824,21194,1450,2191,3710,75686,740,4616,45659,2375,2192,2475,1075,2593,1877,3178,601,4834,26360,4570,25923,1982,41228,16396,20867,4184,
PWY-7332,1446,508,0,708,278,1056,0,433,1481,991,417,1276,774,330,474,122,1102,1189,477,1168,1394,269,269,208,1104,998,671,1105,1327,798,716,709,0,190,0,0,29,695,1108,0,202,0,349,1076,1357,1106,319,858,373,76,376,275,1152,18,308,3859,0,432,1285,1204,181,1009,0,687,187,1637,199,540,874,0,486,1301,289,230,1196,228,0,312,1422,29,290,720,591,0,4645,86,1770,458,1491,687,7182,2183,1473,72,213,146,417,546,1362,6439,38,5143,149,357,360,341,141,207,196,805,1110,148,2247,819,540,590,418,201,329,363,297,47,6626,522,309,2985,2117,468,9577,1557,161,
PWY-7371,1864,478,0,362,247,1050,0,359,1994,337,456,2162,589,1360,192,708,646,591,612,957,2234,362,190,454,1068,1502,832,643,6413,986,917,726,20,172,10,0,26,960,1977,0,484,30,358,1231,2005,515,509,1071,389,191,1879,317,1507,148,327,350,14,426,1117,2067,200,1505,1,1348,264,1287,395,900,975,17,342,896,296,281,336,347,0,460,1890,54,1313,890,791,0,376,209,3650,431,141,1162,2284,4014,2981,209,345,126,1948,606,368,1911,63,3729,372,470,381,308,233,391,557,923,1392,47,1369,1209,712,331,793,409,331,203,1239,229,1326,4000,2267,11812,1018,17737,1005,9612,2769,
PWY-7374,1830,481,0,236,253,963,0,337,1818,316,395,2181,571,1373,180,700,550,397,572,960,2237,337,187,442,891,1439,720,638,6524,949,762,673,22,170,10,0,25,950,2031,0,489,32,358,1205,2002,436,471,1043,377,181,1926,310,1452,142,331,353,15,415,1105,1581,201,1317,1,1342,248,1178,351,890,864,19,315,736,276,284,303,341,0,470,1808,50,1353,864,735,0,392,207,3651,344,150,1054,1981,3716,2755,192,308,112,1783,557,322,1704,58,3452,341,432,345,285,212,348,509,844,1237,42,1165,1066,645,301,734,379,301,180,1141,212,1178,3713,2107,9780,729,14375,711,7939,2155,
PWY-7377,11252,4882,341,1940,305,5257,705,20867,11183,3121,3101,10296,4381,614,7238,1668,232,2507,3406,5513,9724,2346,775,6459,10257,2008,3984,7777,1582,16862,6366,949,911,3883,575,491,1397,4931,12931,604,2094,847,193,10396,11286,12927,2525,4670,3427,3771,6239,4834,7462,2032,351,179,631,9864,11092,4506,487,3818,493,2437,1338,948,802,590,11835,328,304,4597,482,1425,1149,5335,321,7340,11811,1373,3643,2567,5251,608,382,874,8156,647,74,2095,15543,10056,601,1306,13908,383,861,3461,488,1951,5774,865,1093,11415,4984,2867,4727,613,345,1770,3275,20962,16274,2127,30048,1256,5628,2038,6985,1735,3108,621,27931,1825,4610,6554,21737,5955,1220,25898,25707,
PWY-7392,23418,10420,400,6420,8380,16721,598,10238,30401,7214,9343,24638,26064,8028,9799,9571,16427,9228,13971,12521,28137,14358,12681,8878,20661,21037,13695,19377,13560,28833,14723,17565,977,15657,2723,1005,5483,26432,47372,376,8385,1962,6677,19350,20435,19071,14608,13280,8496,10440,15308,8211,21287,10884,6398,18235,616,8297,18080,25564,4065,21407,377,22828,6040,22654,4558,23264,21680,768,19671,28832,9161,7947,6338,14284,959,10010,24936,6076,9934,12822,15715,862,19055,5753,22404,5156,9899,45940,28283,32384,34840,6273,50208,71251,24223,13103,18137,41507,1818,39490,7728,5889,59941,7324,22428,27492,46091,15149,67774,2395,22218,55529,72542,14582,26848,8892,10010,12071,22748,5149,34819,34982,24065,95254,64505,106943,22156,55055,25312,
PWY-7400,20714,11284,7091,6129,5331,14147,12138,8758,27994,6592,7043,23031,12460,9446,8645,10056,13349,8443,11384,10795,23979,17905,6635,7051,19025,17979,10346,14005,28581,26278,12253,12488,18267,24708,14680,8219,10066,21234,22264,10371,5966,16536,4563,14132,20123,17907,18187,12026,6086,7528,19452,6142,18188,19988,5202,12158,9274,8356,14611,20057,3100,16728,11670,21715,5761,22420,3979,15367,18475,6776,9203,26571,5215,6300,7002,7069,17066,6352,24847,10211,13137,7936,12489,9667,14476,4782,23541,5160,6532,45734,35453,34057,20715,4673,81185,8205,17271,11432,17608,36841,4147,34057,7318,8800,11409,7277,32787,12259,9758,20061,90916,6046,36480,55431,23585,14088,20863,7117,22476,13041,18648,3601,46031,49799,18821,55655,39064,74539,107871,47461,32691,
PWY-7431,59,15,0,73,6,106,0,60,135,66,8,15,19,23,33,0.6493,38,215,44,23,202,7,0,0,67,31,20,27,42,893,80,34,0,0,0,0,0,19,15,0,0,0,31,71,84,36,35,44,16,72,9,14,36,0,155,0,0,14,14,81,16,38,0,52,8,53,8,56,234,0,13,1771,0,0,32,16,0,0,133,0,0.44,17,78,0,0.6338,37,45,0,0,690,12,67,7,14,58689.6472,6,261,20,6,42,10,34,14,4,9,13,20627.5452,11,24,46,1601,18,23,707,13,38,35,13,112,28,33,12,17,1124,44,202,294,128,147,242,16,
PWY-7446,79,94,1406,189,104,271,2602,138,77,406,11,89,171,14,31,122,59,212,142,59,65,3035,24,33,81,133,46,63,70,333,59,32,3919,4314,2905,1549,2049,0.5,48,2219,8,3121,66,58,98,1225,3051,61,13,41,11,22,87,3554,146,1261,1981,163,77,22,26,63,2209,69,191,71,19,70,80,1279,22,2069,69,60,344,13,3399,13,1068,2036,28,99,58,1912,931,278,66,46,368,162,316,23,63,0,28,44,64,306,41,770,0,49,0,136,88,8,13,78,70,12,178,0,392,63,57,4,0.625,0,97,5,0,9,336,147,0.6471,2,1,2,2,1,1,
PWY-7456,530,535,0,833,169,1508,0,612,1468,1321,554,761,771,468,365,274,1133,1549,1169,739,1227,741,265,433,1617,1125,994,378,1099,562,719,627,41,235,0,0,39,962,351,0,154,8,258,500,650,1554,861,897,412,472,177,313,1167,229,324,4972,0,383,328,1233,160,1133,27,1375,112,1225,286,475,1288,0,927,4515,359,41,1522,440,37,101,1868,79,242,677,1311,8,6420,269,543,168,2003,677,6640,3830,2809,807,216,465,717,336,1544,3759,39,4615,141,365,672,145,76,615,481,1205,1309,59,2152,846,969,622,535,272,342,602,361,35,1849,700,755,5115,2944,706,17247,1787,49,
PWY-7527,0,13,0,0,0,15,0,0,0,23,0,0,0,0,0,0,18,0,0,0,170,0,0,14,20,41,0,18,0,519,28,0,0,0,0,0,0,0,15,0,0,0,0,25,20,16,12,22,0,28,0,0,17,0,0,0,0,0,0,0,11,34,0,0,0,0,17,0,135,0,0,228,14,10,16,0,0,0,24,0,0,0,0,0,0,11,0,0,10,0,0,0,38,0,0,0,0,0,0,127,0,97,13,31,0,0,0,56,0,0,24,0,41,0,0,0,0,0,0,0,0,0,78,0,0,92,24,4,1,18,4,
PWY-7539,13684,7332,7265,4780,3890,10356,12336,25887,15581,6229,6006,21590,7145,6209,9708,5527,8264,7549,10327,8946,16272,16965,6534,8675,15120,9335,8155,13350,9437,17566,8017,5806,18586,24240,14952,8345,9775,13520,22263,10544,4699,16829,2602,16047,14138,20297,16861,8614,7333,7630,14676,7038,13914,19475,2605,10876,9404,11768,19192,9082,2483,9881,11931,13742,4508,17850,2398,12514,15222,6898,8156,20035,2867,5694,5693,8904,17569,9093,18772,9671,8496,5429,10384,9870,14357,3265,13257,3210,4191,27766,26536,23903,19871,2794,70054,4598,10243,12737,14336,35850,7871,32873,5846,13103,10259,7874,24353,8089,4666,12704,62105,22704,28872,34954,36806,12743,24136,8743,22577,11286,20100,2814,39352,36542,20065,37299,65896,43555,73859,32324,47642,
PWY-7560,20551,13116,6854,5930,5728,18107,11819,6107,19949,7109,10106,22593,30476,13288,5637,10918,13672,10093,13427,11733,29057,18011,8552,5906,17635,16107,16743,13541,31089,29458,9511,14656,17817,23576,14138,8063,9519,22836,42434,10105,8265,16271,5154,16153,19366,14761,17876,12241,6614,6425,20607,4730,19601,19567,3767,13539,9020,6430,14590,17055,3361,15361,11512,23627,6122,25482,3668,16725,19447,6670,10916,24459,4645,8074,7795,9632,16569,6792,26153,9721,14290,20125,11199,9324,16016,6122,25414,6132,6763,48607,29784,34396,43583,6379,61835,81458,59014,13043,21744,45292,2800,40924,7736,6964,70619,7276,25841,26407,51463,18103,71445,4231,29318,68713,83578,15633,27763,8927,12101,13275,22900,5284,36952,57054,23360,58289,45155,71428,139413,37090,13705,
PWY-7663,38119,17610,10955,11822,29825,28599,18470,45438,115388,12636,16429,45846,46098,14968,50448,14145,37382,15887,22551,21800,41490,30576,47950,28963,44165,55428,23919,62629,37225,47508,52796,41820,27807,39454,22977,12441,16041,36593,85773,15720,12476,25095,18143,38608,34171,39589,30939,25648,16856,49441,25111,32818,32662,31588,28037,31646,14081,23278,35957,94875,9625,70314,17567,36781,9602,41094,10665,70852,39083,10240,108539,59577,58313,12497,12197,38734,26433,35587,44091,16415,15243,26338,48640,14983,33407,9341,34837,9417,19778,99640,90657,47643,56788,13082,87329,125312,72747,18475,166077,64233,40889,61618,10908,43453,105565,14246,38277,95461,80335,94008,150798,70983,214015,103897,123372,66099,51792,13810,41118,80077,39303,9109,157990,78253,40312,90237,120181,104419,126324,108211,153478,
PWY-7664,548,822,5937,2309,1003,2891,10416,1635,1052,3348,223,661,1405,197,241,984,502,3090,1350,628,885,15098,214,358,1670,1203,488,470,495,3656,525,311,15677,21097,12363,6964,8716,278,394,8880,87,14027,493,556,1023,9045,15264,620,146,661,132,238,998,17059,1537,9995,7943,1683,643,537,235,863,9867,658,1388,586,227,491,896,5734,274,20113,433,469,3410,131,14312,116,8073,8824,279,804,639,8099,9427,2356,520,395,3860,18364,2605,1406,188,237,104361,603,6458,346,193,2061,96,639,200,209,172,149,40343,268,379,613,41530,181,753,17743,254,581,503,165,2213,384,505,215,472,27365,660,360,276,60,1362,283,21,
PWY-841,28946,13563,9871,10369,29564,19190,16858,38974,111833,9569,11440,37777,32247,9610,51468,11357,34058,12029,18227,18084,34022,25891,48753,24203,40560,54279,13141,58508,26840,38105,49566,37204,25391,35914,20640,11527,14381,34933,59628,14374,9306,23211,17001,30751,26902,36807,26340,21578,14793,51119,20473,31911,28301,28514,28133,25294,12849,19016,29053,92596,9110,70484,16330,31536,7156,32584,10034,69361,29426,9496,110229,50487,59952,9508,9123,33315,23857,30681,31337,14472,13157,13582,48006,13450,27161,6982,24660,6732,17691,75943,76732,39075,32759,10030,70044,50693,21659,15323,145341,47827,34125,47432,9995,37191,42581,12655,30445,77417,34308,82791,121499,55574,184717,74329,54472,57658,42099,10500,36851,70456,31925,6651,135172,54264,32239,104797,112029,136619,52985,105166,175390,
PWY-922,27432,6158,194,5657,6123,11355,332,42378,67626,4841,6527,19272,17546,2519,23147,5818,9100,6021,12361,12291,21078,4169,6308,28131,25759,18572,8351,38767,4603,27968,34968,13929,404,8742,1522,674,2791,33315,59054,271,6778,928,4481,27866,19750,26763,5053,12142,16812,18755,7137,36226,23132,4249,8339,28082,257,16022,28189,37618,2981,23131,152,15038,4217,13411,4240,11022,23581,398,11035,26985,8473,6000,2905,40700,333,30610,16409,2661,4591,5987,23226,157,18402,3706,14590,3101,25877,52189,33645,20704,4988,5747,20598,1981,3432,15344,4897,13683,23225,10605,5135,21606,10886,15848,14739,4454,5849,24750,72551,59456,46599,24249,29992,12579,18890,5769,41403,11236,10440,2564,58822,6373,16150,97019,81285,126206,4449,69182,147149,
PWY0-1061,1358,1448,8217,3668,2775,5087,14276,3000,15847,4978,557,1545,2322,534,671,1732,1291,3654,2242,1426,1760,20888,470,1204,2564,2419,835,1014,951,5204,5031,664,21497,29470,17128,9872,11871,1060,877,12179,291,19881,862,1534,1740,13494,21124,1181,537,824,455,1036,2146,24099,3016,12936,10887,3415,3143,1350,415,2504,14001,1915,2316,1709,622,1933,1663,8136,678,29630,732,719,5537,720,19841,371,13608,12077,615,1328,1101,11194,11461,3958,1143,600,5839,21485,4504,3957,1717,411,87565,7282,7488,650,1346,7148,140,3353,371,1223,1490,242,36467,5867,1727,3623,43316,301,3981,19800,2918,1655,1023,343,5140,946,760,269,3219,27776,1599,9657,1249,9767,6128,1166,779,
PWY0-1241,2486,875,5835,1164,571,1985,10055,656,2275,1714,502,2803,1002,1744,235,1377,627,1402,1141,1341,2745,12550,283,595,1283,1878,964,885,8413,2007,897,919,15148,18952,12035,6839,7836,1306,2639,8588,671,13785,593,1534,2811,4157,12719,1439,502,284,2673,422,2015,15662,703,5192,7663,942,1464,1769,287,1486,9765,1790,882,1631,445,1089,1217,5648,427,9536,394,609,1891,448,14109,596,5279,7779,1828,1269,935,7925,4810,1383,4783,479,2357,8548,4274,5709,3855,529,57252,469,4699,1315,918,3616,361,5407,663,883,820,744,20082,921,1249,2035,18145,439,2757,8837,1486,1140,1631,779,1924,835,2203,479,2748,14860,3627,6043,212,8968,865,4224,793,
PWY0-1261,4725,5005,11554,5205,4771,7824,20093,3419,6414,6854,2439,3874,5751,3731,1832,6624,3350,6857,7276,3403,6338,27876,4447,2635,7381,7138,3220,5797,5486,9732,2867,4730,30267,39313,23940,13390,16318,5937,10071,17159,2759,26964,3021,4373,5356,22469,28220,2474,2272,3079,7933,2062,5520,31927,4606,24204,15317,4394,4585,5342,1310,4306,19065,6107,4738,9319,1277,4604,4722,11046,6202,34284,2671,5992,6610,2921,27926,2633,19712,16406,4787,2762,5411,15707,21280,5726,4955,1876,13018,27443,15069,11989,5961,1918,64492,2191,27562,8182,3395,16596,1570,9900,2812,1782,2298,4901,25890,3003,5055,8079,55988,1940,7830,89314,5548,6146,5638,3758,14141,4341,10178,2472,12540,69131,11688,31584,15357,43523,19324,14741,30765,
PWY0-1277,151,194,2936,464,211,664,5187,311,171,884,20,172,398,32,48,269,110,489,328,145,130,6386,46,71,170,287,105,119,134,791,110,57,7812,9145,6070,3264,4093,10,92,4426,17,6577,139,130,235,2563,6443,145,27,90,20,43,209,7512,277,2825,3949,384,152,38,54,138,4655,120,383,156,37,115,159,2693,42,4864,120,120,811,24,7099,25,2356,4063,54,231,123,3993,2349,623,139,113,885,726,294,94,129,0,190,665,216,450,126,919,0,134,0,131,148,24,100,274,210,65,570,0,348,394,131,35,17,0,265,36,0,25,328,411,17,8,3,3,1,2,1,
PWY0-1296,23934,17101,7517,9030,28019,20865,12886,27734,99439,7816,13367,37598,48699,11151,47012,10514,32944,10767,17791,15954,38123,20278,44137,17758,36865,49773,18993,49718,16265,36126,42445,37255,19414,27116,15689,8744,10984,29589,62692,11010,8912,17605,16946,25200,22296,29134,21038,21746,10689,46191,19617,22703,23105,21722,26327,12326,9826,15029,22122,83132,8550,65269,12399,29577,6599,36725,9115,66985,27629,7206,102168,40065,56845,8828,8144,25424,18177,24006,30074,11211,13347,23851,41923,10221,14307,6429,21205,7773,7458,69742,72512,39631,44126,10829,29470,97782,57267,13159,131157,48883,29236,46079,9365,33934,81733,10380,17365,75823,61445,76771,91244,47170,171983,77084,93672,52269,37847,8736,33322,62556,32236,8148,125470,47756,27345,63000,80013,64519,119077,70969,103055,
PWY0-1297,29870,14707,7926,8261,28034,21264,13676,35706,112390,7985,13249,34655,47638,9311,50590,9676,31747,10371,17896,16754,37028,20984,44980,24570,38731,47973,19007,59097,9089,34741,50540,36260,20602,28801,16523,9251,11670,37830,77799,11697,9694,18602,16387,31375,24041,32363,21676,20784,15296,48801,13162,30979,26402,22871,26717,20211,10434,17325,29433,88128,8130,65706,13123,27266,6600,28014,8926,66118,29610,7625,105494,40023,59087,9123,7620,35079,19154,31753,30066,11826,8230,23089,44542,10766,22228,6658,21577,6833,12031,68796,70743,37365,41778,10626,37902,94128,54595,16342,126846,44314,30405,42457,8833,34313,79305,12941,20706,74478,60114,74926,92793,50376,167654,71464,92856,50669,37421,9002,34885,61865,28991,7462,125002,46389,28268,95030,85747,109834,56306,70545,136363,
PWY0-1298,21818,13021,8118,7829,27551,19636,14043,35064,104488,7583,12025,28263,41361,8916,50716,8368,29430,9644,15378,14597,29823,20704,44742,20033,35452,46455,17728,53080,13258,29987,46281,35409,21151,29414,16917,9528,11923,25280,60272,12014,8539,19130,15802,26109,19620,31099,21141,18156,10718,48715,12336,27185,20370,23206,26423,12741,10713,16938,22241,87088,7635,64431,13517,24032,5851,25491,8537,62967,25073,7848,106007,38740,59643,8075,7303,30365,19608,27194,27496,11914,7735,22241,42935,11022,13547,6145,19887,6318,8130,65547,66793,33207,39085,9992,31900,90709,51162,12588,121756,40937,29381,38628,8010,32773,76581,10517,18305,70845,57424,71771,83792,49410,161562,62749,89471,48315,34856,8142,32278,58864,25942,6805,118303,41111,25478,57418,81169,51654,68127,68033,121518,
