OTU.ID	GnotobioticExp-FP-188-S51	GnotoExpt-FP569-S85	GnotoExpt-FP617-S313	806rcbc422-S327	806rcbc392-S297	806rcbc423-S424	806rcbc477-S382	GnotobioticExp-FP-199-S63	GnotobioticExp-FP-193-S57	GnotoExpt-FP562-S78	806rcbc481-S386	GnotoExpt-FP552-S67	GnotoExpt-FP610-S306	806rcbc421-S326	GnotoExpt-FP452-S673	806rcbc179-S276	GnotoExpt-FP461-S682	GnotobioticExp-FP-209-S73	GnotoExpt-FP457-S678	806rcbc425-S330	GnotoExpt-FP456-S677	806rcbc175-S272	GnotobioticExp-FP-197-S61	GnotoExpt-FP554-S69	GnotoExpt-FP472-S693	806rcbc394-S299	806rcbc433-S338	GnotoExpt-FP475-S696	GnotobioticExp-FP-207-S71	806rcbc176-S273	806rcbc474-S379	GnotoExpt-FP455-S676	806rcbc432-S337	GnotoExpt-FP539-S54	GnotoExpt-FP558-S74	GnotoExpt-FP616-S312	806rcbc393-S298	GnotoExpt-FP453-S674	GnotoExpt-FP614-S310	GnotobioticExp-FP-196-S60	GnotobioticExp-FP-175-S37	GnotoExpt-FP564-S80	GnotoExpt-FP536-S51	806rcbc466-S371	GnotoExpt-FP469-S690	GnotoExpt-FP555-S71	806rcbc401-S306	806rcbc403-S308	GnotoExpt-FP474-S695	GnotobioticExp-FP-189-S52	GnotoExpt-FP465-S686	806rcbc479-S384	GnotoExpt-FP570-S86	GnotoExpt-FP595-S291	GnotoExpt-FP479-S700	806rcbc472-S377	806rcbc398-S303	806rcbc400-S305	GnotoExpt-FP549-S64	GnotoExpt-FP464-S685	806rcbc434-S339	806rcbc169-S266	GnotoExpt-FP551-S66	806rcbc436-S341	806rcbc423-S328	806rcbc426-S331	GnotoExpt-FP565-S81	GnotoExpt-FP615-S311	806rcbc396-S301	806rcbc480-S385	GnotobioticExp-FP-186-S49	GnotobioticExp-FP-177-S39	GnotoExpt-FP548-S63	GnotoExpt-FP618-S314	806rcbc430-S335	GnotoExpt-FP529-S44	806rcbc469-S374	806rcbc173-S270	GnotoExpt-FP609-S305	GnotoExpt-FP557-S73	806rcbc465-S370	GnotobioticExp-FP-190-S53	GnotobioticExp-FP-201-S65	GnotoExpt-FP561-S77	GnotoExpt-FP602-S298	806rcbc427-S332	GnotoExpt-FP462-S683	GnotobioticExp-FP-198-S62	GnotoExpt-FP608-S304	GnotoExpt-FP540-S55	GnotoExpt-FP466-S687	806rcbc428-S333	GnotobioticExp-FP-208-S72	806rcbc431-S336	806rcbc168-S265	GnotoExpt-FP600-S296	806rcbc171-S268	GnotobioticExp-FP-191-S54	806rcbc464-S369	806rcbc399-S304	GnotoExpt-FP545-S60	GnotoExpt-FP567-S83	806rcbc172-S269	GnotoExpt-FP483-S704	GnotoExpt-FP543-S58	GnotoExpt-FP484-S706	806rcbc438-S343	806rcbc174-S271	GnotoExpt-FP451-S672	GnotobioticExp-FP-187-S50	806rcbc402-S307	GnotoExpt-FP534-S49	GnotoExpt-FP467-S688	806rcbc178-S275	806rcbc390-S295	806rcbc435-S340	GnotoExpt-FP559-S75	GnotobioticExp-FP-206-S70	GnotobioticExp-FP-195-S59	GnotobioticExp-FP-179-S41	GnotoExpt-FP601-S297	GnotoExpt-FP533-S48	806rcbc467-S372	GnotoExpt-FP537-S52	GnotoExpt-FP459-S680	GnotoExpt-FP541-S56	GnotoExpt-FP612-S308	GnotoExpt-FP460-S681	GnotoExpt-FP486-S708	GnotoExpt-FP478-S699	GnotoExpt-FP454-S675	GnotoExpt-FP470-S691	GnotoExpt-FP535-S50	GnotobioticExp-FP-205-S69	GnotoExpt-FP468-S689	GnotoExpt-FP597-S293	GnotoExpt-FP599-S295	GnotoExpt-FP611-S307	806rcbc407-S312	GnotoExpt-FP546-S61	GnotoExpt-FP481-S702	GnotobioticExp-FP-194-S58	GnotobioticExp-FP-181-S44	806rcbc471-S376	GnotoExpt-FP485-S707	GnotobioticExp-FP-204-S68	GnotobioticExp-FP-202-S66	GnotoExpt-FP463-S684	GnotoExpt-FP547-S62	GnotoExpt-FP603-S299	GnotoExpt-FP605-S301	806rcbc429-S334	GnotoExpt-FP458-S679	GnotoExpt-FP480-S701	GnotoExpt-FP538-S53	GnotobioticExp-FP-182-S45	GnotobioticExp-FP-176-S38	GnotobioticExp-FP-210-S74	GnotobioticExp-FP-184-S47	GnotoExpt-FP550-S65	GnotoExpt-FP477-S698	806rcbc404-S309	GnotoExpt-FP563-S79	GnotoExpt-FP531-S46	GnotobioticExp-FP-200-S64	806rcbc397-S302	GnotoExpt-FP607-S303	806rcbc437-S342	GnotoExpt-FP542-S57	GnotoExpt-FP613-S309	GnotoExpt-FP568-S84	806rcbc470-S375	GnotoExpt-FP553-S68	GnotoExpt-FP482-S703	GnotobioticExp-FP-203-S67	806rcbc406-S311	806rcbc170-S267	GnotobioticExp-FP-185-S48	806rcbc473-S378	GnotobioticExp-FP-183-S46	GnotoExpt-FP556-S72	GnotoExpt-FP532-S47	GnotoExpt-FP473-S694	GnotoExpt-FP471-S692	806rcbc468-S373	GnotoExpt-FP566-S82	GnotobioticExp-FP-192-S55	806rcbc177-S274	806rcbc476-S381	GnotobioticExp-FP-180-S43	GnotoExpt-FP604-S300	806rcbc391-S296	GnotoExpt-FP596-S292	GnotoExpt-FP544-S59	806rcbc405-S310	806rcbc424-S329	GnotoExpt-FP606-S302	GnotobioticExp-FP-178-S40	GnotoExpt-FP598-S294	806rcbc395-S300	GnotoExpt-FP560-S76	806rcbc478-S383	GnotobioticExp-FP-372.fastq	GnotobioticExp-FP-319.fastq	GnotobioticExp-FP-384.fastq	GnotobioticExp-FP-314.fastq	GnotobioticExp-FP-301.fastq	GnotobioticExp-FP-315.fastq	GnotobioticExp-FP-369.fastq	GnotobioticExp-FP-377.fastq	GnotobioticExp-FP-304.fastq	GnotobioticExp-FP-313.fastq	GnotobioticExp-FP-375.fastq	GnotobioticExp-FP-317.fastq	GnotobioticExp-FP-306.fastq	GnotobioticExp-FP-386.fastq	GnotobioticExp-FP-305.fastq	GnotobioticExp-FP-366.fastq	GnotobioticExp-FP-371.fastq	GnotobioticExp-FP-365.fastq	GnotobioticExp-FP-302.fastq	GnotobioticExp-FP-380.fastq	GnotobioticExp-FP-393.fastq	GnotobioticExp-FP-321.fastq	GnotobioticExp-FP-391.fastq	GnotobioticExp-FP-394.fastq	GnotobioticExp-FP-363.fastq	GnotobioticExp-FP-303.fastq	GnotobioticExp-FP-385.fastq	GnotobioticExp-FP-307.fastq	GnotobioticExp-FP-381.fastq	GnotobioticExp-FP-312.fastq	GnotobioticExp-FP-309.fastq	GnotobioticExp-FP-318.fastq	GnotobioticExp-FP-370.fastq	GnotobioticExp-FP-383.fastq	GnotobioticExp-FP-367.fastq	GnotobioticExp-FP-378.fastq	GnotobioticExp-FP-310.fastq	GnotobioticExp-FP-322.fastq	GnotobioticExp-FP-373.fastq	GnotobioticExp-FP-364.fastq	GnotobioticExp-FP-382.fastq	GnotobioticExp-FP-387.fastq	GnotobioticExp-FP-388.fastq	GnotobioticExp-FP-368.fastq	GnotobioticExp-FP-361.fastq	GnotobioticExp-FP-389.fastq	GnotobioticExp-FP-311.fastq	GnotobioticExp-FP-379.fastq	GnotobioticExp-FP-308.fastq	GnotobioticExp-FP-392.fastq	GnotobioticExp-FP-323.fastq	GnotobioticExp-FP-316.fastq	GnotobioticExp-FP-396.fastq	GnotobioticExp-FP-374.fastq	GnotobioticExp-FP-324.fastq	GnotobioticExp-FP-320.fastq	GnotobioticExp-FP-390.fastq	GnotobioticExp-FP-362.fastq	GnotobioticExp-FP-376.fastq	GnotobioticExp-FP-395.fastq	taxonomy
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Coprococcus	0	0	16	0	0	0	0	69	92	0	0	0	65	0	0	0	0	597	0	0	0	0	41	0	0	0	0	0	37	0	0	0	0	0	0	53	0	0	37	6	0	4	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	2	0	0	0	0	58	0	0	0	0	0	8	0	0	0	0	81	0	0	0	14	0	49	0	0	55	32	32	0	0	87	0	0	66	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113	15	0	56	7	0	0	0	0	5	0	0	0	0	0	0	206	0	62	25	65	0	0	0	34	0	0	0	86	50	0	0	117	82	0	0	0	0	0	0	102	0	0	0	0	0	0	95	0	57	0	0	35	0	0	0	0	757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	26	0	0	0	243	0	28	0	0	0	54	13	30	6	6	9	35	71	20	8	24	11	57	56	22	12	70	29	10	92	75	9	68	27	20	0	79	5	117	82	5	23	174	13	13	34	6	13	11	60	0	72	54	12	24	34	13	86	6	82	26	2	55	22	0	3	31	26	92	29	
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus	0	0	38	0	0	0	0	0	0	0	4	105	16	0	0	20	240	74	0	0	114	0	120	0	0	27	5	0	0	0	0	11	107	19	6	6	4	0	0	2	0	11	0	0	0	0	48	0	0	0	0	2	0	2	111	0	0	0	0	0	78	0	26	0	0	0	0	0	0	6	0	0	0	173	6	0	0	3	2	0	0	0	0	0	0	0	95	81	0	79	40	0	2	20	0	39	0	0	0	3	64	0	0	0	0	7	0	0	0	0	0	12	24	5	0	3	0	0	0	3	0	390	0	0	0	0	205	36	38	56	0	0	0	0	34	0	8	73	103	6	0	0	0	0	38	6	30	0	0	0	8	0	0	142	0	0	0	7	2	0	0	0	15	0	0	0	0	0	0	0	23	0	2	0	21	310	0	1	0	0	55	17	11	0	8	0	0	3	0	0	6	0	0	6	2	45	11	2	14	166	0	0	38	7	50	4	11	3	4	0	16	6	7	35	7	0	174	11	4	6	11	0	0	3	0	0	9	5	0	9	0	127	3	5	10	11	14	0	4	5	13	12	0	0	0	4	5	0	220	0	11	0	158	3	0	12	140	14	1	18	4	8	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Christensenellales;f__Christensenellaceae;g__Catabacter	0	0	2	0	0	0	0	0	0	0	0	0	26	2	0	0	0	0	0	17	0	0	0	0	22	35	4	4	0	0	0	0	16	0	0	6	8	0	23	0	0	0	0	0	0	0	16	0	24	0	0	0	0	4	5	0	0	0	0	0	33	4	0	0	3	27	0	13	0	0	0	0	0	3	2	0	0	2	24	0	0	0	0	0	13	0	0	0	23	0	0	0	0	8	0	3	2	0	0	11	0	0	0	4	0	14	0	0	0	0	2	0	0	9	0	3	0	0	0	0	7	0	0	0	0	0	3	0	4	3	0	3	0	0	0	19	25	0	0	5	3	0	0	0	16	0	0	0	0	21	27	2	0	33	0	0	0	0	0	0	2	0	0	0	0	0	22	3	0	17	0	0	0	4	0	4	0	0	0	0	0	0	19	8	0	0	0	0	0	0	0	0	13	0	8	16	5	0	20	27	0	0	0	0	0	0	0	0	6	0	0	0	3	0	0	0	0	0	0	0	0	2	0	0	0	0	3	0	0	0	0	0	0	0	5	0	4	0	0	0	6	3	0	0	0	2	2	0	0	0	0	0	0	0	0	13	0	0	0	11	2	0	
k__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__[Clostridium] innocuum group	1	9	10	2	3	8	1	2	2	602	7	273	6	27	126	1	227	692	125	2	433	84	1	163	0	307	26	0	2	9	43	495	149	103	307	43	549	120	15	1	213	375	23	1	0	245	2041	5	0	180	91	15	808	5	0	1	4	2	20	103	2	29	839	2	25	57	81	8	17	50	8	764	15	3	2	5	1	213	5	4	2	1	4	476	16	8	341	6	6	182	471	2	1	84	4	31	1	1	1	1342	103	100	16	0	29	0	1	9	92	32	1	11	1531	180	4	2	74	3	19	100	2	103	1	28	90	12	1	248	0	0	170	0	34	1	1205	5	2	11	1	5	0	3	8	10	0	9	1	120	16	13	4	5	150	0	217	60	68	1	1	683	0	1	1114	14	24	6	6	1	28	9	872	2	35	0	1350	156	21	3	11	98	449	140	0	0	18	137	1	0	1	10	145	45	4	274	814	36	24	1	6	1109	249	2	4	92	0	66	60	76	29	3	127	16	17	67	248	0	101	10	4	4	75	0	0	238	0	0	22	132	0	20	0	304	161	41	3	0	14	3	71	301	17	9	0	0	0	13	7	0	128	0	90	0	1231	23	1	17	57	283	0	14	6	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UCG-003	0	0	38	0	0	0	25	0	0	0	0	0	284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	139	0	0	297	0	0	0	0	7	6	0	0	0	0	0	0	0	0	430	0	4	0	0	0	0	0	0	0	0	0	3	0	212	0	0	0	0	0	4	0	0	0	0	411	64	4	0	0	0	394	0	0	0	327	0	0	0	0	0	0	178	0	0	8	0	23	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	354	367	0	0	0	0	3	0	0	0	0	14	0	0	0	342	19	13	0	422	0	0	0	11	0	0	0	0	0	374	455	0	0	12	0	0	0	0	0	7	0	0	7	0	0	0	398	0	0	189	36	11	0	0	0	0	0	0	0	0	44	0	2	9	0	0	0	0	33	0	85	0	339	0	0	0	31	0	13	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__	3	90	2	0	25	12	8	48	75	36	19	3	6	0	0	2	0	11	0	0	0	52	1	40	33	44	0	120	45	33	15	0	0	76	5	4	34	0	1	0	3	371	1	3	40	39	92	21	80	16	0	4	112	5	34	6	14	25	1	0	4	18	260	0	0	0	45	9	15	19	1	17	5	1	0	1	5	13	5	44	0	0	5	3	2	0	0	37	2	106	0	0	1	0	35	4	0	0	4	35	119	14	0	52	1	52	0	77	0	1	14	2	0	11	35	0	21	18	32	1	2	49	0	1	0	1	3	0	110	24	0	24	13	68	0	33	4	18	8	69	36	33	1	5	74	2	1	0	1	3	4	0	0	161	5	19	1	1	7	28	45	9	62	1	112	35	2	0	98	1	109	5	11	36	5	78	5	1	7	26	22	4	89	39	3	14	1	0	11	1	1	101	48	18	38	59	0	1	16	396	45	4	0	0	0	31	20	32	0	0	11	41	0	25	106	13	54	0	0	0	46	30	14	0	17	5	0	14	16	28	21	96	26	23	0	0	0	0	22	0	0	0	0	32	14	0	0	0	26	23	46	14	0	25	12	0	0	0	0	0	0	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__	0	0	26	61	0	1	42	0	0	0	28	15	0	69	5	0	1	0	3	2	1	0	0	0	1	5	35	133	0	4	14	11	123	99	11	2	0	4	4	0	0	0	7	30	1	0	1	5	1	0	3	2	0	8	1	40	1	1	23	4	21	2	41	31	38	11	0	3	1	17	0	0	55	0	27	29	24	0	12	5	40	0	0	0	3	64	1	0	2	4	3	50	0	129	3	19	0	0	39	0	104	0	0	7	46	34	60	3	1	0	1	40	1	0	2	20	0	0	0	0	15	43	3	11	4	38	0	1	12	1	0	2	56	0	1	13	0	35	35	29	1	0	0	14	1	0	0	1	56	2	34	39	3	551	11	0	0	0	0	25	2	5	0	27	0	0	18	29	132	20	8	46	0	1	0	39	0	0	9	0	3	3	1	11	0	0	0	0	80	0	2	1	20	60	1	25	82	0	2	0	0	28	0	0	0	0	0	5	4	0	0	0	4	1	18	0	0	3	0	5	0	6	0	0	4	0	5	0	0	8	6	0	0	9	2	0	7	0	0	0	2	11	0	3	0	3	3	0	0	5	0	2	0	0	0	5	0	0	0	4	0	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Eubacterium] fissicatena group	0	29	347	0	45	12	17	22	22	17	77	36	13	14	5	14	14	190	0	67	48	53	57	0	21	1093	21	12	14	137	71	26	112	0	19	26	375	6	17	0	0	42	0	0	8	2	763	48	74	0	8	121	41	21	38	8	32	94	0	28	26	61	0	2	6	57	2	13	66	199	0	0	0	4	37	0	40	215	31	9	6	0	0	0	21	3	11	17	16	0	21	5	13	98	34	38	15	0	9	641	7	3	46	9	0	26	3	57	8	0	45	0	106	606	57	26	0	9	10	0	16	23	8	0	0	0	2	6	37	29	3	3	0	12	90	28	65	69	54	0	3	30	0	26	15	34	17	17	0	34	43	7	3	101	0	0	0	32	0	0	4	58	7	0	21	45	11	2	0	12	5	8	0	5	220	315	98	0	45	0	9	3	41	5	22	0	0	0	27	0	18	50	15	0	244	161	212	0	41	1285	0	31	0	0	0	2	2	0	1	5	10	0	4	6	26	8	15	2	7	0	0	29	2	0	8	4	0	2	4	2	11	0	3	0	14	2	4	2	3	0	2	10	3	6	23	0	2	4	12	6	0	15	0	2	10	3	0	0	0	2	10	9	
k__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Dielma	0	90	0	33	0	0	0	20	8	0	0	262	0	22	9	0	0	10	26	5	66	0	65	0	0	0	55	0	9	0	0	31	98	0	29	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	90	0	0	23	18	34	0	0	0	0	0	0	0	0	26	0	0	0	0	91	0	0	4	0	0	24	34	19	0	0	0	17	6	108	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	77	0	11	10	0	0	88	0	0	24	0	0	21	0	0	9	0	0	6	0	0	0	53	0	0	0	11	0	0	0	2	2	9	0	19	0	22	31	0	35	0	0	4	0	0	0	0	52	0	17	0	0	38	0	0	0	0	0	0	6	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	6	0	0	0	0	0	0	1	1	0	1	2	2	28	1	1	1	94	1	3	1	11	11	1	5	5	1	1	1	1	1	83	1	1	2	1	1	1	1	1	0	34	1	1	0	37	10	0	1	1	28	43	0	1	1	1	1	0	1	1	45	0	1	0	39	1	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus	37	1	18	218	0	1	31	0	0	0	16	2	39	71	0	17	0	1	0	35	0	0	4	0	0	0	61	0	0	0	15	0	69	0	8	62	0	0	72	1	123	4	0	21	0	0	0	0	0	59	0	9	0	10	0	18	0	0	0	0	21	0	2	25	22	44	0	97	0	55	4	35	0	45	22	0	41	0	92	14	28	2	0	0	91	88	0	1	69	36	0	76	0	32	0	22	0	1	29	0	21	0	0	0	0	0	202	0	0	34	0	36	0	0	0	24	0	0	0	10	25	89	4	0	0	0	49	0	0	159	0	0	0	0	0	117	4	4	91	110	0	0	76	26	0	1	0	0	0	57	86	32	0	0	0	214	111	2	13	1	0	0	7	0	0	0	82	65	0	53	12	46	0	0	0	33	0	4	11	67	12	9	0	0	5	0	1	0	44	4	15	0	87	2	0	73	16	4	48	0	0	16	20	0	0	0	0	0	10	13	0	0	17	0	0	0	0	46	5	25	0	0	0	0	0	0	42	0	0	0	0	0	0	0	37	0	35	28	0	0	113	43	0	0	0	12	312	0	0	0	0	0	0	0	0	41	0	0	0	61	32	0	
k__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Holdemania	0	15	20	17	12	5	17	0	0	0	25	69	11	19	0	5	0	0	0	180	0	2	0	0	0	62	51	0	0	7	46	0	100	207	21	6	44	0	15	0	0	0	46	14	0	0	288	4	0	0	0	16	6	32	0	22	11	6	16	0	58	6	154	15	12	172	0	10	6	43	0	0	35	0	43	22	80	16	24	17	14	0	0	0	46	16	0	0	15	530	0	13	2	128	3	30	0	0	7	68	102	0	6	0	13	0	17	3	0	0	6	27	0	31	11	43	0	0	0	0	18	41	4	23	0	7	4	0	0	0	0	0	39	0	0	22	84	7	9	65	0	0	0	10	0	0	0	0	31	45	26	12	0	0	115	0	0	0	0	84	0	11	0	27	0	16	18	11	19	9	0	18	0	0	0	34	12	0	34	0	0	100	0	0	18	0	0	2	25	0	6	7	28	86	62	47	62	0	97	625	0	11	0	29	0	14	32	29	0	0	114	38	0	46	45	13	117	0	0	0	35	15	12	34	24	16	0	18	14	23	22	68	25	38	0	0	0	0	78	63	0	0	0	10	28	0	0	11	47	10	28	19	195	18	66	0	50	52	3	0	0	21	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__[Eubacterium] coprostanoligenes group;g__	0	0	0	0	0	0	0	0	20	0	0	5	0	0	0	0	0	0	0	0	0	13	6	0	0	0	0	0	0	9	0	0	0	15	0	0	0	0	0	0	0	0	5	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	3	0	0	0	16	0	0	0	0	0	0	0	0	0	40	9	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	7	0	0	3	15	0	0	0	0	0	0	5	0	0	0	0	10	0	5	6	0	0	0	0	0	26	0	0	0	0	0	0	4	0	24	0	0	0	0	0	0	12	0	0	0	0	0	7	0	0	0	0	17	0	9	0	15	0	0	0	0	18	0	2	0	0	0	0	6	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	9	7	0	0	0	34	0	0	0	0	0	0	0	0	0	5	0	0	0	12	0	0	0	0	20	0	4	0	0	0	0	0	0	10	0	0	0	0	0	0	0	2	0	15	0	0	0	29	24	0	0	0	10	40	0	0	0	0	0	0	0	0	19	0	0	0	29	2	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Fusicatenibacter	0	22	39	0	0	1	34	2	1	1	159	1	229	0	0	3	0	1	0	0	0	0	1	0	0	1	0	0	6	1	61	0	26	1	3	268	4	0	25	0	1	1	1	16	0	0	3	0	0	1	0	160	3	37	0	6	0	0	0	0	0	2	0	0	0	35	0	248	0	345	1	0	0	24	2	0	24	0	514	43	19	0	3	0	107	1	0	0	28	6	0	0	1	1	0	120	0	0	4	0	4	0	0	0	0	0	0	1	0	0	0	2	0	1	0	0	0	26	1	1	12	28	3	0	0	0	48	0	0	0	0	0	0	46	0	256	267	48	0	32	0	1	1	13	0	1	0	0	0	417	415	0	0	0	1	8	0	0	1	0	0	0	2	0	14	0	22	0	0	9	1	18	0	0	7	73	3	5	50	1	1	1	0	0	34	0	0	0	14	0	39	0	52	1	0	14	317	0	332	0	0	13	0	0	51	0	0	0	0	0	0	0	0	0	0	109	0	0	0	0	0	162	137	0	150	81	0	0	207	0	153	0	0	0	0	16	0	0	0	0	0	0	13	136	235	0	0	57	0	248	0	185	0	0	75	0	0	0	61	0	0	56	
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides	0	6337	682	6	2	1	751	3576	3104	4399	1	4098	2512	7	2599	518	37	560	2666	1	1397	0	844	6916	2	3	8	0	1374	0	1	1088	9	16117	1621	3091	0	2153	5717	103	0	8488	16757	558	0	5292	1	0	0	0	490	3	3039	5817	4	531	0	0	15916	1045	4	0	3881	13	8	19	7798	3982	0	1	50	0	15622	383	1	16847	2	0	4587	3378	529	0	1248	7394	6192	2	526	211	4936	4369	77	2	170	5	0	4070	0	0	433	0	4722	3540	0	0	13296	158	6	0	1128	0	0	8907	206	0	0	2	7737	1451	2935	0	7016	3499	1	15800	1789	16073	401	1619	153	4	1737	0	18596	1677	325	8008	1607	733	10	691	0	2795	0	147	0	20	31	723	16791	5618	4813	2	3015	0	2180	0	0	14	0	2878	2	0	1333	12133	4852	0	4833	6	17075	3993	2238	396	5554	0	294	21	0	58	1	0	2010	619	0	0	2	6138	0	1	537	0	2184	0	5120	4099	0	1	1105	0	1432	1	8421	504	1	14509	22	2343	2669	3245	26	17	212	2360	52	337	1558	81	364	18	1	201	2787	51	47	18695	26	71	69	3436	27	2705	31	983	3821	1255	1	16	17	14	744	1802	14	36	21	126	19	44	9	19	780	19	2692	31	3354	1582	15	22	3723	18747	35	11	1	27	
k__Bacteria;p__Firmicutes;c__Clostridia;o__;f__;g__	0	18	0	0	3	0	0	0	0	0	2	0	3	0	9	0	7	0	10	0	17	7	0	0	0	21	0	0	0	8	0	34	0	0	0	6	7	0	0	0	0	0	0	0	0	0	22	3	0	0	3	0	0	4	0	0	2	6	0	6	0	5	0	0	0	0	0	6	8	6	0	0	0	0	0	0	6	0	9	4	0	0	0	0	3	0	19	0	10	0	4	0	0	0	3	7	0	0	0	0	0	0	0	0	0	0	0	9	11	0	2	0	22	0	3	0	0	0	0	0	6	8	0	0	7	0	0	14	0	0	10	0	0	0	26	7	2	7	0	0	0	0	0	0	0	0	0	4	0	6	17	0	5	0	0	0	0	0	0	0	0	5	0	0	0	9	11	0	0	3	2	0	0	0	0	3	5	0	0	0	0	0	0	0	0	0	0	0	2	0	2	3	3	0	2	0	71	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	6	0	7	0	0	0	6	2	0	5	0	6	0	3	0	6	9	0	0	0	0	3	0	0	0	7	11	0	5	4	0	7	0	0	13	0	9	0	0	0	2	0	0	0	0	0	0	
k__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Bilophila	0	0	28	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	6	147	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	215	0	9	0	0	0	0	1	2	0	0	0	0	19	6	0	0	0	0	49	0	0	0	5	1	0	0	194	0	0	41	0	0	0	0	7	0	0	0	0	5	0	0	0	0	0	6	0	0	0	0	0	0	0	0	12	33	0	0	0	0	3	0	13	0	0	0	0	0	0	14	568	140	0	316	0	0	0	0	0	0	0	0	0	40	56	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	11	0	0	4	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	6	0	0	0	127	0	2054	0	0	0	1	167	0	1	1	2	1	0	2	4	0	1	2	1	8	1	0	0	2	1	1	510	1	2	0	2	2	1	1	1	1	1	0	1	0	0	1	1	0	1	1	1	16	0	0	1	1	1	1	1	1	1	1	0	27	273	1	1	0	1	
k__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella	0	0	0	0	0	0	0	0	0	8	0	0	0	7	0	0	0	0	0	68	0	0	0	0	0	0	13	0	0	0	0	0	5	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	75	0	0	0	5	99	4	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	3	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104	0	0	0	0	0	0	0	0	0	0	0	3	0	0	65	0	0	136	55	2	34	0	0	0	0	2	3	0	6	0	0	0	5	0	2	125	4	10	0	0	0	0	46	0	0	0	0	0	20	0	0	20	82	6	0	6	7	18	49	0	0	0	7	0	0	16	
