#OTU ID,Vil103BDTT33,Vil105BDTT57,Lyz207BDTT281S123,Vil1010BDTT117,Vil105BFP57,Lyz202BDTT221S61,Itg02FP409S9,Lyz204BFP245S42,Lyz206BDTT269S111,Vil109BDTT105,Itg20DTT505S100,Itg24DTT529S24,Vil109BFP108,Itg26DTT541S37,Itg02DTT409S1,Itg06DTT433S26,Vil110BFP120,Vil108BFP96,Vil101BFP09,Vil102BDTT21,Itg22DTT517S12,Vil106BFP69,Itg16FP481S84,Vil103BFP33,Itg08FP445S46,Itg24FP529S32,Lyz206BFP269S67,Vil104BDTT45,Lyz203BDTT233S73,Lyz207BFP281S79,Vil107BDTT81,Vil104BFP45,Itg12FP469S71,Itg06FP433S34,Lyz205BFP257S54,Itg18DTT493S88,Vil1013BDTT153,Vil102BFP21,Itg04DTT421S13,Vil1014BDTT165,Vil106BDTT69,Itg10DTT457S51,Vil113BFP156,Lyz205BDTT257S98,Vil108BDTT93,Itg20FP505S8,Itg22FP517S20,Lyz203BFP233S81,Lyz202BFP221S69,Vil107BFP81,Itg16DTT481S76,Itg12DTT469S63,Vil114BFP168,Lyz204BDTT245S86,Itg18FP493S96,Lyz208BDTT293S135,Itg10FP457S59,Lyz201BFP209S57,Lyz201BDTT209S49,Vil101BDTT09,Itg04FP421S21,Itg26FP541S45,Itg08DTT445S38,Lyz208BFP293S91,SLCFP021,SLCFP069,SLCFP111,SLCdtt075,SLCFP051,LYZFP317,SLCFP093,SLCdtt021,SLCdtt111,LYZdtt317,LYZdtt305,LYZdtt329,SLCFP075,LYZdtt341,SLCdtt051,LYZFP305,SLCFP129,LYZdtt365,SLCFP003,SLCdtt069,SLCdtt129,LYZdtt353,SLCdtt093,LYZFP353,SLCdtt003,LYZFP329,LYZFP341,SLCFP165,SLCdtt165,SLCFP147,SLCdtt147
HSERMETANA-PWY,845.3714,483.4653,954.1864,3156.9063,5526.9321,656.8598,1758.3415,729.6044,1538.8627,5413.2153,4921.7134,2657.7537,8618.6192,3593.3117,1739.0201,1135.5565,2473.8164,12051.1931,1901.6076,560.5017,1970.16,3752.3819,2925.7087,3467.6854,3960.8752,3183.2086,2914.1664,1195.1297,438.4299,1480.1458,1558.268,2691.3247,7575.7946,1847.8949,1250.999,2583.9778,3120.963,1365.8096,1939.1374,2276.7652,2518.9705,784.4454,1482.8046,1677.0396,5359.6615,3160.0898,6285.8129,2573.4193,2437.8403,4489.0525,1632.2797,2224.592,1845.8194,313.1857,4014.609,1942.3839,3431.853,4765.7529,895.8211,481.6686,1825.9998,3173.5804,2020.1973,3292.911,441.4471,1372.6486,1864.2641,1794.8956,1310.2767,6961.9535,699.1919,435.8991,1608.641,46761.539,4784.6866,9051.777,1971.6241,57444.3448,557.4522,2282.0284,1061.8992,900791.6227,2575.7457,1497.5131,916.1256,61866.5149,2326.7144,6743.5219,14294.5749,12705.4931,4864.0559,675.3833,2748.5811,3453.2111,2125.6346
ILEUSYN-PWY,10543.7437,4830.4156,15588.8568,17941.9189,56628.5946,18164.3662,17251.2491,15416.0295,11952.7496,10999.7141,25556.7538,29088.6205,46348.0179,29759.7543,20426.2535,21597.1512,29190.5229,98202.4666,40620.8891,13942.4133,19429.7431,56470.4067,43516.7842,50777.0619,27642.0833,29985.304,20640.849,30210.7044,10729.5224,19491.9657,6049.5902,35860.4646,35748.3928,28114.1772,17365.1623,33991.0918,12457.1276,40613.3895,34429.8481,18152.9359,10471.8526,9318.4822,5882.9091,30283.0771,9536.3623,45637.3627,36185.243,32611.108,34822.9779,42442.5453,36118.5076,20942.9527,6082.4655,7135.3364,31212.5198,32931.6228,29728.2201,36297.6945,28028.6183,9499.6346,24457.1045,25128.0465,15766.3219,22865.8429,17064.7011,8954.037,15630.234,13174.855,22782.9095,46449.2588,17297.9273,10641.5134,24816.9879,286106.814,30917.9742,110198.8448,9831.1258,974690.3613,21758.8011,29450.5599,10528.3784,1043642.503,22001.0369,33248.1326,12755.6162,96699.2007,44395.7263,33219.585,37398.6899,84141.1418,44986.4576,18992.1738,51500.0511,23240.9194,48076.7472
KDO-NAGLIPASYN-PWY,438.3901,3734.692,178.0548,2655.5335,49.8044,50.8895,0,11.9429,247.3159,4424.7001,37.7235,0,27.8663,47.4651,451.286,78.7555,19.9546,147.625,17.9724,477.8816,39.4287,15.9743,0,33.8982,9.9837,0,7.9703,710.066,48.8365,7.9795,4241.3274,19.9554,13.9735,11.9714,0,57.5725,4245.1684,29.9091,0,1627.1672,7267.3833,0,88.0112,87.8659,4922.4496,0,0,13.9796,9.9864,23.9585,210.3676,31.7333,256.861,0,0,519.7171,9.9848,11.9769,58.3282,232.4302,0,11.9792,53.3075,17.9236,37.7308,0,58.3803,49.6265,103.3283,614.9797,142.0987,0,0,948.6433,1014.3838,1264.2764,0,1184.8212,0,716.6284,0,1168.5659,0,31.8238,0,684.4495,0,236.8783,616.1215,1075.1521,420.2787,23.9103,1.9997,1894.2495,1.9996
KETOGLUCONMET-PWY,118.4006,5385,43.1274,1182.1744,12.4214,12.6244,0,2.985,62.7787,4928.5732,9.2662,0,6.9666,11.7188,111.3894,19.5086,4.9848,37.1034,4.4906,137.3922,9.7283,3.9873,0,8.4796,2.4825,0,1.9783,198.9486,12.066,1.9864,5855.6163,4.9866,3.4779,2.9768,0,14.2269,1655.4258,7.4608,0,552.9379,10108.124,0,22.3672,21.8122,6549.1856,0,0,3.4892,2.4932,5.9672,51.9743,7.8694,66.3216,0,0,146.0659,2.4866,2.9927,14.7709,58.7487,0,2.9722,13.0374,4.4583,9.3135,0,14.5706,12.645,25.4487,148.4292,35.7853,0,0,218.6274,246.8188,292.706,0,273.3993,0,176.6774,0,252.2838,0,7.8578,0,145.6645,0,54.4698,192.9513,241.8364,99.1577,5.977,0.4999,616.4689,0.4999
LACTOSECAT-PWY,6263.002,311.7532,3215.6259,3378.8254,5137.7518,5449.9997,2396.8054,10303.8604,4202.9551,2844.0827,10788.4881,7223.359,28490.4082,7280.1721,9494.6153,46935.9563,13668.3268,50897.3525,16940.501,8875.6888,3661.8624,6197.8662,10205.5588,11704.0362,9395.322,8784.5666,3347.2116,4181.6256,6539.6669,4484.685,745.9993,6641.4024,12858.7442,22391.5755,2478.2403,6221.1047,2002.7509,12533.9771,47794.9655,6309.5479,1275.0066,11902.4166,3908.4912,7301.905,1470.0043,15708.4019,6976.5751,58266.4942,31854.1605,7695.7307,12252.4102,8663.3237,3915.6557,4407.3214,4515.188,14623.2646,16573.7787,7819.3738,4276.6856,7097.6248,10778.8377,9949.4497,6736.8849,11162.1851,2732.1335,3244.0032,2666.5217,7540.037,1338.7983,81502.3097,6360.3773,1445.7575,4073.6352,73483.15,79645.2133,13736.38,6070.7111,42563.3492,1453.107,310896.9335,3467.8776,4055.8786,7182.9065,3230.1908,12898.3229,61207.6379,8294.0201,4708.7285,14091.1025,5020.5425,16542.1426,3272.9099,19882.9545,7057.3839,16647.5089
LEU-DEG2-PWY,108.15,0,30.6474,97.9996,18.9522,13.4978,11.4037,0,0,32.2505,11.8298,33.6643,55.697,40.7652,28.0827,38.7323,42.6872,732.8828,14.2161,9.0274,4.6374,49.5494,27.6847,407.5649,25.449,24.5135,2.4019,110.5699,0,0,0,106.8842,51.8642,26.3545,7.1289,104.4967,0,18.9316,69.9707,6.5681,0,0,1.8918,14.802,3.5818,33.4782,9.5579,4.8269,12.9714,61.2301,46.2263,31.6044,13.0397,0,53.6305,11.3036,13.9855,6.9566,0,0,15.9145,28.2195,54.46,4.7602,31.4346,0,22.1738,0,0,619.7424,0,12.6888,33.3598,110.2079,20.2238,0,0,0,0,96.1275,12.6826,71.9471,18.8259,25.4856,54.34,41.0934,14.7373,39.5744,86.7138,0,0,23.3941,132.3724,6.2316,37.7682
MET-SAM-PWY,1309.6324,4587.201,1616.2599,4524.2251,4948.6771,3854.875,2804.533,2036.5122,2708.5933,7697.3391,1863.57,4759.9148,13278.8321,5222.1264,2998.5361,1587.163,3808.4232,16438.9204,2899.8738,1027.6616,2893.0007,3967.4205,4093.2667,8318.6957,5776.409,4745.6777,4168.6046,1807.6653,1262.9378,2188.4518,5495.5415,4000.0723,10722.848,2804.0267,1873.2199,3832.1312,5476.5527,2481.0032,2005.9248,4123.8047,9420.8006,1437.9791,737.6355,2531.2863,7741.0994,4769.2781,8989.5231,2349.2687,4348.9041,5356.8042,2476.4166,3309.5663,3305.7447,1172.3448,5802.1239,2942.6888,5178.3011,5967.3519,7548.6458,742.5282,2751.6603,4731.9646,1612.0019,4833.6403,1019.5188,541.7524,2705.4091,2657.2182,2702.4045,13322.3787,1080.3499,857.5345,2392.7907,6575.8368,4611.1288,8890.4203,2866.5061,15876.8576,2448.1529,5562.8972,1573.2533,19170.9041,3770.9159,2618.8072,1428.9854,7353.9256,3500.315,5564.3058,19613.5296,8208.7577,8307.9007,3064.8806,7048.9912,4984.8911,3247.0904
METH-ACETATE-PWY,582.4584,63.7571,3021.3426,1730.8912,4180.8432,883.1039,1608.3938,1116.8562,1747.6675,1118.5224,972.2503,2048.3772,491.305,1504.5126,1749.4696,1249.7488,597.2168,6666.1213,3568.2634,451.6606,1515.7134,3115.428,1800.5826,2357.5526,1597.3864,2420.3028,2312.2049,1645.9593,1018.4214,2057.6829,103.7458,2311.5165,2154.5337,1517.1599,1575.6223,1461.8514,124.5291,2233.5813,1907.8433,2769.1105,173.3894,916.5358,270.4074,2195.937,531.6286,2099.0873,3159.1643,3896.6521,1411.2589,3129.9826,1217.1228,1095.3674,1359.3112,539.7483,1209.4259,1362.1948,2000.6405,1336.6583,977.4902,752.3604,883.7582,1842.2574,1038.9004,2391.7491,2054.2941,473.5526,1058.6798,1042.1674,5269.2846,769.0051,2395.0726,1654.4327,1522.4712,1814.9682,3655.7906,3498.6354,1040.9491,2736.7759,5029.8426,1304.8389,1010.3987,4114.1905,788.8729,1782.9932,810.442,2218.1394,3676.4262,1380.0868,1411.5747,2675.4908,1724.2552,3275.8915,6551.6879,1063.1802,2207.2387
METHGLYUT-PWY,108.7719,3621.273,42.7929,1052.5852,12.3502,12.3474,0,2.4824,52.1558,3796.5847,9.0502,0,8.2073,13.2701,98.9429,19.7657,5.7345,45.5484,4.9215,102.4009,8.0715,6.0631,0,12.0261,2.824,0,1.9843,171.3947,10.0346,1.6611,4021.4241,6.6926,4.1386,2.485,0,16.2938,1568.176,9.8516,0,466.7431,6921.9194,0,18.6786,20.1632,4690.6517,0,0,2.9016,2.0786,7.9095,49.5889,8.8991,60.2822,0,0,112.8145,2.0767,2.4776,11.8042,46.2522,0,3.4567,14.7317,3.6732,9.8326,0,12.3513,8.9022,21.7337,148.964,30.5576,0,0,203.0316,222.7851,241.1539,0,227.7121,0,133.5759,0,207.8699,0,8.6954,0,134.3147,0,50.5794,178.5074,204.6952,84.5254,5.8533,0.6225,542.6188,0.6199
NAD-BIOSYNTHESIS-II,1535.6356,4362.4978,3868.6109,2856.8417,6414.6555,1909.946,1486.7902,2109.4211,1185.0216,4683.3054,5646.9903,4699.0081,144.784,2887.1833,1458.2271,1493.3422,408.0335,20593.5158,4505.9308,3186.8637,2809.6772,13747.9449,5737.1698,6322.1753,3750.9793,4589.0007,1383.5903,2303.9697,1071.6121,4675.8098,4859.9484,4700.9235,4891.468,3515.5671,1792.9228,3586.5612,2909.9699,6994.5077,4114.8042,2114.8453,8388.0021,690.4383,105.3532,3205.2503,5906.0891,10503.5882,5280.7552,3764.027,4033.1965,5666.3312,4836.9958,2421.6354,238.2282,669.3977,3226.3028,3034.8347,2828.3733,4546.0114,3213.4423,1217.0771,2895.1868,2475.6131,1337.3855,2779.8441,1163.3801,2179.934,2804.1371,874.0593,5862.3352,2872.3552,3016.7223,427.3278,4308.8045,4189.3676,2130.988,6340.0809,710.4922,2987.7406,4269.601,3477.5328,2703.2577,7908.6769,6610.7098,6213.6407,2231.951,1712.2651,9393.6996,661.7087,5803.6305,6301.552,2158.3971,2648.7938,3152.11,6520.254,8111.3238
NAGLIPASYN-PWY,2703.9353,3620.6947,2680.1701,4361.6496,11857.5639,2291.0684,2677.2673,2372.6789,1419.9033,4631.9503,4970.0365,3621.5225,5169.0839,4013.1725,4397.272,4741.3787,8106.1329,9008.2861,11074.5309,2142.5131,2611.5942,9268.0898,9910.6211,10541.5516,5731.2846,5051.9108,2032.9808,3282.0776,1990.027,2915.7155,4162.894,8376.3177,6915.7157,4699.0964,2713.9007,7301.4758,7916.9459,9321.5243,5862.0209,3652.5822,7115.6951,1414.1735,3637.381,3470.4438,4886.0341,6878.1953,5398.8229,9075.0091,6981.5937,12768.8208,5591.8133,3593.4279,1286.5547,1086.0799,7687.8383,2102.8188,6141.3072,5827.1866,2024.1861,2369.9183,2864.5201,6485.1485,3904.0817,3979.3276,4968.4329,1902.3274,2048.5525,1034.1286,3882.5434,12990.5739,2014.2986,1722.8723,1602.9662,25043.0932,6849.5239,23326.1084,1611.5429,28147.6179,3641.3718,5890.1742,1983.8604,875055.9073,3432.9951,5639.7966,3107.0643,45799.3616,5079.9763,5873.257,2716.9027,21462.7262,8750.5617,6030.7033,12414.45,4661.6487,9559.3776
NONMEVIPP-PWY,9981.7279,3816.4998,11822.8753,16939.801,47023.6367,14655.4018,20572.7283,12665.8439,10622.1368,10254.4492,18330.636,25555.1862,57082.0994,26718.1543,21706.1939,15496.2193,32743.0757,58719.1828,30693.1462,11006.5858,16736.7654,42750.4968,35505.6323,47146.2225,23755.5499,28937.878,18556.9222,25200.5027,8335.9396,14465.1093,4717.6661,29619.2299,31564.0718,19663.2942,17503.3107,27816.9722,10266.7822,36113.3425,25690.3174,17101.2091,8051.2452,8024.0306,5711.4893,27333.631,7693.4182,33626.1669,32892.1317,24400.1116,25129.8415,33002.6632,27963.0893,17745.6334,10416.3083,5968.6584,26634.7456,26898.0018,26222.2634,28697.1162,22601.4304,6485.5692,17002.9941,24912.8723,13171.929,17150.3639,14141.2324,7158.8109,14127.4251,10423.987,18715.3596,32115.9387,13412.7004,8756.3231,20459.6566,243613.154,23813.1249,100824.9468,7701.2977,849529.987,17668.29,24456.5907,7450.4657,909671.1902,17433.1843,25318.5783,8847.6961,76291.0076,30713.4804,28341.7141,19149.324,73754.1106,36729.4767,21137.3524,53650.7648,18662.6338,42157.0232
NONOXIPENT-PWY,17693.2594,7644.004,19980.4589,27137.0555,72248.1423,25766.8919,31733.226,26587.7683,18953.7066,18353.4393,34256.9101,42745.8588,117152.0067,43388.57,37059.6324,38680.0299,64079.2712,132661.9132,55643.9616,21960.3181,27831.0384,69038.4154,63327.3705,73961.3773,45412.714,48509.7054,30249.5055,38467.8873,17057.2249,25419.7077,9471.4878,49407.8609,60626.2679,43326.2418,26881.1164,51255.8904,18219.8071,60771.8538,60736.3869,30622.0999,16164.0898,19543.5658,7086.2091,45703.7623,14835.2839,62504.5146,56579.6005,59703.2504,56696.3025,54128.012,54097.3681,33901.6183,15021.3963,12104.2902,48320.1877,46557.7069,53531.8943,51907.0283,38880.0289,13816.8304,33758.7372,44243.5411,25525.9278,32892.8078,24506.1692,13047.1407,23547.6796,21036.5924,31305.9729,52860.747,32842.4952,14966.4813,35696.4092,371597.5251,49831.8477,153081.447,15149.4793,1176793.715,28888.519,54061.5792,13816.5972,958340.0118,33327.8035,39715.5773,18951.5808,127465.0547,56079.8741,44172.952,46603.3771,112183.5476,67687.2679,33984.0611,88782.5048,33402.7717,69663.9232
OANTIGEN-PWY,12080.6188,655.144,9019.231,14581.1024,35221.8285,13223.061,18429.7185,15245.7102,9560.2088,7826.6231,18851.2021,22213.7914,61587.3754,24601.3441,23759.145,26943.3072,39028.1862,66226.357,29637.5157,13019.0181,14302.2997,31494.2959,29856.6231,40095.1523,25012.6569,26300.1878,14924.2571,23605.8711,9250.1568,11149.314,1897.8359,25469.8886,33531.7713,24533.6718,13937.1526,25316.5849,10408.5806,33328.6266,37735.9339,16638.5355,3304.3275,12781.1339,10722.7889,23784.4404,5035.6971,34701.2788,30134.2081,48263.0311,32073.4745,25270.8604,25942.0187,18267.7162,31028.7117,6891.3468,24507.9878,28249.6061,31734.8039,24333.0485,18494.9026,7873.3006,17348.1113,25803.5862,13965.82,17018.4731,12160.3627,7137.6853,11951.6917,11083.0359,12418.4345,146906.5629,18761.2984,6973.9098,16413.069,255690.5799,50050.704,80407.4309,8280.8845,788387.8047,11921.8085,129954.6154,6984.7009,114745.7807,16644.2621,19186.8921,11967.3195,63782.8092,27644.6585,22627.921,23777.5633,53291.8911,33802.1209,19790.711,50501.7523,17175.9942,37239.4936
ORNARGDEG-PWY,142.7891,4203.4012,52.1427,1275.2252,14.4635,14.9876,0,3.4974,82.5562,4187.9206,11.0595,0,8.1561,13.9681,143.0683,23.1259,5.8295,43.6493,5.2435,167.9434,11.6292,4.6338,0,9.8985,2.9157,0,2.3313,241.9043,14.5065,2.3091,4622.5742,5.8285,4.0818,3.4949,0,16.8795,1832.7212,8.7429,0,700.1245,7985.1045,0,26.1108,26.0972,5297.0195,0,0,4.0823,2.9142,6.9788,62.8398,9.3196,88.0777,0,0,187.5604,2.916,3.4973,17.4022,68.9546,0,3.4987,15.7042,5.2381,11.0373,0,17.3509,15.0385,30.4412,185.4198,44.0434,0,0,269.5189,325.2961,352.0163,0,331.2866,0,227.0398,0,312.6886,0,9.3061,0,192.8717,0,67.9623,222.5123,294.0775,121.7429,6.9924,0.5833,790.9526,0.5833
ORNDEG-PWY,127.449,4827.9423,46.9771,1259.0136,12.4767,12.9803,0,2.9994,73.193,4659.5552,9.4949,0,6.999,11.9875,124.3362,19.995,4.9991,37.4842,4.4993,149.0141,9.9861,3.9976,0,8.4964,2.4996,0,1.9992,216.5889,12.4846,1.9993,5295.7745,4.9981,3.4995,2.9998,0,14.4822,1834.294,7.4974,0,656.2663,9147.7527,0,22.4932,22.4446,6004.3301,0,0,3.4999,2.4999,5.9956,54.3272,7.9957,78.3826,0,0,168.2883,2.4998,2.9992,14.9636,63.6604,0,2.9995,13.4838,4.4989,9.4755,0,14.9546,12.9865,26.2301,160.8241,37.9424,0,0,246.0238,293.3721,326.5225,0,307.5827,0,202.4243,0,275.5623,0,7.9844,0,174.2042,0,60.9215,193.4602,268.9718,109.493,5.9964,0.5,727.2512,0.5
P105-PWY,767.196,5238.8008,296.7345,4159.9174,91.4854,93.5507,0,22.4187,454.7372,6886.9516,70.5819,0,52.2784,89.1586,851.0214,144.9073,37.3951,277.8678,33.6017,914.2565,74.0263,29.3717,0,63.3181,18.7219,0,14.9456,1276.8136,91.4971,14.5365,6004.5838,37.389,26.2075,22.383,0,107.8474,6306.7823,56.0678,0,3001.9167,10322.4577,0,161.2861,164.3357,7505.0467,0,0,26.2067,18.6917,44.5836,390.2734,59.564,509.5748,0,0,1012.5231,18.7259,22.4348,109.7961,367.8906,0,22.4632,99.8403,33.4667,70.4717,0,110.0971,93.3095,192.0127,1121.5479,271.8444,0,0,1522.6004,1782.5244,1902.0433,0,1819.0837,0,1250.0255,0,1806.1708,0,59.3335,0,1112.4736,0,393.1744,1364.4338,1602.1376,699.3389,44.78,3.7491,3707.4755,3.7484
P108-PWY,3726.5022,72.8847,3993.9218,5231.1923,19982.083,3804.6183,4835.7236,4463.5426,2280.7992,2671.6197,7756.4343,6125.0535,7599.535,6853.809,7102.8458,7437.8747,12109.7736,13251.8084,16951.0903,2808.4256,4511.0848,15905.8888,15794.1401,15603.0451,9705.0469,8669.7259,3749.0834,4264.4862,3275.1629,4642.0259,780.0984,15022.8917,11771.5978,7770.0952,4190.1563,11286.7414,10163.3308,15018.3891,9581.8422,5525.0123,1404.7278,2558.0526,3411.4539,6158.3048,2224.2725,12733.9866,9430.0123,14950.4917,11578.5344,19242.9441,9115.7987,6113.3041,2078.0252,1919.9947,11835.2329,3426.3868,11157.3785,10134.7184,3733.8468,3571.8176,5085.5756,11032.2628,6008.986,6872.8132,7018.299,3439.0808,3975.8894,2115.2286,6975.3984,18523.9145,3390.8554,2327.6315,2093.4016,36745.5861,11416.8127,36028.1461,3297.3249,40722.4934,6848.925,7323.7471,3087.7152,1127755.966,5717.0138,5380.0772,4632.4858,63742.3134,3565.1698,11870.6296,5099.1459,34762.5737,13910.5677,8709.8507,20081.9101,7173.9031,16918.0696
P122-PWY,9677.2383,628.025,5190.4021,6055.7095,13988.6028,9021.8362,11605.1042,13605.1112,7025.4288,4195.2274,15849.5585,13714.3202,44756.9834,13960.8887,20266.6233,48047.8141,29651.8643,62472.0925,24893.1885,11186.7046,8807.3854,11859.163,16353.0445,22335.5424,19077.7068,17485.6918,7530.6003,8730.8283,8630.1492,6382.4688,1389.458,15020.729,26323.7454,26630.737,5325.5723,15067.0194,8692.4825,22823.9839,52980.409,12011.5644,2481.7289,15454.7328,41264.2069,12537.5203,3132.7225,27976.8,21565.5104,62706.7819,38118.5767,12591.3394,17060.886,14579.7412,43859.8003,6048.1685,17056.1498,19982.1895,29687.2511,13743.6613,8860.0546,8658.8157,15386.9702,20455.2827,11159.7607,15819.4736,5185.0401,5838.6642,6045.3241,10218.5661,4718.9755,164543.7844,21446.2352,2961.0063,7683.6117,136524.1013,85281.3891,27521.2612,8183.9013,79573.2203,5628.5802,318605.1347,5906.0629,15329.4399,12793.522,8641.3771,16188.6958,73385.649,18510.2382,10146.3154,21817.7346,20305.0144,23935.987,13186.712,38227.4103,12096.1069,24846.0511
P124-PWY,12656.269,688.496,7299.8955,8087.6197,19717.7209,11958.6795,15924.3424,17085.7537,9615.1609,5000.4975,21107.1963,18950.1588,65904.6136,18840.0415,26367.1066,58960.6283,40455.0074,81387.058,32227.4894,14526.1874,12143.3106,17217.405,21853.9987,31019.3578,24756.546,23812.8144,10668.1654,12395.463,10959.3361,9008.0109,1501.8437,19949.9736,34180.1896,34354.4193,7761.7089,20195.7484,10095.4264,30304.2194,66046.5689,15830.3647,2678.1484,19084.1473,44709.2314,17636.2146,3425.1591,36501.1899,28641.5852,74945.023,47663.0399,16570.5957,22890.6446,19204.6832,49847.2328,7677.9649,22072.9371,26430.3877,37497.9451,18584.2923,12615.7568,10944.7136,19950.3413,26372.3268,14628.5386,20590.7848,6805.9988,7691.3276,8174.3441,13261.0252,6165.8137,189477.2692,25740.9296,4217.4782,12188.2466,185205.6172,102768.0843,37026.3562,10191.5234,127102.9631,7666.9968,372182.0365,7704.4813,26728.1843,16784.8195,17085.4046,20015.5236,102668.5982,25680.4956,14842.7502,27964.2016,27871.2143,32977.8241,16798.9418,49372.9268,15949.4276,33484.6689
P125-PWY,232.2239,0,35.8829,407.0267,102.877,10.4952,16.484,14.9949,35.9277,148.7723,34.4751,199.7247,1464.4336,97.1913,62.9165,80.9582,264.5248,1308.7812,37.4794,0,26.9571,110.2756,266.0924,1683.1373,281.4846,176.179,71.6282,120.6422,0,32.9274,0,528.1382,139.1141,73.4374,14.9765,125.279,0,16.4946,626.2501,52.3961,0,62.9138,59.781,20.9849,0,128.7772,97.2365,16.4987,31.492,68.7734,194.1084,83.7944,379.7585,4.499,88.0901,38.9758,127.2733,68.8513,35.9257,7.498,635.7442,80.8501,91.2032,134.6043,261.9499,68.6641,243.5422,29.9721,95.0662,3869.6821,1095.8972,125.9038,121.9093,110.9715,91.47,83.8423,0,121.4239,90.4809,443.7969,0,56.6498,464.8763,58.1462,19.4924,299.6427,313.9557,25.4639,409.0761,83.4941,32.9827,104.568,243.9102,123.8395,136.2071
P161-PWY,14855.5158,6386.8916,8275.6297,15338.2755,24206.6445,10573.3424,22815.8908,16730.7256,11485.9735,15721.6572,20402.5274,24035.1734,76721.2277,19756.1429,31627.8541,65161.5749,41071.6443,81632.2405,28730.2003,14475.9683,12690.7022,29449.6759,23471.1015,40342.1019,24488.9626,30544.3436,18948.2686,9818.0888,11055.6677,11564.502,8003.9768,19063.3429,34868.5379,36765.0619,13530.143,18828.5109,10218.5866,32018.1729,74329.1465,19171.2916,13701.2188,20393.5437,40824.7359,21691.8018,13292.7381,35797.7416,31077.3328,81668.7945,48025.8565,17736.8576,23414.7343,18587.3037,53808.5193,7456.8195,20709.6124,24366.5054,36551.7689,18227.965,12797.7293,10576.9649,25838.0377,28479.7915,13672.3694,21623.9191,8426.5153,7974.4136,12485.4743,14510.3685,11539.7541,229350.7155,26797.86,4973.717,15920.3802,129130.0575,117338.36,49280.001,10980.8249,66619.4476,9435.6953,459000.4124,7953.3156,22733.3259,17062.2696,12807.867,20787.8339,88669.8492,30153.3336,13648.881,27671.2062,30885.9914,27721.613,24141.1189,58593.1408,18455.4607,36399.2723
P162-PWY,504.021,17.9665,548.2508,961.0197,3059.3639,1116.782,836.4288,693.423,867.0622,434.1063,1667.9758,1348.873,179.6254,1274.1945,1045.1645,761.7292,504.2159,4087.7062,2116.2593,504.8098,1044.294,2217.6527,1596.7536,3753.9804,1555.2764,1455.1748,863.8612,1186.1515,538.4867,565.3748,71.5356,1819.0614,2038.3291,1001.1498,1115.2019,1855.4391,0,1748.5863,1461.1164,796.5238,119.9272,575.3239,30.3008,1532.8621,287.1644,1905.1182,1996.9238,1087.8438,1340.343,1070.4522,1363.8586,1387.8207,135.7212,342.0739,1523.8414,820.3251,1732.1152,1812.124,1311.1163,427.6212,821.0793,1308.5504,1173.6267,1108.5785,998.7718,328.4324,495.0984,918.0591,573.5777,496.7667,949.91,736.2514,1499.9246,3333.8888,838.6435,5439.4152,382.9149,6428.4109,789.8632,370.3299,249.227,6934.0644,905.8797,4691.0119,330.1526,4103.965,3382.0025,1014.4344,2284.3556,4377.0293,2967.5981,691.365,990.5235,1022.1374,1404.481
P163-PWY,63.1625,0,47.2993,287.8742,737.0849,175.2268,99.2356,103.1478,176.1489,54.3022,239.9713,426.8689,1.3195,150.7127,63.6686,99.1011,160.1321,202.0528,681.6525,86.8518,161.9721,1189.103,277.5302,592.7012,644.7304,553.0266,593.7827,97.9363,38.5251,127.8422,0,351.6913,590.9834,249.5051,157.6434,87.9909,0,882.7483,259.0842,162.1967,1.316,91.6055,1.3173,213.9242,27.752,1111.8859,406.0711,177.93,439.977,582.2515,211.4949,311.9156,2.6777,50.6079,168.781,125.6775,1056.2107,292.8355,174.4307,63.6923,299.7157,336.9439,220.5447,409.9839,169.4454,14.1305,101.3093,114.2991,170.4542,196.0146,129.8368,31.5852,60.6043,679.4671,239.7158,1995.7633,151.3133,1571.045,29.0366,300.4193,39.0804,1077.1167,93.6686,56.6466,14.5555,618.0769,52.7431,1049.2684,91.6205,2470.5568,1536.9219,113.5638,109.406,171.821,142.9889
P164-PWY,2887.0488,534.7419,7004.6244,7042.8817,13939.5847,4525.333,3493.939,4818.6721,3802.6314,6323.8285,9195.8995,7181.7046,1230.4984,5591.2394,3723.6371,3936.1851,2632.5259,18753.3748,9186.9334,5420.4368,5129.3251,20777.4377,7793.5968,14390.7477,5885.2555,8194.6744,6765.5641,4274.2992,2546.2494,9810.4431,1915.3272,9375.1283,10766.8463,9139.0023,3897.407,5469.2267,10016.4342,12384.3202,8034.5699,5472.1626,2870.7338,2347.9646,640.0854,6135.8003,2494.469,17247.3132,10036.2614,9641.9084,9238.0171,8190.6984,6227.6428,6143.1159,1778.9769,1603.1932,5549.2438,5003.5558,8143.9102,9220.335,7023.5962,2040.5568,11731.2387,6631.0002,2916.9747,6748.9008,3212.1857,3470.7889,4147.4725,1916.0875,10121.977,8373.9232,7902.1691,1764.6874,6463.8747,12539.1309,6419.8445,19675.3573,1256.7394,11464.0233,9185.9065,5316.9408,4152.2899,24387.5515,10573.9006,14862.559,3285.0065,9036.9624,14017.3175,5935.1868,8079.5208,19651.7737,9581.7042,4422.9311,7829.4755,10690.6605,13239.9233
