#OTU ID,Itg10DTT455S49,Vil101BFP07,Lyz204BFP243S92,Vil104BDTT43,Vil107BDTT79,Vil106BFP67,Lyz201BDTT207S47,Itg22FP515S18,Lyz205BFP255S52,Lyz204BDTT243S84,Vil104BFP43,Vil109BFP106,Itg02DTT407S99,Lyz208BDTT291S133,Itg24DTT527S22,Itg26DTT539S35,Lyz208BFP291S89,Vil106BDTT67,Vil102BFP19,Itg26FP539S43,Itg18FP491S94,Itg12DTT467S61,Vil107BFP79,Lyz202BDTT219S59,Itg24FP527S30,Lyz207BFP279S77,Lyz203BFP231S79,Itg18DTT491S86,Itg06DTT431S24,Lyz205BDTT255S96,Itg08FP443S44,Lyz207BDTT279S121,Vil108BFP94,Vil105BDTT55,Itg16FP479S81,Vil105BFP55,Lyz206BDTT267S108,Itg16DTT479S73,Itg12FP467S69,Vil114BFP166,Itg20DTT503S98,Itg22DTT515S10,Itg06FP431S32,Lyz206BFP267S64,Vil1013BDTT151,Itg02FP407S7,Itg04FP419S19,Vil102BDTT19,Lyz201BFP207S55,Itg08DTT443S36,Vil113BFP154,Vil103BFP31,Vil1010BDTT115,Vil108BDTT91,Vil1014BDTT163,Vil109BDTT103,Itg10FP455S57,Lyz203BDTT231S71,Itg20FP503S6,Lyz202BFP219S67,Itg04DTT419S11,Vil110BFP118,LYZdtt351,SLCFP067,SLCdtt019,SLCFP091,LYZFP327,SLCFP073,SLCFP019a,SLCFP049,LYZFP339,LYZFP315,SLCFP127,LYZdtt363,LYZdtt315,LYZFP351,LYZFP303,SLCdtt109,SLCdtt001,LYZdtt303,SLCFP001,SLCFP109,LYZdtt339,LYZdtt327,SLCdtt067,SLCdtt163,SLCdtt145,SLCFP163,SLCFP145,taxonomy
ORNDEG-PWY,205.6113,4.4994,4.4998,1449.517,5533.8596,5.9973,277.4826,0,0,446.5284,0,0,331.7705,317.842,118.2257,56.7051,4.9993,5025.3333,7.9986,2.4996,2.9996,55.9098,5.9969,41.3845,1.9995,1.4994,4.4998,41.9177,53.4621,540.6098,2.9997,1611.3998,4.9998,8469.7901,2.4997,15.9787,44.6675,328.1155,0,21.9961,230.0757,112.6741,0,1.9996,1076.7315,1.9996,0,161.9647,0,1999.4419,41.995,6.9975,6230.8675,7388.392,1032.8426,7084.9229,0,318.5109,0,0,466.8154,6.9994,147.4056,0,7.9948,0,331.5249,0,0,72.3693,168.8126,222.9507,0,233.5807,2356.2898,187.3018,205.3888,16.991,216.6804,15853.0423,73.2112,0,1195.2079,483.1478,150.6743,1.9999,1,2.9993,3.4998,
P105-PWY,1371.6423,33.5507,33.6768,3666.8599,5987.3,44.1653,1551.3168,0,0,2756.1058,0,0,1821.5256,1783.9761,799.0099,400.6613,36.7964,5474.2637,59.7745,18.71,22.4691,409.1699,44.2097,287.788,14.9681,11.1277,33.6432,308.0046,368.5483,2115.659,22.4615,4688.4371,37.3346,9066.6089,18.7131,117.9738,313.2342,2393.1743,0,158.2905,1547.9695,792.6506,0,14.9753,5216.6039,14.9492,0,925.6951,0,4926.3805,303.3032,52.1462,7160.3754,7838.1834,4147.3308,8950.0306,0,1630.8842,0,0,2341.07,52.1015,952.4538,0,58.4494,0,1926.2864,0,0,509.4909,1049.595,1509.9463,0,1406.7975,10483.2744,1191.4267,1307.6386,124.9479,938.2959,70639.8319,524.7463,0,3277.7247,2386.759,908.5067,14.9948,7.4972,22.4551,26.1892,
P108-PWY,7903.9239,18764.0717,16668.6726,3886.3082,281.9363,15679.8655,5307.3209,7633.4003,7404.4945,10614.3392,18328.1073,4112.2823,4944.0836,5639.1165,4668.0386,4994.4647,5462.2448,83.9427,17959.5999,9236.7561,13810.4544,13177.0349,16694.1852,7214.0222,5540.972,4655.222,11959.399,11436.9179,6877.2222,4785.4621,13022.5902,4877.2472,3675.697,61.5506,10104.6247,26231.413,4958.6916,115590.2167,13680.8053,2047.9467,13757.9652,12899.9351,7419.5089,8902.0911,14747.4883,4143.3044,6399.1288,2301.7795,10405.6114,4473.3615,7452.2459,14603.7955,1145.9201,326.2422,6956.9324,2269.044,15498.086,3213.8242,14571.5619,11204.6498,5583.9448,4126.7133,18605.9148,7237.2852,1866.3796,5002.0574,44993.2068,7388.4503,6443.7309,11159.9867,22772.9871,34889.0978,4270.6023,22934.1022,18941.832,31001.5211,19869.2814,4170.5499,1337.3004,223678.5323,8258.1022,7178.5748,2606.3584,24024.721,3625.8914,36310.2697,12591.06,13741.5176,11445.723,
P122-PWY,36728.818,25918.6144,68067.9184,6319.6645,395.9766,15425.6068,11044.1062,19020.1856,8756.7155,44355.3335,21487.2869,44393.5854,11501.3387,22950.3349,12927.2231,10538.4004,23501.9991,13.972,37190.624,16105.8251,22877.0836,29000.2467,15212.8336,16014.8619,10102.0981,3768.4984,66794.9218,21272.2177,44235.2322,5238.8497,25895.5477,8825.9103,69453.5337,639.2694,18009.5359,17936.3281,9457.3086,35688.5223,23093.7452,87188.7553,41845.1017,31145.2398,16618.4254,13044.6485,9821.385,8801.2944,8984.0831,9121.4701,16492.2119,10085.2954,199387.2616,18324.1112,3072.8305,2800.3209,13436.3584,3349.1114,67029.8927,29869.1533,34414.8925,17678.7842,12443.2154,56251.7558,136962.0448,9102.6328,8286.4421,19653.3195,43488.3007,25184.1181,5304.3427,4782.6406,35987.3329,98692.7852,12985.2169,16327.3545,30465.0146,22200.1397,222360.4555,23113.4413,4191.5475,76534.574,15806.106,8641.8484,10408.8193,41695.1693,18177.6542,64864.0729,64836.6338,17521.2581,32155.1691,
P124-PWY,45825.607,32186.1407,80170.553,8228.7234,440.9088,20328.6631,14523.2463,23212.0872,12132.2817,54116.7098,27308.9762,64308.0537,15143.9361,28125.7255,17764.0068,13642.1114,28731.6082,15.9506,46287.2918,19968.266,30000.7996,36929.8139,19549.2324,21624.8049,13701.8299,4891.9986,79078.1748,28054.3551,53997.7654,6983.5245,31995.5708,11384.178,89831.0729,710.7276,24132.127,23318.9866,13341.482,56886.7564,29550.675,100779.3927,50891.9704,38386.232,21264.1625,17433.5318,11152.0294,11406.6547,12068.1462,10353.537,21081.1796,12100.212,216490.7271,24147.9574,3326.1641,2930.741,16292.5523,3823.0401,81519.5855,36163.5298,42226.9397,23595.8746,15880.2949,78363.9024,168835.0563,11736.9851,10720.7913,23493.2918,59008.7381,30296.3531,7118.8898,5769.844,49987.5812,118387.1324,15831.2752,22963.2366,34781.1556,30235.6741,264323.4363,29279.122,5100.744,85629.1892,19220.7995,10940.7713,12639.7232,54615.7315,22492.4685,83046.8231,82802.8966,21551.9164,39050.9169,
P125-PWY,157.2708,40.4782,52.4872,154.3604,0,94.2396,32.9609,91.2824,22.4763,46.4854,913.6213,257.4078,40.4366,272.0183,62.8511,46.4165,128.7817,0,19.4961,73.3535,68.8581,190.0206,49.4135,32.9734,89.6211,26.9154,32.9948,77.8656,59.9742,11.9875,400.8162,43.4147,1493.8003,0,283.1561,170.0989,73.1922,154.2621,148.0442,38.9786,118.3876,83.9015,47.9558,152.1192,8.9929,13.488,700.9913,0,41.9618,77.7835,85.4102,837.254,20.9311,0,95.7016,74.1999,215.7338,68.9533,127.3391,56.929,236.8861,339.822,349.2355,98.586,22.4804,1065.143,145.3114,5.9996,263.8723,118.6635,22.4951,208.3641,17.9914,40.3792,53.9766,122.652,412.2591,249.5407,105.549,113.8134,537.6694,349.7307,67.3766,169.2637,26.9869,47.9888,68.9767,53.9263,71.9397,
P161-PWY,48427.301,27757.9928,86014.6859,10281.369,7131.216,20333.3204,14085.531,23905.9461,19640.6116,57439.0181,24374.3966,79526.5622,20325.1488,32478.7631,20265.2192,15928.3911,31155.8861,6136.0027,48447.7538,20700.8748,23199.2712,35186.4332,14733.1906,19329.1363,18107.5292,4781.7913,88458.7325,23905.2707,60311.631,12859.5688,28974.7847,15779.3424,94685.6895,10533.31,20676.2816,27012.9896,22106.0894,36887.8518,28037.818,104215.2512,51661.297,40906.2916,21281.0292,24822.8702,12230.186,15061.1887,18397.5578,13195.3341,18693.8124,15734.2968,200108.7274,28156.4784,10971.1569,10569.6625,19320.4375,16109.4818,84176.4351,40753.0983,41246.2602,22022.6436,18150.8401,79741.6957,184725.236,11339.3371,10730.5443,23857.2906,68121.0634,32103.7645,7228.5624,9432.5066,37574.7123,123094.7184,16234.1632,25164.6893,52692.808,23842.3203,310667.7458,34291.5486,5413.1323,333747.7005,17638.349,14092.7187,17361.1391,57703.5647,24637.119,89388.4079,88383.5862,21272.9436,38321.34,
P162-PWY,1514.0679,669.9024,453.0223,582.1025,0,841.5292,935.3925,297.8637,460.8947,1414.8624,1645.1927,277.8286,864.4072,684.706,1474.2266,416.8297,259.669,0,624.6507,309.5815,894.566,1256.3427,349.212,1799.7768,881.9609,132.4279,371.5185,1207.5823,313.8502,480.678,627.6018,770.7932,1004.6386,0,516.3741,1500.9336,1558.9816,1028.3132,1176.2261,35.8893,946.2487,459.8796,500.2701,1378.822,112.4701,190.1356,1364.9842,123.9104,725.6989,451.6188,0,1098.4297,29.9006,1.8579,673.884,115.4979,1147.5263,889.4679,804.7797,2205.0213,881.6939,745.412,1452.4399,143.003,187.4332,768.591,667.6562,331.8478,575.988,402.8863,1163.4309,1974.065,131.0037,4713.116,1533.9895,1267.7506,1208.6449,663.6192,197.5245,11826.8373,534.8205,237.5403,600.752,540.4035,383.3775,1988.645,2090.8104,687.5509,544.7063,
P163-PWY,345.1534,357.7839,125.9156,58.4893,0,703.4989,188.7469,88.0588,162.8333,133.213,341.8346,8.8498,42.4633,128.9667,198.9176,71.2056,234.7865,0,492.8203,143.8896,140.5549,301.3687,175.2346,206.4301,229.744,49.7945,115.6192,131.4595,85.8968,163.7724,229.8391,161.8132,23.235,0,104.7591,836.1173,831.4555,46.5746,445.5336,0,596.3115,100.1322,151.4517,687.1603,1.3198,46.2897,302.121,29.2734,420.2066,38.3279,0,202.176,0.8797,0.8658,99.8979,1.7863,422.3392,46.2516,573.78,486.8951,98.9412,70.2443,958.6399,10.6415,97.767,126.1259,1691.9585,226.037,89.1454,123.8211,1628.8935,3152.1183,15.8314,882.5767,316.0153,2134.3814,1058.133,23.9211,7.9569,3986.1788,136.983,105.3597,94.5244,1087.8225,43.3571,124.7315,111.4151,124.0199,53.9206,
P164-PWY,8022.2155,2899.657,3930.173,6307.91,3996.3974,8370.9272,6734.2139,2128.7673,2261.624,9231.8127,7380.9946,1403.5396,7167.322,5842.4283,9581.1109,3026.4052,2130.374,110.6763,4460.431,1905.7005,3853.7073,6779.2877,2284.7629,10577.7562,4273.2199,2205.3712,3373.883,5380.9062,2041.4368,4469.1502,2925.0848,9591.0779,18501.3887,525.8438,2143.9269,9121.4928,9407.7248,4660.8162,7027.0686,1786.1137,7758.6591,3339.8541,4198.8849,7389.7286,26863.7858,866.2334,11188.7903,1145.2959,5824.4592,9774.429,7892.5972,5261.9024,2671.3084,434.2191,18756.1439,5521.9975,4936.4,4548.3742,8900.1609,10999.1078,9403.4708,4008.5428,8666.4875,1990.2335,946.2351,6474.657,5029.9125,1168.7795,2751.6342,7736.5448,6269.8825,9571.8533,1735.2559,14892.7089,45320.7851,9416.5758,6556.6418,3499.6798,1314.8863,1110550.122,5215.4855,2620.0178,4669.7508,4268.7843,2966.812,15074.8654,14918.5033,4216.625,5568.5125,
P23-PWY,7420.8538,3543.0131,7553.1186,4023.1388,2179.3172,6455.9139,2299.9451,3261.7405,941.3012,8112.9294,10987.4781,7984.2819,4920.2527,5053.8716,4509.8248,2936.6261,1459.77,15.9315,9620.5118,3952.8519,8281.526,8476.5505,10443.8605,1709.695,3715.9234,599.1295,5279.3602,7680.3885,2662.0222,2355.4594,5263.6003,5293.6551,8303.4922,91.9662,5995.776,7078.7969,2682.4615,37936.0711,7707.8262,4129.0527,7208.6706,5759.7467,1989.1841,5187.3131,7889.7651,2272.8272,2285.2538,1941.2769,2259.3768,6092.7895,5059.1383,4885.3134,4691.8366,1173.746,7203.2707,7872.6302,8725.8276,4940.0212,6100.4201,2606.885,4577.2152,7173.9732,4217.1086,3747.7531,1542.2185,5931.9251,5075.9768,2406.5,3907.2621,3676.0648,3525.2327,8328.0143,2368.693,3369.3306,8593.9826,6152.2591,5312.3167,4830.4735,1717.5281,77365.6145,5494.3313,4580.427,3777.443,3760.3589,3631.8804,13706.7276,20068.6309,7812.9218,4372.1518,
P341-PWY,3686.1621,798.6431,845.9702,1383.9392,0,2680.452,2417.3572,301.6995,950.3901,2418.8577,1845.1932,159.8116,965.3733,886.2586,1539.0008,488.0111,739.3542,0,647.8678,328.707,1251.0085,1927.5383,1055.8522,3487.8493,1346.2979,480.8772,802.267,1805.6041,652.3547,633.1318,953.3061,1022.4869,2686.7877,27.4483,551.9313,4526.7309,1966.2671,888.6815,2145.9034,314.3906,1807.1985,507.689,2026.7469,1916.0746,88.5797,245.2891,5703.8793,176.2547,2110.4027,443.1511,2.5,408.6373,0,17.479,951.6288,28.7154,1630.6857,1281.3689,2762.6558,3602.7512,2849.0073,711.6199,2103.7992,390.0735,90.8134,1754.6045,660.0002,740.2251,495.0331,2144.5143,1378.0379,4669.0992,634.4652,3907.4165,1963.1159,2062.7662,2455.0051,1516.1407,74.4689,6881.8004,356.9583,991.9511,414.5465,443.2442,744.2783,3978.0063,4850.2943,1137.3383,546.6078,
P4-PWY,11757.3748,5064.6287,5438.3385,6275.0695,4831.4006,10107.4219,6682.9614,3750.9409,3192.2213,12727.1571,8981.3741,24154.5053,7258.6344,7687.3911,10684.8055,4567.8789,4298.5438,4295.465,3458.8246,4099.3781,10009.2672,9830.5187,14540.3468,8130.1722,6380.4851,1972.3622,3899.4787,9269.0489,3776.2255,5320.168,8411.8037,9246.2242,22813.5407,7238.5262,8833.0331,10219.5098,12912.665,15599.6115,11620.1645,9582.4866,8792.4531,6043.3546,3813.3555,10120.0729,5733.8069,2326.6756,5925.7068,6259.3039,6653.1313,7575.5839,2635.6796,4596.1124,6879.3764,6830.179,9344.6071,9806.6694,12709.8929,6802.5286,7152.5575,11620.1494,6520.5269,13079.2953,20919.148,1849.6383,1643.7545,4129.9942,10106.4037,3147.4728,3806.4279,4163.032,15015.0378,34185.1194,3185.4188,19708.6863,31400.4965,17078.1578,26236.1335,6199.0782,2327.3765,110335.7844,6252.5847,5315.4546,9140.8445,8971.5794,4189.984,42699.9464,24432.5441,5243.1648,3264.2902,
P42-PWY,15187.7428,29264.2106,30076.6252,6600.4507,2186.5299,23950.061,9907.7637,12917.1471,12049.9428,22278.447,27628.9907,14769.2163,7857.4125,10612.1353,8072.2544,8283.8587,10405.6623,124.4501,30450.4231,14363.7968,20716.624,22382.7551,23623.2744,14099.9928,9372.6863,7321.8299,22017.0254,18650.5959,13941.1114,7721.5509,20152.1357,9186.1119,17011.8054,752.6975,17417.7719,37564.8881,8351.8206,158054.4146,21585.9359,6909.4123,25515.1003,22538.612,13595.5603,14705.2632,22060.5755,7067.1956,11389.8229,4786.9638,18226.6172,8417.3514,14100.5545,24460.5382,4824.0933,3077.4389,11114.0074,8537.4729,28824.742,6536.2417,25516.4279,20600.4039,10060.8597,11349.7573,32815.5764,9754.5116,3925.8864,9377.9343,70911.1106,12954.3949,10065.066,15281.0781,40415.4825,60149.612,7948.9042,33747.72,33798.4562,44740.1755,41462.3406,7742.5704,2722.6386,304573.5538,14071.9515,11067.7525,5829.045,41517.9551,6670.465,65540.1157,30295.8173,19958.5473,19999.1449,
P441-PWY,38188.7048,24025.4042,54304.9458,10564.2209,6117.802,19271.2281,14114.2559,16148.1598,15544.4967,42038.1705,26367.7933,36738.6174,17732.2409,25589.9311,19935.0098,12115.9458,7687.1221,5330.2256,33357.0207,13820.7024,26777.7288,31916.8657,17834.7447,22482.2864,15326.702,3973.0699,37677.0586,28437.0001,17382.418,11060.3433,23646.011,13334.1991,77528.5569,9157.9671,14371.044,31922.4937,18381.0281,38054.2103,23042.3062,58001.0125,35066.8064,25968.9803,11422.1281,20830.5246,12050.2067,9565.705,15026.0479,11351.4006,12171.2678,12412.0122,16779.684,23796.9814,9125.7669,9214.4889,17583.3321,12455.7857,48400.7407,29461.0908,30108.1253,20824.8568,16575.8054,60793.5448,48580.1586,6772.6439,5397.605,19446.6699,35032.7149,6096.8433,10213.9615,10340.8983,28145.5625,106135.621,5911.8489,42277.6252,43996.8923,23276.5615,120195.771,20325.6435,3844.3868,196369.8143,10732.8146,8405.7225,15885.0997,32788.2603,12217.4541,71718.0487,55260.9511,23940.4891,10319.6366,
P461-PWY,20134.707,11584.6027,28012.4103,5856.2296,6916.4083,8111.117,6181.0991,7999.0895,4747.0283,20812.4623,13249.9702,14946.5069,8795.6685,14366.0828,8960.6893,5231.4689,2692.6252,6129.0033,15609.3615,5956.6427,13473.5155,16036.1951,7770.3112,11045.5886,5438.3667,1539.9649,15999.6862,14812.1656,6405.9139,3617.0682,11455.2663,6322.2405,42931.8988,10359.3439,5837.4837,9639.4485,5491.1485,17015.3142,10056.5274,34665.2981,17052.0554,12251.2148,4617.8285,8223.041,5146.368,4478.5969,6360.8224,6605.8926,4806.2926,6515.1005,5424.2519,10722.1307,8682.9049,9749.5281,8895.3358,10812.4782,22997.6769,15906.3197,14380.2362,9591.9331,8595.7752,31174.5991,17238.7537,2773.5757,2222.9176,10914.5588,12500.9437,2032.4531,2059.9931,2464.6955,11070.2262,62090.6346,2239.953,5835.8269,24469.3158,8530.9604,50031.0748,9120.3505,1877.0273,45169.132,4414.1892,2817.4598,9634.6156,13420.336,5232.3396,34745.9439,25095.9555,8893.5606,3633.0592,
P562-PWY,1098.769,383.6519,539.1609,419.3044,7.4858,172.6668,1387.4367,295.4162,174.7806,1514.3528,951.2921,128.2189,525.6341,774.2525,2547.6561,406.2839,118.9363,7.9091,553.8282,113.4949,251.5605,891.8105,118.7549,2704.9607,213.8591,441.2058,344.8755,671.7186,229.7163,299.2241,72.6759,797.2422,6302.3283,10.1689,170.3117,563.9125,1063.93,292.0633,871.6521,20.7312,2028.7361,501.4118,818.0398,694.7714,396.7801,113.374,696.7347,392.8331,1222.3317,394.4865,210.6936,738.4161,9.1684,8.8797,459.7442,15.8847,311.2383,699.6911,2288.5101,2981.149,658.0842,390.5918,189.3796,527.7684,138.7896,1009.9308,354.7007,210.7095,201.3656,1731.7389,541.8206,1183.6768,496.4286,1332.8827,11508.6878,332.4297,836.6056,230.3103,277.5726,4230.6773,1202.7548,133.5717,1180.862,352.0867,682.2136,2616.7014,4087.7201,11.0143,1539.7021,
PANTO-PWY,9996.5855,15408.816,18605.0788,4804.201,4258.7935,14236.4131,6543.4137,7176.9128,7429.3757,15333.4056,16483.9574,5142.618,6226.2608,6504.003,8448.9533,5066.0521,4674.5878,3842.6208,15917.6785,7919.6105,13494.7623,12347.9755,13770.4917,11334.8231,7053.5435,3736.51,12171.3138,11547.0616,6303.296,5194.9148,12063.2274,6930.8328,9554.5878,6415.2472,9983.6066,22398.2309,8324.4947,97319.64,12642.3632,2494.3347,12949.1066,11554.5294,6741.4675,10198.4943,12462.1233,4068.4058,8329.3563,5412.0172,9111.1469,6040.2436,7134.1837,13591.626,5615.3058,5741.8953,7708.4553,7162.668,15425.3644,5461.5625,13143.4866,13683.2999,6728.2945,6699.5015,18423.0259,6327.1878,2135.2919,7395.2966,34603.4389,5700.8918,6743.6496,9384.5942,22868.2079,36017.1518,3629.0297,30331.4611,26026.6658,26459.1554,24353.0911,5123.8371,1862.8133,214886.861,8451.2791,6750.9736,6048.7719,19388.2405,4042.3505,44480.4237,18254.5532,13734.6701,9415.7369,
PANTOSYN-PWY,13685.3851,18780.0859,25173.4637,6000.2813,4289.2616,17647.5111,8422.3791,9616.1324,9737.4668,20403.2893,20494.2342,7503.2404,8103.7569,8996.6357,10834.8943,6718.7368,6934.0855,3853.9521,21593.0108,10492.7591,17315.1894,16527.3998,16872.1339,14296.7479,9128.8391,4639.8711,17570.3374,14968.8627,9583.8458,6672.2443,15532.3101,8348.0185,13735.3246,6483.3793,13044.2888,27559.6427,10742.4434,104351.0597,16465.9858,3571.361,17710.2624,15744.4828,9166.7824,13133.177,13526.9566,5548.1593,10079.7356,6771.0317,11951.1564,7193.519,11310.3493,17345.7776,6119.5491,6075.8305,9345.154,8283.1525,21487.7272,7565.8434,17448.6602,17029.6074,8514.0985,9669.8457,27138.6662,7957.9683,2999.8644,9032.7118,45651.5684,8304.9321,8288.4366,11055.4318,29720.1218,46415.9426,5158.7597,36206.9475,30351.98,32323.8333,35684.1209,7174.0051,2412.7721,251018.2756,10702.4417,8616.6977,7516.9164,25745.5215,5692.3835,54790.7775,25208.4664,16527.5836,13240.6864,
PENTOSE-P-PWY,23277.0183,14623.4975,19811.521,7844.9723,5849.994,18745.7609,12342.5024,8381.1919,7171.7269,26227.6271,21610.5482,13385.0792,10886.7591,12624.1924,14165.5123,8353.9232,9155.1465,5070.654,17671.5186,8466.2111,15441.5663,19350.3894,16298.1028,17885.1539,10502.4801,4721.9521,14321.3422,16697.286,9942.3073,6242.5452,12264.5383,11261.52,38894.5536,8652.0498,13638.8242,24753.4538,11235.3384,42932.0217,18014.1526,6903.7776,19014.1692,14065.1496,11806.1539,15329.9536,18227.7596,5067.7816,11752.0684,10342.056,14686.1521,10221.9661,7268.6149,15608.1517,7926.0827,8278.2248,13634.3946,10026.4657,19071.7583,13016.8974,19639.1449,20043.7139,12555.4765,15411.79,43568.5436,5627.1789,3886.063,17169.2835,30128.337,8866.1213,8238.3605,12087.2975,25592.9517,45011.1865,6168.8422,22196.3125,46613.192,28474.4009,39870.2577,14217.9073,3608.6537,471851.3784,14472.7313,10055.7617,11928.0276,21215.5272,8178.8404,62159.9281,45703.9191,15583.9747,12716.2696,
PEPTIDOGLYCANSYN-PWY,49429.998,37384.641,78426.8349,12349.7695,4614.6386,31982.1574,23941.861,25343.8913,23957.7329,58380.9687,37536.728,81103.2319,22309.9553,30220.9564,28331.9694,18384.2274,28362.8237,4066.5891,52898.9589,23948.4715,38747.301,43564.942,28775.7218,33613.5889,22169.9371,8262.6301,75606.7383,36811.3748,52274.5927,14975.6885,35484.4822,17872.7797,93324.4732,6964.8912,30669.8828,48589.0873,28456.7324,122024.8465,38351.0888,95666.9383,52348.2953,42066.9576,24037.5232,30266.7948,17549.2346,15538.7949,21707.407,12352.7946,28088.1443,14816.5293,194227.8413,35903.0144,7706.6304,7158.5743,20820.7619,11749.2269,80634.7982,37247.5462,45615.4348,35806.7487,20398.3205,86569.7579,165636.2076,13472.1627,11038.1289,26108.7218,101215.2006,30260.9812,16351.8515,17534.8976,67510.5042,125570.636,15887.4163,67359.9177,55190.1099,56534.2451,251230.8232,32767.0814,5646.9542,456387.1628,22630.283,18155.4267,16279.6136,67197.097,22515.2536,104633.3715,91010.6129,29280.5904,39088.5075,
PHOSLIPSYN-PWY,50481.8966,33465.931,77236.5223,12850.8289,5926.9529,30662.9767,25909.7809,24734.0739,23061.5524,59418.2958,36166.1183,77314.991,23384.6293,30585.724,30770.3555,18697.5956,27922.7342,5277.9234,51010.4489,23034.656,35687.0166,42845.0022,24698.6329,36092.022,23053.1687,7556.2195,74720.0391,35312.4839,51187.6266,14959.8236,33184.2244,18628.0867,94594.0532,8941.4533,28088.5336,46690.4394,30992.0951,129702.1124,37492.2749,102768.7611,51809.315,41081.9354,23538.087,31423.7961,17569.5522,15604.7935,22960.6771,12338.7358,28390.7991,15200.5677,224691.1276,33964.561,9091.9768,8828.893,21303.1015,13061.6239,79257.2846,38355.7552,45251.3124,37576.2989,20966.4131,80934.1477,165481.2923,14364.5488,10703.9356,27048.7478,88738.6475,29818.2334,14840.4551,17032.3502,59427.0329,124022.5326,15590.8626,72645.8852,57295.5073,54365.8708,250663.4933,33872.1425,5725.7895,499509.3805,22784.1782,18435.8457,16975.7982,62024.7188,23020.2018,106017.6957,93977.3036,27461.0156,38787.5022,
POLYAMINSYN3-PWY,1860.3816,1000.4811,906.9412,1096.7227,46.4886,1467.8598,1488.8889,615.852,564.1255,1800.5071,2492.2132,420.5906,1496.0565,1162.7727,2055.4171,804.2046,882.8855,154.4106,764.6908,800.4912,1226.4643,1673.8648,757.912,1795.7159,1145.6971,463.7776,828.5504,1339.6486,485.8876,808.67,1509.5804,2360.7191,847.5689,54.3686,901.6041,2776.4381,2273.0475,1380.4618,1996.1169,184.8503,1107.141,954.497,692.2481,1547.3223,2772.6949,506.3296,1613.9514,248.397,1661.1304,2075.2166,911.4165,1370.5445,341.8882,147.8127,2331.1889,504.6961,1860.8095,856.2565,1239.3028,2326.916,1655.0004,946.3905,3032.3706,531.8049,214.0185,987.8278,1024.6226,416.1202,617.9617,1145.9754,2060.4956,3452.9085,366.1009,4581.5851,7168.6648,3433.4059,3011.5871,929.8167,509.5632,29091.5099,1449.9681,1045.486,1417.6845,922.642,694.7816,4135.1052,3020.8453,999.5959,1262.7908,
POLYAMSYN-PWY,1993.2187,1066.729,975.2501,2268.6293,5327.3759,2369.6268,1798.0536,663.0672,598.3295,2031.5698,2636.4257,433.9813,1608.79,1243.4256,2237.5759,868.6731,961.5268,4797.8065,1005.0925,989.8817,1299.0265,1779.4967,1332.4719,2538.4186,1222.7757,520.7308,887.2777,1473.318,626.3734,1058.7555,1643.1073,2812.3004,885.8477,7990.9981,1428.28,3582.4063,2328.549,1514.8097,2074.8719,185.4042,1607.2146,1018.0658,943.2091,1616.5586,4570.0581,632.0827,2265.8218,279.8369,1825.9931,2874.7167,885.8243,1970.5243,5853.2007,6849.4489,3062.1509,6820.1836,1982.9719,1279.6152,1750.3938,2710.5814,1758.9281,1004.8215,3239.5756,513.4683,297.8417,2847.6696,1316.7885,417.2321,1195.6427,1349.4621,2203.3967,3542.8151,408.037,4725.045,6936.4715,4266.479,3107.4996,1207.1392,536.0936,80597.0402,1992.4325,1510.6526,1910.6148,1253.9017,711.2973,4374.4887,3216.6797,1580.6208,1279.2714,
POLYISOPRENSYN-PWY,39257.3885,27252.348,67024.0311,8115.1164,4347.6657,18802.9391,13020.3385,19736.5067,11095.5335,46514.5113,24137.8494,54798.9423,14082.7126,24573.8116,15732.2058,12193.2845,23681.9671,3849.4992,39780.5921,17300.2472,25489.3023,31816.8505,19730.1282,18535.9382,12108.1436,5494.0016,65586.3712,24318.147,44624.754,7171.2089,26910.3684,11029.6469,76868.5832,6569.9714,19945.4083,30370.1879,10792.4199,108713.0346,25370.3247,84880.7495,42770.8374,32665.3033,17860.0721,15300.7916,13764.5035,10301.7343,10580.9944,10434.0581,17963.9451,11383.4551,181902.973,21529.1918,6735.4734,6585.6627,14555.3523,9300.0804,67428.8825,31026.2466,35560.5345,20197.4957,14259.0457,65791.203,139802.8994,10123.349,8753.8933,20389.9228,58266.489,25091.5618,8854.1217,12302.7079,41796.2642,100593.1469,13012.0751,29404.8142,42020.9006,33728.3693,219809.5938,25424.8858,4465.2138,279518.3313,16517.1856,9675.1564,12606.0911,47259.416,18726.1259,75647.6933,71787.3554,19653.1673,32304.4454,
