"KO"	"BioGeo.TL1a_FP_127"	"BioGeo.TL1a_FP_131"	"BioGeo.TL1a_FP_193.Rep1_S85"	"BioGeo.TL1a_FP_197.REP1_S10"	"BioGeo.TL1a_FP_229.REP1_S12"	"BioGeo.TL1a_FP_233.REP1_S13"	"BioGeo.TL1A_FP_625.REP1_S16"	"BioGeo.TL1A_FP_629"	"BioGeo.TL1A_FP_673.REP1_S20"	"BioGeo.TL1A_FP_677.REP1_S21"	"BioGeo.TL1a_FP_85"	"BioGeo.TL1a_FP_101.REP1_S6"	"BioGeo.TL1a_FP_139"	"BioGeo.TL1a_FP_143"	"BioGeo.TL1a_FP_205"	"BioGeo.TL1a_FP_209.REP1_S11"	"BioGeo.TL1a_FP_241"	"BioGeo.TL1a_FP_61"	"BioGeo.TL1A_FP_637"	"BioGeo.TL1A_FP_641"	"BioGeo.TL1a_FP_65"	"BioGeo.TL1A_FP_685.REP1_S22"	"BioGeo.TL1A_FP_689.Rep1_S104"	"BioGeo.TL1a_FP_73.REP1_S3"	"BioGeo.TL1a_FP_77.REP1_S4"	"BioGeo.Lyz2.01B.FP207.S55"	"BioGeo.Lyz2.01B.FP211.S59"	"BioGeo.Lyz2.02B.FP219.S67"	"BioGeo.Lyz2.02B.FP223.S71"	"BioGeo.Lyz2.03B.FP231.S79"	"BioGeo.Lyz2.03B.FP235.S83"	"BioGeo.Lyz2.04B.FP243.S92"	"BioGeo.Lyz2.04B.FP247.S44"	"BioGeo.Lyz2.05B.FP255.S52"	"BioGeo.Lyz2.05B.FP259.S56"	"BioGeo.Lyz2.06B.FP267.S64"	"BioGeo.Lyz2.06B.FP271.S69"	"BioGeo.Lyz2.07B.FP279.S77"	"BioGeo.Lyz2.07B.FP283.S81"	"BioGeo.Lyz2.08B.FP291.S89"	"BioGeo.Lyz2.08B.FP295.S93"	"BioGeo.LYZFP303"	"BioGeo.LYZFP307"	"BioGeo.LYZFP315"	"BioGeo.LYZFP319"	"BioGeo.LYZFP327.Rep1_S105"	"BioGeo.LYZFP339"	"BioGeo.LYZFP351.Rep1_S106"	"BioGeo.LYZFP355"	"BioGeo.Mouse10A_FP109"	"BioGeo.Mouse10A_FP113"	"BioGeo.Mouse1A_FP01"	"BioGeo.Mouse1A_FP05"	"BioGeo.Mouse2A_FP07"	"BioGeo.Mouse2A_FP11.REP1_S55"	"BioGeo.Mouse3A_FP13"	"BioGeo.Mouse3A_FP17"	"BioGeo.Mouse4A_FP23.Rep1_S92"	"BioGeo.Mouse5A_FP25"	"BioGeo.Mouse5A_FP29.REP1_S53"	"BioGeo.Mouse6A_FP31"	"BioGeo.Mouse6A_FP35.Rep1_S93"	"BioGeo.Mouse7A_FP37"	"BioGeo.Mouse7A_FP41.REP1_S54"	"BioGeo.Mouse8A_FP85"	"BioGeo.Mouse8A_FP89"	"BioGeo.Mouse9A_FP101"	"BioGeo.Mouse9A_FP97"	"BioGeo.SLCFP001"	"BioGeo.SLCFP005.REP1_S24"	"BioGeo.SLCFP019a"	"BioGeo.SLCFP023.REP1_S26"	"BioGeo.SLCFP071.REP1_S27"	"BioGeo.SLCFP077"	"BioGeo.SLCFP091.REP1_S29"	"BioGeo.SLCFP095"	"BioGeo.SLCFP109"	"BioGeo.SLCFP113"	"BioGeo.SLCFP127"	"BioGeo.SLCFP131.REP1_S33"	"BioGeo.Vil1.01B.FP07.Rep1_S107"	"BioGeo.Vil1.01B.FP11"	"BioGeo.Vil1.02B.FP19"	"BioGeo.Vil1.02B.FP23"	"BioGeo.Vil1.03B.FP31"	"BioGeo.Vil1.03B.FP35.REP1_S38"	"BioGeo.Vil1.04B.FP43.Rep1_S88"	"BioGeo.Vil1.04B.FP47"	"BioGeo.Vil1.05B.FP55"	"BioGeo.Vil1.05B.FP59.REP1_S37"	"BioGeo.Vil1.06B.FP67"	"BioGeo.Vil1.06B.FP71"	"BioGeo.Vil1.07B.FP79"	"BioGeo.Vil1.07B.FP83"	"BioGeo.Vil1.08B.FP92.REP1_S41"	"BioGeo.Vil1.08B.FP94.REP1_S42"	"BioGeo.Vil1.09B.FP104"	"BioGeo.Vil1.09B.FP106"	"BioGeo.Vil1.10B.FP116.REP1_S44"	"BioGeo.Vil1.10B.FP118.REP1_S45"	"BioGeo.Vil1.13B.FP152"	"BioGeo.Vil1.13B.FP154.REP1_S47"	"BioGeo.Vil1.14B.FP164"	"BioGeo.Vil1.14B.FP166"
"K03924"	"K03924"	1594.5002810368	0	2368.6699720144	37.6900300734	1124.8375655066	162.2766369972	263.1094501199	793.9118594034	341.0627276684	74.7247669699	383.3011849064	0	1158.0895377223	10.4460117254	622.9936699386	1767.5097901281	4864.5395832251	2117.4212387103	1171.2967856789	301.9865130312	795.7803403958	2578.820361745	60.7053634578	10303.3841220866	430.1376141879	214.3530755514	44.3404911181	104.1006073297	90.7161140021	292.7793739312	101.3290518143	151.4736748224	0	366.923116277	309.6175064069	267.4138451171	89.7131592924	245.7435200914	25.122453813	141.9156513905	20.7010154279	294.2585559299	538.5454032854	350.8494148852	84.2956123643	189.7563012338	199.5522330321	120.5340754381	240.7377324676	417.452383589	1191.155549736	8.0705822571	162.5275590692	946.6186293485	4178.1345205608	387.3108910369	22.1886822568	429.795538865	1809.0921562947	6963.0860758384	256.6950062827	53.192600723	1277.100727649	170.4839445498	189.812871454	2125.3055574548	248.9625808363	333.4692803066	836.1445415551	1300.4885603859	1175.5255390799	1073.487229928	305.7676755967	147.9583608875	404.8315514261	34.1159251249	0	0	43.770379595	799.766766489	1040.4581315211	68.9987330687	240.665037951	189.7934756477	183.951834606	373.0234186272	2184.2093106943	80.240636584	607.9787073657	79.8460309648	263.3886460713	0	358.8214049898	246.3856781356	275.0939656176	0	374.4655807082	903.9891262733	513.4871199047	152.6740354153	84.2134430318	1106.7363323155	689.2155155978	494.1862727823
"K03925"	"K03925"	621.670754039	642.6808693798	1356.5352807825	299.6888463637	733.774056028	3128.1055972035	21.8584887457	37.7327513454	33.8045673622	37.3329668434	192.219470232	0	206.4417609663	0	366.1703132532	647.3717201799	987.930273403	2931.3584653763	1232.8354307829	28.2831666986	1426.5566303959	1685.0936741349	0	9864.9882694131	771.5325437857	92.1750066743	0	52.9804381499	0	716.3631261677	861.2610854755	607.227883342	46.087834427	173.5171578441	482.8588854457	173.962317532	600.2290880235	49.139067201	26.980589372	62.9771985374	0	217.897616346	710.1908851576	932.2214551779	1611.622888435	36.8610800081	23.8028138481	16.2667848711	7.1428571429	137.2847316402	216.1044286208	0	116.172209711	278.7427362314	894.6611061929	323.741178037	544.8718786864	2599.4656951083	284.8115906462	3993.278962947	179.9503623928	21.1643480195	229.3323964161	53.262941837	102.6368938605	45.9653854904	0	47.9647512282	322.030319965	3315.3686552455	305.8015198278	1560.9203386768	177.1674801066	671.1628872596	314.5676960464	1642.4469366975	0	0	5.4422675374	191.7818793667	124.567956285	7.1428571429	279.6849456314	467.674368223	42.8299739373	8218.5127521198	651.2709960839	136.0445118645	26.6538465409	307.140233138	135.8581496336	0	50.1088020303	8.1300813008	225.5329281686	17.6536753013	112.8656221722	115.6095211496	261.7981513131	210.1956663639	236.957201563	4198.4982423876	173.260691884	1548.3188588804
"K03926"	"K03926"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.2051425116	35.6057554601	24.3558216615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42.0960457938	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88.3830177941	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50.6169077378	0	0
"K03928"	"K03928"	0	0	0	0	0	0	0	0	0	31.1457783834	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"K03929"	"K03929"	0	0	91.9469369136	0	204.6489901276	101.1767826939	70.0699967302	818.3948415713	29.9806958651	0	93.0937686397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.0582424419	0	32.8216126619	0	0	0	0	0	37.1444449133	71.3138591454	61.6960358258	5.9304046695	26.6978634376	0	12.3681943665	0	286.5550013338	463.4813583635	47.9112127796	6.9093151874	0	23.3940770994	29.4116683423	0	32.1372652499	0	0	0	113.425032058	968.6805241407	58.118235608	0	130.9940725514	229.4092934524	2894.1139784486	29.8389476773	23.8115409718	165.2458242701	27.1828569581	15.6611733867	368.7599543	57.94323237	26.5777093968	83.7188310654	772.1222377516	46.776899762	439.4817662973	23.0461898412	0	8.8809946714	0	0	0	0	119.3166500237	0	0	0	7.1047957371	0	0	12.9844315555	18.925078654	393.2052930016	0	70.8731442022	0	138.5626097203	188.9198342921	44.0389414997	0	31.6700550621	1117.7604202005	36.5802550661	144.7047485813	0	0	151.0245836838	472.7425350867
"K03931"	"K03931"	0	0	39.2132102661	0	0	0	0	0	0	0	26.400311772	0	740.7823137995	9.9524140779	3.404679125	146.4163907923	3368.9623687299	978.6763286022	485.3783427557	86.0167814585	277.136759059	958.3193545984	0	7235.7442778644	195.7015030795	9.8474428157	0	0	0	6.2172558604	0	7.2876000566	0	0	0	22.3306172505	0	6.2467464862	0	0	0	0	0	0	0	0	0	0	0	46.2032461447	0	0	0	33.6823716054	0	26.9963157167	0	0	105.6696662415	276.3827030298	46.2823746803	0	22.7795307722	0	25.4848817963	0	0	15.5817826767	0	9.0385792234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48.1361687191	20.6667404101	0	0	0	8.3193306979	0	0	0	17.974742968	0	20.1950885983	0	26.35345778	0	96.6001678946	2260.7991283918	0	0
"K03932"	"K03932"	0	0	27.4755124189	0	14.035094631	0	0	0	60.6340444196	0	104.5585292068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	119.0079980462	22.2945002957	57.0216582166	51.4700368928	134.9958911129	65.8740741446	66.8229015934	0	194.8611910264	136.3571038071	103.7356095506	17.8590189882	99.3053419312	16.5862398812	99.1512841828	0	57.2235852685	68.1375704231	196.6995283883	39.0650041956	93.6561901651	75.6601438914	48.6473648763	161.6488111279	102.8110686352	332.6098779999	5.6179775281	100.3867603216	391.780541281	2061.2146866721	171.9624101337	9.5997914977	285.5281933885	1178.7763243973	1885.6307109067	109.0403756341	26.1895667939	544.5805644889	85.0742784079	47.103099066	344.6398596129	43.2815802797	68.2733691491	282.3946654702	402.1371460716	449.0800537241	294.3687282056	128.4164680829	74.0271178117	191.4302046537	11.0936329588	0	0	17.4303886999	468.427156264	416.7207538137	6.9099671922	77.1213772488	105.3943824851	83.5965860872	46.787164322	879.2137594607	34.6431245485	134.7726290787	57.5521419344	88.8914047787	0	88.7830973276	21.0323520703	80.0232294595	0	194.6774109575	15.0439856756	113.0447329867	0	0	0	163.6184925787	0
"K03933"	"K03933"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.831005588	0	0	0	0	0	0	0	0
"K03935"	"K03935"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.1112074473	0	10.5234328363	6.6401810768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32.7917587436	0	0	0	70.8271871079	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"K03936"	"K03936"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.0827070246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"K03940"	"K03940"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.0197434762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"K03946"	"K03946"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.7603485839	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"K03955"	"K03955"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27.9994361828	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"K03969"	"K03969"	0	0	0	0	0	0	285.7465491354	501.4732458718	57.8074905389	39.9201764287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	119.9048337237	166.6275847185	43.5435353008	352.3434445813	26.197821723	24.2182743726	0	0	1155.3187111053	1850.8194794174	48.5130077519	323.2125299582	486.9330337993	2326.5143485274	118.7059879501	217.3478185835	0	28.2800725382	118.2612527525	26.6159695817	623.529490087	593.9879808778	129.6528403472	809.4500193497	0	0	0	0	0	95.9405373382	0	0	17.0923104505	44.7492773704	1146.9314489244	0	0	49.0978223298	27.5484666593	0	81.0042147838	0	0	24.7148288973	296.2518348299	730.8093943786	5918.4558402808	10.9362459461	0	69.4761087863	402.3113431929	0	0	0	13.2368062239	867.4042554004	497.7326525962	211.4352995619	603.0754115345	338.4132079568	1062.2452344871	3793.8304563066	4189.0342418189	1011.9196429154	817.9451998805	472.3335030394	30.174688443	567.3916433112	1257.6021775966	106.3275886589	70.1510762417	292.7926458735	5588.5157350676	909.4766056681	5010.128023289	0	66.9779026119	299.5828781594	1186.4398230546
"K03970"	"K03970"	0	0	0	0	0	0	0	0	0	44.9438202247	0	0	0	0	13.1578947368	78.5524417103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32.788993185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38.514254386	0	0
"K03971"	"K03971"	0	0	0	0	0	0	0	0	0	123.2876712329	0	0	0	0	0	54.0149881617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46.8236582694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50.9240316421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	149.2188078489	0	0
"K03972"	"K03972"	0	0	0	0	0	0	31.9439402668	32.7582181915	0	24.0242406753	0	0	205.5017329423	0	358.2915381604	3368.600403268	162.2097101483	880.4805364774	1991.6563998118	660.4994171326	3049.1334914537	2019.7565322138	220.437394101	2932.65972838	383.1393475383	0	0	0	0	0	0	0	0	0	10.6951871658	0	0	10.6951871658	0	0	0	0	0	26.7379679144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.3334850381	0	0	0	0	0	0	0	0	97.9196986618	121.3544463232	185.1763152168	454.2275148943	184.2290882271	0	101.3500775111	20.4991087344	0	0	0	193.9060076226	41.5699065492	0	0	0	47.6296029481	48.9372163104	167.8174758072	54.81608595	0	0	0	0	0	0	0	0	0	0	88.408922477	47.8456440857	609.2365886569	2869.6346227796	30.9918760386	0
"K03973"	"K03973"	0	0	0	0	0	0	0	0	0	47.3933649289	0	0	0	0	0	33.5255268273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40.8700255951	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83.86034455	0	0
"K03974"	"K03974"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.3111814988	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.3534162259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75.7848724912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60.0494358362	0	0
"K03975"	"K03975"	0	0	79.3525118069	46.0355034235	39.1201223248	463.3422936756	16.9388835796	146.9964692296	214.3567746544	16.8492116216	50.5756525779	0	78.1714925055	0	0	0	0	1129.3321238399	567.131939588	35.8624116972	1426.3231810643	577.6969963244	0	4098.7646837312	690.7728216968	16.1290322581	0	6.3157894737	0	16.4945274883	28.9766587836	0	0	35.4150900453	96.7440959537	98.528163813	558.0494687683	18.8746255884	87.9744992269	6.5979594371	37.3784851391	44.4732504433	167.6105036387	32.5338393602	111.2299095646	75.0133985352	33.1832917709	8.0801669511	27.2658925055	46.7309142411	56.626207756	0	0	33.78565219	463.1153309901	13.6713094342	139.4672174175	13.0050122478	147.7174280545	3002.2174109509	58.6804921925	19.6517727714	36.940925102	7.7935875545	18.1451612903	53.5365266983	6.4698778173	25.6462484887	186.7188363291	4117.8649612714	302.8017814483	1931.5506453989	279.0805381785	486.6319371211	412.8700767628	3211.9167831392	0	0	0	636.4530440954	66.0591015984	96.9892505058	121.3222065606	194.345974862	125.7771802799	299.637876904	315.9220810783	1071.7927118466	14.6642525329	281.7504284047	34.7041443973	0	14.5735970585	66.3495167377	84.7537957874	52.5412837382	33.6090635288	389.100335671	226.6551904857	193.6043421165	9374.1816391686	4166.2575398731	188.9673597025	6986.5296030352
"K03976"	"K03976"	13.2694310397	0	54.1867888234	0	93.2779371741	30.9087804069	252.3904669427	908.5828664218	118.4527446174	86.0888543693	113.783952424	0	32.2387082933	0	24.9991820335	803.422028569	6.7122317672	84.0841717277	326.366636186	200.8620696563	296.5570333093	506.0774534134	51.3785778091	628.3409381514	108.7578042676	187.5642476372	159.9680382111	106.4235684768	316.641584765	190.6558902584	126.0302072821	62.1590909091	0	1056.0400568776	1698.1828527367	163.9141594315	252.8238434823	505.2317257623	1688.4460701789	156.7221717523	189.9817730779	35.205595892	150.3300436959	216.5739221885	82.2945470333	629.1771971389	594.6236531259	130.4335198651	901.0921375519	115.5907087646	289.668998849	0	82.7887152078	423.6028773366	2635.0847321839	122.4194371254	14.1964975534	362.756111527	1166.9046774798	3113.7395581456	115.1956912857	0	621.9538201265	76.1019199202	42.0544468371	484.6063599104	55.656096481	79.4325438626	281.9011200993	869.8430068721	1073.5266819825	5834.2365159822	105.1959068624	79.9063156663	160.6075831162	302.0164534646	0	0	8.3429827748	532.5068915005	1047.1871003876	417.7159556067	167.7901729775	614.7539321409	413.4337705569	1071.1808140565	4797.4475478882	3935.5662754319	1343.933388051	825.9690100947	645.8233263085	0	537.2982861536	1083.7709776184	174.574057522	44.9439287324	379.7176587819	4294.2488161931	866.975214754	3728.5683584995	0	31.4997234886	444.9899171435	1094.841642522
"K03977"	"K03977"	421.135197131	169.4946666863	1199.3394894474	231.8830351091	890.8411486713	2108.8995974546	1586.2006296358	1862.0142060852	577.073569731	113.5262418258	264.4418177339	0	1645.1558104973	18.4084301845	1066.1828849474	6030.2205064434	6513.05062771	5592.3235027705	6516.6410118564	1163.075498368	4432.790539709	6823.9026121592	303.1394073727	23873.3289942365	1374.4478009538	199.7839954575	152.3387860427	139.113125298	346.7789349779	520.838446966	581.3500991184	415.7269567575	57.7235191153	1271.982235902	1884.9937824537	390.1018106472	657.9658526324	501.7227022464	1708.2586011103	196.3442280722	160.9272245005	161.7419454734	614.3338103842	516.291515107	622.2518947172	683.4001368242	598.6120157409	174.6719887151	887.1026417253	269.3715647384	796.2667225806	6.314173805	133.0116621292	860.6644501537	3925.9148288636	443.5258342359	263.2713259357	2016.2118083638	1675.7601857787	8533.534981195	224.7955967194	42.8381045131	1064.4242031333	186.684259769	139.7307025834	1316.5774714665	182.0862748639	208.192662505	869.0030171655	3780.9718311139	1782.2064896046	7773.5105376079	502.1587831031	787.163389569	464.989843558	929.6225622546	0	0	13.2473797489	918.2876401431	1542.7273311413	490.9304750151	478.5763499881	907.3858868934	495.0958821597	9588.7141381485	5921.5041829547	3724.8957222021	1292.0275699517	1028.2405859717	681.5015812579	20.5147463921	727.4795898245	1219.9795768075	283.2687161518	69.2255739257	575.494169123	5230.602415923	1558.0479171732	3798.2736935503	1050.3069694568	8417.8523643007	877.3437019534	1787.4377112949
"K03978"	"K03978"	178.2065889747	520.4288802194	745.7984980995	351.7367054116	483.9991703885	2783.0463936811	271.2344896532	449.5365974962	133.4464490554	135.6989656886	133.2719410034	4.52389231	215.414454547	0	279.8109245351	956.6731698003	630.3632482495	1952.7984264594	1259.491770935	181.9371343749	1182.8447449755	1644.3865872188	60.4016234886	6626.583717146	716.1983258497	115.7419345129	162.9816569532	84.4225676222	412.3853700877	707.2480130621	845.5250351284	643.6455147825	114.4513701877	1352.3378342745	2232.5672545583	210.4116320219	940.4035946732	419.1355748946	1830.9617042713	123.905458588	104.1669116586	165.2710901152	877.1135162081	1117.2704799048	1586.8054880215	643.7138367689	695.5294509671	120.2554394867	748.3141316836	132.2461367028	483.3408700226	0	142.334810815	570.714775627	2623.5515655932	382.3994479153	551.9968079333	2948.7610779975	1151.2627563753	6515.0009702812	194.607308755	50.3054860455	690.6174666015	148.160149325	65.9736924941	351.779019055	43.8292775001	18.7197198539	468.9139993749	4542.8287107497	1313.8580290138	7171.9110927512	284.3230458495	782.6058422212	482.667137939	2388.3296581642	0	0	18.6014851217	656.8432132496	1246.2832584168	424.8641113193	455.565245013	994.0904510891	467.6937471588	14288.9165332881	5349.7024584876	3840.5339526218	1001.0265301908	1213.8075374712	542.951947855	15.2408026034	536.7058215561	1092.7042961091	209.1854063831	60.6747138645	513.9269807668	4433.4397713409	1251.7345230302	3989.0123919765	192.5793310201	2905.1424229605	498.4493645765	2784.8243580194
"K03979"	"K03979"	271.096007718	524.9589750674	715.3875506782	246.3104400352	642.3769833159	2513.0824774963	1317.5379462071	952.1993873747	391.699805311	40.5769028844	247.491994419	0	463.6865068133	0	825.2296341032	6129.3708407317	1018.5854593656	4171.9119317802	3933.8279899413	1024.3280413946	4103.625308048	4743.0718863201	283.4512675966	13331.6599345911	1091.9774258859	230.797701109	114.4218231763	130.4533602909	293.9369204763	710.0634527178	802.5420458033	609.8614941956	68.4188849782	1127.0001566913	1644.2798749411	275.7111196813	736.6444200289	508.346524271	1567.193436123	215.6494238233	96.4667727674	252.3203386555	820.4772859473	964.9081268305	1505.6969867168	557.2580289391	546.128327113	139.311300852	647.4734514824	234.8760647873	649.5450869835	8.1959078863	217.3605622145	653.8751234391	2691.7930643313	350.4085132664	459.986792924	2757.4106044783	1284.2443716626	6531.1004960796	213.847830934	61.5913004802	771.0129036548	194.5011163791	119.7143107483	817.8280762015	95.706936974	172.7094170289	713.5043423037	3957.6807015551	1516.1565610716	6828.070973302	509.9306190143	805.779676688	639.3576471942	2292.0396719309	0	0	13.9642880157	697.9933088515	986.1566973725	340.9131906561	382.7907942841	872.412587706	479.3296387909	13739.9867669797	4247.4210808839	3354.2671290332	952.3396720394	981.3709879161	568.4208721554	17.454882558	519.2200749941	827.6875593983	288.5111477777	45.3003694771	442.4122874591	3488.1900787434	1299.0501560046	3055.2841984821	923.0886013752	8231.5308075805	533.0442943655	2488.3100752131
"K03980"	"K03980"	0	0	0	0	0	0	0	0	0	51.5172374474	0	0	18.5060436401	0	1.4743201194	3.5472140907	12.1329073322	192.5068233676	206.4881182298	12.3991915598	696.320157344	226.9733664459	0	478.7789622783	280.3985425306	0	0	0	0	0	0	0	0	9.9271901973	0	0	0	4.9928673324	0	0	0	0	0	14.9654960354	0	11.36098081	19.2133936264	0	9.1861755446	0	0	0	0	10.6629727877	71.8193402942	0	0	0	33.569857552	397.6315439091	0	0	0	0	0	24.1595542787	0	0	42.4280634794	115.5130120909	71.6711437357	349.9133554261	36.6502395468	0	78.063192117	0	0	0	0	126.1974551171	41.3215601312	0	8.4219362695	0	17.0847157626	22.5613626893	127.5297935181	0	6.6534199578	14.8104169778	19.1822957801	0	5.7061340942	0	0	0	0	0	43.5538447711	0	0	79.5048441478	0	0
"K03981"	"K03981"	0	0	0	0	0	0	21.5021326349	0	0	14.1420690206	0	0	101.6631337413	0	0	31.1223293254	0	904.7281600933	976.9580549924	70.1873227046	3106.1060931264	1107.0299124312	0	2305.3538267844	1362.2550553615	34.6402164734	0	16.2746333361	0	41.3847371971	0	6.8493150685	0	78.5860300373	0	10.1694915254	0	27.8474947898	0	6.0429712263	0	0	4.2492917847	66.5455599589	0	26.8144284292	54.2430609772	6.8376268175	6.2208398134	0	0	0	0	0	27.2924132117	0	0	0	0	155.5604738298	0	0	0	0	0	106.3909534907	0	0	125.5052982146	640.1210521591	444.3896735431	1484.1899242832	110.0625265351	0	410.4016791271	13.3749527548	0	0	9.1226632323	647.3742824654	178.3585505752	0	54.1102064713	0	75.3554441007	145.2806581354	461.4567377764	0	29.8895352684	28.9900664507	86.6918461707	0	5.6657223796	0	44.4349374578	0	23.0198445189	0	162.8777249136	0	10.6729960873	451.0532904656	54.524008348	0
"K04013"	"K04013"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.4130585138	26.1179367563	0	0	0	0	0	0	0	0	0	0	0	0	0	3.8722204729	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.5133476567	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23.285167626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43.0973231964	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25.326214851	0	0
