feature	rank
K03647	1.731675183
K07712	1.731675183
K11694	1.731675183
K09789	1.730032505
K11695	1.730032505
K03281	1.729263443
K10711	1.727796877
K01060	1.726728247
K14205	1.723289037
K13924	1.722713711
K01919	1.722085036
K13953	1.722085036
K02761	1.721331571
K02116	1.720027964
K01746	1.716996836
K03316	1.715845934
K03771	1.715455719
K00712	1.715021429
K00863	1.714963192
K18926	1.714798169
K09773	1.713509897
K03733	1.711545001
K03077	1.710006903
K03394	1.709076828
K00677	1.708810922
K01058	1.707414118
K06143	1.702631657
K07114	1.702525238
K00337	1.702396568
K10979	1.702222558
K01916	1.702031704
K01551	1.699240281
K02193	1.699240281
K02194	1.699240281
K02195	1.699240281
K02197	1.699240281
K00996	1.698127622
K16012	1.698085861
K16013	1.698085861
K01081	1.697449051
K02666	1.695725729
K00340	1.695511696
K05340	1.693785209
K03560	1.6918809
K19353	1.691836761
K00354	1.689797534
K00823	1.689797534
K12373	1.688580352
K02014	1.687915821
K02058	1.687915821
K08309	1.68790312
K00691	1.683895291
K00331	1.683751239
K00343	1.683751239
K19050	1.683547709
K00338	1.682518953
K01442	1.676642102
K01654	1.676642102
K05822	1.673347528
K01580	1.672778585
K05816	1.672503134
K16209	1.672365179
K00364	1.671350811
K00533	1.671350811
K15726	1.671318495
K03492	1.669899766
K00872	1.666474308
K02304	1.666474308
K00009	1.665441389
K01613	1.665441389
K05814	1.664463713
K06908	1.663369084
K01597	1.66167738
K07305	1.661608877
K07315	1.661608877
K02859	1.661234713
K02851	1.658314688
K08161	1.65459215
K19005	1.65353243
K01071	1.652334457
K02246	1.652334457
K05311	1.651225196
K02242	1.648556289
K02651	1.648556289
K00054	1.646733098
K00869	1.646733098
K00938	1.646733098
K01641	1.646733098
K02244	1.646733098
K06198	1.646733098
K16169	1.646137291
K12555	1.645860769
K03095	1.645731622
K12942	1.644489069
K12960	1.644342072
K02082	1.642279164
K00341	1.642218527
K02760	1.641832379
K06962	1.639435963
K07402	1.639435963
K11748	1.639435963
K00867	1.638903412
K12700	1.637145929
K06878	1.637095334
K06142	1.637057155
K03744	1.635545713
K08987	1.63525065
K01281	1.633246889
K03367	1.62830713
K03739	1.62830713
K03740	1.62830713
K14188	1.627313736
K02759	1.626886295
K03634	1.625926936
K05589	1.625926936
K02190	1.625253302
K12111	1.619711891
K03750	1.617329055
K03697	1.615856883
K03606	1.615100404
K04749	1.614606292
K05823	1.614427653
K01809	1.61315331
K01295	1.610911765
K04029	1.610818077
K00853	1.603359605
K01057	1.602571931
K00857	1.602536687
K00680	1.601313331
K02794	1.597787058
K00832	1.597296592
K07497	1.597296592
K09808	1.596152186
K02919	1.594253755
K11717	1.594253755
K01133	1.593964441
K00950	1.59330907
K19710	1.593092389
K10561	1.589032683
K11065	1.588940095
K19505	1.587161862
K02795	1.582069535
K06885	1.581075497
K00001	1.579606126
K02431	1.578177344
K07316	1.57768472
K00573	1.575281578
K01993	1.573957057
K15727	1.570550433
K01173	1.568144672
K02010	1.56549632
K02584	1.563476618
K10562	1.559254616
K01669	1.557431455
K01026	1.557309925
K00185	1.555865103
K04720	1.550661754
K09685	1.550638364
K02455	1.54929385
K07182	1.548759566
K09141	1.546024676
K03770	1.544981204
K04844	1.542366139
K00184	1.541733746
K18285	1.535302177
K13821	1.533671203
K01589	1.533268256
K02483	1.533268256
K00564	1.533073728
K16906	1.531298533
K00547	1.528153997
K02793	1.528009523
K06120	1.527269395
K15534	1.527269395
K11104	1.524624067
K02397	1.524112018
K13993	1.523393339
K07149	1.523359779
K12251	1.522877063
K06990	1.52253735
K08191	1.5210633
K07284	1.520178666
K00162	1.514551152
K03708	1.512068387
K00161	1.51196849
K03718	1.511340643
K10254	1.51033124
K14080	1.509137643
K03585	1.509014755
K01840	1.507605784
K02598	1.506949442
K07216	1.505656343
K09803	1.502504877
K18785	1.50241923
K06167	1.501972863
K00818	1.501742928
K08289	1.497178138
K01119	1.492759199
K02414	1.489127911
K01101	1.488589185
K02477	1.488567935
K02647	1.484722062
K09011	1.481031086
K15778	1.479386816
K03885	1.478516167
K13043	1.477686885
K01971	1.477666537
K08234	1.47713561
K03620	1.472300043
K09707	1.469252565
K01425	1.467578995
K01621	1.467437908
K08724	1.466633424
K03294	1.466037768
K06148	1.464394974
K02240	1.461329032
K02243	1.461329032
K03048	1.461329032
K03346	1.461329032
K06948	1.461329032
K09976	1.461329032
K11144	1.461329032
K18692	1.461329032
K03292	1.461057874
K07722	1.46047275
K15923	1.46047275
K01802	1.459322692
K03616	1.459322692
K02768	1.459159126
K04047	1.459159126
K01758	1.45461313
K04654	1.454610439
K16509	1.454610439
K08369	1.453253627
K00318	1.453235099
K18139	1.45256259
K04516	1.451789746
K01433	1.448341289
K15024	1.445143737
K04656	1.443324109
K06178	1.4428213
K16841	1.442028066
K03299	1.438629522
K13378	1.437771023
K02440	1.435343329
K03289	1.433112967
K12270	1.432231596
K03799	1.431305342
K07387	1.430431412
K00050	1.430310953
K17810	1.428603499
K06888	1.42656053
K03473	1.425985473
K01089	1.423185451
K10914	1.421462902
K00179	1.418997563
K00180	1.418997563
K03827	1.418997563
K09703	1.418997563
K19052	1.414237346
K00841	1.412027423
K11784	1.407056321
K17074	1.407056321
K01749	1.405301522
K06859	1.40475682
K05794	1.404425949
K07106	1.40426582
K16907	1.40426582
K00748	1.402064491
K00912	1.402064491
K01627	1.402064491
K02527	1.402064491
K05895	1.402064491
K06861	1.402064491
K02746	1.398674229
K00008	1.396446005
K02523	1.393226515
K16961	1.393182708
K16962	1.393182708
K11720	1.389409188
K00675	1.389407567
K10672	1.387173191
K08223	1.383613942
K03814	1.382932763
K03811	1.381502459
K00104	1.37787959
K16053	1.377145845
K11537	1.377027977
K02342	1.376726358
K10709	1.375865366
K01304	1.374907908
K07263	1.371555587
K00844	1.367196818
K02536	1.366597605
K03605	1.362852799
K02535	1.362778961
K07177	1.362623682
K01523	1.361742344
K03113	1.361742344
K18691	1.361742344
K08352	1.36079056
K09810	1.360136389
K03415	1.357072626
K03975	1.357072626
K18122	1.353644914
K06199	1.352614826
K04518	1.351037518
K07033	1.351037518
K01144	1.350892921
K01277	1.350892921
K06383	1.348942706
K01232	1.347871127
K07277	1.347354404
K05337	1.345805714
K02117	1.345630375
K02118	1.345630375
K02120	1.345630375
K09928	1.343620323
K02123	1.343557313
K02124	1.343557313
K01480	1.341673632
K05807	1.341602144
K03839	1.340834189
K02236	1.337466363
K00346	1.336583545
K00347	1.336583545
K00348	1.336583545
K00349	1.336583545
K00350	1.336583545
K00351	1.336583545
K07091	1.335719942
K01008	1.33378596
K01560	1.33378596
K02390	1.33378596
K01284	1.332543183
K12343	1.329591583
K12553	1.32894532
K03772	1.327761927
K03832	1.323716095
K07029	1.323716095
K08300	1.323716095
K01761	1.3234645
K08218	1.322765673
K02775	1.32133646
K08986	1.312164678
K01719	1.3119641
K07006	1.310914093
K09793	1.31089291
K01524	1.309201743
K02777	1.307302836
K03593	1.303908774
K03092	1.300262207
K04653	1.299346168
K17319	1.298581594
K06920	1.297510304
K13581	1.295782586
K07322	1.295596205
K02558	1.293528457
K00940	1.291780025
K07668	1.291770535
K07705	1.291196216
K05595	1.289722725
K02224	1.286373224
K17320	1.284436855
K03311	1.281074371
K02446	1.280172377
K09939	1.279365046
K13640	1.279365046
K01577	1.27826124
K00627	1.276760364
K03079	1.276640106
K06891	1.271732635
K09698	1.270267338
K06192	1.268440871
K00164	1.268061581
K02086	1.267361203
K16089	1.261377806
K10439	1.260152691
K00563	1.259682368
K03694	1.259138387
K02557	1.256726591
K05363	1.250135719
K02796	1.245097585
K07484	1.244361546
K18910	1.244023583
K06907	1.243012038
K07304	1.242837397
K00087	1.238249549
K01223	1.237500856
K02556	1.236742049
K19002	1.236742049
K11645	1.236296697
K07726	1.235840209
K07652	1.235117854
K10441	1.235076505
K12340	1.234748648
K00526	1.232699335
K10440	1.231941218
K04084	1.230686517
K00658	1.230233486
K05540	1.23013836
K00239	1.225227152
K01156	1.223581107
K07718	1.223222839
K16055	1.221901462
K00082	1.218985312
K03932	1.218985312
K07102	1.216491754
K03458	1.215539703
K00772	1.215078988
K09706	1.209020947
K05776	1.207388992
K00158	1.205070313
K03775	1.204690123
K07570	1.200710084
K03654	1.197674085
K06320	1.197241865
K04028	1.195841037
K00525	1.195703417
K09936	1.193979477
K00532	1.191919451
K01878	1.190043392
K01879	1.190043392
K01444	1.188032149
K01894	1.183518821
K08311	1.183518821
K10806	1.183518821
K09797	1.183096564
K00616	1.178310066
K01426	1.178310066
K07037	1.178310066
K04087	1.176581721
K04088	1.176581721
K01438	1.176079331
K02454	1.174202146
K05396	1.173882232
K06317	1.170258708
K01419	1.168567088
K03667	1.168567088
K03272	1.168434368
K03335	1.168129257
K03319	1.16664509
K07720	1.165790215
K02800	1.165218312
K01218	1.164680088
K05936	1.164333178
K19309	1.160346715
K03556	1.157901141
K03118	1.156816012
K00979	1.155450285
K03269	1.153940962
K05934	1.151616941
K18349	1.151616941
K18928	1.151616941
K18929	1.151616941
K01633	1.150523381
K09457	1.14663798
K05593	1.146587823
K06897	1.144975354
K01779	1.144162639
K01297	1.143513794
K04655	1.142660498
K07025	1.139704694
K01573	1.137042336
K02913	1.136378332
K00966	1.134377472
K05985	1.134336564
K17950	1.131581609
K07089	1.130973119
K03072	1.128292648
K03074	1.128292648
K00574	1.127531845
K10547	1.127531845
K07704	1.126961902
K02619	1.119848889
K01823	1.110984151
K07038	1.110351761
K02773	1.107809237
K06042	1.107809237
K06894	1.107006088
K05795	1.099952396
K06391	1.099574879
K02897	1.098159415
K00029	1.095236999
K02188	1.093572997
K16905	1.092108045
K01191	1.091242023
K02389	1.089522885
K07047	1.089080332
K06940	1.08901335
K02189	1.088755784
K01271	1.087600107
K03296	1.087600107
K00813	1.084938412
K10548	1.079690597
K03767	1.079329359
K17214	1.079329359
K03282	1.076985235
K07713	1.073318041
K18345	1.073318041
K02056	1.072215204
K03841	1.072215204
K10563	1.069536357
K01118	1.068627281
K15051	1.066372445
K17215	1.064814685
K00946	1.062875092
K00880	1.059594195
K08281	1.058552512
K10984	1.057926824
K00197	1.057699045
K00261	1.057699045
K00963	1.057699045
K01785	1.057699045
K03701	1.057699045
K07571	1.057699045
K07650	1.057699045
K07717	1.057699045
K07770	1.057699045
K12908	1.057699045
K15023	1.057699045
K13922	1.05493757
K11534	1.053790085
K12268	1.053790085
K12269	1.053790085
K01698	1.052884653
K08679	1.049016467
K13280	1.048191514
K09131	1.048047872
K00860	1.047301063
K08969	1.047285291
K02492	1.045977518
K02798	1.044849252
K19124	1.044849252
K00048	1.044817093
K18704	1.044542111
K07085	1.043670532
K02221	1.043456965
K00244	1.041846653
K03315	1.040104321
K02825	1.040096257
K00433	1.040000208
K16371	1.03947582
K04076	1.039214286
K07334	1.039214286
K04762	1.034341752
K10545	1.033251741
K04744	1.031292156
K00257	1.028950284
K15580	1.027215928
K02415	1.022766621
K17076	1.022140788
K02226	1.020179498
K11615	1.019928545
K00005	1.018034978
K02418	1.0174997
K00812	1.015899349
K11085	1.014022423
K03465	1.012460317
K06206	1.010106807
K01677	1.010005086
K01678	1.010005086
K17722	1.00856328
K03270	1.008329861
K18930	1.008329861
K01665	1.007831343
K04565	1.007831343
K13012	1.006643837
K03386	1.006252848
K01051	1.005405189
K09790	1.002420798
K00135	1.00226283
K15669	1.002159052
K02474	1.001609479
K02005	1.000822332
K08313	0.9985035851
K06911	0.9957516657
K07007	0.9957516657
K04094	0.9948948088
K09684	0.99334972
K01126	0.9927015145
K01194	0.9883061376
K05341	0.9877278932
K02819	0.9869176948
K04042	0.9869176948
K03820	0.9861056734
K04761	0.984942613
K15634	0.9840372989
K01046	0.9834614521
K01753	0.9834614521
K01787	0.9823025756
K06334	0.9806926291
K03530	0.9801649296
K03758	0.978685503
K00943	0.9785953066
K03823	0.9782663217
K02747	0.9781230297
K18013	0.9778342184
K05499	0.9738439958
K03387	0.9733637195
K03274	0.9695031091
K05306	0.9676691418
K02409	0.9669336446
K19157	0.9643883412
K01138	0.9601416244
K06864	0.958381995
K06972	0.9580707453
K07107	0.9554479927
K03483	0.953132394
K01640	0.9527824545
K00385	0.9503154016
K16950	0.9503154016
K16951	0.9503154016
K10193	0.9500414726
K10194	0.9500414726
K03706	0.9496806075
K19310	0.9482979477
K02348	0.9479265942
K05989	0.947810524
K10118	0.9453126927
K10543	0.9426676447
K03800	0.9404939037
K03564	0.9402540464
K13628	0.9335533003
K02411	0.9303370642
K03688	0.9301889455
K15533	0.9292343026
K03973	0.9269164274
K07442	0.9249200188
K04763	0.9249109889
K03518	0.9238862552
K03813	0.923850392
K09158	0.923850392
K10117	0.9236842084
K02843	0.9235155598
K01821	0.9220698779
K10192	0.9120571058
K03719	0.9104116168
K18014	0.9078924495
K18220	0.9078924495
K02198	0.9064596227
K03648	0.9063645537
K01104	0.9052640692
K08307	0.9029092574
K01134	0.9020582722
K02407	0.9013462228
K13542	0.9013462228
K07794	0.9003633488
