feature	rank
K15898	10.10933768
K03408	10.09803618
K08884	10.09036086
K06213	10.08076497
K03324	10.07199571
K00375	10.06836704
K00891	10.05835584
K02057	10.04624683
K13019	10.04310584
K03604	10.0401271
K02474	10.03655928
K17214	10.03471549
K06518	10.01144033
K06714	10.01013604
K07335	9.996059314
K02388	9.992327898
K03458	9.979167661
K09118	9.972091335
K05570	9.966194657
K02552	9.960404026
K09954	9.953526763
K06193	9.952680048
K07130	9.952680048
K07260	9.945338886
K13051	9.921018078
K16789	9.88902668
K02653	9.887933009
K02412	9.877401407
K02419	9.877401407
K11209	9.873064555
K03335	9.870445336
K02421	9.869445959
K00548	9.868882155
K00991	9.864880096
K07667	9.857611157
K07391	9.844752673
K03924	9.832418418
K08317	9.801529702
K00394	9.799128407
K00395	9.799128407
K02401	9.786305745
K02298	9.785320839
K05523	9.785320839
K05881	9.785320839
K09771	9.785320839
K10108	9.785320839
K11921	9.785320839
K11936	9.785320839
K00266	9.778570571
K02226	9.777041671
K00797	9.765066391
K07258	9.755456004
K00064	9.753956763
K00090	9.753956763
K00094	9.753956763
K00101	9.753956763
K00117	9.753956763
K00137	9.753956763
K00146	9.753956763
K00163	9.753956763
K00216	9.753956763
K00228	9.753956763
K00247	9.753956763
K00276	9.753956763
K00322	9.753956763
K00389	9.753956763
K00427	9.753956763
K00529	9.753956763
K00631	9.753956763
K00647	9.753956763
K00673	9.753956763
K00697	9.753956763
K00758	9.753956763
K00840	9.753956763
K00878	9.753956763
K00884	9.753956763
K00885	9.753956763
K00892	9.753956763
K00906	9.753956763
K00932	9.753956763
K00998	9.753956763
K01085	9.753956763
K01087	9.753956763
K01096	9.753956763
K01146	9.753956763
K01169	9.753956763
K01175	9.753956763
K01252	9.753956763
K01407	9.753956763
K01460	9.753956763
K01484	9.753956763
K01489	9.753956763
K01521	9.753956763
K01584	9.753956763
K01608	9.753956763
K01631	9.753956763
K01637	9.753956763
K01659	9.753956763
K01671	9.753956763
K01690	9.753956763
K01716	9.753956763
K01720	9.753956763
K01725	9.753956763
K01766	9.753956763
K01782	9.753956763
K01825	9.753956763
K01846	9.753956763
K02024	9.753956763
K02043	9.753956763
