,Itg.10.DTT455.S49,Vil1.01B.FP07,Lyz2.04B.FP243.S92,Vil1.04B.DTT43,Vil1.07B.DTT79,Vil1.06B.FP67,Lyz2.01B.DTT207.S47,Itg.22.FP515.S18,Lyz2.05B.FP255.S52,Lyz2.04B.DTT243.S84,Vil1.04B.FP43,Vil1.09B.FP106,Itg.02.DTT407.S99,Lyz2.08B.DTT291.S133,Itg.24.DTT527.S22,Itg.26.DTT539.S35,Lyz2.08B.FP291.S89,Vil1.06B.DTT67,Vil1.02B.FP19,Itg.26.FP539.S43,Itg.18.FP491.S94,Itg.12.DTT467.S61,Vil1.07B.FP79,Lyz2.02B.DTT219.S59,Itg.24.FP527.S30,Lyz2.07B.FP279.S77,Lyz2.03B.FP231.S79,Itg.18.DTT491.S86,Itg.06.DTT431.S24,Lyz2.05B.DTT255.S96,Itg.08.FP443.S44,Lyz2.07B.DTT279.S121,Vil1.08B.FP94,Vil1.05B.DTT55,Itg.16.FP479.S81,Vil1.05B.FP55,Lyz2.06B.DTT267.S108,Itg.16.DTT479.S73,Itg.12.FP467.S69,Vil1.14B.FP166,Itg.20.DTT503.S98,Itg.22.DTT515.S10,Itg.06.FP431.S32,Lyz2.06B.FP267.S64,Vil1.013B.DTT151,Itg.02.FP407.S7,Itg.04.FP419.S19,Vil1.02B.DTT19,Lyz2.01B.FP207.S55,Itg.08.DTT443.S36,Vil1.13B.FP154,Vil1.03B.FP31,Vil1.010B.DTT115,Vil1.08B.DTT91,Vil1.014B.DTT163,Vil1.09B.DTT103,Itg.10.FP455.S57,Lyz2.03B.DTT231.S71,Itg.20.FP503.S6,Lyz2.02B.FP219.S67,Itg.04.DTT419.S11,Vil1.10B.FP118,LYZdtt351,SLCFP067,SLCdtt019,SLCFP091,LYZFP327,SLCFP073,SLCFP019a,SLCFP049,LYZFP339,LYZFP315,SLCFP127,LYZdtt363,LYZdtt315,LYZFP351,LYZFP303,SLCdtt109,SLCdtt001,LYZdtt303,SLCFP001,SLCFP109,LYZdtt339,LYZdtt327,SLCdtt067,SLCdtt163,SLCdtt145,SLCFP163,SLCFP145
cb48af0355580e3a4cfe6d22f05b6b14,1781,299,292,592,319,1279,1265,147,346,1135,734,129,1435,794,833,267,283,0,266,134,631,1009,421,1867,548,123,233,1051,342,777,421,1164,1166,11,294,1974,1357,381,1006,432,1010,295,1114,724,11655,114,2820,49,835,1591,2275,190,0,7,5533,3,664,752,1462,1731,2245,149,1029,142,50,909,274,328,394,1316,226,1709,277,3731,12044,1261,770,713,34,887877,183,350,228,155,355,1381,2238,274,275
b08002696e45f7e121334d154e2f5d4a,19,9,5,5,0,6,22,7,9,0,23,3,0,4,25,0,3,0,15,0,0,16,0,8,0,8,1,1,0,6,5,14,31,0,0,3,44,12,12,0,4,9,0,21,0,0,6,4,21,0,0,9,0,0,0,3,12,7,0,7,0,6,26,1,5,0,0,0,1,7,1,20,1,0,194,0,7,21,0,0,1,1,7,0,0,0,10,36,1
204736c3bd4a4c1f840e9fc99a5155d2,63,8,17,38,0,23,31,8,4,16,51,20,87,22,42,32,3,0,16,10,21,38,7,67,47,10,6,38,14,7,10,28,31,0,8,54,52,20,20,0,27,22,18,57,59,13,33,5,12,9,7,47,0,0,63,0,14,19,18,43,35,31,27,7,0,83,21,0,22,71,38,57,6,141,59,32,16,37,9,171,14,5,19,28,25,279,82,35,7
bbf6f74f140636ff3f33ef2bc3d892a3,73,85,42,109,0,299,37,104,15,22,689,47,50,44,45,40,142,0,37,84,57,77,147,83,60,38,70,39,15,4,202,26,17,0,295,217,53,122,108,1,55,67,32,109,6,74,676,3,130,42,0,644,22,0,25,57,125,13,145,265,214,159,91,84,58,1024,0,73,271,213,0,140,0,79,71,147,254,168,111,376,586,280,0,8,26,340,194,78,292
1e65ef9ba16ebcd3b8413c31e58cada1,223,41,121,128,0,91,340,27,70,296,155,22,103,74,199,114,73,0,124,34,68,209,49,871,115,68,71,158,46,75,80,165,45,0,108,300,369,134,217,3,182,52,60,223,9,33,171,12,228,31,0,65,0,4,95,11,169,258,172,344,148,41,565,0,63,94,124,27,0,81,93,236,13,749,71,453,276,96,53,1359,215,109,73,156,83,673,65,186,26
6f06d4c3412c12274598b1a4bc468d3a,1,1,1,1,0,1,1,1,1,1,1,1,91,2,5,1,1,0,1,1,1,1,1,61,7,1,1,1,1,1,1,5,1,1,10,1,1,163685,1,0,1,1,1,17,1,1,611,1,1,1,0,1,1,1,75,1,1,531,1,1325,1,1,1,0,1,0,1,0,0,0,1,1,0,5,1,7,1,0,0,173745,0,0,6,1,1,8373,8734,0,0
c8433912bf1d2d7d9dd177739211ae41,232,238,61,22,0,451,138,34,100,69,140,1,23,78,118,42,177,0,330,50,59,201,64,139,140,15,57,79,42,107,130,92,0,0,38,528,637,26,257,0,511,46,79,492,1,11,168,25,284,29,0,94,1,1,70,2,279,17,469,298,52,20,761,8,91,76,1619,156,29,62,1361,3027,12,650,243,1750,823,12,6,2987,42,41,73,893,3,23,6,61,17
8a8c39a3e855256f236f71f39bf300aa,53,21,0,5,0,0,67,17,20,52,0,0,0,0,39,0,0,0,38,0,0,71,0,126,0,0,0,31,0,10,40,5,0,0,0,23,0,25,94,0,6,21,0,0,0,0,0,4,106,0,0,0,0,0,0,0,121,28,0,164,0,0,28,0,0,90,72,0,0,47,20,0,3,144,0,53,0,3,0,76,2,0,21,36,3,138,0,39,0
a172874a13d3e6df1391f0797d95d6bc,42,50,47,18,0,123,21,28,26,34,92,3,20,12,33,37,39,0,52,73,70,36,193,70,77,82,50,40,33,21,82,41,0,0,29,231,60,24,64,0,54,22,43,70,2,18,40,7,63,5,0,108,5,0,10,8,83,20,62,139,15,22,65,55,0,195,102,0,21,0,154,202,20,201,65,172,273,34,19,314,115,54,16,52,22,39,15,145,30
762fd96b2d1336974fba68fedd33fefa,73,95,210,67,0,165,54,51,37,196,221,0,155,25,33,88,13,0,118,167,59,209,90,202,61,90,113,86,86,48,154,201,0,0,123,227,70,124,160,1,121,156,60,66,2864,75,50,35,78,187,106,216,68,0,446,145,59,63,106,177,123,20,145,153,197,292,98,0,530,405,106,37,84,33,357,161,41,234,88,3006,356,319,24,172,197,1034,53,26,288
76d6be90e19a660c9a84b35fa31d801c,193,498,652,104,2,568,220,379,166,354,556,43,152,102,127,158,237,4,565,319,267,363,392,348,198,219,350,204,229,133,361,531,17,4,331,1813,578,288,367,89,358,1049,193,1013,7040,158,143,96,434,796,485,419,68,15,764,207,423,69,392,424,451,64,1911,613,76,648,1639,752,619,581,1731,1839,299,678,8531,2707,956,234,212,8624,1216,1293,236,1477,212,7224,4358,775,250
64864a4b76fc5cccc00f4e44f8dbcff4,369,202,174,157,0,344,234,90,105,470,304,63,193,77,325,93,152,0,253,113,233,303,171,443,231,102,155,291,89,75,193,183,258,0,99,586,437,177,343,14,240,96,138,394,23,61,176,35,294,92,0,195,4,8,124,16,261,160,309,495,108,90,400,52,82,132,177,127,109,56,343,584,61,747,333,611,273,118,33,2462,142,155,124,138,151,501,383,130,159
7186c67c129c329bce7d6c988267b231,64,18,14,26,0,19,28,6,10,12,51,3,42,6,44,35,4,0,25,7,35,16,15,40,33,4,7,43,12,11,9,24,25,0,4,37,51,18,11,0,19,14,26,43,3,8,33,5,18,6,0,11,0,0,24,3,14,19,19,24,48,14,43,7,5,46,9,14,12,41,19,36,7,139,59,54,30,22,5,51,5,12,41,26,10,75,114,45,9
46864a6aa122ecb439eb59a3c0542ee6,198,74,82,69,0,109,141,27,133,197,79,8,110,86,207,78,64,0,160,41,33,172,50,349,171,36,63,80,19,127,33,96,8,0,33,380,307,51,192,0,69,70,47,284,5,29,122,12,116,53,0,81,3,0,73,0,115,126,83,205,90,79,423,22,21,10,75,26,3,3,374,309,17,1325,224,777,392,51,16,1522,86,77,228,118,50,117,369,47,65
8f2b821cd45696bb55b164853a1917c3,4,4,10,4,0,23,4,10,3,0,35,0,0,0,0,2,5,0,8,11,0,8,18,6,4,0,7,4,5,0,20,0,0,0,11,15,0,9,20,0,3,12,10,0,0,0,2,3,7,0,0,25,2,0,0,0,9,3,5,1,2,2,0,10,0,0,0,0,12,19,0,18,0,14,0,0,0,15,0,0,11,25,0,0,8,20,5,9,4
2e11ee45d4ccab0775222da825d3bd42,537,102,179,238,0,223,39,71,86,358,412,31,384,213,615,238,200,0,96,92,211,344,57,57,317,20,168,457,189,88,145,188,192,0,99,510,297,149,309,0,330,79,185,337,11,76,376,30,31,106,0,113,0,0,99,14,322,80,305,32,280,83,555,46,43,317,43,66,151,306,109,334,27,1848,217,437,206,77,30,319,187,97,103,67,143,107,614,102,106
